ts_code,name,weight
603259.SH,药明康德,0.12455118
688235.SH,百济神州-U,0.09060811
600276.SH,恒瑞医药,0.09058130
300014.SZ,亿纬锂能,0.05997066
000792.SZ,盐湖股份,0.04943044
000807.SZ,云铝股份,0.04814064
002001.SZ,新和成,0.04678360
603986.SH,兆易创新,0.04433110
002709.SZ,天赐材料,0.04068115
002648.SZ,卫星化学,0.03976776
300408.SZ,三环集团,0.02998618
002653.SZ,海思科,0.02544404
300857.SZ,协创数据,0.02281435
688048.SH,长光华芯,0.01933076
002008.SZ,大族激光,0.01916722
603893.SH,瑞芯微,0.01764732
002428.SZ,云南锗业,0.01512752
688617.SH,惠泰医疗,0.01493912
300058.SZ,蓝色光标,0.01478844
300418.SZ,昆仑万维,0.01478403
002738.SZ,中矿资源,0.01431101
688629.SH,华丰科技,0.01394715
688568.SH,中科星图,0.01210823
600563.SH,法拉电子,0.01105312
300666.SZ,江丰电子,0.01004551
002126.SZ,银轮股份,0.00994608
002222.SZ,福晶科技,0.00989179
688270.SH,臻镭科技,0.00920696
300870.SZ,欧陆通,0.00861084
600562.SH,国睿科技,0.00846131
603650.SH,彤程新材,0.00780396
002335.SZ,科华数据,0.00749445
300001.SZ,特锐德,0.00731281
603444.SH,吉比特,0.00677364
603688.SH,石英股份,0.00674463
600312.SH,平高电气,0.00660445
688536.SH,思瑞浦,0.00637950
688368.SH,晶丰明源,0.00440718
688531.SH,日联科技,0.00333914
000777.SZ,中核科技,0.00210567
688636.SH,智明达,0.00188409
603275.SH,众辰科技,0.00168046
301528.SZ,多浦乐,0.00101307
