date,portfolio_return,nav,drawdown,trading_cost
2020-11-23,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-04,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-18,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-31,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-15,0.02626098,1.02626098,0.00000000,0.00029991
2021-01-29,-0.04643298,0.97860863,-0.04643298,0.00036461
2021-02-11,0.03248799,1.01040165,-0.01545350,0.00006923
2021-02-26,0.00282796,1.01325902,-0.01266925,0.00014582
2021-03-12,0.01967085,1.03319069,0.00000000,0.00006047
2021-03-26,-0.01564642,1.01702496,-0.01564642,0.00004023
2021-04-09,0.00599119,1.02311814,-0.00974897,0.00002936
2021-04-23,0.00837491,1.03168667,-0.00145571,0.00002879
2021-05-07,-0.00712929,1.02433147,-0.00857462,0.00006585
2021-05-21,-0.00789049,1.01624899,-0.01639746,0.00003824
2021-06-04,0.02423138,1.04087411,0.00000000,0.00009568
2021-06-18,-0.01280666,1.02754398,-0.01280666,0.00012814
2021-07-02,-0.00639663,1.02097116,-0.01912137,0.00006511
2021-07-16,-0.01000953,1.01075172,-0.02893951,0.00006956
2021-07-30,-0.05023421,0.95997740,-0.07771997,0.00007256
2021-08-13,0.02597536,0.98491316,-0.05376342,0.00015919
2021-08-27,-0.02264773,0.96260711,-0.07519353,0.00006075
2021-09-10,0.04623998,1.00711804,-0.03243050,0.00005491
2021-09-24,-0.05162186,0.95512873,-0.08237824,0.00011062
2021-10-08,0.03228909,0.98596897,-0.05274907,0.00006530
2021-10-22,0.00781514,0.99367446,-0.04534617,0.00011498
2021-11-05,-0.03729792,0.95661247,-0.08095277,0.00006631
2021-11-19,0.00435050,0.96077421,-0.07695445,0.00003617
2021-12-03,-0.00498302,0.95598665,-0.08155401,0.00010767
2021-12-17,-0.01502737,0.94162068,-0.09535584,0.00016072
2021-12-31,-0.00221739,0.93953274,-0.09736179,0.00002331
2022-01-14,0.05681335,0.99291074,-0.04607989,0.00004502
2022-01-28,0.01094321,1.00377637,-0.03564095,0.00004823
2022-02-11,0.04654427,1.05049641,0.00000000,0.00000000
2022-02-25,-0.04455420,1.00369238,-0.04455420,0.00002498
2022-03-11,-0.01944440,0.98417619,-0.06313227,0.00002125
2022-03-25,0.02203573,1.00586323,-0.04248770,0.00002902
2022-04-08,0.02895568,1.03498869,-0.01476227,0.00002368
2022-04-22,-0.00826356,1.02643600,-0.02290384,0.00021515
2022-05-06,0.00000000,1.02643600,-0.02290384,0.00000000
2022-05-20,0.00000000,1.02643600,-0.02290384,0.00000000
2022-06-02,0.00000000,1.02643600,-0.02290384,0.00000000
2022-06-17,0.00000000,1.02643600,-0.02290384,0.00000000
2022-06-30,0.00000000,1.02643600,-0.02290384,0.00000000
2022-07-15,-0.04332559,0.98196506,-0.06523711,0.00021551
2022-07-29,0.01732085,0.99897353,-0.04904622,0.00020739
2022-08-12,0.00811393,1.00707913,-0.04133024,0.00020974
2022-08-26,-0.01022788,0.99677885,-0.05113540,0.00020921
2022-09-09,0.00961109,1.00635898,-0.04201578,0.00020928
2022-09-23,0.00333765,1.00971786,-0.03881836,0.00021329
2022-10-07,0.00000000,1.00971786,-0.03881836,0.00000000
2022-10-21,0.00000000,1.00971786,-0.03881836,0.00000000
2022-11-04,0.00000000,1.00971786,-0.03881836,0.00000000
2022-11-18,0.00000000,1.00971786,-0.03881836,0.00000000
2022-12-02,0.03617757,1.04624700,-0.00404514,0.00021200
2022-12-16,0.01220028,1.05901151,0.00000000,0.00017884
2022-12-30,0.01584411,1.07579060,0.00000000,0.00002690
2023-01-13,0.04426949,1.12341530,0.00000000,0.00000345
2023-01-27,0.04511039,1.17409299,0.00000000,0.00012612
2023-02-10,-0.03534208,1.13259811,-0.03534208,0.00003775
2023-02-24,0.00096218,1.13368787,-0.03441390,0.00003984
2023-03-10,0.02157067,1.15814227,-0.01358557,0.00000000
2023-03-24,0.01005598,1.16978853,-0.00366620,0.00003565
2023-04-06,0.03173408,1.20691070,0.00000000,0.00003934
2023-04-21,0.01934720,1.23026104,0.00000000,0.00009537
2023-05-05,0.02629841,1.26261495,0.00000000,0.00004537
2023-05-19,-0.01348042,1.24559437,-0.01348042,0.00009632
2023-06-02,-0.03859855,1.19751623,-0.05155865,0.00009084
2023-06-16,0.03481370,1.23920620,-0.01853990,0.00001023
2023-06-30,-0.01122937,1.22529069,-0.02956107,0.00005180
2023-07-14,0.03526773,1.26850392,0.00000000,0.00016493
2023-07-28,0.00499600,1.27484137,0.00000000,0.00000000
2023-08-11,-0.01708144,1.25306524,-0.01708144,0.00013268
2023-08-25,-0.03393004,1.21054868,-0.05043191,0.00006697
2023-09-08,0.03772091,1.25621168,-0.01461334,0.00016070
2023-10-06,-0.02169102,1.22896316,-0.03598738,0.00002465
2023-10-20,-0.00593682,1.22166703,-0.04171055,0.00000000
2023-11-03,-0.00558883,1.21483934,-0.04706627,0.00002371
2023-11-17,0.00059180,1.21555828,-0.04650233,0.00004880
2023-12-01,-0.00195360,1.21318356,-0.04836508,0.00003089
2023-12-15,-0.00099789,1.21197293,-0.04931471,0.00004861
2023-12-29,0.01623952,1.23165479,-0.03387604,0.00002662
2024-01-12,-0.00373102,1.22705947,-0.03748066,0.00002955
2024-01-26,0.00142316,1.22880577,-0.03611084,0.00025816
2024-02-09,0.00000000,1.22880577,-0.03611084,0.00000000
2024-02-23,0.00000000,1.22880577,-0.03611084,0.00000000
2024-03-08,0.00000000,1.22880577,-0.03611084,0.00000000
2024-03-22,0.00000000,1.22880577,-0.03611084,0.00000000
2024-04-05,0.01649905,1.24907990,-0.02020759,0.00025800
2024-04-19,0.02587125,1.28139516,0.00000000,0.00002594
2024-05-03,-0.00500910,1.27497653,-0.00500910,0.00027324
2024-05-17,0.05765684,1.34848765,0.00000000,0.00026769
2024-05-31,-0.01737754,1.32505425,-0.01737754,0.00005480
2024-06-14,0.01144524,1.34021981,-0.00613119,0.00018743
2024-06-28,0.04349872,1.39851766,0.00000000,0.00003893
2024-07-12,0.04546136,1.46209617,0.00000000,0.00008657
2024-07-26,-0.06629327,1.36516904,-0.06629327,0.00009021
2024-08-09,-0.00543116,1.35775459,-0.07136438,0.00004040
2024-08-23,0.03959962,1.41152115,-0.03459076,0.00008101
2024-09-05,-0.05092269,1.33964270,-0.08375200,0.00003994
2024-09-20,0.01326326,1.35741072,-0.07159957,0.00014985
