date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2020-12-31,0.00000000,0.00000000,0.00000000,0.00000000,400,biweekly_equal_buffered,False,risk_on,,1.00000000,1.00000000,0,0,122
2021-01-15,0.00000000,0.00000000,0.00000000,0.00000000,402,biweekly_equal_buffered,False,risk_on,,1.00000000,1.00000000,0,0,121
2021-01-29,0.00000000,0.00000000,0.00000000,0.00000000,402,biweekly_equal_buffered,False,risk_on,,1.00000000,1.00000000,0,0,116
2021-02-11,0.02988920,0.03018911,0.02988920,0.00029991,401,biweekly_equal_buffered,False,risk_on,,0.00000000,0.00000000,12,32,118
2021-02-26,0.04466795,0.04497941,0.04466795,0.00032078,402,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.02624988,12,47,118
2021-03-12,0.03457799,0.03477721,0.03457799,0.00021434,402,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.02601252,12,50,118
2021-03-26,-0.00541027,-0.00540568,-0.00541027,0.00000510,402,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.00900971,12,52,118
2021-04-09,0.01172812,0.01173128,0.01172812,0.00000349,403,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.02065279,12,50,117
2021-04-23,0.00767482,0.00772113,0.00767482,0.00005186,400,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.01890295,12,40,118
2021-05-07,0.01418567,0.01427749,0.01418567,0.00010363,400,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.01373632,12,40,119
2021-05-21,-0.00584833,-0.00570542,-0.00584833,0.00016357,401,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.01548705,12,37,115
2021-06-04,0.02371306,0.02381657,0.02371306,0.00011779,401,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.00733391,12,40,116
2021-06-18,-0.01671476,-0.01660644,-0.01671476,0.00012619,400,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.00164966,12,49,118
2021-07-02,-0.01247612,-0.01238662,-0.01247612,0.00010252,401,biweekly_equal_buffered,False,risk_on,,0.00000000,0.00347338,12,39,120
2021-07-16,-0.01882717,-0.01861717,-0.01882717,0.00023755,402,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.00483353,12,39,118
2021-07-30,-0.03408827,-0.03393879,-0.03408827,0.00016591,404,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.00399882,12,40,115
2021-08-13,0.01984713,0.01999484,0.01984713,0.00015835,403,biweekly_equal_buffered,False,risk_on,,0.00000000,0.01308015,12,17,116
2021-08-27,-0.02711026,-0.02705362,-0.02711026,0.00006194,405,biweekly_equal_buffered,False,risk_on,,0.00000000,0.00336491,12,37,112
2021-09-10,0.04410013,0.04414460,0.04410013,0.00004730,405,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.00289836,12,38,114
2021-09-24,-0.04217910,-0.04202681,-0.04217910,0.00016913,407,biweekly_equal_buffered,False,risk_on,,0.00000000,0.00155934,12,57,120
2021-10-08,0.01669668,0.01674935,0.01669668,0.00005603,407,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.02993486,12,39,116
2021-10-22,-0.00571313,-0.00555327,-0.00571313,0.00017289,409,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.01251310,12,36,116
2021-11-05,-0.02875599,-0.02861097,-0.02875599,0.00015594,411,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.01878179,12,41,122
2021-11-19,0.00521318,0.00531820,0.00521318,0.00010969,414,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.01803553,12,37,118
2021-12-03,-0.00779060,-0.00769691,-0.00779060,0.00009837,415,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.01182879,12,40,119
2021-12-17,-0.00965996,-0.00955655,-0.00965996,0.00010772,415,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.01114569,12,31,118
2021-12-31,0.01329933,0.01339030,0.01329933,0.00009385,419,biweekly_equal_buffered,False,risk_on,,0.00000000,-0.01693297,12,30,121
2022-01-14,0.07253465,0.07287426,0.07253465,0.00035501,420,biweekly_equal_buffered,False,caution,0.18818174,0.15000000,0.15154700,12,50,94
2022-01-28,-0.00201636,-0.00185033,-0.00201636,0.00018614,421,biweekly_equal_buffered,False,caution,0.11452283,0.15000000,0.17451394,12,58,91
2022-02-11,0.05948415,0.05956238,0.05948415,0.00008753,422,biweekly_equal_buffered,False,caution,0.12946915,0.15000000,0.17047550,12,56,89
2022-02-25,-0.04606844,-0.04594355,-0.04606844,0.00014806,423,biweekly_equal_buffered,False,caution,0.05266848,0.15000000,0.18330579,12,60,93
2022-03-11,-0.02785491,-0.02777598,-0.02785491,0.00008926,423,biweekly_equal_buffered,False,caution,0.00270455,0.15000000,0.18388206,12,51,95
2022-03-25,0.02156357,0.02168215,0.02156357,0.00013036,425,biweekly_equal_buffered,False,caution,0.06558143,0.15000000,0.17285537,12,21,96
2022-04-08,0.03652465,0.03669830,0.03652465,0.00019502,424,biweekly_equal_buffered,False,caution,0.03988485,0.15000000,0.19922890,12,34,92
