date,ts_code,name,weight
2017-01-20,00700.HK,腾讯控股,0.10500173
2017-01-20,00005.HK,汇丰控股,0.10400404
2017-01-20,00338.HK,上海石油化工股份,0.10176030
2017-01-20,00868.HK,信义玻璃,0.09055548
2017-01-20,00386.HK,中国石油化工股份,0.08940131
2017-01-20,02018.HK,瑞声科技,0.08669317
2017-01-20,00939.HK,建设银行,0.08606425
2017-01-20,00303.HK,VTECH HOLDINGS,0.07325204
2017-01-20,00016.HK,新鸿基地产,0.06751476
2017-01-20,00998.HK,中信银行,0.06631874
2017-01-20,00857.HK,中国石油股份,0.06541752
2017-01-20,03606.HK,福耀玻璃,0.06401666
2017-02-03,02388.HK,中银香港,0.09831313
2017-02-03,00005.HK,汇丰控股,0.09378769
2017-02-03,02007.HK,碧桂园,0.09320455
2017-02-03,00700.HK,腾讯控股,0.08936899
2017-02-03,00175.HK,吉利汽车,0.08834672
2017-02-03,00939.HK,建设银行,0.08377834
2017-02-03,00338.HK,上海石油化工股份,0.08241597
2017-02-03,00386.HK,中国石油化工股份,0.07696257
2017-02-03,00868.HK,信义玻璃,0.07569035
2017-02-03,02382.HK,舜宇光学科技,0.07551476
2017-02-03,00914.HK,海螺水泥,0.07544028
2017-02-03,01800.HK,中国交通建设,0.07092283
2017-02-17,02007.HK,碧桂园,0.10555592
2017-02-17,02388.HK,中银香港,0.09462511
2017-02-17,00005.HK,汇丰控股,0.09088381
2017-02-17,00175.HK,吉利汽车,0.09064329
2017-02-17,03968.HK,招商银行,0.08370974
2017-02-17,02382.HK,舜宇光学科技,0.08319148
2017-02-17,00914.HK,海螺水泥,0.08282973
2017-02-17,01288.HK,农业银行,0.08207098
2017-02-17,00004.HK,九龙仓集团,0.07915914
2017-02-17,00338.HK,上海石油化工股份,0.07403394
2017-02-17,00700.HK,腾讯控股,0.07241737
2017-02-17,00386.HK,中国石油化工股份,0.07049923
2017-03-03,02388.HK,中银香港,0.09514438
2017-03-03,00005.HK,汇丰控股,0.08956142
2017-03-03,02007.HK,碧桂园,0.08732401
2017-03-03,03988.HK,中国银行,0.08430292
2017-03-03,03968.HK,招商银行,0.08411071
2017-03-03,00004.HK,九龙仓集团,0.08301542
2017-03-03,00914.HK,海螺水泥,0.08269797
2017-03-03,00700.HK,腾讯控股,0.08182173
2017-03-03,01288.HK,农业银行,0.08027780
2017-03-03,00175.HK,吉利汽车,0.07479235
2017-03-03,02018.HK,瑞声科技,0.07437990
2017-03-03,06808.HK,高鑫零售,0.07236756
2017-03-03,CASH,现金,0.01020385
2017-03-17,02007.HK,碧桂园,0.09633640
2017-03-17,02388.HK,中银香港,0.09269881
2017-03-17,00004.HK,九龙仓集团,0.08752822
2017-03-17,00005.HK,汇丰控股,0.08601707
2017-03-17,00914.HK,海螺水泥,0.08463884
2017-03-17,03988.HK,中国银行,0.08349157
2017-03-17,03968.HK,招商银行,0.08252396
2017-03-17,01114.HK,BRILLIANCE CHI,0.08251550
2017-03-17,00017.HK,新世界发展,0.08045368
2017-03-17,01288.HK,农业银行,0.07865241
2017-03-17,01800.HK,中国交通建设,0.07738643
2017-03-17,00175.HK,吉利汽车,0.07440300
2017-03-31,02388.HK,中银香港,0.09266761
2017-03-31,00004.HK,九龙仓集团,0.09004951
2017-03-31,02007.HK,碧桂园,0.08806353
2017-03-31,00005.HK,汇丰控股,0.08579101
2017-03-31,00700.HK,腾讯控股,0.08562774
2017-03-31,00914.HK,海螺水泥,0.08008972
2017-03-31,03968.HK,招商银行,0.07970300
2017-03-31,00175.HK,吉利汽车,0.07965930
2017-03-31,00017.HK,新世界发展,0.07913033
2017-03-31,01288.HK,农业银行,0.07872929
2017-03-31,01128.HK,永利澳门,0.07710788
2017-03-31,01336.HK,新华保险,0.07275223
2017-03-31,CASH,现金,0.01062886
2017-04-13,00005.HK,汇丰控股,0.10189356
2017-04-13,01288.HK,农业银行,0.09342485
2017-04-13,00101.HK,恒隆地产,0.09269711
2017-04-13,02388.HK,中银香港,0.09064071
2017-04-13,00004.HK,九龙仓集团,0.08951906
2017-04-13,01929.HK,周大福,0.08916707
2017-04-13,02007.HK,碧桂园,0.08111099
2017-04-13,00017.HK,新世界发展,0.08101752
2017-04-13,03968.HK,招商银行,0.07867076
2017-04-13,00175.HK,吉利汽车,0.06993363
2017-04-13,01336.HK,新华保险,0.06988210
2017-04-13,02628.HK,中国人寿,0.06628981
2017-04-28,00700.HK,腾讯控股,0.09503549
2017-04-28,02388.HK,中银香港,0.09201230
2017-04-28,00101.HK,恒隆地产,0.09119083
2017-04-28,01929.HK,周大福,0.09116755
2017-04-28,00005.HK,汇丰控股,0.09112998
2017-04-28,00004.HK,九龙仓集团,0.08834854
2017-04-28,00027.HK,银河娱乐,0.08152083
2017-04-28,00016.HK,新鸿基地产,0.08100381
2017-04-28,00017.HK,新世界发展,0.07903786
2017-04-28,02007.HK,碧桂园,0.07770579
2017-04-28,00522.HK,ASMPT,0.07563908
2017-04-28,00175.HK,吉利汽车,0.06923368
2017-05-12,00700.HK,腾讯控股,0.10023506
2017-05-12,00005.HK,汇丰控股,0.09603517
2017-05-12,02388.HK,中银香港,0.09376867
2017-05-12,00004.HK,九龙仓集团,0.08722095
2017-05-12,00939.HK,建设银行,0.08474111
2017-05-12,01093.HK,石药集团,0.08129562
2017-05-12,02007.HK,碧桂园,0.07999203
2017-05-12,00522.HK,ASMPT,0.07856203
2017-05-12,00027.HK,银河娱乐,0.07590703
2017-05-12,00101.HK,恒隆地产,0.07270224
2017-05-12,02382.HK,舜宇光学科技,0.07187759
2017-05-12,02018.HK,瑞声科技,0.06278422
2017-05-12,CASH,现金,0.01487827
2017-05-26,00700.HK,腾讯控股,0.10528440
2017-05-26,02388.HK,中银香港,0.09634758
2017-05-26,00005.HK,汇丰控股,0.09457732
2017-05-26,02628.HK,中国人寿,0.08680646
2017-05-26,00939.HK,建设银行,0.08337884
2017-05-26,01336.HK,新华保险,0.08270934
2017-05-26,02318.HK,中国平安,0.08095220
2017-05-26,01093.HK,石药集团,0.07894722
2017-05-26,01288.HK,农业银行,0.07841401
2017-05-26,00027.HK,银河娱乐,0.07806873
2017-05-26,00066.HK,港铁公司,0.07642284
2017-05-26,00004.HK,九龙仓集团,0.07478499
2017-06-09,00700.HK,腾讯控股,0.10245724
2017-06-09,00005.HK,汇丰控股,0.09374960
2017-06-09,02628.HK,中国人寿,0.08687780
2017-06-09,02388.HK,中银香港,0.08474856
2017-06-09,00027.HK,银河娱乐,0.08349380
2017-06-09,01336.HK,新华保险,0.08311063
2017-06-09,01093.HK,石药集团,0.08243442
2017-06-09,01288.HK,农业银行,0.08230145
2017-06-09,02318.HK,中国平安,0.08218671
