date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2020-01-17,0.04378409,0.04408400,0.04378409,0.00029991,378,biweekly_equal_buffered,False,risk_on,0.21444888,0.00000000,0.00000000,12,54,96,0,0.00000000,0.00000000
2020-01-31,-0.10432728,-0.10423224,-0.10432728,0.00009920,379,biweekly_equal_buffered,False,risk_on,0.17798276,0.00000000,-0.01897722,12,58,96,0,0.00000000,0.00000000
2020-02-14,0.08553193,0.08562195,0.08553193,0.00008417,379,biweekly_equal_buffered,False,caution,0.16308298,0.15000000,0.15281381,12,6,98,0,0.00000000,0.00000000
2020-02-28,-0.05489069,-0.05470464,-0.05489069,0.00018880,380,biweekly_equal_buffered,False,risk_on,0.18161616,0.00000000,0.00796413,12,34,97,0,0.00000000,0.00000000
2020-03-13,-0.03337471,-0.03317466,-0.03337471,0.00019188,380,biweekly_equal_buffered,False,caution,-0.01009971,0.15000000,0.13320645,12,40,98,0,0.00000000,0.00000000
2020-03-27,-0.02301934,-0.02286891,-0.02301934,0.00013947,380,biweekly_equal_buffered,False,caution,0.06156585,0.15000000,0.13102993,12,30,92,0,0.00000000,0.00000000
2020-04-09,0.01698041,0.01717298,0.01698041,0.00017443,381,biweekly_equal_buffered,True,risk_off,-0.00176644,0.40000000,0.35934410,12,25,89,0,0.00000000,0.00000000
2020-04-24,0.00882140,0.00888093,0.00882140,0.00005483,383,biweekly_equal_buffered,True,risk_off,-0.10595073,0.40000000,0.37642740,12,27,95,0,0.00000000,0.00000000
2020-05-08,0.01292092,0.01300615,0.01292092,0.00007921,383,biweekly_equal_buffered,True,risk_off,-0.12165329,0.40000000,0.38276602,12,31,90,0,0.00000000,0.00000000
2020-05-22,-0.00445279,-0.00439512,-0.00445279,0.00005429,383,biweekly_equal_buffered,True,risk_off,-0.03317956,0.40000000,0.38134343,12,52,87,0,0.00000000,0.00000000
2020-06-05,0.06034598,0.06047364,0.06034598,0.00011964,384,biweekly_equal_buffered,False,caution,0.01440552,0.15000000,0.15011276,12,50,87,0,0.00000000,0.00000000
2020-06-19,0.02318966,0.02330209,0.02318966,0.00011172,385,biweekly_equal_buffered,False,risk_on,0.04292077,0.00000000,0.03581195,12,42,92,0,0.00000000,0.00000000
2020-07-03,0.04070315,0.04086410,0.04070315,0.00016364,389,biweekly_equal_buffered,False,caution,-0.04772701,0.15000000,0.14479640,12,49,95,0,0.00000000,0.00000000
2020-07-17,0.00828213,0.00839484,0.00828213,0.00011925,390,biweekly_equal_buffered,False,risk_on,0.00752124,0.00000000,0.02892957,12,59,96,0,0.00000000,0.00000000
2020-07-31,0.08632125,0.08649180,0.08632125,0.00018195,389,biweekly_equal_buffered,False,risk_on,0.03603117,0.00000000,0.01836109,12,58,94,0,0.00000000,0.00000000
2020-08-14,0.00806560,0.00816932,0.00806560,0.00012021,390,biweekly_equal_buffered,False,risk_on,0.14602399,0.00000000,-0.02985063,12,50,94,0,0.00000000,0.00000000
2020-08-28,0.08707560,0.08712418,0.08707560,0.00005676,390,biweekly_equal_buffered,False,risk_on,0.22718427,0.00000000,-0.02587068,12,53,93,0,0.00000000,0.00000000
2020-09-11,-0.05124365,-0.05114147,-0.05124365,0.00012977,390,biweekly_equal_buffered,False,risk_on,0.22292608,0.00000000,-0.01721414,12,53,90,0,0.00000000,0.00000000
2020-09-25,-0.03094782,-0.03089136,-0.03094782,0.00006804,390,biweekly_equal_buffered,False,risk_on,0.18325583,0.00000000,-0.00610828,12,34,88,0,0.00000000,0.00000000
2020-10-09,0.06427053,0.06431675,0.06427053,0.00005396,390,biweekly_equal_buffered,False,risk_on,0.25409560,0.00000000,0.00393817,12,30,89,0,0.00000000,0.00000000
2020-10-23,0.00297771,0.00307849,0.00297771,0.00012524,391,biweekly_equal_buffered,False,risk_on,0.20043481,0.00000000,0.02575757,12,36,92,0,0.00000000,0.00000000
2020-11-06,0.11480471,0.11490279,0.11480471,0.00012224,392,biweekly_equal_buffered,False,risk_on,0.14419969,0.00000000,0.00957495,12,37,91,0,0.00000000,0.00000000
2020-11-20,0.17931313,0.17945908,0.17931313,0.00020280,394,biweekly_equal_buffered,False,risk_on,0.15943643,0.00000000,0.00974812,12,51,93,0,0.00000000,0.00000000
2020-12-04,-0.04163986,-0.04147044,-0.04163986,0.00027761,396,biweekly_equal_buffered,False,risk_on,0.21285626,0.00000000,0.00807765,12,53,94,0,0.00000000,0.00000000
2020-12-18,0.02551244,0.02569991,0.02551244,0.00029441,398,biweekly_equal_buffered,False,risk_on,0.23593336,0.00000000,0.02065021,12,50,92,0,0.00000000,0.00000000
2020-12-31,0.10585633,0.10604635,0.10585633,0.00030603,400,biweekly_equal_buffered,False,risk_on,0.25780044,0.00000000,-0.01814761,12,56,96,0,0.00000000,0.00000000
2021-01-15,0.00425213,0.00440700,0.00425213,0.00027581,402,biweekly_equal_buffered,False,risk_on,0.23681602,0.00000000,-0.00383383,12,46,95,0,0.00000000,0.00000000
2021-01-29,0.02483456,0.02508416,0.02483456,0.00044640,402,biweekly_equal_buffered,False,risk_on,0.21390192,0.00000000,-0.02915093,12,62,96,0,0.00000000,0.00000000
2021-02-11,0.11788422,0.11809662,0.11788422,0.00038932,401,biweekly_equal_buffered,False,risk_on,0.40483685,0.00000000,-0.00398315,12,40,97,0,0.00000000,0.00000000
2021-02-26,-0.16232137,-0.16221339,-0.16232137,0.00022125,402,biweekly_equal_buffered,False,risk_on,0.37972645,0.00000000,-0.00078536,12,60,95,0,0.00000000,0.00000000
2021-03-12,-0.01794098,-0.01788544,-0.01794098,0.00009533,402,biweekly_equal_buffered,False,risk_on,0.44338539,0.00000000,0.01824336,12,24,96,0,0.00000000,0.00000000
2021-03-26,-0.02848646,-0.02834106,-0.02848646,0.00024508,402,biweekly_equal_buffered,False,risk_on,0.69673661,0.00000000,0.01754161,12,31,91,0,0.00000000,0.00000000
2021-04-09,0.00546705,0.00565010,0.00546705,0.00029976,403,biweekly_equal_buffered,False,risk_on,0.75016370,0.00000000,-0.00061738,12,33,93,0,0.00000000,0.00000000
2021-04-23,0.05653039,0.05672379,0.05653039,0.00031845,400,biweekly_equal_buffered,False,risk_on,0.66518539,0.00000000,0.01319539,12,37,88,0,0.00000000,0.00000000
2021-05-07,-0.00937980,-0.00923061,-0.00937980,0.00025954,400,biweekly_equal_buffered,False,risk_on,0.64944899,0.00000000,-0.03632536,12,42,87,0,0.00000000,0.00000000
2021-05-21,-0.01299101,-0.01273795,-0.01299101,0.00043611,401,biweekly_equal_buffered,False,risk_on,0.64812384,0.00000000,-0.01434021,12,49,89,0,0.00000000,0.00000000
2021-06-04,0.06814226,0.06838679,0.06814226,0.00041593,401,biweekly_equal_buffered,False,risk_on,0.75508031,0.00000000,0.00927430,12,48,89,0,0.00000000,0.00000000
2021-06-18,0.03157116,0.03182746,0.03157116,0.00046566,400,biweekly_equal_buffered,False,risk_on,0.59521985,0.00000000,0.00643798,12,49,90,0,0.00000000,0.00000000
2021-07-02,0.00703814,0.00718012,0.00703814,0.00026612,401,biweekly_equal_buffered,False,risk_on,0.58853478,0.00000000,0.00744889,12,51,90,0,0.00000000,0.00000000
2021-07-16,0.01729847,0.01752772,0.01729847,0.00043269,402,biweekly_equal_buffered,False,risk_on,0.55471734,0.00000000,-0.02244842,12,39,88,0,0.00000000,0.00000000
2021-07-30,-0.06310219,-0.06290105,-0.06310219,0.00038619,404,biweekly_equal_buffered,False,risk_on,0.50542750,0.00000000,0.01131706,12,46,90,0,0.00000000,0.00000000
2021-08-13,0.06880570,0.06897555,0.06880570,0.00030554,403,biweekly_equal_buffered,False,risk_on,0.49590755,0.00000000,0.00509763,12,19,91,0,0.00000000,0.00000000
2021-08-27,-0.02071435,-0.02047391,-0.02071435,0.00046228,405,biweekly_equal_buffered,False,risk_on,0.45608602,0.00000000,-0.00043478,12,35,91,0,0.00000000,0.00000000
2021-09-10,0.07992802,0.08012792,0.07992802,0.00037638,405,biweekly_equal_buffered,False,risk_on,0.35799868,0.00000000,-0.01912705,12,36,93,0,0.00000000,0.00000000
2021-09-24,-0.07916959,-0.07896856,-0.07916959,0.00040876,407,biweekly_equal_buffered,False,risk_on,0.44086967,0.00000000,0.01419530,12,48,95,0,0.00000000,0.00000000
2021-10-08,-0.07383486,-0.07364506,-0.07383486,0.00035538,407,biweekly_equal_buffered,False,risk_on,0.46628070,0.00000000,0.01660451,12,39,91,0,0.00000000,0.00000000
2021-10-22,0.00080645,0.00105707,0.00080645,0.00043460,409,biweekly_equal_buffered,False,risk_on,0.48514224,0.00000000,-0.01392313,12,27,88,0,0.00000000,0.00000000
