date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-11-23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-07,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-01-18,0.48961259,0.97922518,0.51418847,0.49600034,0.00030306,0.00015426,0.00014880,0.00000000,rebalance
2021-02-01,0.08570849,0.17141699,0.07069446,0.10007457,0.00005123,0.00002121,0.00003002,0.00000000,rebalance
2021-02-16,0.16725250,0.33450499,0.17564404,0.16978367,0.00010363,0.00005269,0.00005094,0.00000000,rebalance
2021-03-01,0.17302387,0.34604775,0.18410131,0.17941892,0.00010906,0.00005523,0.00005383,0.00000000,rebalance
2021-03-15,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-03-29,0.00609717,0.01219435,0.01356448,0.00000000,0.00000407,0.00000407,0.00000000,0.00000000,rebalance
2021-04-12,0.08429209,0.16858419,0.08391686,0.10105496,0.00005549,0.00002518,0.00003032,0.00000000,rebalance
2021-04-26,0.15652171,0.31304343,0.16620083,0.17779322,0.00010320,0.00004986,0.00005334,0.00000000,rebalance
2021-05-10,0.17357697,0.34715393,0.21273163,0.18166496,0.00011832,0.00006382,0.00005450,0.00000000,rebalance
2021-05-24,0.09764654,0.19529308,0.10134638,0.11890552,0.00006608,0.00003040,0.00003567,0.00000000,rebalance
2021-06-07,0.51109238,1.02218476,0.57633745,0.59344904,0.00035094,0.00017290,0.00017803,0.00000000,rebalance
2021-06-21,0.48626098,0.97252195,0.55297984,0.53735690,0.00032710,0.00016589,0.00016121,0.00000000,rebalance
2021-07-05,0.26040654,0.52081308,0.29824569,0.29398525,0.00017767,0.00008947,0.00008820,0.00000000,rebalance
