date,portfolio_return,nav,drawdown,trading_cost
2026-01-12,0.00000000,1.00000000,0.00000000,0.00000000
2026-01-23,0.02597623,1.02597623,0.00000000,0.00029991
2026-02-06,-0.03949124,0.98545917,-0.03949124,0.00019789
2026-02-20,0.04095510,1.02581875,-0.00015350,0.00025759
2026-03-06,-0.02385976,1.00134296,-0.02400960,0.00014839
2026-03-20,-0.04874711,0.95253038,-0.07158631,0.00018669
2026-04-02,-0.01080940,0.94223409,-0.08162191,0.00005531
2026-04-17,0.02651151,0.96721414,-0.05727432,0.00014604
2026-04-30,0.00879502,0.97572081,-0.04898303,0.00004352
2026-05-15,-0.03142306,0.94506068,-0.07886689,0.00022838
