date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2020-01-17,0.02683673,0.02713664,0.02683673,0.00029991,378,biweekly_moderate,False,risk_on,0.21444888,0.00000000,0.00000000,14,48,89,0,0.00000000,0.00000000
2020-01-31,-0.10593846,-0.10583319,-0.10593846,0.00010809,379,biweekly_moderate,False,risk_on,0.17798276,0.00000000,-0.00175363,14,53,89,0,0.00000000,0.00000000
2020-02-14,0.06628885,0.06637188,0.06628885,0.00007623,379,biweekly_moderate,False,caution,0.16308298,0.20000000,0.18300534,14,6,93,0,0.00000000,0.00000000
2020-02-28,-0.04348319,-0.04334180,-0.04348319,0.00013841,380,biweekly_moderate,False,risk_on,0.18161616,0.00000000,0.03114272,14,30,94,0,0.00000000,0.00000000
2020-03-13,-0.03262179,-0.03251623,-0.03262179,0.00009885,380,biweekly_moderate,False,caution,-0.01009971,0.20000000,0.17166948,14,35,93,0,0.00000000,0.00000000
2020-03-27,-0.00951815,-0.00943878,-0.00951815,0.00007189,380,biweekly_moderate,False,caution,0.06156585,0.20000000,0.16951008,14,29,89,0,0.00000000,0.00000000
2020-04-09,0.00940925,0.00954430,0.00940925,0.00012117,381,biweekly_moderate,True,risk_off,-0.00176644,0.50000000,0.44045984,14,24,86,0,0.00000000,0.00000000
2020-04-24,-0.00088369,-0.00086916,-0.00088369,0.00001315,383,biweekly_moderate,True,risk_off,-0.10595073,0.50000000,0.44545340,14,26,90,0,0.00000000,0.00000000
2020-05-08,0.01377590,0.01380406,0.01377590,0.00002548,383,biweekly_moderate,True,risk_off,-0.12165329,0.50000000,0.44615544,14,29,89,0,0.00000000,0.00000000
2020-05-22,-0.01099881,-0.01095569,-0.01099881,0.00003956,383,biweekly_moderate,True,risk_off,-0.03317956,0.50000000,0.45315805,14,49,84,0,0.00000000,0.00000000
2020-06-05,0.06179235,0.06189492,0.06179235,0.00009305,384,biweekly_moderate,False,caution,0.01440552,0.20000000,0.18255585,14,46,81,0,0.00000000,0.00000000
2020-06-19,0.00819200,0.00832355,0.00819200,0.00012672,385,biweekly_moderate,False,risk_on,0.04292077,0.00000000,0.02780528,14,40,87,0,0.00000000,0.00000000
2020-07-03,0.05895037,0.05909944,0.05895037,0.00014477,389,biweekly_moderate,False,caution,-0.04772701,0.20000000,0.19057818,14,45,90,0,0.00000000,0.00000000
2020-07-17,-0.01057250,-0.01048224,-0.01057250,0.00009282,390,biweekly_moderate,False,risk_on,0.00752124,0.00000000,0.03711554,14,53,93,0,0.00000000,0.00000000
2020-07-31,-0.00733454,-0.00729551,-0.00733454,0.00003971,389,biweekly_moderate,False,risk_on,0.03603117,0.00000000,-0.00283291,14,54,91,0,0.00000000,0.00000000
2020-08-14,-0.00116017,-0.00105696,-0.00116017,0.00010425,390,biweekly_moderate,False,risk_on,0.14602399,0.00000000,0.01738808,14,47,89,0,0.00000000,0.00000000
2020-08-28,0.06825134,0.06832625,0.06825134,0.00007558,390,biweekly_moderate,False,risk_on,0.22718427,0.00000000,0.01903735,14,50,89,0,0.00000000,0.00000000
2020-09-11,-0.04177411,-0.04174669,-0.04177411,0.00002955,390,biweekly_moderate,False,risk_on,0.22292608,0.00000000,0.00384471,14,48,87,0,0.00000000,0.00000000
2020-09-25,-0.03276371,-0.03265466,-0.03276371,0.00011262,390,biweekly_moderate,False,risk_on,0.18325583,0.00000000,0.01244632,14,34,86,0,0.00000000,0.00000000
2020-10-09,0.06802735,0.06808759,0.06802735,0.00006017,390,biweekly_moderate,False,risk_on,0.25409560,0.00000000,0.00841174,14,30,85,0,0.00000000,0.00000000
2020-10-23,0.01474490,0.01482544,0.01474490,0.00008593,391,biweekly_moderate,False,risk_on,0.20043481,0.00000000,0.01430094,14,33,87,0,0.00000000,0.00000000
2020-11-06,0.09482748,0.09493243,0.09482748,0.00011361,392,biweekly_moderate,False,risk_on,0.14419969,0.00000000,-0.01646267,14,33,89,0,0.00000000,0.00000000
2020-11-20,0.13274969,0.13285010,0.13274969,0.00011901,394,biweekly_moderate,False,risk_on,0.15943643,0.00000000,-0.02380258,14,46,92,0,0.00000000,0.00000000
2020-12-04,-0.01876842,-0.01865406,-0.01876842,0.00015353,396,biweekly_moderate,False,risk_on,0.21285626,0.00000000,0.02077855,14,48,88,0,0.00000000,0.00000000
2020-12-18,0.02362832,0.02371780,0.02362832,0.00011787,398,biweekly_moderate,False,risk_on,0.23593336,0.00000000,-0.01507664,14,46,90,0,0.00000000,0.00000000
2020-12-31,0.06974699,0.06981081,0.06974699,0.00008606,400,biweekly_moderate,False,risk_on,0.25780044,0.00000000,-0.00019451,14,52,91,0,0.00000000,0.00000000
2021-01-15,0.06922120,0.06930900,0.06922120,0.00012665,402,biweekly_moderate,False,risk_on,0.23681602,0.00000000,-0.02885787,14,43,90,0,0.00000000,0.00000000
2021-01-29,0.01942403,0.01951866,0.01942403,0.00014595,402,biweekly_moderate,False,risk_on,0.21390192,0.00000000,-0.03245692,14,58,93,0,0.00000000,0.00000000
