date,ts_code,name,weight
2023-01-27,00941.HK,中国移动,0.09282474
2023-01-27,01398.HK,工商银行,0.08594409
2023-01-27,00005.HK,汇丰控股,0.08280529
2023-01-27,00857.HK,中国石油股份,0.07852651
2023-01-27,01288.HK,农业银行,0.07591472
2023-01-27,03988.HK,中国银行,0.07450158
2023-01-27,00883.HK,中国海洋石油,0.07099342
2023-01-27,00939.HK,建设银行,0.07003881
2023-01-27,02628.HK,中国人寿,0.06789101
2023-01-27,00386.HK,中国石油化工股份,0.06593843
2023-01-27,00728.HK,中国电信,0.06310687
2023-01-27,01088.HK,中国神华,0.06106915
2023-01-27,02318.HK,中国平安,0.05692851
2023-01-27,01299.HK,友邦保险,0.05351687
2023-02-10,00941.HK,中国移动,0.09663503
2023-02-10,00005.HK,汇丰控股,0.08590350
2023-02-10,01398.HK,工商银行,0.08376274
2023-02-10,00857.HK,中国石油股份,0.07965854
2023-02-10,01288.HK,农业银行,0.07581336
2023-02-10,03988.HK,中国银行,0.07457466
2023-02-10,00883.HK,中国海洋石油,0.07141589
2023-02-10,00939.HK,建设银行,0.06854097
2023-02-10,00386.HK,中国石油化工股份,0.06656174
2023-02-10,00728.HK,中国电信,0.06636119
2023-02-10,02628.HK,中国人寿,0.06315581
2023-02-10,01088.HK,中国神华,0.05973805
2023-02-10,00016.HK,新鸿基地产,0.05464790
2023-02-10,02318.HK,中国平安,0.05358628
2023-02-24,00005.HK,汇丰控股,0.09940011
2023-02-24,00941.HK,中国移动,0.09823189
2023-02-24,01398.HK,工商银行,0.08247126
2023-02-24,00857.HK,中国石油股份,0.07979778
2023-02-24,01288.HK,农业银行,0.07541938
2023-02-24,03988.HK,中国银行,0.07361805
2023-02-24,00883.HK,中国海洋石油,0.07185282
2023-02-24,00728.HK,中国电信,0.06761820
2023-02-24,00939.HK,建设银行,0.06717562
2023-02-24,00386.HK,中国石油化工股份,0.06560264
2023-02-24,02628.HK,中国人寿,0.06263991
2023-02-24,01088.HK,中国神华,0.06094726
2023-02-24,00762.HK,中国联通,0.05325893
2023-02-24,00016.HK,新鸿基地产,0.05284090
2023-03-10,00941.HK,中国移动,0.10289118
2023-03-10,00005.HK,汇丰控股,0.09775456
2023-03-10,01398.HK,工商银行,0.08214964
2023-03-10,00857.HK,中国石油股份,0.08194329
2023-03-10,01288.HK,农业银行,0.07382625
2023-03-10,03988.HK,中国银行,0.07206297
2023-03-10,00728.HK,中国电信,0.07155162
2023-03-10,00386.HK,中国石油化工股份,0.07051609
2023-03-10,00883.HK,中国海洋石油,0.07047684
2023-03-10,00939.HK,建设银行,0.06591546
2023-03-10,01088.HK,中国神华,0.05992578
2023-03-10,02628.HK,中国人寿,0.05894701
2023-03-10,00762.HK,中国联通,0.05283707
2023-03-10,00016.HK,新鸿基地产,0.04984727
2023-03-24,00941.HK,中国移动,0.10276232
2023-03-24,00005.HK,汇丰控股,0.08948723
2023-03-24,01398.HK,工商银行,0.08461555
