date,portfolio_return,nav,drawdown,trading_cost
2017-01-09,0.00000000,1.00000000,0.00000000,0.00000000
2017-01-20,0.00759517,1.00759517,0.00000000,0.00029440
2017-02-03,0.00762869,1.01528181,0.00000000,0.00009851
2017-02-17,0.06570416,1.08199005,0.00000000,0.00028001
2017-03-03,-0.02507598,1.05485809,-0.02507598,0.00002115
2017-03-17,0.04235287,1.09953435,0.00000000,0.00004468
2017-03-31,-0.01258204,1.08569997,-0.01258204,0.00001074
2017-04-13,-0.00147783,1.08409549,-0.01404127,0.00002431
2017-04-28,0.01564417,1.10105526,0.00000000,0.00003281
2017-05-12,0.02589715,1.12956945,0.00000000,0.00001405
2017-05-26,0.04041202,1.17521763,0.00000000,0.00001443
2017-06-09,0.00481870,1.18088065,0.00000000,0.00004284
2017-06-23,0.00317735,1.18463272,0.00000000,0.00002587
2017-07-07,0.02298848,1.21186562,0.00000000,0.00002110
2017-07-21,0.06287195,1.28805797,0.00000000,0.00010743
2017-08-04,0.04292224,1.34334430,0.00000000,0.00003924
2017-08-18,-0.01868441,1.31824471,-0.01868441,0.00004738
2017-09-01,0.03994645,1.37090391,0.00000000,0.00000000
2017-09-15,-0.00743826,1.36070676,-0.00743826,0.00005655
2017-09-29,-0.01236733,1.34387845,-0.01971360,0.00003864
2017-10-13,0.05220868,1.41404058,0.00000000,0.00004962
2017-10-27,0.00630077,1.42295012,0.00000000,0.00003549
2017-11-10,0.01544183,1.44492308,0.00000000,0.00002936
2017-11-24,0.03636357,1.49746565,0.00000000,0.00009292
2017-12-08,-0.04526206,1.42968726,-0.04526206,0.00004215
2017-12-22,0.03980933,1.48660215,-0.00725459,0.00004612
2018-01-05,0.04735400,1.55699871,0.00000000,0.00002244
2018-01-19,0.07993218,1.68145301,0.00000000,0.00004643
2018-02-02,0.02259668,1.71944827,0.00000000,0.00004341
2018-02-15,-0.04763356,1.63754483,-0.04763356,0.00004377
2018-03-02,-0.03497866,1.58026570,-0.08094606,0.00000000
2018-03-16,0.04324135,1.64859852,-0.04120493,0.00008588
2018-03-29,-0.06139778,1.54737823,-0.10007282,0.00002817
2018-04-13,0.02192925,1.58131107,-0.08033810,0.00003451
2018-04-27,-0.02127675,1.54766591,-0.09990551,0.00005959
2018-05-11,0.02905122,1.59262750,-0.07375666,0.00006463
2018-05-25,-0.01077362,1.57546914,-0.08373566,0.00011004
2018-06-08,0.01140994,1.59344515,-0.07328114,0.00003373
2018-06-22,-0.06134326,1.49569803,-0.13012909,0.00005212
2018-07-06,-0.02895556,1.45238926,-0.15531669,0.00001651
2018-07-20,0.01743384,1.47770998,-0.14059062,0.00010686
2018-08-03,-0.00446996,1.47110468,-0.14443214,0.00001884
2018-08-17,-0.01748345,1.44538469,-0.15939042,0.00004845
2018-08-31,0.02955670,1.48810549,-0.13454478,0.00007647
2018-09-14,-0.01255582,1.46942111,-0.14541127,0.00008175
2018-09-28,0.03234615,1.51695122,-0.11776862,0.00009879
2018-10-12,-0.05195933,1.43813145,-0.16360877,0.00003077
