date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-02-01,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-02-16,0.74293315,1.48586631,0.78664582,0.78711795,0.00047213,0.00023599,0.00023614,0.00000000,rebalance
2021-03-01,0.30141881,0.60283762,0.32519570,0.30252522,0.00018832,0.00009756,0.00009076,0.00000000,rebalance
2021-03-15,0.04025105,0.08050211,0.04127453,0.04825342,0.00002686,0.00001238,0.00001448,0.00000000,rebalance
2021-03-29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-04-12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-04-26,0.01190234,0.02380467,0.01340715,0.01220135,0.00000768,0.00000402,0.00000366,0.00000000,rebalance
2021-05-10,0.07510067,0.15020133,0.09181475,0.07174854,0.00004907,0.00002754,0.00002152,0.00000000,rebalance
2021-05-24,0.00922655,0.01845310,0.00000000,0.01992265,0.00000598,0.00000000,0.00000598,0.00000000,rebalance
2021-06-07,0.15613782,0.31227564,0.16919935,0.17212142,0.00010240,0.00005076,0.00005164,0.00000000,rebalance
2021-06-21,0.03478838,0.06957676,0.02504538,0.04950110,0.00002236,0.00000751,0.00001485,0.00000000,rebalance
2021-07-05,0.08733398,0.17466796,0.08093517,0.10772845,0.00005660,0.00002428,0.00003232,0.00000000,rebalance
2021-07-19,0.05665530,0.11331060,0.06949544,0.05153517,0.00003631,0.00002085,0.00001546,0.00000000,rebalance
2021-08-02,0.09664627,0.19329255,0.10749449,0.09505078,0.00006076,0.00003225,0.00002852,0.00000000,rebalance
2021-08-16,0.04229043,0.08458085,0.04578527,0.04506731,0.00002726,0.00001374,0.00001352,0.00000000,rebalance
2021-08-30,0.06621983,0.13243967,0.06137834,0.07762282,0.00004170,0.00001841,0.00002329,0.00000000,rebalance
2021-09-13,0.08680748,0.17361495,0.09959882,0.09154240,0.00005734,0.00002988,0.00002746,0.00000000,rebalance
2021-09-27,0.08251027,0.16502054,0.07688996,0.09460258,0.00005145,0.00002307,0.00002838,0.00000000,rebalance
2021-10-11,0.03671565,0.07343129,0.05144604,0.02800095,0.00002383,0.00001543,0.00000840,0.00000000,rebalance
2021-10-25,0.08607032,0.17214064,0.09977987,0.08750576,0.00005619,0.00002993,0.00002625,0.00000000,rebalance
2021-11-08,0.07105715,0.14211429,0.07916116,0.07039764,0.00004487,0.00002375,0.00002112,0.00000000,rebalance
2021-11-22,0.01755268,0.03510537,0.01173917,0.02508621,0.00001105,0.00000352,0.00000753,0.00000000,rebalance
2021-12-06,0.01184752,0.02369504,0.02475026,0.00000000,0.00000743,0.00000743,0.00000000,0.00000000,rebalance
2021-12-20,0.01317184,0.02634369,0.00000000,0.02700848,0.00000810,0.00000000,0.00000810,0.00000000,rebalance
2022-01-03,0.19994580,0.39989161,0.10501929,0.31282643,0.00012535,0.00003151,0.00009385,0.00000000,rebalance
2022-01-17,0.05828391,0.11656782,0.06190629,0.06769988,0.00003888,0.00001857,0.00002031,0.00000000,rebalance
2022-01-31,0.00502602,0.01005204,0.00000000,0.01130094,0.00000339,0.00000000,0.00000339,0.00000000,rebalance
2022-02-14,0.05908927,0.11817855,0.06442392,0.07390976,0.00004150,0.00001933,0.00002217,0.00000000,rebalance
2022-02-28,0.06032801,0.12065603,0.06704475,0.06867331,0.00004072,0.00002011,0.00002060,0.00000000,rebalance
2022-03-14,0.02773652,0.05547305,0.03089359,0.02882505,0.00001792,0.00000927,0.00000865,0.00000000,rebalance
2022-03-28,0.01260393,0.02520785,0.01549771,0.01295744,0.00000854,0.00000465,0.00000389,0.00000000,rebalance
2022-04-11,0.10410384,0.20820768,0.00000000,0.23759893,0.00007128,0.00000000,0.00007128,0.00000000,rebalance
2022-04-25,0.02639766,0.05279532,0.01498952,0.04339158,0.00001751,0.00000450,0.00001302,0.00000000,rebalance
2022-05-10,0.00750060,0.01500120,0.01641848,0.00000000,0.00000493,0.00000493,0.00000000,0.00000000,rebalance
2022-05-23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-06-06,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-06-20,0.00826995,0.01653989,0.00000000,0.01842989,0.00000553,0.00000000,0.00000553,0.00000000,rebalance
2022-07-04,0.12474524,0.24949048,0.26988523,0.01605043,0.00008578,0.00008097,0.00000482,0.00000000,rebalance
2022-07-18,0.15010187,0.30020374,0.04808766,0.29170896,0.00010194,0.00001443,0.00008751,0.00000000,rebalance
2022-08-01,0.13819188,0.27638375,0.28171688,0.03106567,0.00009383,0.00008452,0.00000932,0.00000000,rebalance
2022-08-15,0.13035296,0.26070591,0.01964139,0.27442657,0.00008822,0.00000589,0.00008233,0.00000000,rebalance
2022-08-29,0.12789780,0.25579560,0.26440289,0.02506186,0.00008684,0.00007932,0.00000752,0.00000000,rebalance
2022-09-13,0.11430815,0.22861630,0.00000000,0.26044412,0.00007813,0.00000000,0.00007813,0.00000000,rebalance
2022-09-26,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-10-10,0.00788576,0.01577151,0.00000000,0.01740186,0.00000522,0.00000000,0.00000522,0.00000000,rebalance
2022-10-24,0.00607682,0.01215364,0.01320330,0.00000000,0.00000396,0.00000396,0.00000000,0.00000000,rebalance
2022-11-07,0.03182669,0.06365338,0.03866223,0.03085442,0.00002085,0.00001160,0.00000926,0.00000000,rebalance
2022-11-21,0.12483443,0.24966887,0.27626218,0.00000000,0.00008288,0.00008288,0.00000000,0.00000000,rebalance
2022-12-05,0.02500820,0.05001639,0.02503610,0.03285036,0.00001737,0.00000751,0.00000986,0.00000000,rebalance
2022-12-19,0.02858006,0.05716011,0.02727235,0.03825324,0.00001966,0.00000818,0.00001148,0.00000000,rebalance
2023-01-03,0.01359496,0.02718992,0.03221528,0.00000000,0.00000966,0.00000966,0.00000000,0.00000000,rebalance
2023-01-16,0.08898166,0.17796332,0.19483860,0.02667560,0.00006645,0.00005845,0.00000800,0.00000000,rebalance
2023-01-30,0.01321677,0.02643354,0.03361682,0.00000000,0.00001009,0.00001009,0.00000000,0.00000000,rebalance
2023-02-13,0.05117725,0.10235450,0.06271611,0.06471013,0.00003823,0.00001881,0.00001941,0.00000000,rebalance
2023-02-27,0.00555012,0.01110024,0.01369218,0.00000000,0.00000411,0.00000411,0.00000000,0.00000000,rebalance
2023-03-13,0.02887585,0.05775171,0.03911957,0.03661616,0.00002272,0.00001174,0.00001098,0.00000000,rebalance
2023-03-27,0.02547821,0.05095643,0.01906463,0.04557763,0.00001939,0.00000572,0.00001367,0.00000000,rebalance
2023-04-11,0.13130814,0.26261627,0.21257883,0.13636528,0.00010468,0.00006377,0.00004091,0.00000000,rebalance
2023-04-24,0.11827462,0.23654924,0.12234783,0.19474065,0.00009513,0.00003670,0.00005842,0.00000000,rebalance
2023-05-08,0.04645361,0.09290721,0.08032238,0.05235977,0.00003980,0.00002410,0.00001571,0.00000000,rebalance
