date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2023-01-27,0.03554632,0.03584623,0.03554632,0.00029991,443,biweekly_lowvol,False,risk_on,0.01276661,0.00000000,0.00000000,14,51,89,0,0.00000000,0.00000000
2023-02-10,-0.03288008,-0.03287664,-0.03288008,0.00000356,444,biweekly_lowvol,False,risk_on,0.07716415,0.00000000,-0.01188155,14,49,91,0,0.00000000,0.00000000
2023-02-24,-0.00148243,-0.00145264,-0.00148243,0.00002983,444,biweekly_lowvol,False,risk_on,0.10329230,0.00000000,0.00868931,14,45,86,0,0.00000000,0.00000000
2023-03-10,0.02211173,0.02211173,0.02211173,0.00000000,445,biweekly_lowvol,False,risk_on,0.19407151,0.00000000,0.00868931,14,41,90,0,0.00000000,0.00000000
2023-03-24,0.00825567,0.00827355,0.00825567,0.00001827,447,biweekly_lowvol,False,risk_on,0.25734656,0.00000000,0.00693227,14,23,89,0,0.00000000,0.00000000
2023-04-06,0.03018233,0.03019743,0.03018233,0.00001556,447,biweekly_lowvol,False,risk_on,0.18548065,0.00000000,0.02814801,14,34,92,0,0.00000000,0.00000000
2023-04-21,0.01830795,0.01838824,0.01830795,0.00008524,448,biweekly_lowvol,False,risk_on,0.09531327,0.00000000,-0.02937129,14,51,96,0,0.00000000,0.00000000
2023-05-05,0.02798884,0.02805952,0.02798884,0.00007641,448,biweekly_lowvol,False,risk_on,0.17135922,0.00000000,0.02876799,14,56,93,0,0.00000000,0.00000000
2023-05-19,-0.01167795,-0.01164918,-0.01167795,0.00003198,448,biweekly_lowvol,False,risk_on,0.22146731,0.00000000,0.00631747,14,53,98,0,0.00000000,0.00000000
2023-06-02,-0.03963606,-0.03962672,-0.03963606,0.00001025,449,biweekly_lowvol,False,risk_on,0.18221586,0.00000000,0.00089564,14,43,93,0,0.00000000,0.00000000
2023-06-16,0.03526821,0.03527968,0.03526821,0.00001210,449,biweekly_lowvol,False,risk_on,0.15422629,0.00000000,-0.00051087,14,13,92,0,0.00000000,0.00000000
2023-06-30,-0.01232667,-0.01224081,-0.01232667,0.00009376,449,biweekly_lowvol,False,risk_on,0.08509564,0.00000000,-0.03784354,14,29,95,0,0.00000000,0.00000000
2023-07-14,0.03765144,0.03773819,0.03765144,0.00009357,449,biweekly_lowvol,False,caution,-0.00444392,0.20000000,0.21251552,14,41,96,0,0.00000000,0.00000000
2023-07-28,0.00614013,0.00614013,0.00614013,0.00000000,451,biweekly_lowvol,False,risk_on,0.09749563,0.00000000,0.21251552,14,54,99,0,0.00000000,0.00000000
2023-08-11,-0.01581615,-0.01574324,-0.01581615,0.00008210,452,biweekly_lowvol,False,risk_on,0.07869138,0.00000000,0.03346537,14,57,94,0,0.00000000,0.00000000
2023-08-25,-0.03572736,-0.03570968,-0.03572736,0.00001960,452,biweekly_lowvol,False,risk_on,0.11075809,0.00000000,0.02498090,14,47,97,0,0.00000000,0.00000000
2023-09-08,0.04443024,0.04448324,0.04443024,0.00005664,453,biweekly_lowvol,False,caution,0.15676539,0.20000000,0.17821238,14,29,95,0,0.00000000,0.00000000
2023-10-06,-0.02713603,-0.02712801,-0.02713603,0.00000896,454,biweekly_lowvol,False,caution,0.15993138,0.20000000,0.20806755,14,26,91,0,0.00000000,0.00000000
2023-10-20,-0.00355440,-0.00354706,-0.00355440,0.00000797,457,biweekly_lowvol,False,caution,0.23785242,0.20000000,0.20355391,14,29,84,0,0.00000000,0.00000000
2023-11-03,-0.00212795,-0.00211892,-0.00212795,0.00000977,457,biweekly_lowvol,False,caution,0.27069074,0.20000000,0.20413952,14,27,86,0,0.00000000,0.00000000
2023-11-17,0.00192877,0.00193981,0.00192877,0.00001192,457,biweekly_lowvol,False,caution,0.21177024,0.20000000,0.19010246,14,27,90,0,0.00000000,0.00000000
2023-12-01,-0.00034724,-0.00033451,-0.00034724,0.00001377,459,biweekly_lowvol,False,caution,0.06454024,0.20000000,0.19375066,14,30,92,0,0.00000000,0.00000000
2023-12-15,0.00042466,0.00042466,0.00042466,0.00000000,459,biweekly_lowvol,False,caution,0.05625807,0.20000000,0.19375066,14,41,87,0,0.00000000,0.00000000
2023-12-29,0.01713123,0.01713527,0.01713123,0.00000437,461,biweekly_lowvol,False,caution,0.00307696,0.20000000,0.20831288,14,42,85,0,0.00000000,0.00000000
2024-01-12,-0.00690427,-0.00688154,-0.00690427,0.00002501,462,biweekly_lowvol,False,caution,-0.00930340,0.20000000,0.22942235,14,37,84,0,0.00000000,0.00000000
2024-01-26,0.01887071,0.01894402,0.01887071,0.00008011,466,biweekly_lowvol,True,risk_off,-0.09200434,0.45000000,0.46487015,14,38,89,0,0.00000000,0.00000000
2024-02-09,0.00032532,0.00032842,0.00032532,0.00000345,466,biweekly_lowvol,True,risk_off,-0.10318586,0.45000000,0.47638001,14,43,93,0,0.00000000,0.00000000
