date,ts_code,name,weight
2025-01-24,01398.HK,工商银行,0.15588003
2025-01-24,01288.HK,农业银行,0.12048915
2025-01-24,00939.HK,建设银行,0.11288929
2025-01-24,00005.HK,汇丰控股,0.10741506
2025-01-24,03988.HK,中国银行,0.10121305
2025-01-24,00941.HK,中国移动,0.09043629
2025-01-24,03968.HK,招商银行,0.06309327
2025-01-24,01810.HK,小米集团-W,0.05366110
2025-01-24,00883.HK,中国海洋石油,0.04798008
2025-01-24,00728.HK,中国电信,0.03492001
2025-01-24,01658.HK,邮储银行,0.03315615
2025-01-24,00386.HK,中国石油化工股份,0.02957659
2025-01-24,03328.HK,交通银行,0.02731516
2025-01-24,00998.HK,中信银行,0.02197477
2025-02-07,01398.HK,工商银行,0.15582732
2025-02-07,01288.HK,农业银行,0.11725942
2025-02-07,00939.HK,建设银行,0.10942944
2025-02-07,00005.HK,汇丰控股,0.10727583
2025-02-07,03988.HK,中国银行,0.10046184
2025-02-07,00941.HK,中国移动,0.08845550
2025-02-07,03968.HK,招商银行,0.06133194
2025-02-07,01810.HK,小米集团-W,0.06030175
2025-02-07,00883.HK,中国海洋石油,0.04731198
2025-02-07,01211.HK,比亚迪股份,0.03791356
2025-02-07,00728.HK,中国电信,0.03609737
2025-02-07,01658.HK,邮储银行,0.03165144
2025-02-07,00386.HK,中国石油化工股份,0.02925853
2025-02-07,03328.HK,交通银行,0.02734047
2025-02-21,00700.HK,腾讯控股,0.17416138
2025-02-21,01398.HK,工商银行,0.12487602
2025-02-21,01288.HK,农业银行,0.08969072
2025-02-21,00005.HK,汇丰控股,0.08677470
2025-02-21,00939.HK,建设银行,0.08408407
2025-02-21,03988.HK,中国银行,0.07747851
2025-02-21,01810.HK,小米集团-W,0.06660614
2025-02-21,00941.HK,中国移动,0.06602744
2025-02-21,03968.HK,招商银行,0.04696502
2025-02-21,00728.HK,中国电信,0.04271782
2025-02-21,01211.HK,比亚迪股份,0.04088662
2025-02-21,02628.HK,中国人寿,0.03910152
2025-02-21,03690.HK,美团-W,0.03711488
2025-02-21,00883.HK,中国海洋石油,0.02828802
2025-03-07,00700.HK,腾讯控股,0.17613585
2025-03-07,01398.HK,工商银行,0.10706236
2025-03-07,01288.HK,农业银行,0.09058327
