date,portfolio_return,nav,drawdown,trading_cost
2017-02-01,0.00000000,1.00000000,0.00000000,0.00000000
2017-02-28,0.05487613,1.05487613,0.00000000,0.00029991
2017-03-31,0.02086672,1.07688794,0.00000000,0.00019364
2017-04-28,0.01231036,1.09014481,0.00000000,0.00015845
2017-05-31,0.07617618,1.17318788,0.00000000,0.00010876
2017-06-30,0.01950838,1.19607487,0.00000000,0.00007308
2017-07-31,0.09050019,1.30431987,0.00000000,0.00013593
2017-08-31,0.04034941,1.35694841,0.00000000,0.00009266
2017-09-29,-0.00145324,1.35497644,-0.00145324,0.00005209
2017-10-31,0.03667823,1.40467457,0.00000000,0.00007226
2017-11-30,0.04311878,1.46524243,0.00000000,0.00004409
2017-12-29,0.00817897,1.47722661,0.00000000,0.00013163
2018-01-31,0.14062134,1.68495620,0.00000000,0.00008821
2018-02-28,-0.07467651,1.55912955,-0.07467651,0.00026061
2018-03-29,-0.01205525,1.54033386,-0.08583151,0.00004960
2018-04-30,0.01902942,1.56964552,-0.06843542,0.00019238
2018-05-31,-0.01487519,1.54629675,-0.08229261,0.00019430
2018-06-29,-0.03139636,1.49774867,-0.11110528,0.00019013
2018-07-31,0.01942842,1.52684756,-0.09383546,0.00017975
2018-08-31,-0.00858717,1.51373626,-0.10161685,0.00027862
2018-09-28,0.01864779,1.54196409,-0.08486399,0.00014980
2018-10-31,-0.06597486,1.44023323,-0.14523996,0.00021711
2018-11-30,0.02337120,1.47389321,-0.12526319,0.00000000
2018-12-31,0.01552742,1.49677897,-0.11168078,0.00032005
2019-01-31,0.00000000,1.49677897,-0.11168078,0.00000000
2019-02-28,0.00000000,1.49677897,-0.11168078,0.00000000
2019-03-29,-0.00470933,1.48973015,-0.11586417,0.00031426
2019-04-30,-0.01550193,1.46663646,-0.12956998,0.00026064
2019-05-31,-0.06701426,1.36835091,-0.18790120,0.00022958
2019-06-28,0.07000128,1.46413722,-0.13105325,0.00009833
2019-07-31,-0.01060145,1.44861525,-0.14026534,0.00035431
2019-08-30,-0.06528508,1.35404229,-0.19639318,0.00015698
2019-09-30,0.00854836,1.36561713,-0.18952366,0.00017670
2019-10-31,0.05948325,1.44684849,-0.14131389,0.00021317
2019-11-29,-0.01606820,1.42360024,-0.15511143,0.00010490
2019-12-31,0.04860294,1.49279140,-0.11404736,0.00004969
2020-01-31,-0.08687338,1.36310756,-0.19101306,0.00015636
2020-02-28,0.00933621,1.37583383,-0.18346018,0.00014618
2020-03-31,-0.05295283,1.30297954,-0.22669827,0.00018112
2020-04-29,-0.01897042,1.27826148,-0.24136813,0.00038184
2020-05-29,0.00000000,1.27826148,-0.24136813,0.00000000
2020-06-30,0.05663772,1.35065929,-0.19840095,0.00026838
2020-07-31,0.04383837,1.40986999,-0.16326016,0.00039394
2020-08-31,0.03341626,1.45698257,-0.13529944,0.00019795
2020-09-30,-0.06174641,1.36701913,-0.18869160,0.00007471
2020-10-30,0.07328660,1.46720331,-0.12923356,0.00019870
2020-11-30,0.14776654,1.68400688,-0.00056341,0.00017427
2020-12-31,0.05423530,1.77533949,0.00000000,0.00027213
2021-01-29,0.09628908,1.94628530,0.00000000,0.00029751
2021-02-26,-0.04893042,1.85105273,-0.04893042,0.00017275
2021-03-31,-0.03748504,1.78166595,-0.08458130,0.00008144
2021-04-30,0.03578102,1.84541577,-0.05182669,0.00011902
2021-05-31,0.06747671,1.96993836,0.00000000,0.00024497
2021-06-30,0.03270098,2.03435728,0.00000000,0.00023204
2021-07-30,-0.07662785,1.87846886,-0.07662785,0.00034904
2021-08-31,0.03861936,1.95101413,-0.04096780,0.00031372
2021-09-30,-0.03411724,1.88445092,-0.07368733,0.00029255
2021-10-29,0.02377699,1.92925750,-0.05166240,0.00010687
2021-11-30,-0.04191609,1.84839056,-0.09141301,0.00016111
2021-12-31,-0.01008983,1.82974061,-0.10058050,0.00025935
2022-01-31,0.04853966,1.91855560,-0.05692298,0.00023401
2022-02-28,0.01262526,1.94277786,-0.04501639,0.00025472
2022-03-31,0.01573446,1.97334643,-0.02999024,0.00009377
2022-04-29,-0.03181684,1.91056078,-0.06085288,0.00004732
2022-05-31,0.00236727,1.91508358,-0.05862967,0.00039772
2022-06-30,0.00000000,1.91508358,-0.05862967,0.00000000
2022-07-29,-0.03321146,1.85148085,-0.08989396,0.00040208
2022-08-31,-0.00608337,1.84021761,-0.09543047,0.00029628
2022-09-30,-0.00618722,1.82883178,-0.10102724,0.00039787
2022-10-31,0.00000000,1.82883178,-0.10102724,0.00000000
2022-11-30,0.00000000,1.82883178,-0.10102724,0.00000000
2022-12-30,0.01516471,1.85656549,-0.08739458,0.00038397
2023-01-31,0.06574341,1.97862244,-0.02739678,0.00008310
2023-02-28,-0.02862030,1.92199368,-0.05523297,0.00014837
2023-03-31,0.05702156,2.03158876,-0.00136088,0.00002851
2023-04-28,0.06835585,2.17045973,0.00000000,0.00018177
2023-05-31,-0.05453067,2.05210310,-0.05453067,0.00009477
2023-06-30,0.03540722,2.12476237,-0.02105423,0.00018271
2023-07-31,0.03856756,2.20670927,0.00000000,0.00021028
2023-08-31,-0.03310158,2.13366370,-0.03310158,0.00026672
2023-09-29,0.04697584,2.23389434,0.00000000,0.00000000
2023-10-31,-0.05427425,2.11265139,-0.05427425,0.00022254
2023-11-30,0.02336632,2.16201629,-0.03217612,0.00005531
2023-12-29,0.01010570,2.18386498,-0.02239558,0.00011029
2024-01-31,0.00770506,2.20069179,-0.01486308,0.00004274
2024-02-29,-0.00377190,2.19239100,-0.01857892,0.00045510
2024-03-28,0.00000000,2.19239100,-0.01857892,0.00000000
2024-04-30,0.03608937,2.27151301,0.00000000,0.00046031
2024-05-31,0.04225508,2.36749598,0.00000000,0.00034825
2024-06-28,0.05605559,2.50020737,0.00000000,0.00025144
2024-07-31,-0.01143378,2.47162055,-0.01143378,0.00008263
2024-08-30,0.02726877,2.53901859,0.00000000,0.00005002
2024-09-30,0.02969792,2.61442217,0.00000000,0.00011617
2024-10-31,-0.01659420,2.57103792,-0.01659420,0.00008701
2024-11-29,-0.02351651,2.51057609,-0.03972047,0.00025978
2024-12-31,0.07401887,2.69640610,0.00000000,0.00021962
2025-01-28,0.02074503,2.75234313,0.00000000,0.00024510
2025-02-28,0.10523768,3.04199332,0.00000000,0.00009006
2025-03-31,0.01580971,3.09008635,0.00000000,0.00013160
2025-04-30,-0.02081943,3.02575252,-0.02081943,0.00028916
2025-05-30,0.05984016,3.20681404,0.00000000,0.00001179
2025-06-30,0.06230514,3.40661504,0.00000000,0.00021877
2025-07-31,0.01022284,3.44144031,0.00000000,0.00021058
2025-08-29,0.01068966,3.47822813,0.00000000,0.00023474
2025-09-30,0.01619770,3.53456744,0.00000000,0.00038838
2025-10-31,-0.01602217,3.47793602,-0.01602217,0.00037586
2025-11-28,0.00083757,3.48084904,-0.01519801,0.00042480
2025-12-31,0.00128613,3.48532586,-0.01393143,0.00045711
2026-01-30,0.08493819,3.78136314,0.00000000,0.00048078
2026-02-27,-0.03297310,3.65667989,-0.03297310,0.00035617
2026-03-31,-0.03681571,3.52205663,-0.06857488,0.00040724
2026-04-30,0.06930642,3.76615778,-0.00402113,0.00028441
