date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2017-02-28,0.05487613,0.05517604,0.05487613,0.00029991,326,monthly_cashoff,False,risk_on,0.32804241,0.00000000,0.00000000,14,35,68,0,0.00000000,0.00000000
2017-03-31,0.02086672,0.02105028,0.02086672,0.00019364,326,monthly_cashoff,False,risk_on,0.40458263,0.00000000,-0.01318993,14,34,74,0,0.00000000,0.00000000
2017-04-28,0.01231036,0.01245750,0.01231036,0.00015845,326,monthly_cashoff,False,risk_on,0.30825746,0.00000000,0.01165629,14,23,70,0,0.00000000,0.00000000
2017-05-31,0.07617618,0.07627595,0.07617618,0.00010876,326,monthly_cashoff,False,risk_on,0.32400030,0.00000000,-0.02656095,14,32,71,0,0.00000000,0.00000000
2017-06-30,0.01950838,0.01957067,0.01950838,0.00007308,326,monthly_cashoff,False,risk_on,0.33081588,0.00000000,-0.01403145,14,39,76,0,0.00000000,0.00000000
2017-07-31,0.09050019,0.09061384,0.09050019,0.00013593,329,monthly_cashoff,False,risk_on,0.32308321,0.00000000,-0.00776157,14,35,79,0,0.00000000,0.00000000
2017-08-31,0.04034941,0.04042045,0.04034941,0.00009266,332,monthly_cashoff,False,risk_on,0.32257250,0.00000000,-0.00225546,14,37,75,0,0.00000000,0.00000000
2017-09-29,-0.00145324,-0.00141485,-0.00145324,0.00005209,333,monthly_cashoff,False,risk_on,0.31220107,0.00000000,0.01595061,14,36,79,0,0.00000000,0.00000000
2017-10-31,0.03667823,0.03673156,0.03667823,0.00007226,333,monthly_cashoff,False,risk_on,0.30914663,0.00000000,0.00810490,14,28,78,0,0.00000000,0.00000000
2017-11-30,0.04311878,0.04315017,0.04311878,0.00004409,336,monthly_cashoff,False,risk_on,0.33868052,0.00000000,0.01934142,14,28,77,0,0.00000000,0.00000000
2017-12-29,0.00817897,0.00826881,0.00817897,0.00013163,339,monthly_cashoff,False,risk_on,0.35348216,0.00000000,0.03069383,14,27,76,0,0.00000000,0.00000000
2018-01-31,0.14062134,0.14068106,0.14062134,0.00008821,342,monthly_cashoff,False,risk_on,0.40875778,0.00000000,-0.02528369,14,36,85,0,0.00000000,0.00000000
2018-02-28,-0.07467651,-0.07452184,-0.07467651,0.00026061,342,monthly_cashoff,False,risk_on,0.39191576,0.00000000,-0.00214386,14,43,77,0,0.00000000,0.00000000
2018-03-29,-0.01205525,-0.01202343,-0.01205525,0.00004960,342,monthly_cashoff,False,risk_on,0.44913060,0.00000000,-0.02210467,14,15,81,0,0.00000000,0.00000000
2018-04-30,0.01902942,0.01915432,0.01902942,0.00019238,342,monthly_cashoff,False,risk_on,0.36253151,0.00000000,0.02002780,14,25,85,0,0.00000000,0.00000000
2018-05-31,-0.01487519,-0.01475140,-0.01487519,0.00019430,342,monthly_cashoff,False,risk_on,0.33881003,0.00000000,-0.00714644,14,33,79,0,0.00000000,0.00000000
2018-06-29,-0.03139636,-0.03127340,-0.03139636,0.00019013,341,monthly_cashoff,False,risk_on,0.34737233,0.00000000,0.04069371,14,26,81,0,0.00000000,0.00000000
2018-07-31,0.01942842,0.01954843,0.01942842,0.00017975,344,monthly_cashoff,False,risk_on,0.33933728,0.00000000,-0.01390916,14,9,80,0,0.00000000,0.00000000
2018-08-31,-0.00858717,-0.00840469,-0.00858717,0.00027862,344,monthly_cashoff,False,risk_on,0.20055110,0.00000000,0.00312146,14,25,78,0,0.00000000,0.00000000
2018-09-28,0.01864779,0.01874675,0.01864779,0.00014980,345,monthly_cashoff,False,caution,0.15969427,0.30000000,0.40665824,14,13,83,0,0.00000000,0.00000000
2018-10-31,-0.06597486,-0.06583406,-0.06597486,0.00021711,346,monthly_cashoff,False,caution,0.08345233,0.30000000,0.43026524,14,29,84,0,0.00000000,0.00000000
2018-11-30,0.02337120,0.02337120,0.02337120,0.00000000,346,monthly_cashoff,False,caution,0.03592804,0.30000000,0.43026524,14,4,89,0,0.00000000,0.00000000
2018-12-31,0.01552742,0.01574457,0.01552742,0.00032005,351,monthly_cashoff,True,risk_off,-0.06895346,1.00000000,1.49677897,14,46,92,0,0.00000000,0.00000000
