date,ts_code,name,weight
2021-01-29,CASH,现金,1.00000000
2021-02-26,00005.HK,汇丰控股,0.11505809
2021-02-26,03968.HK,招商银行,0.11198705
2021-02-26,00016.HK,新鸿基地产,0.08683027
2021-02-26,00941.HK,中国移动,0.08420778
2021-02-26,00386.HK,中国石油化工股份,0.08307516
2021-02-26,00066.HK,港铁公司,0.06929494
2021-02-26,00388.HK,香港交易所,0.06811650
2021-02-26,00002.HK,中电控股,0.06481991
2021-02-26,03328.HK,交通银行,0.06237365
2021-02-26,00998.HK,中信银行,0.05234794
2021-02-26,00267.HK,中信股份,0.05173373
2021-02-26,01658.HK,邮储银行,0.05075662
2021-02-26,00012.HK,恒基地产,0.05039679
2021-02-26,02313.HK,申洲国际,0.04900157
2021-03-31,01398.HK,工商银行,0.11446153
2021-03-31,00939.HK,建设银行,0.10426967
2021-03-31,02318.HK,中国平安,0.09031568
2021-03-31,01288.HK,农业银行,0.08952341
2021-03-31,03988.HK,中国银行,0.08202541
2021-03-31,00005.HK,汇丰控股,0.07365959
2021-03-31,01299.HK,友邦保险,0.06954917
2021-03-31,03968.HK,招商银行,0.06293238
2021-03-31,00016.HK,新鸿基地产,0.05893045
2021-03-31,00003.HK,香港中华煤气,0.05393961
2021-03-31,00941.HK,中国移动,0.05330398
2021-03-31,01088.HK,中国神华,0.05204321
2021-03-31,02388.HK,中银香港,0.05111569
2021-03-31,00066.HK,港铁公司,0.04393022
2021-04-30,01398.HK,工商银行,0.10442567
2021-04-30,00939.HK,建设银行,0.09842639
2021-04-30,02318.HK,中国平安,0.08650745
2021-04-30,03988.HK,中国银行,0.08622887
2021-04-30,00005.HK,汇丰控股,0.07944135
2021-04-30,01288.HK,农业银行,0.07730585
2021-04-30,01299.HK,友邦保险,0.07327645
2021-04-30,03968.HK,招商银行,0.06673265
2021-04-30,00016.HK,新鸿基地产,0.05894903
2021-04-30,00003.HK,香港中华煤气,0.05483448
2021-04-30,00941.HK,中国移动,0.05464984
2021-04-30,01088.HK,中国神华,0.05288128
2021-04-30,02388.HK,中银香港,0.05183046
2021-04-30,03328.HK,交通银行,0.05011105
2021-04-30,CASH,现金,0.00439919
2021-05-31,00700.HK,腾讯控股,0.16025406
2021-05-31,01398.HK,工商银行,0.08722891
2021-05-31,00939.HK,建设银行,0.08674606
2021-05-31,02318.HK,中国平安,0.08354028
2021-05-31,00005.HK,汇丰控股,0.07788392
2021-05-31,03988.HK,中国银行,0.07627451
2021-05-31,00941.HK,中国移动,0.06390907
2021-05-31,01288.HK,农业银行,0.06179725
2021-05-31,01299.HK,友邦保险,0.05863466
2021-05-31,00003.HK,香港中华煤气,0.05774449
2021-05-31,03968.HK,招商银行,0.05482611
2021-05-31,02388.HK,中银香港,0.05444729
2021-05-31,01339.HK,中国人民保险集团,0.04723391
2021-05-31,09988.HK,阿里巴巴-W,0.04623710
2021-06-30,00700.HK,腾讯控股,0.16885813
2021-06-30,01398.HK,工商银行,0.09175534
2021-06-30,00939.HK,建设银行,0.08587266
2021-06-30,02318.HK,中国平安,0.07779070
2021-06-30,00941.HK,中国移动,0.06628911
2021-06-30,01288.HK,农业银行,0.06347134
2021-06-30,02628.HK,中国人寿,0.06283094
2021-06-30,03988.HK,中国银行,0.06164161
2021-06-30,01299.HK,友邦保险,0.05897566
2021-06-30,00857.HK,中国石油股份,0.05847921
2021-06-30,00005.HK,汇丰控股,0.05828304
2021-06-30,03968.HK,招商银行,0.05234879
2021-06-30,00388.HK,香港交易所,0.05051795
2021-06-30,00914.HK,海螺水泥,0.04297588
2021-07-30,00700.HK,腾讯控股,0.14781300
2021-07-30,00939.HK,建设银行,0.09263722
2021-07-30,03968.HK,招商银行,0.07883981
2021-07-30,01398.HK,工商银行,0.07596602
2021-07-30,00941.HK,中国移动,0.06972389
2021-07-30,01288.HK,农业银行,0.06517149
2021-07-30,03988.HK,中国银行,0.06368426
2021-07-30,00005.HK,汇丰控股,0.05970975
2021-07-30,00388.HK,香港交易所,0.05778344
2021-07-30,02318.HK,中国平安,0.05526176
2021-07-30,01113.HK,长实集团,0.05524076
2021-07-30,00857.HK,中国石油股份,0.05346555
2021-07-30,02628.HK,中国人寿,0.04990885
2021-07-30,01299.HK,友邦保险,0.04645307
2021-07-30,CASH,现金,0.02834113
2021-08-31,01398.HK,工商银行,0.09658870
2021-08-31,00939.HK,建设银行,0.09462285
2021-08-31,00941.HK,中国移动,0.08645516
2021-08-31,03988.HK,中国银行,0.08520042
2021-08-31,01288.HK,农业银行,0.08406203
2021-08-31,00005.HK,汇丰控股,0.08236444
2021-08-31,00857.HK,中国石油股份,0.07258038
2021-08-31,03968.HK,招商银行,0.06821618
2021-08-31,01299.HK,友邦保险,0.06792259
2021-08-31,00267.HK,中信股份,0.05973064
2021-08-31,03328.HK,交通银行,0.05725787
2021-08-31,01113.HK,长实集团,0.05207362
2021-08-31,02318.HK,中国平安,0.04821412
2021-08-31,00006.HK,电能实业,0.04747724
2021-09-30,01398.HK,工商银行,0.09646809
2021-09-30,00939.HK,建设银行,0.09413546
2021-09-30,01288.HK,农业银行,0.08667836
2021-09-30,00857.HK,中国石油股份,0.08616479
2021-09-30,03988.HK,中国银行,0.08613600
2021-09-30,00941.HK,中国移动,0.07278546
2021-09-30,00005.HK,汇丰控股,0.06887156
2021-09-30,01299.HK,友邦保险,0.06637905
2021-09-30,03968.HK,招商银行,0.06598662
2021-09-30,03328.HK,交通银行,0.05928635
2021-09-30,00388.HK,香港交易所,0.05416611
2021-09-30,00267.HK,中信股份,0.05286327
2021-09-30,02628.HK,中国人寿,0.04823313
2021-09-30,01113.HK,长实集团,0.04716809
2021-09-30,CASH,现金,0.01467768
2021-10-29,01398.HK,工商银行,0.09519489
2021-10-29,00939.HK,建设银行,0.08931709
2021-10-29,00941.HK,中国移动,0.08912460
2021-10-29,00857.HK,中国石油股份,0.08772346
2021-10-29,03988.HK,中国银行,0.08585905
2021-10-29,00005.HK,汇丰控股,0.07939853
2021-10-29,01288.HK,农业银行,0.07508721
2021-10-29,03968.HK,招商银行,0.06980833
2021-10-29,01299.HK,友邦保险,0.06491915
2021-10-29,02319.HK,蒙牛乳业,0.05469728
2021-10-29,01088.HK,中国神华,0.05441710
2021-10-29,06030.HK,中信证券,0.05433525
2021-10-29,00388.HK,香港交易所,0.05322470
2021-10-29,00267.HK,中信股份,0.04973130
2021-11-30,01398.HK,工商银行,0.09670973
2021-11-30,00941.HK,中国移动,0.09038741
2021-11-30,00939.HK,建设银行,0.09017474
2021-11-30,03988.HK,中国银行,0.08890730
2021-11-30,01288.HK,农业银行,0.07656269
2021-11-30,00857.HK,中国石油股份,0.06970043
2021-11-30,03968.HK,招商银行,0.06743062
2021-11-30,01211.HK,比亚迪股份,0.06486676
2021-11-30,01299.HK,友邦保险,0.06367439
2021-11-30,00388.HK,香港交易所,0.06366467
2021-11-30,00005.HK,汇丰控股,0.05987143
2021-11-30,01658.HK,邮储银行,0.05875188
2021-11-30,00003.HK,香港中华煤气,0.05791054
2021-11-30,02628.HK,中国人寿,0.05052828
2021-11-30,CASH,现金,0.00085914
2021-12-31,01398.HK,工商银行,0.10069000
2021-12-31,00939.HK,建设银行,0.09347949
2021-12-31,00941.HK,中国移动,0.08854259
2021-12-31,00005.HK,汇丰控股,0.07986028
2021-12-31,01288.HK,农业银行,0.07803310
2021-12-31,03988.HK,中国银行,0.07694408
2021-12-31,00857.HK,中国石油股份,0.06972529
2021-12-31,03968.HK,招商银行,0.06605856
2021-12-31,00388.HK,香港交易所,0.06577559
2021-12-31,01299.HK,友邦保险,0.05949701
2021-12-31,01658.HK,邮储银行,0.05924154
2021-12-31,00003.HK,香港中华煤气,0.05893254
2021-12-31,01211.HK,比亚迪股份,0.05505953
2021-12-31,02628.HK,中国人寿,0.04960106
2022-01-31,CASH,现金,0.27791881
2022-01-31,03968.HK,招商银行,0.06698804
2022-01-31,00941.HK,中国移动,0.06500665
2022-01-31,00857.HK,中国石油股份,0.06082256
2022-01-31,00005.HK,汇丰控股,0.06014516
2022-01-31,01398.HK,工商银行,0.05713646
2022-01-31,00939.HK,建设银行,0.05712644
2022-01-31,03988.HK,中国银行,0.05559660
2022-01-31,01658.HK,邮储银行,0.05325588
2022-01-31,01288.HK,农业银行,0.04841795
2022-01-31,00728.HK,中国电信,0.04554722
2022-01-31,01211.HK,比亚迪股份,0.04325994
2022-01-31,00883.HK,中国海洋石油,0.04127058
2022-01-31,01088.HK,中国神华,0.03669148
2022-01-31,01816.HK,中广核电力,0.03081622
2022-02-28,CASH,现金,0.32737736
2022-02-28,00857.HK,中国石油股份,0.06501503
2022-02-28,00941.HK,中国移动,0.06473504
2022-02-28,00005.HK,汇丰控股,0.05841557
2022-02-28,01398.HK,工商银行,0.05611581
2022-02-28,00939.HK,建设银行,0.05559404
2022-02-28,03988.HK,中国银行,0.05527747
2022-02-28,01288.HK,农业银行,0.04793861
2022-02-28,03968.HK,招商银行,0.04397137
2022-02-28,00883.HK,中国海洋石油,0.04352691
2022-02-28,01088.HK,中国神华,0.04092998
2022-02-28,01658.HK,邮储银行,0.03761737
