date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type,trade_details_json,signal_date,evaluation_date,trade_date,risk_stage
2020-02-03,0.34992652,0.69985303,0.69985303,0.00000000,0.00020996,0.00020996,0.00000000,0.00000000,rebalance,"[{""ts_code"": ""00586.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.1259735455554331, ""post_trade_weight"": 0.12599999999999975, ""diff_weight"": 0.1259735455554331, ""gross_amount"": 0.1259735455554331, ""gross_amount_pct_nav"": 0.1259735455554331, ""fee"": 3.779206366662993e-05, ""fee_pct_nav"": 3.779206366662993e-05, ""name"": ""海螺创业""}, {""ts_code"": ""00981.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.10210615753826567, ""post_trade_weight"": 0.10212759983134871, ""diff_weight"": 0.10210615753826567, ""gross_amount"": 0.10210615753826567, ""gross_amount_pct_nav"": 0.10210615753826567, ""fee"": 3.0631847261479697e-05, ""fee_pct_nav"": 3.0631847261479697e-05, ""name"": ""中芯国际""}, {""ts_code"": ""01787.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.1259735455554331, ""post_trade_weight"": 0.12599999999999975, ""diff_weight"": 0.1259735455554331, ""gross_amount"": 0.1259735455554331, ""gross_amount_pct_nav"": 0.1259735455554331, ""fee"": 3.779206366662993e-05, ""fee_pct_nav"": 3.779206366662993e-05, ""name"": ""山东黄金""}, {""ts_code"": ""01833.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.11255879030926098, ""post_trade_weight"": 0.11258242765522593, ""diff_weight"": 0.11255879030926098, ""gross_amount"": 0.11255879030926098, ""gross_amount_pct_nav"": 0.11255879030926098, ""fee"": 3.376763709277829e-05, ""fee_pct_nav"": 3.376763709277829e-05, ""name"": ""平安好医生""}, {""ts_code"": ""02128.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.10726744634969138, ""post_trade_weight"": 0.10728997251342481, ""diff_weight"": 0.10726744634969138, ""gross_amount"": 0.10726744634969138, ""gross_amount_pct_nav"": 0.10726744634969138, ""fee"": 3.218023390490741e-05, ""fee_pct_nav"": 3.218023390490741e-05, ""name"": ""中国联塑""}, {""ts_code"": ""02269.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.1259735455554331, ""post_trade_weight"": 0.12599999999999975, ""diff_weight"": 0.1259735455554331, ""gross_amount"": 0.1259735455554331, ""gross_amount_pct_nav"": 0.1259735455554331, ""fee"": 3.779206366662993e-05, ""fee_pct_nav"": 3.779206366662993e-05, ""name"": ""药明生物""}]",,,,
2020-02-07,0.14053133,0.28106266,0.29984706,0.00000000,0.00008995,0.00008995,0.00000000,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00586.HK"", ""side"": ""buy"", ""current_weight"": 0.1291354430168774, ""target_weight"": 0.17998482261652296, ""post_trade_weight"": 0.17999999999999955, ""diff_weight"": 0.05084937959964555, ""gross_amount"": 0.05424782180119525, ""gross_amount_pct_nav"": 0.05084937959964555, ""fee"": 1.6274346540358574e-05, ""fee_pct_nav"": 1.5254813879893662e-05, ""name"": ""海螺创业""}, {""ts_code"": ""00981.HK"", ""side"": ""buy"", ""current_weight"": 0.10897364841493613, ""target_weight"": 0.14588426936425852, ""post_trade_weight"": 0.14589657118764093, ""diff_weight"": 0.03691062094932238, ""gross_amount"": 0.03937748707251214, ""gross_amount_pct_nav"": 0.03691062094932238, ""fee"": 1.181324612175364e-05, ""fee_pct_nav"": 1.1073186284796715e-05, ""name"": ""中芯国际""}, {""ts_code"": ""01787.HK"", ""side"": ""buy"", ""current_weight"": 0.1212267637901095, ""target_weight"": 0.17998482261652296, ""post_trade_weight"": 0.17999999999999955, ""diff_weight"": 0.058758058826413447, ""gross_amount"": 0.06268506577062827, ""gross_amount_pct_nav"": 0.058758058826413447, ""fee"": 1.880551973118848e-05, ""fee_pct_nav"": 1.7627417647924033e-05, ""name"": ""山东黄金""}, {""ts_code"": ""01833.HK"", ""side"": ""buy"", ""current_weight"": 0.12662477390914378, ""target_weight"": 0.1608184783433604, ""post_trade_weight"": 0.16083203950746555, ""diff_weight"": 0.034193704434216605, ""gross_amount"": 0.036478989507338105, ""gross_amount_pct_nav"": 0.034193704434216605, ""fee"": 1.0943696852201431e-05, ""fee_pct_nav"": 1.0258111330264981e-05, ""name"": ""平安好医生""}, {""ts_code"": ""02128.HK"", ""side"": ""buy"", ""current_weight"": 0.1019787855429783, ""target_weight"": 0.15325846564571766, ""post_trade_weight"": 0.1532713893048925, ""diff_weight"": 0.051279680102739374, ""gross_amount"": 0.054706880794571075, ""gross_amount_pct_nav"": 0.051279680102739374, ""fee"": 1.641206423837132e-05, ""fee_pct_nav"": 1.538390403082181e-05, ""name"": ""中国联塑""}, {""ts_code"": ""02269.HK"", ""side"": ""buy"", ""current_weight"": 0.13091360955486578, ""target_weight"": 0.17998482261652296, ""post_trade_weight"": 0.17999999999999955, ""diff_weight"": 0.049071213061657175, ""gross_amount"": 0.05235081416324339, ""gross_amount_pct_nav"": 0.049071213061657175, ""fee"": 1.5705244248973016e-05, ""fee_pct_nav"": 1.4721363918497154e-05, ""name"": ""药明生物""}]",2020-02-07,2020-02-07,2020-02-10,risk_on
2020-02-14,0.00811529,0.01623058,0.00000000,0.01772522,0.00000532,0.00000000,0.00000532,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""02128.HK"", ""side"": ""sell"", ""current_weight"": 0.16950122291479375, ""target_weight"": 0.15327064299983462, ""post_trade_weight"": 0.15327138930489445, ""diff_weight"": -0.016230579914959152, ""gross_amount"": 0.01772521711373451, ""gross_amount_pct_nav"": 0.016230579914959152, ""fee"": 5.317565134120352e-06, ""fee_pct_nav"": 4.869173974487745e-06, ""name"": ""中国联塑""}]",2020-02-14,2020-02-14,2020-02-17,risk_on
2020-02-21,0.02695138,0.05390275,0.03219158,0.02695644,0.00001774,0.00000966,0.00000809,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00981.HK"", ""side"": ""buy"", ""current_weight"": 0.13116970156642482, ""target_weight"": 0.14589421191961183, ""post_trade_weight"": 0.14589657118764468, ""diff_weight"": 0.014724510353187016, ""gross_amount"": 0.01615734974786054, ""gross_amount_pct_nav"": 0.014724510353187016, ""fee"": 4.8472049243581615e-06, ""fee_pct_nav"": 4.417353105956104e-06, ""name"": ""中芯国际""}, {""ts_code"": ""01787.HK"", ""side"": ""sell"", ""current_weight"": 0.20456301853303333, ""target_weight"": 0.1799970892513659, ""post_trade_weight"": 0.18000000000000418, ""diff_weight"": -0.024565929281667436, ""gross_amount"": 0.026956435342462753, ""gross_amount_pct_nav"": 0.024565929281667436, ""fee"": 8.086930602738826e-06, ""fee_pct_nav"": 7.369778784500231e-06, ""name"": ""山东黄金""}, {""ts_code"": ""01833.HK"", ""side"": ""buy"", ""current_weight"": 0.14621712579461513, ""target_weight"": 0.16082943872058086, ""post_trade_weight"": 0.1608320395074697, ""diff_weight"": 0.01461231292596574, ""gross_amount"": 0.016034234409629144, ""gross_amount_pct_nav"": 0.01461231292596574, ""fee"": 4.810270322888743e-06, ""fee_pct_nav"": 4.383693877789722e-06, ""name"": ""平安好医生""}]",2020-02-21,2020-02-21,2020-02-24,risk_on
2020-03-02,0.88645945,1.77291889,0.98319387,0.97131322,0.00058635,0.00029496,0.00029139,0.00000000,rebalance,"[{""ts_code"": ""00003.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.04740977716600823, ""post_trade_weight"": 0.047435006691864394, ""diff_weight"": 0.04740977716600823, ""gross_amount"": 0.052265642692337126, ""gross_amount_pct_nav"": 0.04740977716600823, ""fee"": 1.5679692807701138e-05, ""fee_pct_nav"": 1.4222933149802469e-05, ""name"": ""香港中华煤气""}, {""ts_code"": ""00322.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.04430752396352108, ""post_trade_weight"": 0.044331102598315034, ""diff_weight"": 0.04430752396352108, ""gross_amount"": 0.04884564649926065, ""gross_amount_pct_nav"": 0.04430752396352108, ""fee"": 1.4653693949778195e-05, ""fee_pct_nav"": 1.3292257189056321e-05, ""name"": ""康师傅控股""}, {""ts_code"": ""00586.HK"", ""side"": ""sell"", ""current_weight"": 0.17920314084474093, ""target_weight"": 0.05201669627691425, ""post_trade_weight"": 0.052044377414901366, ""diff_weight"": -0.12718644456782666, ""gross_amount"": 0.14021329912212432, ""gross_amount_pct_nav"": 0.12718644456782666, ""fee"": 4.206398973663729e-05, ""fee_pct_nav"": 3.8155933370347994e-05, ""name"": ""海螺创业""}, {""ts_code"": ""00700.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.17990426237981438, ""post_trade_weight"": 0.17999999999999877, ""diff_weight"": 0.17990426237981438, ""gross_amount"": 0.19833064946598097, ""gross_amount_pct_nav"": 0.17990426237981438, ""fee"": 5.949919483979429e-05, ""fee_pct_nav"": 5.3971278713944314e-05, ""name"": ""腾讯控股""}, {""ts_code"": ""00881.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.046858206192232875, ""post_trade_weight"": 0.046883142194791186, ""diff_weight"": 0.046858206192232875, ""gross_amount"": 0.05165757800277187, ""gross_amount_pct_nav"": 0.046858206192232875, ""fee"": 1.549727340083156e-05, ""fee_pct_nav"": 1.4057461857669862e-05, ""name"": ""中升控股""}, {""ts_code"": ""00914.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.050407998865342966, ""post_trade_weight"": 0.05043482392099082, ""diff_weight"": 0.050407998865342966, ""gross_amount"": 0.05557095213306984, ""gross_amount_pct_nav"": 0.050407998865342966, ""fee"": 1.667128563992095e-05, ""fee_pct_nav"": 1.5122399659602888e-05, ""name"": ""海螺水泥""}, {""ts_code"": ""00939.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.10536378554842131, ""post_trade_weight"": 0.10541985580461528, ""diff_weight"": 0.10536378554842131, ""gross_amount"": 0.11615549149077531, ""gross_amount_pct_nav"": 0.10536378554842131, ""fee"": 3.484664744723259e-05, ""fee_pct_nav"": 3.160913566452639e-05, ""name"": ""建设银行""}, {""ts_code"": ""00960.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.06246456292956667, ""post_trade_weight"": 0.06249780399079349, ""diff_weight"": 0.06246456292956667, ""gross_amount"": 0.06886238919828742, ""gross_amount_pct_nav"": 0.06246456292956667, ""fee"": 2.0658716759486227e-05, ""fee_pct_nav"": 1.873936887887e-05, ""name"": ""龙湖集团""}, {""ts_code"": ""00981.HK"", ""side"": ""sell"", ""current_weight"": 0.14259421275609047, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.14259421275609047, ""gross_amount"": 0.15719918167530228, ""gross_amount_pct_nav"": 0.14259421275609047, ""fee"": 4.715975450259068e-05, ""fee_pct_nav"": 4.2778263826827134e-05, ""name"": ""中芯国际""}, {""ts_code"": ""01313.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.046363901743926066, ""post_trade_weight"": 0.046388574698066835, ""diff_weight"": 0.046363901743926066, ""gross_amount"": 0.05111264526482684, ""gross_amount_pct_nav"": 0.046363901743926066, ""fee"": 1.533379357944805e-05, ""fee_pct_nav"": 1.3909170523177818e-05, ""name"": ""华润建材科技""}, {""ts_code"": ""01398.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.1233984288308558, ""post_trade_weight"": 0.12346409637955355, ""diff_weight"": 0.1233984288308558, ""gross_amount"": 0.13603730233715275, ""gross_amount_pct_nav"": 0.1233984288308558, ""fee"": 4.081119070114582e-05, ""fee_pct_nav"": 3.7019528649256734e-05, ""name"": ""工商银行""}, {""ts_code"": ""01658.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.06909061443492787, ""post_trade_weight"": 0.06912738160717592, ""diff_weight"": 0.06909061443492787, ""gross_amount"": 0.07616710272241112, ""gross_amount_pct_nav"": 0.06909061443492787, ""fee"": 2.2850130816723332e-05, ""fee_pct_nav"": 2.0727184330478358e-05, ""name"": ""邮储银行""}, {""ts_code"": ""01787.HK"", ""side"": ""sell"", ""current_weight"": 0.1615712833836234, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.1615712833836234, ""gross_amount"": 0.1781199463794447, ""gross_amount_pct_nav"": 0.1615712833836234, ""fee"": 5.34359839138334e-05, ""fee_pct_nav"": 4.847138501508701e-05, ""name"": ""山东黄金""}, {""ts_code"": ""01833.HK"", ""side"": ""sell"", ""current_weight"": 0.16342300833333306, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.16342300833333306, ""gross_amount"": 0.18016133109735058, ""gross_amount_pct_nav"": 0.16342300833333306, ""fee"": 5.404839932920517e-05, ""fee_pct_nav"": 4.902690249999992e-05, ""name"": ""平安好医生""}, {""ts_code"": ""02128.HK"", ""side"": ""sell"", ""current_weight"": 0.15779409533608135, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.15779409533608135, ""gross_amount"": 0.17395588629151534, ""gross_amount_pct_nav"": 0.15779409533608135, ""fee"": 5.21867658874546e-05, ""fee_pct_nav"": 4.733822860082439e-05, ""name"": ""中国联塑""}, {""ts_code"": ""02269.HK"", ""side"": ""sell"", ""current_weight"": 0.18410553029435248, ""target_weight"": 0.05560355521167021, ""post_trade_weight"": 0.055633145127880854, ""diff_weight"": -0.12850197508268227, ""gross_amount"": 0.14166357060514673, ""gross_amount_pct_nav"": 0.12850197508268227, ""fee"": 4.249907118154402e-05, ""fee_pct_nav"": 3.8550592524804675e-05, ""name"": ""药明生物""}, {""ts_code"": ""02359.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.046591403006904314, ""post_trade_weight"": 0.04661619702782371, ""diff_weight"": 0.046591403006904314, ""gross_amount"": 0.05136344795645817, ""gross_amount_pct_nav"": 0.046591403006904314, ""fee"": 1.5409034386937448e-05, ""fee_pct_nav"": 1.397742090207129e-05, ""name"": ""药明康德""}, {""ts_code"": ""03988.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.06968740778219606, ""post_trade_weight"": 0.06972449254322191, ""diff_weight"": 0.06968740778219606, ""gross_amount"": 0.07682502160990691, ""gross_amount_pct_nav"": 0.06968740778219606, ""fee"": 2.304750648297207e-05, ""fee_pct_nav"": 2.0906222334658818e-05, ""name"": ""中国银行""}]",,,,
2020-03-06,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2020-03-06,2020-03-06,2020-03-09,risk_on
2020-03-13,0.14659346,0.29318691,0.00000000,0.29159361,0.00008748,0.00000000,0.00008748,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00003.HK"", ""side"": ""sell"", ""current_weight"": 0.05072458080239428, ""target_weight"": 0.03320158414646266, ""post_trade_weight"": 0.033204504684305323, ""diff_weight"": -0.01752299665593162, ""gross_amount"": 0.01742776945881555, ""gross_amount_pct_nav"": 0.01752299665593162, ""fee"": 5.2283308376446644e-06, ""fee_pct_nav"": 5.256898996779486e-06, ""name"": ""香港中华煤气""}, {""ts_code"": ""00322.HK"", ""side"": ""sell"", ""current_weight"": 0.04424553543988991, ""target_weight"": 0.03102904238602893, ""post_trade_weight"": 0.031031771818820757, ""diff_weight"": -0.01321649305386098, ""gross_amount"": 0.013144669174992796, ""gross_amount_pct_nav"": 0.01321649305386098, ""fee"": 3.943400752497838e-06, ""fee_pct_nav"": 3.964947916158293e-06, ""name"": ""康师傅控股""}, {""ts_code"": ""00586.HK"", ""side"": ""sell"", ""current_weight"": 0.05070988965523883, ""target_weight"": 0.03642785985708465, ""post_trade_weight"": 0.03643106419043123, ""diff_weight"": -0.014282029798154182, ""gross_amount"": 0.014204415352776424, ""gross_amount_pct_nav"": 0.014282029798154182, ""fee"": 4.261324605832927e-06, ""fee_pct_nav"": 4.284608939446254e-06, ""name"": ""海螺创业""}, {""ts_code"": ""00700.HK"", ""side"": ""sell"", ""current_weight"": 0.17495265830315568, ""target_weight"": 0.12598891753478417, ""post_trade_weight"": 0.12600000000000008, ""diff_weight"": -0.0489637407683715, ""gross_amount"": 0.04869765158937758, ""gross_amount_pct_nav"": 0.0489637407683715, ""fee"": 1.4609295476813273e-05, ""fee_pct_nav"": 1.4689122230511446e-05, ""name"": ""腾讯控股""}, {""ts_code"": ""00881.HK"", ""side"": ""sell"", ""current_weight"": 0.04542459758637625, ""target_weight"": 0.03281531297639526, ""post_trade_weight"": 0.03281819953635407, ""diff_weight"": -0.012609284609980993, ""gross_amount"": 0.012540760552445386, ""gross_amount_pct_nav"": 0.012609284609980993, ""fee"": 3.7622281657336154e-06, ""fee_pct_nav"": 3.7827853829942974e-06, ""name"": ""中升控股""}, {""ts_code"": ""00914.HK"", ""side"": ""sell"", ""current_weight"": 0.04725251537472054, ""target_weight"": 0.035301271510350646, ""post_trade_weight"": 0.03530437674469384, ""diff_weight"": -0.011951243864369895, ""gross_amount"": 0.01188629587187745, ""gross_amount_pct_nav"": 0.011951243864369895, ""fee"": 3.565888761563235e-06, ""fee_pct_nav"": 3.5853731593109684e-06, ""name"": ""海螺水泥""}, {""ts_code"": ""00939.HK"", ""side"": ""sell"", ""current_weight"": 0.1120872173562691, ""target_weight"": 0.07378740844164779, ""post_trade_weight"": 0.07379389906323125, ""diff_weight"": -0.038299808914621314, ""gross_amount"": 0.03809167194326682, ""gross_amount_pct_nav"": 0.038299808914621314, ""fee"": 1.1427501582980045e-05, ""fee_pct_nav"": 1.1489942674386392e-05, ""name"": ""建设银行""}, {""ts_code"": ""00960.HK"", ""side"": ""sell"", ""current_weight"": 0.06563873029755982, ""target_weight"": 0.04374461485056245, ""post_trade_weight"": 0.04374846279355578, ""diff_weight"": -0.021894115446997372, ""gross_amount"": 0.02177513378602402, ""gross_amount_pct_nav"": 0.021894115446997372, ""fee"": 6.532540135807205e-06, ""fee_pct_nav"": 6.5682346340992106e-06, ""name"": ""龙湖集团""}, {""ts_code"": ""01313.HK"", ""side"": ""sell"", ""current_weight"": 0.044429969236237515, ""target_weight"": 0.032469146178838657, ""post_trade_weight"": 0.03247200228864703, ""diff_weight"": -0.011960823057398852, ""gross_amount"": 0.01189582300761731, ""gross_amount_pct_nav"": 0.011960823057398852, ""fee"": 3.5687469022851925e-06, ""fee_pct_nav"": 3.5882469172196556e-06, ""name"": ""华润建材科技""}, {""ts_code"": ""01398.HK"", ""side"": ""sell"", ""current_weight"": 0.12884085230248674, ""target_weight"": 0.08641726587372403, ""post_trade_weight"": 0.08642486746568814, ""diff_weight"": -0.04242358642876271, ""gross_amount"": 0.04219303914814933, ""gross_amount_pct_nav"": 0.04242358642876271, ""fee"": 1.2657911744444797e-05, ""fee_pct_nav"": 1.2727075928628812e-05, ""name"": ""工商银行""}, {""ts_code"": ""01658.HK"", ""side"": ""sell"", ""current_weight"": 0.07436055397142857, ""target_weight"": 0.04838491100390057, ""post_trade_weight"": 0.04838916712502351, ""diff_weight"": -0.025975642967528, ""gross_amount"": 0.02583448060120134, ""gross_amount_pct_nav"": 0.025975642967528, ""fee"": 7.7503441803604e-06, ""fee_pct_nav"": 7.7926928902584e-06, ""name"": ""邮储银行""}, {""ts_code"": ""02269.HK"", ""side"": ""sell"", ""current_weight"": 0.050076307970727776, ""target_weight"": 0.038939776298429485, ""post_trade_weight"": 0.03894320158951688, ""diff_weight"": -0.011136531672298292, ""gross_amount"": 0.011076011162161212, ""gross_amount_pct_nav"": 0.011136531672298292, ""fee"": 3.322803348648363e-06, ""fee_pct_nav"": 3.3409595016894867e-06, ""name"": ""药明生物""}, {""ts_code"": ""03988.HK"", ""side"": ""sell"", ""current_weight"": 0.07175346513117496, ""target_weight"": 0.04880285189545955, ""post_trade_weight"": 0.0488071447802557, ""diff_weight"": -0.022950613235715414, ""gross_amount"": 0.02282589012964826, ""gross_amount_pct_nav"": 0.022950613235715414, ""fee"": 6.847767038894477e-06, ""fee_pct_nav"": 6.885183970714624e-06, ""name"": ""中国银行""}]",2020-03-13,2020-03-13,2020-03-16,caution
2020-03-20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2020-03-20,2020-03-20,2020-03-23,caution
2020-03-27,0.35548903,0.71097806,0.00000000,0.71708904,0.00021513,0.00000000,0.00021513,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00003.HK"", ""side"": ""sell"", ""current_weight"": 0.027540084407062113, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.027540084407062113, ""gross_amount"": 0.027776796318605784, ""gross_amount_pct_nav"": 0.027540084407062113, ""fee"": 8.333038895581734e-06, ""fee_pct_nav"": 8.262025322118632e-06, ""name"": ""香港中华煤气""}, {""ts_code"": ""00322.HK"", ""side"": ""sell"", ""current_weight"": 0.029101553213318487, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.029101553213318487, ""gross_amount"": 0.029351686226282238, ""gross_amount_pct_nav"": 0.029101553213318487, ""fee"": 8.80550586788467e-06, ""fee_pct_nav"": 8.730465963995544e-06, ""name"": ""康师傅控股""}, {""ts_code"": ""00586.HK"", ""side"": ""sell"", ""current_weight"": 0.03561101717187597, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.03561101717187597, ""gross_amount"": 0.035917100182449736, ""gross_amount_pct_nav"": 0.03561101717187597, ""fee"": 1.077513005473492e-05, ""fee_pct_nav"": 1.068330515156279e-05, ""name"": ""海螺创业""}, {""ts_code"": ""00700.HK"", ""side"": ""sell"", ""current_weight"": 0.13688502069181013, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.13688502069181013, ""gross_amount"": 0.13806157173031547, ""gross_amount_pct_nav"": 0.13688502069181013, ""fee"": 4.141847151909464e-05, ""fee_pct_nav"": 4.106550620754304e-05, ""name"": ""腾讯控股""}, {""ts_code"": ""00881.HK"", ""side"": ""sell"", ""current_weight"": 0.03335339915802317, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.03335339915802317, ""gross_amount"": 0.03364007754122922, ""gross_amount_pct_nav"": 0.03335339915802317, ""fee"": 1.0092023262368764e-05, ""fee_pct_nav"": 1.0006019747406949e-05, ""name"": ""中升控股""}, {""ts_code"": ""00914.HK"", ""side"": ""sell"", ""current_weight"": 0.03621148897613529, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.03621148897613529, ""gross_amount"": 0.036522733148400266, ""gross_amount_pct_nav"": 0.03621148897613529, ""fee"": 1.0956819944520078e-05, ""fee_pct_nav"": 1.0863446692840587e-05, ""name"": ""海螺水泥""}, {""ts_code"": ""00939.HK"", ""side"": ""sell"", ""current_weight"": 0.07343944776100422, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.07343944776100422, ""gross_amount"": 0.07407067284387873, ""gross_amount_pct_nav"": 0.07343944776100422, ""fee"": 2.222120185316362e-05, ""fee_pct_nav"": 2.2031834328301264e-05, ""name"": ""建设银行""}, {""ts_code"": ""00960.HK"", ""side"": ""sell"", ""current_weight"": 0.04480794650266917, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.04480794650266917, ""gross_amount"": 0.04519307875252798, ""gross_amount_pct_nav"": 0.04480794650266917, ""fee"": 1.3557923625758394e-05, ""fee_pct_nav"": 1.3442383950800752e-05, ""name"": ""龙湖集团""}, {""ts_code"": ""01313.HK"", ""side"": ""sell"", ""current_weight"": 0.032382371135733834, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.032382371135733834, ""gross_amount"": 0.03266070336081193, ""gross_amount_pct_nav"": 0.032382371135733834, ""fee"": 9.798211008243578e-06, ""fee_pct_nav"": 9.714711340720149e-06, ""name"": ""华润建材科技""}, {""ts_code"": ""01398.HK"", ""side"": ""sell"", ""current_weight"": 0.08736348135308719, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.08736348135308719, ""gross_amount"": 0.08811438597503875, ""gross_amount_pct_nav"": 0.08736348135308719, ""fee"": 2.643431579251162e-05, ""fee_pct_nav"": 2.6209044405926154e-05, ""name"": ""工商银行""}, {""ts_code"": ""01658.HK"", ""side"": ""sell"", ""current_weight"": 0.04706361621441564, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.04706361621441564, ""gross_amount"": 0.0474681363456399, ""gross_amount_pct_nav"": 0.04706361621441564, ""fee"": 1.4240440903691968e-05, ""fee_pct_nav"": 1.4119084864324689e-05, ""name"": ""邮储银行""}, {""ts_code"": ""02269.HK"", ""side"": ""sell"", ""current_weight"": 0.039247907372588695, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.039247907372588695, ""gross_amount"": 0.03958525009968186, ""gross_amount_pct_nav"": 0.039247907372588695, ""fee"": 1.1875575029904558e-05, ""fee_pct_nav"": 1.1774372211776608e-05, ""name"": ""药明生物""}, {""ts_code"": ""02359.HK"", ""side"": ""sell"", ""current_weight"": 0.039601193851351385, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.039601193851351385, ""gross_amount"": 0.03994157313840836, ""gross_amount_pct_nav"": 0.039601193851351385, ""fee"": 1.1982471941522508e-05, ""fee_pct_nav"": 1.1880358155405415e-05, ""name"": ""药明康德""}, {""ts_code"": ""03988.HK"", ""side"": ""sell"", ""current_weight"": 0.048369533337795666, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.048369533337795666, ""gross_amount"": 0.0487852780583866, ""gross_amount_pct_nav"": 0.048369533337795666, ""fee"": 1.463558341751598e-05, ""fee_pct_nav"": 1.45108600013387e-05, ""name"": ""中国银行""}]",2020-03-27,2020-03-27,2020-03-30,risk_off
2020-04-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance,,,,,
