date,portfolio_return,nav,drawdown,trading_cost
2023-02-01,0.00000000,1.00000000,0.00000000,0.00000000
2023-02-28,-0.02958141,0.97041859,-0.02958141,0.00029991
2023-03-31,0.05912459,1.02779419,0.00000000,0.00001439
2023-04-28,0.06855570,1.09825534,0.00000000,0.00009248
2023-05-31,-0.04925136,1.04416477,-0.04925136,0.00004462
2023-06-30,0.03685095,1.08264324,-0.01421537,0.00000689
2023-07-31,0.05266163,1.13965699,0.00000000,0.00011547
2023-08-31,-0.04714297,1.08593018,-0.04714297,0.00007824
2023-09-29,0.03173128,1.12038814,-0.01690759,0.00000000
2023-10-31,-0.04132701,1.07408585,-0.05753586,0.00004337
2023-11-30,0.02227847,1.09801484,-0.03653920,0.00002631
2023-12-29,-0.00401810,1.09360290,-0.04041048,0.00013467
2024-01-31,0.00153070,1.09527689,-0.03894164,0.00002146
2024-02-29,0.00000000,1.09527689,-0.03894164,0.00000000
2024-03-28,0.00847856,1.10456325,-0.03079325,0.00000000
2024-04-30,0.03702218,1.14545659,0.00000000,0.00006826
2024-05-31,0.03992758,1.19119191,0.00000000,0.00005903
2024-06-28,0.05979937,1.26242444,0.00000000,0.00003753
2024-07-31,-0.01154915,1.24784451,-0.01154915,0.00004176
2024-08-30,0.02964541,1.28483738,0.00000000,0.00001892
2024-09-30,0.02941321,1.32262856,0.00000000,0.00006500
2024-10-31,-0.01791068,1.29893938,-0.01791068,0.00005454
2024-11-29,-0.02376841,1.26806565,-0.04125339,0.00012749
2024-12-31,0.07394348,1.36183083,0.00000000,0.00010124
2025-01-28,0.02178620,1.39149995,0.00000000,0.00011981
2025-02-28,0.10281006,1.53456014,0.00000000,0.00005582
2025-03-31,0.01527080,1.55799410,0.00000000,0.00006402
2025-04-30,-0.01968712,1.52732169,-0.01968712,0.00014585
2025-05-30,0.12370417,1.71625775,0.00000000,0.00000913
2025-06-30,0.05812630,1.81601746,0.00000000,0.00016989
2025-07-31,0.01050492,1.83509458,0.00000000,0.00011642
2025-08-29,0.01098947,1.85526131,0.00000000,0.00011864
2025-09-30,0.01547215,1.88396620,0.00000000,0.00020802
2025-10-31,-0.01868171,1.84877049,-0.01868171,0.00021831
2025-11-28,0.00050364,1.84970160,-0.01818748,0.00022658
2025-12-31,0.00135051,1.85219965,-0.01686153,0.00023155
2026-01-30,0.08106780,2.00235340,0.00000000,0.00024888
2026-02-27,-0.03143595,1.93940752,-0.03143595,0.00015319
2026-03-31,-0.03666490,1.86829934,-0.06694825,0.00021960
2026-04-30,0.07201628,2.00284731,0.00000000,0.00015893
