date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2023-02-28,-0.02958141,-0.02928150,-0.02958141,0.00029991,444,monthly_cashoff_weekly_overlay,False,risk_on,0.06515927,0.00000000,0.00000000,14,50,98,0,0.00000000,0.00000000
2023-03-31,0.05912459,0.05915297,0.05912459,0.00001439,445,monthly_cashoff_weekly_overlay,False,risk_on,0.15647283,0.00000000,-0.02247521,14,11,97,2,0.00001297,0.01065881
2023-04-28,0.06855570,0.06864906,0.06855570,0.00009248,448,monthly_cashoff_weekly_overlay,False,risk_on,0.12267986,0.00000000,0.01547071,14,38,99,1,0.00000354,0.00539006
2023-05-31,-0.04925136,-0.04912228,-0.04925136,0.00004462,448,monthly_cashoff_weekly_overlay,False,risk_on,0.16204860,0.00000000,-0.01279006,14,43,102,1,0.00009922,0.15606793
2023-06-30,0.03685095,0.03702921,0.03685095,0.00000689,449,monthly_cashoff_weekly_overlay,False,caution,0.14370153,0.30000000,0.31893155,14,3,107,2,0.00017736,0.13855877
2023-07-31,0.05266163,0.05285841,0.05266163,0.00011547,449,monthly_cashoff_weekly_overlay,False,caution,-0.03581717,0.30000000,0.30914454,14,49,104,1,0.00008754,0.13477734
2023-08-31,-0.04714297,-0.04697526,-0.04714297,0.00007824,452,monthly_cashoff_weekly_overlay,False,risk_on,0.07869138,0.00000000,-0.01849269,14,48,108,2,0.00010725,0.08474242
2023-09-29,0.03173128,0.03175938,0.03173128,0.00000000,453,monthly_cashoff_weekly_overlay,False,caution,0.17516078,0.30000000,0.31582231,14,10,108,2,0.00003061,0.02301860
2023-10-31,-0.04132701,-0.04128176,-0.04132701,0.00004337,456,monthly_cashoff_weekly_overlay,False,caution,0.24321655,0.30000000,0.34670182,14,30,96,2,0.00000744,0.00564123
2023-11-30,0.02227847,0.02238963,0.02227847,0.00002631,457,monthly_cashoff_weekly_overlay,False,caution,0.36976567,0.30000000,0.33027834,14,11,100,1,0.00009319,0.14118680
2023-12-29,-0.00401810,-0.00347535,-0.00401810,0.00013467,459,monthly_cashoff_weekly_overlay,False,caution,0.03255460,0.30000000,0.32480264,14,40,98,2,0.00044812,0.34906802
2024-01-31,0.00153070,0.00176059,0.00153070,0.00002146,462,monthly_cashoff_weekly_overlay,False,caution,-0.00353167,0.30000000,0.32902016,14,38,95,1,0.00022995,0.34983199
2024-02-29,0.00000000,0.00000000,0.00000000,0.00000000,466,monthly_cashoff_weekly_overlay,True,risk_off,-0.06982058,1.00000000,1.09527689,14,26,105,0,0.00000000,0.00000000
2024-03-28,0.00847856,0.00869034,0.00847856,0.00000000,466,monthly_cashoff_weekly_overlay,True,risk_off,-0.12445615,1.00000000,1.09527689,14,59,106,1,0.00022996,0.34992652
2024-04-30,0.03702218,0.03753105,0.03702218,0.00006826,468,monthly_cashoff_weekly_overlay,False,caution,-0.04754363,0.30000000,0.30145396,14,33,107,2,0.00049206,0.35899152
2024-05-31,0.03992758,0.04005719,0.03992758,0.00005903,469,monthly_cashoff_weekly_overlay,False,caution,-0.04367122,0.30000000,0.28999058,14,55,105,2,0.00009208,0.06320376
2024-06-28,0.05979937,0.05983088,0.05979937,0.00003753,469,monthly_cashoff_weekly_overlay,False,risk_on,0.11117712,0.00000000,-0.00237911,14,50,105,0,0.00000000,0.00000000
2024-07-31,-0.01154915,-0.01151606,-0.01154915,0.00004176,469,monthly_cashoff_weekly_overlay,False,risk_on,0.10725640,0.00000000,0.01536002,14,40,102,0,0.00000000,0.00000000
2024-08-30,0.02964541,0.02966839,0.02964541,0.00001892,471,monthly_cashoff_weekly_overlay,False,risk_on,0.00928023,0.00000000,0.02032639,14,22,100,2,0.00000934,0.00640401
