date,ts_code,name,weight
2023-02-28,00941.HK,中国移动,0.10240912
2023-02-28,00005.HK,汇丰控股,0.07829097
2023-02-28,00857.HK,中国石油股份,0.07562465
2023-02-28,01398.HK,工商银行,0.07555566
2023-02-28,01288.HK,农业银行,0.07452656
2023-02-28,03988.HK,中国银行,0.07443864
2023-02-28,01299.HK,友邦保险,0.07428083
2023-02-28,00728.HK,中国电信,0.06908840
2023-02-28,00883.HK,中国海洋石油,0.06798437
2023-02-28,00939.HK,建设银行,0.06600882
2023-02-28,01088.HK,中国神华,0.06297453
2023-02-28,00386.HK,中国石油化工股份,0.06233959
2023-02-28,02628.HK,中国人寿,0.06031234
2023-02-28,00016.HK,新鸿基地产,0.05616552
2023-03-31,00941.HK,中国移动,0.10458734
2023-03-31,00005.HK,汇丰控股,0.09063480
2023-03-31,00857.HK,中国石油股份,0.08277161
2023-03-31,00386.HK,中国石油化工股份,0.08122760
2023-03-31,00883.HK,中国海洋石油,0.08075902
2023-03-31,01398.HK,工商银行,0.07623566
2023-03-31,03988.HK,中国银行,0.07341320
2023-03-31,00728.HK,中国电信,0.06959249
2023-03-31,00016.HK,新鸿基地产,0.06698299
2023-03-31,00939.HK,建设银行,0.06615219
2023-03-31,01288.HK,农业银行,0.06449882
2023-03-31,01299.HK,友邦保险,0.05764086
2023-03-31,02628.HK,中国人寿,0.05526923
2023-03-31,01088.HK,中国神华,0.05194816
2023-04-28,00941.HK,中国移动,0.10410553
2023-04-28,00857.HK,中国石油股份,0.09034030
2023-04-28,00005.HK,汇丰控股,0.08952517
2023-04-28,02628.HK,中国人寿,0.07827256
2023-04-28,01288.HK,农业银行,0.07599274
2023-04-28,00386.HK,中国石油化工股份,0.07282051
2023-04-28,03988.HK,中国银行,0.07136611
2023-04-28,00728.HK,中国电信,0.06801841
2023-04-28,00883.HK,中国海洋石油,0.06657400
2023-04-28,01299.HK,友邦保险,0.06608209
2023-04-28,00016.HK,新鸿基地产,0.06211858
2023-04-28,01766.HK,中国中车,0.05577309
2023-04-28,01088.HK,中国神华,0.05117031
2023-04-28,01928.HK,金沙中国有限公司,0.04451389
2023-04-28,CASH,现金,0.00332671
2023-05-31,CASH,现金,0.30441466
2023-05-31,00941.HK,中国移动,0.07396861
2023-05-31,00857.HK,中国石油股份,0.07118693
2023-05-31,01288.HK,农业银行,0.05527149
2023-05-31,00005.HK,汇丰控股,0.05474989
2023-05-31,02628.HK,中国人寿,0.05136263
2023-05-31,00386.HK,中国石油化工股份,0.05090381
2023-05-31,00728.HK,中国电信,0.04800243
2023-05-31,03988.HK,中国银行,0.04636582
2023-05-31,01299.HK,友邦保险,0.04257465
2023-05-31,00016.HK,新鸿基地产,0.04235903
2023-05-31,02318.HK,中国平安,0.04136392
2023-05-31,01766.HK,中国中车,0.04001187
2023-05-31,00883.HK,中国海洋石油,0.03878240
2023-05-31,01088.HK,中国神华,0.03868185
2023-06-30,CASH,现金,0.27752004
2023-06-30,00941.HK,中国移动,0.08406722
2023-06-30,00857.HK,中国石油股份,0.06827444
2023-06-30,01288.HK,农业银行,0.06005248
2023-06-30,00728.HK,中国电信,0.05679944
2023-06-30,00005.HK,汇丰控股,0.05561289
2023-06-30,03988.HK,中国银行,0.05337873
2023-06-30,00386.HK,中国石油化工股份,0.05072069
2023-06-30,02628.HK,中国人寿,0.04686107
2023-06-30,00883.HK,中国海洋石油,0.04597222
2023-06-30,01088.HK,中国神华,0.04513132
2023-06-30,00016.HK,新鸿基地产,0.04435947
2023-06-30,01299.HK,友邦保险,0.04324950
2023-06-30,01766.HK,中国中车,0.03806687
2023-06-30,02318.HK,中国平安,0.02993360
2023-07-31,00700.HK,腾讯控股,0.12933993
2023-07-31,00941.HK,中国移动,0.09061669
2023-07-31,00005.HK,汇丰控股,0.08671943
2023-07-31,00857.HK,中国石油股份,0.08619976
2023-07-31,01288.HK,农业银行,0.08442443
2023-07-31,03988.HK,中国银行,0.07664299
2023-07-31,00939.HK,建设银行,0.06917153
2023-07-31,00386.HK,中国石油化工股份,0.06237840
