date,portfolio_return,nav,drawdown,trading_cost
2020-12-01,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-31,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-29,-0.01215530,0.98784470,-0.01215530,0.00029991
2021-02-26,0.04879483,1.03604642,0.00000000,0.00024388
2021-03-31,0.04712406,1.08486912,0.00000000,0.00030551
2021-04-30,-0.00688675,1.07739790,-0.00688675,0.00000402
2021-05-31,0.04438528,1.12521850,0.00000000,0.00016050
2021-06-30,-0.02724543,1.09456145,-0.02724543,0.00029372
2021-07-30,-0.03291976,1.05852875,-0.05926827,0.00016592
2021-08-31,0.01829251,1.07789190,-0.04205992,0.00020887
2021-09-30,-0.00439036,1.07315956,-0.04626563,0.00013088
2021-10-29,-0.00609093,1.06662302,-0.05207476,0.00017299
2021-11-30,-0.04902207,1.01433495,-0.09854402,0.00015462
2021-12-31,-0.02351527,0.99048259,-0.11974200,0.00034746
2022-01-31,0.04493863,1.03499352,-0.08018442,0.00019745
2022-02-28,0.02894052,1.06494677,-0.05356447,0.00019230
2022-03-31,0.01347759,1.07929969,-0.04080880,0.00013759
2022-04-29,-0.01903776,1.05875223,-0.05906966,0.00013499
2022-05-31,0.02818045,1.08858835,-0.03255381,0.00007936
2022-06-30,-0.00044555,1.08810334,-0.03298485,0.00002763
2022-07-29,-0.00821210,1.07916772,-0.04092608,0.00010878
2022-08-31,-0.01100887,1.06728731,-0.05148440,0.00013856
2022-09-30,-0.01873153,1.04729539,-0.06925154,0.00016850
2022-10-31,-0.04073009,1.00463896,-0.10716101,0.00005844
2022-11-30,0.07073269,1.07569977,-0.04400810,0.00002227
2022-12-30,0.00588792,1.08203340,-0.03837930,0.00018751
2023-01-31,0.08737578,1.17657691,0.00000000,0.00017715
2023-02-28,-0.02923986,1.14217397,-0.02923986,0.00018449
2023-03-31,0.05403217,1.20388811,0.00000000,0.00012685
2023-04-28,0.06935047,1.28737831,0.00000000,0.00023452
2023-05-31,-0.04928547,1.22392926,-0.04928547,0.00024530
2023-06-30,0.02880016,1.25917862,-0.02190474,0.00010805
2023-07-31,0.04371196,1.31421979,0.00000000,0.00026911
2023-08-31,-0.02656271,1.27931055,-0.02656271,0.00016237
2023-09-29,0.06437417,1.36166510,0.00000000,0.00000000
2023-10-31,-0.06909825,1.26757643,-0.06909825,0.00020175
2023-11-30,0.01458339,1.28606199,-0.05552254,0.00004763
2023-12-29,0.02649807,1.32014016,-0.03049571,0.00025904
2024-01-31,0.03172150,1.36201699,0.00000000,0.00015395
2024-02-29,0.03126041,1.40459420,0.00000000,0.00018235
2024-03-28,0.01732919,1.42893468,0.00000000,0.00008172
2024-04-30,0.04934003,1.49943837,0.00000000,0.00009431
2024-05-31,0.08095312,1.62082259,0.00000000,0.00017618
2024-06-28,0.06096457,1.71963533,0.00000000,0.00018930
2024-07-31,-0.02258532,1.68079683,-0.02258532,0.00026531
2024-08-30,0.01476837,1.70561945,-0.00815050,0.00009981
2024-09-30,0.02829164,1.75387423,0.00000000,0.00039380
2024-10-31,0.00948222,1.77050486,0.00000000,0.00026940
2024-11-29,0.00453742,1.77853838,0.00000000,0.00018209
2024-12-31,0.09496241,1.94743267,0.00000000,0.00019163
2025-01-28,0.02542962,1.99695513,0.00000000,0.00026345
2025-02-28,0.10928444,2.21519125,0.00000000,0.00037557
2025-03-31,0.04791266,2.32132695,0.00000000,0.00016193
2025-04-30,0.01489216,2.35589652,0.00000000,0.00022364
2025-05-30,0.05638905,2.48874328,0.00000000,0.00015695
2025-06-30,0.08984385,2.71234155,0.00000000,0.00027030
2025-07-31,-0.01141130,2.68139021,-0.01141130,0.00069328
2025-08-29,0.07538059,2.88351498,0.00000000,0.00053899
2025-09-30,0.02591654,2.95824570,0.00000000,0.00071541
2025-10-31,-0.05103849,2.80726131,-0.05103849,0.00078789
2025-11-28,-0.00680028,2.78817116,-0.05749169,0.00050241
2025-12-31,0.03154867,2.87613424,-0.02775681,0.00057941
2026-01-30,0.16641553,3.35476765,0.00000000,0.00047037
2026-02-27,-0.03557185,3.23543238,-0.03557185,0.00058352
2026-03-31,-0.11632587,2.85906788,-0.14775979,0.00061623
2026-04-30,0.06629390,3.04860663,-0.09126147,0.00023870
