date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2017-01-27,0.05128085,0.05158076,0.05128085,0.00029991,326,monthly_equal_buffered,False,risk_on,0.17697018,0.00000000,0.00000000,10,10,76
2017-02-28,0.07344441,0.07393255,0.07344441,0.00051318,326,monthly_equal_buffered,False,risk_on,0.32804241,0.00000000,0.00000000,12,39,71
2017-03-31,0.02557121,0.02582541,0.02557121,0.00028686,326,monthly_equal_buffered,False,risk_on,0.40458263,0.00000000,0.01538930,12,37,78
2017-04-28,0.01123003,0.01138719,0.01123003,0.00018189,326,monthly_equal_buffered,False,risk_on,0.30825746,0.00000000,0.01124679,12,24,75
2017-05-31,0.06230270,0.06260357,0.06230270,0.00035212,326,monthly_equal_buffered,False,risk_on,0.32400030,0.00000000,-0.00193687,12,33,77
2017-06-30,0.02829380,0.02848666,0.02829380,0.00023978,326,monthly_equal_buffered,False,risk_on,0.33081588,0.00000000,-0.01159548,12,41,82
2017-07-31,0.09477125,0.09500878,0.09477125,0.00030366,329,monthly_equal_buffered,False,risk_on,0.32308321,0.00000000,-0.02303324,12,38,85
2017-08-31,0.06037348,0.06057465,0.06037348,0.00028156,332,monthly_equal_buffered,False,risk_on,0.32257250,0.00000000,0.00254206,12,40,80
2017-09-29,0.09281292,0.09286145,0.09281292,0.00007203,333,monthly_equal_buffered,False,risk_on,0.31220107,0.00000000,0.01124900,12,41,88
2017-10-31,0.02518100,0.02531726,0.02518100,0.00022100,333,monthly_equal_buffered,False,risk_on,0.30914663,0.00000000,-0.01350363,12,30,85
2017-11-30,0.04678202,0.04687780,0.04678202,0.00015924,336,monthly_equal_buffered,False,risk_on,0.33868052,0.00000000,-0.05943080,12,32,83
2017-12-29,0.00081166,0.00091395,0.00081166,0.00017804,339,monthly_equal_buffered,False,risk_on,0.35348216,0.00000000,-0.00276614,12,30,84
2018-01-31,0.09637102,0.09651983,0.09637102,0.00025921,342,monthly_equal_buffered,False,risk_on,0.40875778,0.00000000,-0.02251724,12,37,90
2018-02-28,-0.08006447,-0.07976474,-0.08006447,0.00057240,342,monthly_equal_buffered,False,risk_on,0.39191576,0.00000000,0.00421095,12,46,84
2018-03-29,-0.01373043,-0.01367974,-0.01373043,0.00008906,342,monthly_equal_buffered,False,risk_on,0.44913060,0.00000000,-0.02299124,12,16,88
2018-04-30,0.00273250,0.00293195,0.00273250,0.00034558,342,monthly_equal_buffered,False,risk_on,0.36253151,0.00000000,0.00384952,12,27,87
2018-05-31,-0.01196411,-0.01171901,-0.01196411,0.00042585,342,monthly_equal_buffered,False,risk_on,0.33881003,0.00000000,0.01720275,12,36,85
2018-06-29,0.00339756,0.00369264,0.00339756,0.00050656,341,monthly_equal_buffered,False,risk_on,0.34737233,0.00000000,0.01375243,12,30,86
2018-07-31,0.01073821,0.01087014,0.01073821,0.00022725,344,monthly_equal_buffered,False,risk_on,0.33933728,0.00000000,-0.00176667,12,9,83
2018-08-31,-0.00750861,-0.00719421,-0.00750861,0.00054736,344,monthly_equal_buffered,False,risk_on,0.20055110,0.00000000,0.00554135,12,29,84
2018-09-28,0.00913430,0.00923533,0.00913430,0.00017457,345,monthly_equal_buffered,False,caution,0.15969427,0.15000000,0.21358295,12,13,87
2018-10-31,-0.09077045,-0.09055097,-0.09077045,0.00038271,346,monthly_equal_buffered,False,caution,0.08345233,0.15000000,0.25271118,12,33,90
2018-11-30,0.02836533,0.02842180,0.02836533,0.00008953,346,monthly_equal_buffered,False,caution,0.03592804,0.15000000,0.26599164,12,4,95
2018-12-31,-0.01825068,-0.01809113,-0.01825068,0.00026013,351,monthly_equal_buffered,True,risk_off,-0.06895346,0.40000000,0.66023851,12,49,97
2019-01-31,0.03573651,0.03576101,0.03573651,0.00003922,354,monthly_equal_buffered,True,risk_off,-0.04439035,0.40000000,0.65672818,12,17,95
2019-02-28,0.02124517,0.02138532,0.02124517,0.00023233,356,monthly_equal_buffered,True,risk_off,-0.15609926,0.40000000,0.64535078,12,52,91
2019-03-29,-0.00668197,-0.00655790,-0.00668197,0.00021006,358,monthly_equal_buffered,False,caution,-0.04934549,0.15000000,0.25491627,12,46,97
2019-04-30,-0.02253945,-0.02229417,-0.02253945,0.00041251,359,monthly_equal_buffered,False,risk_on,0.03604329,0.00000000,0.02960712,12,34,98
2019-05-31,-0.04426176,-0.04406884,-0.04426176,0.00031714,359,monthly_equal_buffered,False,risk_on,0.04687705,0.00000000,0.02166996,12,27,94
2019-06-28,0.05178837,0.05193842,0.05178837,0.00023575,361,monthly_equal_buffered,False,risk_on,0.01216208,0.00000000,0.00361922,12,12,93
2019-07-31,-0.01609756,-0.01589057,-0.01609756,0.00034204,362,monthly_equal_buffered,False,caution,-0.01351948,0.15000000,0.24569891,12,53,93
2019-08-30,-0.08013896,-0.08005632,-0.08013896,0.00013436,364,monthly_equal_buffered,False,risk_on,0.04333498,0.00000000,0.02595876,12,19,96
2019-09-30,-0.00861949,-0.00846296,-0.00861949,0.00023409,367,monthly_equal_buffered,False,caution,0.08072043,0.15000000,0.21277886,12,14,93
2019-10-31,0.06465537,0.06482519,0.06465537,0.00025180,370,monthly_equal_buffered,False,risk_on,0.03042076,0.00000000,0.00844158,12,34,92
2019-11-29,-0.00978697,-0.00954363,-0.00978697,0.00038411,372,monthly_equal_buffered,False,risk_on,0.16824490,0.00000000,-0.00271780,12,53,96
2019-12-31,0.04940043,0.04955173,0.04940043,0.00023650,373,monthly_equal_buffered,False,risk_on,0.13431702,0.00000000,0.00770141,12,20,98
2020-01-31,-0.06602079,-0.06586926,-0.06602079,0.00024855,378,monthly_equal_buffered,False,risk_on,0.17162875,0.00000000,0.00118110,12,51,98
2020-02-28,0.03828765,0.03836967,0.03828765,0.00012565,379,monthly_equal_buffered,False,caution,0.15880387,0.15000000,0.23699808,12,7,103
2020-03-31,-0.04895577,-0.04879948,-0.04895577,0.00024860,380,monthly_equal_buffered,False,risk_on,0.00502602,0.00000000,0.03102645,12,42,99
2020-04-29,0.04986773,0.05009411,0.04986773,0.00034246,383,monthly_equal_buffered,True,risk_off,-0.00203111,0.40000000,0.59695071,12,10,100
2020-05-29,0.00532627,0.00541603,0.00532627,0.00014256,384,monthly_equal_buffered,True,risk_off,-0.11735380,0.40000000,0.56541839,12,52,94
2020-06-30,0.04704909,0.04718854,0.04704909,0.00022266,385,monthly_equal_buffered,False,caution,0.03288048,0.15000000,0.24303714,12,25,102
2020-07-31,0.07456647,0.07474112,0.07456647,0.00029198,390,monthly_equal_buffered,False,caution,-0.04432075,0.15000000,0.24238599,12,47,99
2020-08-31,0.04952074,0.04972060,0.04952074,0.00035904,390,monthly_equal_buffered,False,risk_on,0.05028755,0.00000000,0.04052994,12,53,102
2020-09-30,-0.02935289,-0.02918898,-0.02935289,0.00030905,390,monthly_equal_buffered,False,risk_on,0.22292608,0.00000000,0.02494958,12,32,98
2020-10-30,0.05565690,0.05575590,0.05565690,0.00018117,390,monthly_equal_buffered,False,risk_on,0.24498347,0.00000000,0.04311362,12,22,97
2020-11-30,0.18687531,0.18712805,0.18687531,0.00048827,394,monthly_equal_buffered,False,risk_on,0.15888487,0.00000000,0.03364802,12,35,96
2020-12-31,0.07049165,0.07069747,0.07049165,0.00047192,398,monthly_equal_buffered,False,risk_on,0.18257764,0.00000000,0.02494956,12,47,100
2025-01-28,-0.19785576,-0.19760818,-0.19785576,0.00060770,402,monthly_equal_buffered,False,risk_on,0.23783324,0.00000000,-0.00863559,12,50,102
2025-02-28,0.11190082,0.11219251,0.11190082,0.00057431,483,monthly_equal_buffered,False,risk_on,0.40483685,0.00000000,0.03178095,12,26,130
2025-03-31,0.01731443,0.01765929,0.01731443,0.00075501,483,monthly_equal_buffered,False,risk_on,1.50871430,0.00000000,-0.02134722,12,60,115
2025-04-30,0.01838430,0.01849200,0.01838430,0.00023986,483,monthly_equal_buffered,False,risk_on,2.05118117,0.00000000,-0.00816316,12,50,118
2025-05-30,0.10041041,0.10093025,0.10041041,0.00117906,484,monthly_equal_buffered,False,risk_on,1.94532436,0.00000000,-0.01888134,12,34,111
2025-06-30,0.02528778,0.02568451,0.02528778,0.00099019,486,monthly_equal_buffered,False,risk_on,1.98733500,0.00000000,-0.04236031,12,59,114
2025-07-31,0.05070342,0.05085944,0.05070342,0.00039926,488,monthly_equal_buffered,False,risk_on,1.98527099,0.00000000,0.02950514,12,52,113
2025-08-29,0.01110898,0.01131148,0.01110898,0.00054445,489,monthly_equal_buffered,False,risk_on,1.94319964,0.00000000,-0.01042040,12,57,121
2025-09-30,0.02808597,0.02824261,0.02808597,0.00042586,491,monthly_equal_buffered,False,risk_on,2.10780495,0.00000000,-0.04317317,12,35,121
2025-10-31,0.04958139,0.04972491,0.04958139,0.00040114,492,monthly_equal_buffered,False,risk_on,2.40003989,0.00000000,-0.02899072,12,43,124
2025-11-28,-0.00074751,-0.00064313,-0.00074751,0.00030622,495,monthly_equal_buffered,False,risk_on,2.54397067,0.00000000,0.00125826,12,42,124
2025-12-31,0.00355555,0.00365352,0.00355555,0.00028718,498,monthly_equal_buffered,False,risk_on,2.14809266,0.00000000,-0.00101503,12,32,127
