date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-02-01,0.33625692,0.67251385,0.33375811,0.33418756,0.00020038,0.00010013,0.00010026,0.00000000,rebalance
2021-03-01,0.49591651,0.99183301,0.53239689,0.50860041,0.00031230,0.00015972,0.00015258,0.00000000,rebalance
2021-04-01,0.01274813,0.02549625,0.00000000,0.02805626,0.00000842,0.00000000,0.00000842,0.00000000,rebalance
2021-05-03,0.24190664,0.48381329,0.26453525,0.26036548,0.00015747,0.00007936,0.00007811,0.00000000,rebalance
2021-06-01,0.43483945,0.86967889,0.49532345,0.50006599,0.00029862,0.00014860,0.00015002,0.00000000,rebalance
2021-07-02,0.25216371,0.50432742,0.26978049,0.28888060,0.00016760,0.00008093,0.00008666,0.00000000,rebalance
2021-08-02,0.32428917,0.64857834,0.37399589,0.33330353,0.00021219,0.00011220,0.00009999,0.00000000,rebalance
2021-09-01,0.20132379,0.40264759,0.21375516,0.22962233,0.00013301,0.00006413,0.00006889,0.00000000,rebalance
2021-10-04,0.27163173,0.54326346,0.28675009,0.29921889,0.00017579,0.00008603,0.00008977,0.00000000,rebalance
2021-11-01,0.24079732,0.48159465,0.27210796,0.25164751,0.00015713,0.00008163,0.00007549,0.00000000,rebalance
2021-12-01,0.56674076,1.13348153,0.50706504,0.66987873,0.00035308,0.00015212,0.00020096,0.00000000,rebalance
2022-01-03,0.33008926,0.66017851,0.33988052,0.32893089,0.00020064,0.00010196,0.00009868,0.00000000,rebalance
2022-02-04,0.30163407,0.60326815,0.30838503,0.34298681,0.00019541,0.00009252,0.00010290,0.00000000,rebalance
2022-03-01,0.21509723,0.43019446,0.23112800,0.23494310,0.00013982,0.00006934,0.00007048,0.00000000,rebalance
2022-04-01,0.20734900,0.41469799,0.23575741,0.22148482,0.00013717,0.00007073,0.00006645,0.00000000,rebalance
2022-05-03,0.12402658,0.24805315,0.00000000,0.26880112,0.00008064,0.00000000,0.00008064,0.00000000,rebalance
2022-06-01,0.04234021,0.08468043,0.05268419,0.04091392,0.00002808,0.00001581,0.00001227,0.00000000,rebalance
2022-07-04,0.16635024,0.33270048,0.30704992,0.06142033,0.00011054,0.00009211,0.00001843,0.00000000,rebalance
2022-08-01,0.21352599,0.42705197,0.23480814,0.23454481,0.00014081,0.00007044,0.00007036,0.00000000,rebalance
2022-09-01,0.26213800,0.52427600,0.15912229,0.41164622,0.00017123,0.00004774,0.00012349,0.00000000,rebalance
2022-10-03,0.09338284,0.18676568,0.09344657,0.10452367,0.00005939,0.00002803,0.00003136,0.00000000,rebalance
2022-11-01,0.03657710,0.07315420,0.03662587,0.03881015,0.00002263,0.00001099,0.00001164,0.00000000,rebalance
2022-12-01,0.29399288,0.58798576,0.45698373,0.17816215,0.00019054,0.00013710,0.00005345,0.00000000,rebalance
2023-01-03,0.27093945,0.54187891,0.29720672,0.30287178,0.00018002,0.00008916,0.00009086,0.00000000,rebalance
2023-02-01,0.26073516,0.52147032,0.37757027,0.24735589,0.00018748,0.00011327,0.00007421,0.00000000,rebalance
2023-03-01,0.17959781,0.35919562,0.22779725,0.20187633,0.00012890,0.00006834,0.00006056,0.00000000,rebalance
2023-04-03,0.32289875,0.64579750,0.40593238,0.38845068,0.00023831,0.00012178,0.00011654,0.00000000,rebalance
2023-05-02,0.31670558,0.63341115,0.41807460,0.41285070,0.00024928,0.00012542,0.00012386,0.00000000,rebalance
2023-06-01,0.14745357,0.29490713,0.08092434,0.28506935,0.00010980,0.00002428,0.00008552,0.00000000,rebalance
2023-07-03,0.35066049,0.70132098,0.44632994,0.46522140,0.00027347,0.00013390,0.00013957,0.00000000,rebalance
2023-08-01,0.20629052,0.41258103,0.37503691,0.17497425,0.00016500,0.00011251,0.00005249,0.00000000,rebalance
2023-09-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-10-03,0.25438005,0.50876009,0.25121146,0.43216857,0.00020501,0.00007536,0.00012965,0.00000000,rebalance
2023-11-01,0.06221672,0.12443343,0.08988258,0.07146248,0.00004840,0.00002696,0.00002144,0.00000000,rebalance
2023-12-01,0.33782245,0.67564491,0.43082263,0.44663007,0.00026324,0.00012925,0.00013399,0.00000000,rebalance
2024-01-02,0.19381008,0.38762017,0.25959191,0.26190210,0.00015645,0.00007788,0.00007857,0.00000000,rebalance
2024-02-01,0.22436297,0.44872594,0.12860457,0.48906160,0.00018530,0.00003858,0.00014672,0.00000000,rebalance
2024-03-01,0.09676053,0.19352106,0.13719240,0.13963246,0.00008305,0.00004116,0.00004189,0.00000000,rebalance
2024-04-02,0.10827967,0.21655934,0.31946979,0.00000000,0.00009584,0.00009584,0.00000000,0.00000000,rebalance
