date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2020-02-28,0.07116115,0.07141608,0.07116115,0.00025493,379,monthly_equal_buffered,False,caution,0.15911120,0.15000000,0.14996176,7,7,103,0,0.00000000,0.00000000
2020-03-31,-0.06909340,-0.06863410,-0.06909340,0.00049198,380,monthly_equal_buffered,False,risk_on,0.00529256,0.00000000,0.00000000,12,42,99,0,0.00000000,0.00000000
2020-04-29,0.05100436,0.05123725,0.05100436,0.00023223,383,monthly_equal_buffered,True,risk_off,-0.00176644,0.40000000,0.39305724,12,10,100,0,0.00000000,0.00000000
2020-05-29,0.00360256,0.00371891,0.00360256,0.00012194,384,monthly_equal_buffered,True,risk_off,-0.11711971,0.40000000,0.40041954,12,52,94,0,0.00000000,0.00000000
2020-06-30,0.04624665,0.04638885,0.04624665,0.00014956,385,monthly_equal_buffered,False,caution,0.03288048,0.15000000,0.15997337,12,25,102,0,0.00000000,0.00000000
2020-07-31,0.07456647,0.07474112,0.07456647,0.00019219,390,monthly_equal_buffered,False,caution,-0.04432075,0.15000000,0.15954476,12,47,99,0,0.00000000,0.00000000
2020-08-31,0.04952074,0.04972060,0.04952074,0.00023633,390,monthly_equal_buffered,False,risk_on,0.05028755,0.00000000,0.02667786,12,53,102,0,0.00000000,0.00000000
2020-09-30,-0.02935289,-0.02918898,-0.02935289,0.00020343,390,monthly_equal_buffered,False,risk_on,0.22292608,0.00000000,0.01642246,12,32,98,0,0.00000000,0.00000000
2020-10-30,0.05565690,0.05575590,0.05565690,0.00011925,390,monthly_equal_buffered,False,risk_on,0.24498347,0.00000000,0.02837850,12,22,97,0,0.00000000,0.00000000
2020-11-30,0.18916267,0.18941998,0.18916267,0.00032722,394,monthly_equal_buffered,False,risk_on,0.15888487,0.00000000,0.00295774,12,35,95,0,0.00000000,0.00000000
2020-12-31,0.07099651,0.07119889,0.07099651,0.00030603,398,monthly_equal_buffered,False,risk_on,0.18257764,0.00000000,0.02107471,12,47,100,0,0.00000000,0.00000000
2021-01-29,0.03895415,0.03920056,0.03895415,0.00039909,402,monthly_equal_buffered,False,risk_on,0.23783324,0.00000000,-0.00025178,12,50,101,0,0.00000000,0.00000000
2021-02-26,-0.04382054,-0.04374241,-0.04382054,0.00013147,401,monthly_equal_buffered,False,risk_on,0.40483685,0.00000000,-0.00632241,12,43,102,0,0.00000000,0.00000000
2021-03-31,-0.03783509,-0.03776267,-0.03783509,0.00011652,402,monthly_equal_buffered,False,risk_on,0.44338539,0.00000000,0.00728601,12,28,102,0,0.00000000,0.00000000
2021-04-30,0.07172110,0.07188846,0.07172110,0.00025907,402,monthly_equal_buffered,False,risk_on,0.74245970,0.00000000,-0.01188693,12,26,97,0,0.00000000,0.00000000
2021-05-31,0.08725187,0.08750885,0.08725187,0.00042634,401,monthly_equal_buffered,False,risk_on,0.61508294,0.00000000,-0.02727870,12,47,96,0,0.00000000,0.00000000
2021-06-30,0.07352711,0.07370432,0.07352711,0.00031967,401,monthly_equal_buffered,False,risk_on,0.72208644,0.00000000,0.03096082,12,43,92,0,0.00000000,0.00000000
2021-07-30,-0.08680613,-0.08669321,-0.08680613,0.00021866,402,monthly_equal_buffered,False,risk_on,0.64687963,0.00000000,0.01120156,12,33,97,0,0.00000000,0.00000000
2021-08-31,0.08779856,0.08791895,0.08779856,0.00021289,403,monthly_equal_buffered,False,risk_on,0.51272869,0.00000000,-0.01982614,12,22,99,0,0.00000000,0.00000000
2021-09-30,-0.05459244,-0.05429343,-0.05459244,0.00057519,405,monthly_equal_buffered,False,risk_on,0.36834078,0.00000000,-0.02819398,12,42,103,0,0.00000000,0.00000000
2021-10-29,-0.03296890,-0.03281391,-0.03296890,0.00028187,410,monthly_equal_buffered,False,risk_on,0.47681871,0.00000000,-0.00822151,12,22,104,0,0.00000000,0.00000000
2021-11-30,-0.01349089,-0.01333602,-0.01349089,0.00027237,413,monthly_equal_buffered,False,risk_on,0.42840722,0.00000000,-0.03053901,12,24,104,0,0.00000000,0.00000000
2021-12-31,-0.03383912,-0.03370687,-0.03383912,0.00022945,413,monthly_equal_buffered,False,caution,0.26549297,0.15000000,0.20709800,12,24,100,0,0.00000000,0.00000000
2022-01-31,0.04355190,0.04385312,0.04355190,0.00050491,420,monthly_equal_buffered,False,caution,0.17773849,0.15000000,0.24936135,12,53,100,0,0.00000000,0.00000000
2022-02-28,0.02957469,0.02979659,0.02957469,0.00038815,422,monthly_equal_buffered,False,caution,0.12946915,0.15000000,0.27984450,12,41,103,0,0.00000000,0.00000000
2022-03-31,0.01333557,0.01346476,0.01333557,0.00023266,424,monthly_equal_buffered,False,caution,0.01400553,0.15000000,0.28584250,12,34,103,0,0.00000000,0.00000000
2022-04-29,-0.01925662,-0.01913452,-0.01925662,0.00022282,425,monthly_equal_buffered,False,caution,0.02228173,0.15000000,0.28097127,12,25,101,0,0.00000000,0.00000000
2022-05-31,0.02827152,0.02834532,0.02827152,0.00013208,423,monthly_equal_buffered,True,risk_off,-0.05217091,0.40000000,0.72109538,12,22,97,0,0.00000000,0.00000000
2022-06-30,-0.00044555,-0.00042016,-0.00044555,0.00004672,424,monthly_equal_buffered,True,risk_off,-0.11919756,0.40000000,0.70146631,12,46,104,0,0.00000000,0.00000000
2022-07-29,-0.00821210,-0.00811213,-0.00821210,0.00018391,429,monthly_equal_buffered,False,caution,-0.11155543,0.15000000,0.29262496,12,34,106,0,0.00000000,0.00000000
2022-08-31,-0.01100887,-0.01088047,-0.01100887,0.00023426,432,monthly_equal_buffered,False,caution,0.02233928,0.15000000,0.29195259,12,23,110,0,0.00000000,0.00000000
2022-09-30,-0.01873153,-0.01857365,-0.01873153,0.00028488,434,monthly_equal_buffered,True,risk_off,-0.07366873,0.40000000,0.71179535,12,25,98,0,0.00000000,0.00000000
2022-10-31,-0.04073009,-0.04067428,-0.04073009,0.00009881,433,monthly_equal_buffered,True,risk_off,-0.06180289,0.40000000,0.73012567,12,13,109,0,0.00000000,0.00000000
2022-11-30,0.07073269,0.07075486,0.07073269,0.00003765,435,monthly_equal_buffered,True,risk_off,-0.17507025,0.40000000,0.73372203,12,5,108,0,0.00000000,0.00000000
2022-12-30,0.00588792,0.00606223,0.00588792,0.00031701,435,monthly_equal_buffered,False,caution,-0.23817574,0.15000000,0.26952561,12,68,102,0,0.00000000,0.00000000
2023-01-31,0.08737578,0.08753950,0.08737578,0.00029951,443,monthly_equal_buffered,False,caution,-0.03034424,0.15000000,0.27865115,12,39,106,0,0.00000000,0.00000000
2023-02-28,-0.02923986,-0.02908306,-0.02923986,0.00031191,444,monthly_equal_buffered,False,risk_on,0.06515927,0.00000000,0.06169973,12,53,103,0,0.00000000,0.00000000
2023-03-31,0.05403217,0.05414323,0.05403217,0.00021446,445,monthly_equal_buffered,False,risk_on,0.15647283,0.00000000,0.01836028,12,11,103,0,0.00000000,0.00000000
2023-04-28,0.06935047,0.06954527,0.06935047,0.00039649,448,monthly_equal_buffered,False,risk_on,0.12267986,0.00000000,-0.01112077,12,42,110,0,0.00000000,0.00000000
2023-05-31,-0.04928547,-0.04909493,-0.04928547,0.00041473,448,monthly_equal_buffered,False,risk_on,0.16204860,0.00000000,-0.02022657,12,46,109,0,0.00000000,0.00000000
2023-06-30,0.02880016,0.02888844,0.02880016,0.00018267,449,monthly_equal_buffered,False,caution,0.14370153,0.15000000,0.31922970,12,3,111,0,0.00000000,0.00000000
2023-07-31,0.04371196,0.04392567,0.04371196,0.00045497,449,monthly_equal_buffered,False,caution,-0.03581717,0.15000000,0.35020473,12,51,114,0,0.00000000,0.00000000
2023-08-31,-0.02656271,-0.02643916,-0.02656271,0.00027452,452,monthly_equal_buffered,False,risk_on,0.07869138,0.00000000,0.01708313,12,51,116,0,0.00000000,0.00000000
2023-09-29,0.06437417,0.06437417,0.06437417,0.00000000,453,monthly_equal_buffered,False,caution,0.17516078,0.15000000,0.01708313,12,10,113,0,0.00000000,0.00000000
2023-10-31,-0.06909825,-0.06895008,-0.06909825,0.00034108,456,monthly_equal_buffered,False,caution,0.24321655,0.15000000,0.31780296,12,32,106,0,0.00000000,0.00000000
2023-11-30,0.01458339,0.01462097,0.01458339,0.00008053,457,monthly_equal_buffered,False,caution,0.36976567,0.15000000,0.28707665,12,13,107,0,0.00000000,0.00000000
2023-12-29,0.02649807,0.02669949,0.02649807,0.00043795,459,monthly_equal_buffered,False,caution,0.03255460,0.15000000,0.31293776,12,43,105,0,0.00000000,0.00000000
2024-01-31,0.03172150,0.03183812,0.03172150,0.00026029,462,monthly_equal_buffered,False,caution,-0.00353167,0.15000000,0.31652097,12,39,102,0,0.00000000,0.00000000
2024-02-29,0.03126041,0.03139429,0.03126041,0.00030829,466,monthly_equal_buffered,True,risk_off,-0.06982058,0.40000000,0.91591016,12,28,114,0,0.00000000,0.00000000
2024-03-28,0.01732919,0.01738738,0.01732919,0.00013817,466,monthly_equal_buffered,True,risk_off,-0.12445615,0.40000000,0.91983156,12,66,112,0,0.00000000,0.00000000
2024-04-30,0.04934003,0.04940604,0.04934003,0.00015945,468,monthly_equal_buffered,False,caution,-0.04754363,0.15000000,0.38816568,12,34,115,0,0.00000000,0.00000000
2024-05-31,0.08095312,0.08107062,0.08095312,0.00029787,469,monthly_equal_buffered,False,caution,-0.04367122,0.15000000,0.36312573,12,59,111,0,0.00000000,0.00000000
2024-06-28,0.06096457,0.06108136,0.06096457,0.00032004,469,monthly_equal_buffered,False,risk_on,0.11117712,0.00000000,0.01593871,12,53,113,0,0.00000000,0.00000000
2024-07-31,-0.02258532,-0.02243103,-0.02258532,0.00044855,469,monthly_equal_buffered,False,risk_on,0.10725640,0.00000000,0.00797866,12,42,110,0,0.00000000,0.00000000
2024-08-30,0.01476837,0.01482775,0.01476837,0.00016875,471,monthly_equal_buffered,False,risk_on,0.00928023,0.00000000,0.05959774,12,26,109,0,0.00000000,0.00000000
2024-09-30,0.02829164,0.02852252,0.02829164,0.00066578,471,monthly_equal_buffered,False,risk_on,0.07155690,0.00000000,0.02436841,12,45,114,0,0.00000000,0.00000000
2024-10-31,0.00948222,0.00963583,0.00948222,0.00045546,474,monthly_equal_buffered,False,risk_on,0.07535769,0.00000000,-0.05960548,12,63,120,0,0.00000000,0.00000000
2024-11-29,0.00453742,0.00464027,0.00453742,0.00030786,476,monthly_equal_buffered,False,risk_on,0.36310303,0.00000000,-0.02959806,12,32,121,0,0.00000000,0.00000000
2024-12-31,0.09496241,0.09507016,0.09496241,0.00032399,479,monthly_equal_buffered,False,risk_on,0.30424560,0.00000000,-0.03422293,12,27,117,0,0.00000000,0.00000000
2025-01-28,0.02542962,0.02556490,0.02542962,0.00044540,482,monthly_equal_buffered,False,risk_on,0.27470827,0.00000000,0.01327937,12,45,117,0,0.00000000,0.00000000
2025-02-28,0.10950984,0.10969796,0.10950984,0.00063514,484,monthly_equal_buffered,False,risk_on,0.49767451,0.00000000,0.03702355,12,30,109,0,0.00000000,0.00000000
2025-03-31,0.04635922,0.04638680,0.04635922,0.00010331,484,monthly_equal_buffered,False,risk_on,0.35401516,0.00000000,0.13386914,12,58,108,0,0.00000000,0.00000000
2025-04-30,0.01465841,0.01475172,0.01465841,0.00036574,484,monthly_equal_buffered,False,risk_on,0.48161478,0.00000000,0.16426549,12,37,113,0,0.00000000,0.00000000
2025-05-30,0.05586178,0.05592505,0.05586178,0.00025163,485,monthly_equal_buffered,False,risk_on,0.45470692,0.00000000,0.14338587,12,36,106,0,0.00000000,0.00000000
2025-06-30,0.08986256,0.08997122,0.08986256,0.00045630,487,monthly_equal_buffered,False,risk_on,0.36815634,0.00000000,0.00445999,12,56,116,0,0.00000000,0.00000000
2025-07-31,-0.01138354,-0.01112804,-0.01138354,0.00116928,489,monthly_equal_buffered,False,risk_on,0.52572583,0.00000000,0.05422728,12,66,122,0,0.00000000,0.00000000
2025-08-29,0.07550413,0.07570234,0.07550413,0.00089681,490,monthly_equal_buffered,False,risk_on,0.69319599,0.00000000,0.00949739,12,55,114,0,0.00000000,0.00000000
2025-09-30,0.02599515,0.02624340,0.02599515,0.00120796,492,monthly_equal_buffered,False,risk_on,0.85408993,0.00000000,-0.08348004,12,48,115,0,0.00000000,0.00000000
2025-10-31,-0.05099439,-0.05072797,-0.05099439,0.00133012,493,monthly_equal_buffered,False,risk_on,0.59836025,0.00000000,-0.04060305,12,47,120,0,0.00000000,0.00000000
2025-11-28,-0.00669885,-0.00651688,-0.00669885,0.00086213,496,monthly_equal_buffered,False,risk_on,0.72001827,0.00000000,-0.02749645,12,16,122,0,0.00000000,0.00000000
2025-12-31,0.03192872,0.03213380,0.03192872,0.00096512,499,monthly_equal_buffered,False,risk_on,0.74292762,0.00000000,-0.06998103,12,28,119,0,0.00000000,0.00000000
2026-01-30,0.16643091,0.16659420,0.16643091,0.00079300,508,monthly_equal_buffered,False,risk_on,0.67463473,0.00000000,-0.09366292,12,32,125,0,0.00000000,0.00000000
2026-02-27,-0.03557815,-0.03540434,-0.03557815,0.00098458,510,monthly_equal_buffered,False,risk_on,0.65583202,0.00000000,0.02623914,12,66,127,0,0.00000000,0.00000000
2026-03-31,-0.11644815,-0.11625763,-0.11644815,0.00104086,511,monthly_equal_buffered,False,risk_on,0.62534374,0.00000000,0.00801462,12,52,130,0,0.00000000,0.00000000
2026-04-30,0.06623446,0.06631802,0.06623446,0.00040336,514,monthly_equal_buffered,False,risk_on,1.20403335,0.00000000,0.06587711,12,16,129,0,0.00000000,0.00000000
