date,ts_code,name,weight
2021-01-29,CASH,现金,1.00000000
2021-02-26,00016.HK,新鸿基地产,0.10756430
2021-02-26,00005.HK,汇丰控股,0.10262824
2021-02-26,00386.HK,中国石油化工股份,0.09315845
2021-02-26,00002.HK,中电控股,0.08964286
2021-02-26,00066.HK,港铁公司,0.08870008
2021-02-26,03328.HK,交通银行,0.07981872
2021-02-26,03968.HK,招商银行,0.07720052
2021-02-26,00267.HK,中信股份,0.07630298
2021-02-26,00012.HK,恒基地产,0.07586911
2021-02-26,00998.HK,中信银行,0.07362636
2021-02-26,02313.HK,申洲国际,0.06871969
2021-02-26,00388.HK,香港交易所,0.06676869
2021-03-31,03988.HK,中国银行,0.09251325
2021-03-31,01398.HK,工商银行,0.09114686
2021-03-31,01288.HK,农业银行,0.09105195
2021-03-31,00939.HK,建设银行,0.09018439
2021-03-31,00003.HK,香港中华煤气,0.08690954
2021-03-31,00016.HK,新鸿基地产,0.08598185
2021-03-31,02388.HK,中银香港,0.08016054
2021-03-31,02318.HK,中国平安,0.07919565
2021-03-31,00005.HK,汇丰控股,0.07905612
2021-03-31,01088.HK,中国神华,0.07889029
2021-03-31,00002.HK,中电控股,0.07618903
2021-03-31,00066.HK,港铁公司,0.06872053
2021-04-30,03988.HK,中国银行,0.09755491
2021-04-30,00003.HK,香港中华煤气,0.08862459
2021-04-30,00016.HK,新鸿基地产,0.08627493
2021-04-30,00005.HK,汇丰控股,0.08552513
2021-04-30,00939.HK,建设银行,0.08539370
2021-04-30,01398.HK,工商银行,0.08341234
2021-04-30,02388.HK,中银香港,0.08153280
2021-04-30,01088.HK,中国神华,0.08040856
2021-04-30,00066.HK,港铁公司,0.07800957
2021-04-30,00002.HK,中电控股,0.07794053
2021-04-30,01288.HK,农业银行,0.07685961
2021-04-30,02318.HK,中国平安,0.07609088
2021-04-30,CASH,现金,0.00237244
2021-05-31,03988.HK,中国银行,0.10282245
2021-05-31,00003.HK,香港中华煤气,0.09197183
2021-05-31,02318.HK,中国平安,0.08946474
2021-05-31,00939.HK,建设银行,0.08482062
2021-05-31,02388.HK,中银香港,0.08440483
2021-05-31,00005.HK,汇丰控股,0.08263018
2021-05-31,01398.HK,工商银行,0.08048647
2021-05-31,01339.HK,中国人民保险集团,0.07974318
2021-05-31,00066.HK,港铁公司,0.07791904
2021-05-31,00002.HK,中电控股,0.07674983
2021-05-31,00267.HK,中信股份,0.07661084
2021-05-31,00941.HK,中国移动,0.07502530
2021-06-30,01398.HK,工商银行,0.09805047
2021-06-30,00941.HK,中国移动,0.08959185
2021-06-30,02628.HK,中国人寿,0.08563257
2021-06-30,00939.HK,建设银行,0.08443700
2021-06-30,02318.HK,中国平安,0.08377410
2021-06-30,01288.HK,农业银行,0.08288880
2021-06-30,03988.HK,中国银行,0.08222428
2021-06-30,00003.HK,香港中华煤气,0.08114604
2021-06-30,00002.HK,中电控股,0.07898557
2021-06-30,00914.HK,海螺水泥,0.07836214
2021-06-30,00005.HK,汇丰控股,0.07816374
2021-06-30,00388.HK,香港交易所,0.07641867
2021-06-30,CASH,现金,0.00032477
2021-07-30,01113.HK,长实集团,0.09656472
2021-07-30,00941.HK,中国移动,0.09167313
2021-07-30,00939.HK,建设银行,0.08861302
2021-07-30,00005.HK,汇丰控股,0.08819899
2021-07-30,00002.HK,中电控股,0.08563893
2021-07-30,00388.HK,香港交易所,0.08503375
2021-07-30,01288.HK,农业银行,0.08279612
2021-07-30,03988.HK,中国银行,0.08264039
2021-07-30,00267.HK,中信股份,0.08137103
2021-07-30,00012.HK,恒基地产,0.07402377
2021-07-30,00857.HK,中国石油股份,0.06986569
2021-07-30,06098.HK,碧桂园服务,0.06210502
2021-07-30,CASH,现金,0.01147542
2021-08-31,03988.HK,中国银行,0.09591921
2021-08-31,00941.HK,中国移动,0.09504452
2021-08-31,00267.HK,中信股份,0.09244035
2021-08-31,01113.HK,长实集团,0.09114477
2021-08-31,00005.HK,汇丰控股,0.08584795
2021-08-31,03328.HK,交通银行,0.08481487
2021-08-31,01288.HK,农业银行,0.08200873
2021-08-31,00006.HK,电能实业,0.07909741
2021-08-31,00939.HK,建设银行,0.07377357
2021-08-31,00857.HK,中国石油股份,0.07270295
2021-08-31,00003.HK,香港中华煤气,0.07233841
2021-08-31,00002.HK,中电控股,0.06761899
2021-08-31,CASH,现金,0.00724829
2021-09-30,00857.HK,中国石油股份,0.10072715
2021-09-30,03988.HK,中国银行,0.09715111
2021-09-30,03328.HK,交通银行,0.08798137
2021-09-30,01288.HK,农业银行,0.08471691
2021-09-30,01113.HK,长实集团,0.08271066
2021-09-30,01398.HK,工商银行,0.08214954
2021-09-30,00003.HK,香港中华煤气,0.08202429
2021-09-30,00002.HK,中电控股,0.08163178
2021-09-30,00005.HK,汇丰控股,0.07519120
2021-09-30,00941.HK,中国移动,0.07493266
2021-09-30,00939.HK,建设银行,0.07352875
2021-09-30,00267.HK,中信股份,0.07287626
2021-09-30,CASH,现金,0.00437833
2021-10-29,03988.HK,中国银行,0.09731254
2021-10-29,00941.HK,中国移动,0.09519897
2021-10-29,01113.HK,长实集团,0.08867829
2021-10-29,02319.HK,蒙牛乳业,0.08587344
2021-10-29,00003.HK,香港中华煤气,0.08469836
2021-10-29,01288.HK,农业银行,0.08403267
2021-10-29,00002.HK,中电控股,0.08339877
2021-10-29,00857.HK,中国石油股份,0.08320622
2021-10-29,00939.HK,建设银行,0.08240130
2021-10-29,06030.HK,中信证券,0.08045799
2021-10-29,01088.HK,中国神华,0.07612606
2021-10-29,00267.HK,中信股份,0.06889402
2021-11-30,03988.HK,中国银行,0.10088036
2021-11-30,00941.HK,中国移动,0.09665605
2021-11-30,00002.HK,中电控股,0.08796390
2021-11-30,01288.HK,农业银行,0.08577996
2021-11-30,00003.HK,香港中华煤气,0.08559636
2021-11-30,00939.HK,建设银行,0.08328577
2021-11-30,06030.HK,中信证券,0.07937300
2021-11-30,02319.HK,蒙牛乳业,0.07924698
2021-11-30,00066.HK,港铁公司,0.07920731
2021-11-30,00857.HK,中国石油股份,0.07886796
2021-11-30,01658.HK,邮储银行,0.07854104
2021-11-30,00728.HK,中国电信,0.07296153
2021-12-31,00941.HK,中国移动,0.09488551
2021-12-31,00728.HK,中国电信,0.09184610
2021-12-31,03988.HK,中国银行,0.09105370
2021-12-31,01288.HK,农业银行,0.08761412
2021-12-31,00003.HK,香港中华煤气,0.08729300
2021-12-31,00939.HK,建设银行,0.08652245
2021-12-31,00002.HK,中电控股,0.07969882
2021-12-31,01658.HK,邮储银行,0.07936477
2021-12-31,00857.HK,中国石油股份,0.07906460
2021-12-31,00066.HK,港铁公司,0.07788731
2021-12-31,00669.HK,创科实业,0.07326733
2021-12-31,02319.HK,蒙牛乳业,0.06639225
2021-12-31,CASH,现金,0.00511004
2022-01-31,CASH,现金,0.13916053
2022-01-31,01658.HK,邮储银行,0.08960237
2022-01-31,00857.HK,中国石油股份,0.08407343
2022-01-31,00941.HK,中国移动,0.08351809
2022-01-31,00728.HK,中国电信,0.07798024
2022-01-31,03988.HK,中国银行,0.07543502
2022-01-31,00883.HK,中国海洋石油,0.07523073
2022-01-31,00005.HK,汇丰控股,0.07426803
