date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2023-02-28,-0.03274233,-0.03244242,-0.03274233,0.00029991,444,monthly_equal_buffered_weekly_overlay,False,risk_on,0.06515927,0.00000000,0.00000000,12,53,103,0,0.00000000,0.00000000
2023-03-31,0.05710485,0.05722559,0.05710485,0.00010181,445,monthly_equal_buffered_weekly_overlay,False,risk_on,0.15647283,0.00000000,-0.00259604,12,11,103,2,0.00001555,0.01251025
2023-04-28,0.06851343,0.06871029,0.06851343,0.00020129,448,monthly_equal_buffered_weekly_overlay,False,risk_on,0.12267986,0.00000000,-0.01044468,12,42,110,0,0.00000000,0.00000000
2023-05-31,-0.04925808,-0.04902867,-0.04925808,0.00020348,448,monthly_equal_buffered_weekly_overlay,False,risk_on,0.16204860,0.00000000,0.00098946,12,46,109,2,0.00004728,0.03752291
2023-06-30,0.02676079,0.02690275,0.02676079,0.00006902,449,monthly_equal_buffered_weekly_overlay,False,caution,0.14370153,0.15000000,0.16621976,12,3,111,2,0.00007888,0.06207471
2023-07-31,0.05100708,0.05128159,0.05100708,0.00023444,449,monthly_equal_buffered_weekly_overlay,False,caution,-0.03581717,0.15000000,0.16654479,12,51,114,2,0.00004690,0.03659772
2023-08-31,-0.03307807,-0.03293839,-0.03307807,0.00010968,452,monthly_equal_buffered_weekly_overlay,False,risk_on,0.07869138,0.00000000,-0.00873715,12,51,116,1,0.00004225,0.06731820
2023-09-29,0.05342464,0.05349207,0.05342464,0.00000000,453,monthly_equal_buffered_weekly_overlay,False,caution,0.17516078,0.15000000,0.13206141,12,10,113,2,0.00007207,0.05386737
2023-10-31,-0.06388467,-0.06376996,-0.06388467,0.00012430,456,monthly_equal_buffered_weekly_overlay,False,caution,0.24321655,0.15000000,0.15147709,12,32,106,2,0.00000702,0.00517859
2023-11-30,0.01357592,0.01364791,0.01357592,0.00004029,457,monthly_equal_buffered_weekly_overlay,False,caution,0.36976567,0.15000000,0.15996988,12,13,107,1,0.00003684,0.05646076
2023-12-29,0.02081586,0.02120231,0.02081586,0.00024376,459,monthly_equal_buffered_weekly_overlay,False,caution,0.03255460,0.15000000,0.16069810,12,43,105,2,0.00015721,0.12319361
2024-01-31,0.02560100,0.02579752,0.02560100,0.00012874,462,monthly_equal_buffered_weekly_overlay,False,caution,-0.00353167,0.15000000,0.16159092,12,39,102,1,0.00008609,0.12796489
