date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type,trade_details_json,signal_date,evaluation_date,trade_date,risk_stage
2023-02-01,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance,"[{""ts_code"": ""00016.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08671197356177772, ""post_trade_weight"": 0.08673798715384626, ""diff_weight"": 0.08671197356177772, ""gross_amount"": 0.08671197356177772, ""gross_amount_pct_nav"": 0.08671197356177772, ""fee"": 2.6013592068533313e-05, ""fee_pct_nav"": 2.6013592068533313e-05, ""name"": ""新鸿基地产""}, {""ts_code"": ""00019.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08189875555877554, ""post_trade_weight"": 0.08192332518544318, ""diff_weight"": 0.08189875555877554, ""gross_amount"": 0.08189875555877554, ""gross_amount_pct_nav"": 0.08189875555877554, ""fee"": 2.456962666763266e-05, ""fee_pct_nav"": 2.456962666763266e-05, ""name"": ""太古股份公司A""}, {""ts_code"": ""00386.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08684949407614924, ""post_trade_weight"": 0.08687554892437209, ""diff_weight"": 0.08684949407614924, ""gross_amount"": 0.08684949407614924, ""gross_amount_pct_nav"": 0.08684949407614924, ""fee"": 2.6054848222844768e-05, ""fee_pct_nav"": 2.6054848222844768e-05, ""name"": ""中国石油化工股份""}, {""ts_code"": ""00728.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.09070006847855096, ""post_trade_weight"": 0.09072727849909452, ""diff_weight"": 0.09070006847855096, ""gross_amount"": 0.09070006847855096, ""gross_amount_pct_nav"": 0.09070006847855096, ""fee"": 2.7210020543565284e-05, ""fee_pct_nav"": 2.7210020543565284e-05, ""name"": ""中国电信""}, {""ts_code"": ""00762.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08079859144380361, ""post_trade_weight"": 0.08082283102123675, ""diff_weight"": 0.08079859144380361, ""gross_amount"": 0.08079859144380361, ""gross_amount_pct_nav"": 0.08079859144380361, ""fee"": 2.423957743314108e-05, ""fee_pct_nav"": 2.423957743314108e-05, ""name"": ""中国联通""}, {""ts_code"": ""00857.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08162371453003257, ""post_trade_weight"": 0.08164820164439159, ""diff_weight"": 0.08162371453003257, ""gross_amount"": 0.08162371453003257, ""gross_amount_pct_nav"": 0.08162371453003257, ""fee"": 2.448711435900977e-05, ""fee_pct_nav"": 2.448711435900977e-05, ""name"": ""中国石油股份""}, {""ts_code"": ""00883.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.09111263002166543, ""post_trade_weight"": 0.09113996381067194, ""diff_weight"": 0.09111263002166543, ""gross_amount"": 0.09111263002166543, ""gross_amount_pct_nav"": 0.09111263002166543, ""fee"": 2.733378900649963e-05, ""fee_pct_nav"": 2.733378900649963e-05, ""name"": ""中国海洋石油""}, {""ts_code"": ""00941.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.09028750693543648, ""post_trade_weight"": 0.09031459318751711, ""diff_weight"": 0.09028750693543648, ""gross_amount"": 0.09028750693543648, ""gross_amount_pct_nav"": 0.09028750693543648, ""fee"": 2.7086252080630944e-05, ""fee_pct_nav"": 2.7086252080630944e-05, ""name"": ""中国移动""}, {""ts_code"": ""01088.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08217379658751853, ""post_trade_weight"": 0.08219844872649479, ""diff_weight"": 0.08217379658751853, ""gross_amount"": 0.08217379658751853, ""gross_amount_pct_nav"": 0.08217379658751853, ""fee"": 2.4652138976255556e-05, ""fee_pct_nav"": 2.4652138976255556e-05, ""name"": ""中国神华""}, {""ts_code"": ""01339.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.07392256572522908, ""post_trade_weight"": 0.07394474249494665, ""diff_weight"": 0.07392256572522908, ""gross_amount"": 0.07392256572522908, ""gross_amount_pct_nav"": 0.07392256572522908, ""fee"": 2.217676971756872e-05, ""fee_pct_nav"": 2.217676971756872e-05, ""name"": ""中国人民保险集团""}, {""ts_code"": ""01876.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.0736475246964861, ""post_trade_weight"": 0.07366961895389504, ""diff_weight"": 0.0736475246964861, ""gross_amount"": 0.0736475246964861, ""gross_amount_pct_nav"": 0.0736475246964861, ""fee"": 2.209425740894583e-05, ""fee_pct_nav"": 2.209425740894583e-05, ""name"": ""百威亚太""}, {""ts_code"": ""03988.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.07997346835757468, ""post_trade_weight"": 0.07999746039808196, ""diff_weight"": 0.07997346835757468, ""gross_amount"": 0.07997346835757468, ""gross_amount_pct_nav"": 0.07997346835757468, ""fee"": 2.3992040507272402e-05, ""fee_pct_nav"": 2.3992040507272402e-05, ""name"": ""中国银行""}]",,,,
2023-02-03,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2023-02-03,2023-02-03,2023-02-06,risk_on
2023-02-10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2023-02-10,2023-02-10,2023-02-13,risk_on
2023-02-17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2023-02-17,2023-02-17,2023-02-20,risk_on
2023-02-24,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2023-02-24,2023-02-24,2023-02-27,risk_on
2023-03-01,0.17003219,0.34006438,0.17093455,0.16844032,0.00010181,0.00005128,0.00005053,0.00000000,rebalance,"[{""ts_code"": ""00005.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08280229298165954, ""post_trade_weight"": 0.08281074127676159, ""diff_weight"": 0.08280229298165954, ""gross_amount"": 0.08263440443579938, ""gross_amount_pct_nav"": 0.08280229298165954, ""fee"": 2.4790321330739813e-05, ""fee_pct_nav"": 2.4840687894497863e-05, ""name"": ""汇丰控股""}, {""ts_code"": ""00386.HK"", ""side"": ""buy"", ""current_weight"": 0.0833713135101841, ""target_weight"": 0.09826943974833072, ""post_trade_weight"": 0.09827946615214891, ""diff_weight"": 0.01489812623814661, ""gross_amount"": 0.014867919046291214, ""gross_amount_pct_nav"": 0.01489812623814661, ""fee"": 4.4603757138873636e-06, ""fee_pct_nav"": 4.469437871443982e-06, ""name"": ""中国石油化工股份""}, {""ts_code"": ""00762.HK"", ""side"": ""sell"", ""current_weight"": 0.08874152419868393, ""target_weight"": 0.07736789006363996, ""post_trade_weight"": 0.077375783888112, ""diff_weight"": -0.011373634135043982, ""gross_amount"": 0.011350573144492657, ""gross_amount_pct_nav"": 0.011373634135043982, ""fee"": 3.405171943347797e-06, ""fee_pct_nav"": 3.4120902405131945e-06, ""name"": ""中国联通""}, {""ts_code"": ""00883.HK"", ""side"": ""buy"", ""current_weight"": 0.08867891633357412, ""target_weight"": 0.1037038426663503, ""post_trade_weight"": 0.1037144235407985, ""diff_weight"": 0.015024926332776172, ""gross_amount"": 0.014994462043167373, ""gross_amount_pct_nav"": 0.015024926332776172, ""fee"": 4.498338612950211e-06, ""fee_pct_nav"": 4.507477899832851e-06, ""name"": ""中国海洋石油""}, {""ts_code"": ""01088.HK"", ""side"": ""sell"", ""current_weight"": 0.08217761756811803, ""target_weight"": 0.0706793941645389, ""post_trade_weight"": 0.07068660556362019, ""diff_weight"": -0.01149822340357913, ""gross_amount"": 0.011474909797908453, ""gross_amount_pct_nav"": 0.01149822340357913, ""fee"": 3.4424729393725355e-06, ""fee_pct_nav"": 3.4494670210737387e-06, ""name"": ""中国神华""}, {""ts_code"": ""01339.HK"", ""side"": ""sell"", ""current_weight"": 0.07092072230219604, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.07092072230219604, ""gross_amount"": 0.07077692463053849, ""gross_amount_pct_nav"": 0.07092072230219604, ""fee"": 2.1233077389161545e-05, ""fee_pct_nav"": 2.127621669065881e-05, ""name"": ""中国人民保险集团""}, {""ts_code"": ""01876.HK"", ""side"": ""sell"", ""current_weight"": 0.0749899626872273, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.0749899626872273, ""gross_amount"": 0.07483791429175043, ""gross_amount_pct_nav"": 0.0749899626872273, ""fee"": 2.245137428752513e-05, ""fee_pct_nav"": 2.249698880616819e-05, ""name"": ""百威亚太""}, {""ts_code"": ""01908.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.058556495347418275, ""post_trade_weight"": 0.0585624698504788, ""diff_weight"": 0.058556495347418275, ""gross_amount"": 0.05843776717576338, ""gross_amount_pct_nav"": 0.058556495347418275, ""fee"": 1.753133015272901e-05, ""fee_pct_nav"": 1.756694860422548e-05, ""name"": ""建发国际集团""}]",,,,
2023-03-03,0.00554687,0.01109375,0.01152482,0.00000000,0.00000346,0.00000346,0.00000000,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00016.HK"", ""side"": ""buy"", ""current_weight"": 0.0817504526327044, ""target_weight"": 0.09284419976541619, ""post_trade_weight"": 0.09284450876346706, ""diff_weight"": 0.011093747132711785, ""gross_amount"": 0.011524815706316568, ""gross_amount_pct_nav"": 0.011093747132711785, ""fee"": 3.45744471189497e-06, ""fee_pct_nav"": 3.3281241398135353e-06, ""name"": ""新鸿基地产""}]",2023-03-03,2023-03-03,2023-03-06,risk_on
2023-03-10,0.01947364,0.03894727,0.01428371,0.02601237,0.00001209,0.00000429,0.00000780,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00019.HK"", ""side"": ""buy"", ""current_weight"": 0.06565962670023223, ""target_weight"": 0.07946522361758138, ""post_trade_weight"": 0.07946615211448883, ""diff_weight"": 0.013805596917349148, ""gross_amount"": 0.014283707238384957, ""gross_amount_pct_nav"": 0.013805596917349148, ""fee"": 4.2851121715154865e-06, ""fee_pct_nav"": 4.141679075204744e-06, ""name"": ""太古股份公司A""}, {""ts_code"": ""00386.HK"", ""side"": ""sell"", ""current_weight"": 0.11062874901859812, ""target_weight"": 0.09827831783704115, ""post_trade_weight"": 0.09827946615211569, ""diff_weight"": -0.01235043118155697, ""gross_amount"": 0.012778146741593666, ""gross_amount_pct_nav"": 0.01235043118155697, ""fee"": 3.8334440224780995e-06, ""fee_pct_nav"": 3.7051293544670907e-06, ""name"": ""中国石油化工股份""}, {""ts_code"": ""00728.HK"", ""side"": ""sell"", ""current_weight"": 0.10145397836455361, ""target_weight"": 0.08866273634709507, ""post_trade_weight"": 0.08866377231066198, ""diff_weight"": -0.012791242017458545, ""gross_amount"": 0.013234223575157689, ""gross_amount_pct_nav"": 0.012791242017458545, ""fee"": 3.970267072547306e-06, ""fee_pct_nav"": 3.837372605237563e-06, ""name"": ""中国电信""}]",2023-03-10,2023-03-10,2023-03-13,risk_on
2023-03-17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2023-03-17,2023-03-17,2023-03-20,risk_on
2023-03-24,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2023-03-24,2023-03-24,2023-03-27,risk_on
