date,portfolio_return,nav,drawdown,trading_cost
2025-02-03,0.00000000,1.00000000,0.00000000,0.00000000
2025-02-28,0.11410996,1.11410996,0.00000000,0.00029991
2025-03-31,0.04498059,1.16422329,0.00000000,0.00007527
2025-04-30,0.01714466,1.18418350,0.00000000,0.00009934
2025-05-30,0.05673526,1.25136846,0.00000000,0.00006504
2025-06-30,0.08829318,1.36185576,0.00000000,0.00012644
2025-07-31,-0.01317469,1.34391373,-0.01317469,0.00034278
2025-08-29,0.07708189,1.44750514,0.00000000,0.00027167
2025-09-30,0.02773769,1.48765560,0.00000000,0.00035092
2025-10-31,-0.05183963,1.41053608,-0.05183963,0.00038405
2025-11-28,-0.00510904,1.40332960,-0.05668382,0.00022775
2025-12-31,0.02793205,1.44252747,-0.03033506,0.00027673
2026-01-30,0.15919160,1.67216573,0.00000000,0.00022938
2026-02-27,-0.03195574,1.61873043,-0.03195574,0.00027183
2026-03-31,-0.12018045,1.42419067,-0.14829574,0.00030677
2026-04-30,0.06852321,1.52178079,-0.08993423,0.00007278
