date,ts_code,name,weight
2025-02-28,01810.HK,小米集团-W,0.09758139
2025-02-28,09992.HK,泡泡玛特,0.09195057
2025-02-28,00939.HK,建设银行,0.08725818
2025-02-28,03988.HK,中国银行,0.08473959
2025-02-28,00998.HK,中信银行,0.08408933
2025-02-28,00005.HK,汇丰控股,0.08406827
2025-02-28,00981.HK,中芯国际,0.08058819
2025-02-28,01398.HK,工商银行,0.07582984
2025-02-28,02618.HK,京东物流,0.07187599
2025-02-28,03968.HK,招商银行,0.07183821
2025-02-28,03328.HK,交通银行,0.06939893
2025-02-28,01339.HK,中国人民保险集团,0.06749744
2025-02-28,CASH,现金,0.03328408
2025-03-31,03988.HK,中国银行,0.09763424
2025-03-31,00005.HK,汇丰控股,0.09421307
2025-03-31,00939.HK,建设银行,0.08717680
2025-03-31,00998.HK,中信银行,0.08567497
2025-03-31,01288.HK,农业银行,0.08432128
2025-03-31,01398.HK,工商银行,0.08287592
2025-03-31,03968.HK,招商银行,0.07946184
2025-03-31,01810.HK,小米集团-W,0.07849829
2025-03-31,09992.HK,泡泡玛特,0.07681235
2025-03-31,03328.HK,交通银行,0.07003415
2025-03-31,01339.HK,中国人民保险集团,0.06779635
2025-03-31,00981.HK,中芯国际,0.06632837
2025-03-31,CASH,现金,0.02917236
2025-04-30,01810.HK,小米集团-W,0.09402973
2025-04-30,03988.HK,中国银行,0.09152522
2025-04-30,00005.HK,汇丰控股,0.09152174
2025-04-30,01398.HK,工商银行,0.08783738
2025-04-30,00998.HK,中信银行,0.08478410
2025-04-30,01288.HK,农业银行,0.08396281
2025-04-30,00939.HK,建设银行,0.08213998
2025-04-30,02388.HK,中银香港,0.08063808
2025-04-30,09992.HK,泡泡玛特,0.07896263
2025-04-30,03618.HK,重庆农村商业银行,0.07895979
2025-04-30,03968.HK,招商银行,0.07225050
2025-04-30,03328.HK,交通银行,0.06945162
2025-04-30,CASH,现金,0.00393641
2025-05-30,03988.HK,中国银行,0.09100174
2025-05-30,00998.HK,中信银行,0.09044109
2025-05-30,01398.HK,工商银行,0.08921495
2025-05-30,00939.HK,建设银行,0.08577098
2025-05-30,09992.HK,泡泡玛特,0.08532917
2025-05-30,01288.HK,农业银行,0.08448371
2025-05-30,03618.HK,重庆农村商业银行,0.08268950
2025-05-30,00005.HK,汇丰控股,0.07950480
2025-05-30,02388.HK,中银香港,0.07913865
2025-05-30,01810.HK,小米集团-W,0.07343232
2025-05-30,00981.HK,中芯国际,0.07272508
2025-05-30,03328.HK,交通银行,0.06639937
2025-05-30,CASH,现金,0.01986864
2025-06-30,00998.HK,中信银行,0.09217085
2025-06-30,01398.HK,工商银行,0.08929888
2025-06-30,00939.HK,建设银行,0.08866393
2025-06-30,00981.HK,中芯国际,0.08837817
2025-06-30,01288.HK,农业银行,0.08625505
2025-06-30,03988.HK,中国银行,0.08361877
2025-06-30,01988.HK,民生银行,0.08150084
2025-06-30,01810.HK,小米集团-W,0.07939375
2025-06-30,02388.HK,中银香港,0.07797891
2025-06-30,03618.HK,重庆农村商业银行,0.07785987
2025-06-30,03328.HK,交通银行,0.07768915
2025-06-30,02328.HK,中国财险,0.07188530
2025-06-30,CASH,现金,0.00530651
2025-07-31,02388.HK,中银香港,0.09315093
2025-07-31,00998.HK,中信银行,0.09127863
2025-07-31,00981.HK,中芯国际,0.08612629
2025-07-31,01339.HK,中国人民保险集团,0.08573297
2025-07-31,00288.HK,万洲国际,0.08501916
2025-07-31,03988.HK,中国银行,0.08436349
2025-07-31,00388.HK,香港交易所,0.08429425
2025-07-31,01288.HK,农业银行,0.08238481
2025-07-31,01810.HK,小米集团-W,0.08135001
2025-07-31,00939.HK,建设银行,0.08128253
2025-07-31,09992.HK,泡泡玛特,0.08053323
2025-07-31,06181.HK,老铺黄金,0.07920748
2025-08-29,01378.HK,中国宏桥,0.09204161
2025-08-29,01339.HK,中国人民保险集团,0.09198513
2025-08-29,01810.HK,小米集团-W,0.08923155
2025-08-29,09992.HK,泡泡玛特,0.08394344
2025-08-29,00388.HK,香港交易所,0.08156811
2025-08-29,00939.HK,建设银行,0.08109054
2025-08-29,01288.HK,农业银行,0.07797413
2025-08-29,01336.HK,新华保险,0.07761370
2025-08-29,02359.HK,药明康德,0.07518505
2025-08-29,06618.HK,京东健康,0.07515994
2025-08-29,02388.HK,中银香港,0.07366351
2025-08-29,00998.HK,中信银行,0.07123364
2025-08-29,CASH,现金,0.02930966
2025-09-30,01378.HK,中国宏桥,0.09300743
2025-09-30,02359.HK,药明康德,0.09236723
2025-09-30,09992.HK,泡泡玛特,0.08737517
2025-09-30,01339.HK,中国人民保险集团,0.08732267
2025-09-30,09995.HK,荣昌生物,0.08648534
2025-09-30,01776.HK,广发证券,0.08464338
2025-09-30,02269.HK,药明生物,0.08355148
2025-09-30,01336.HK,新华保险,0.08286395
2025-09-30,00388.HK,香港交易所,0.07987892
2025-09-30,02628.HK,中国人寿,0.07716416
2025-09-30,01810.HK,小米集团-W,0.07704027
2025-09-30,09863.HK,零跑汽车,0.07579627
2025-10-31,01378.HK,中国宏桥,0.09803846
2025-10-31,01336.HK,新华保险,0.09296073
2025-10-31,02628.HK,中国人寿,0.09139375
2025-10-31,09992.HK,泡泡玛特,0.08760267
2025-10-31,00005.HK,汇丰控股,0.08673204
2025-10-31,00981.HK,中芯国际,0.08593371
2025-10-31,01339.HK,中国人民保险集团,0.08450937
2025-10-31,01177.HK,中国生物制药,0.08355009
2025-10-31,02611.HK,国泰海通,0.08258043
2025-10-31,01347.HK,华虹半导体,0.07767001
2025-10-31,09995.HK,荣昌生物,0.07710510
2025-10-31,01810.HK,小米集团-W,0.07585777
2025-11-28,01378.HK,中国宏桥,0.10301503
2025-11-28,01177.HK,中国生物制药,0.09464597
2025-11-28,01530.HK,三生制药,0.09261758
2025-11-28,03993.HK,洛阳钼业,0.08891373
2025-11-28,01347.HK,华虹半导体,0.08370998
2025-11-28,09995.HK,荣昌生物,0.08004137
2025-11-28,00981.HK,中芯国际,0.07923467
2025-11-28,01336.HK,新华保险,0.07900956
2025-11-28,00005.HK,汇丰控股,0.07730179
2025-11-28,01339.HK,中国人民保险集团,0.07567695
2025-11-28,09992.HK,泡泡玛特,0.07216830
2025-11-28,00358.HK,江西铜业股份,0.07049439
2025-11-28,CASH,现金,0.00317069
2025-12-31,01378.HK,中国宏桥,0.09456284
2025-12-31,00981.HK,中芯国际,0.09295608
2025-12-31,03993.HK,洛阳钼业,0.08858303
2025-12-31,02628.HK,中国人寿,0.08383385
2025-12-31,02600.HK,中国铝业,0.08313644
2025-12-31,00358.HK,江西铜业股份,0.08265422
2025-12-31,01347.HK,华虹半导体,0.08121671
2025-12-31,01177.HK,中国生物制药,0.08071180
2025-12-31,01336.HK,新华保险,0.08014444
2025-12-31,02400.HK,心动公司,0.07879093
2025-12-31,00857.HK,中国石油股份,0.07396456
2025-12-31,09995.HK,荣昌生物,0.07066777
2025-12-31,CASH,现金,0.00877731
2026-01-30,02899.HK,紫金矿业,0.09538596
2026-01-30,02628.HK,中国人寿,0.09213130
2026-01-30,01378.HK,中国宏桥,0.09032939
2026-01-30,00857.HK,中国石油股份,0.08944999
2026-01-30,03993.HK,洛阳钼业,0.08865116
2026-01-30,02600.HK,中国铝业,0.08161978
2026-01-30,01347.HK,华虹半导体,0.08038076
2026-01-30,00358.HK,江西铜业股份,0.07891922
2026-01-30,01177.HK,中国生物制药,0.07481031
2026-01-30,02388.HK,中银香港,0.07278504
2026-01-30,01208.HK,五矿资源,0.07204819
2026-01-30,00981.HK,中芯国际,0.06590936
2026-01-30,CASH,现金,0.01757954
2026-02-27,02388.HK,中银香港,0.10486119
2026-02-27,00005.HK,汇丰控股,0.09770562
2026-02-27,02899.HK,紫金矿业,0.09364150
2026-02-27,03993.HK,洛阳钼业,0.08728772
2026-02-27,00700.HK,腾讯控股,0.08373853
2026-02-27,00857.HK,中国石油股份,0.08071214
2026-02-27,01378.HK,中国宏桥,0.08059757
2026-02-27,02318.HK,中国平安,0.07866548
2026-02-27,00358.HK,江西铜业股份,0.07832938
2026-02-27,00981.HK,中芯国际,0.07312059
2026-02-27,02628.HK,中国人寿,0.07208324
2026-02-27,01347.HK,华虹半导体,0.06895757
2026-02-27,CASH,现金,0.00029945
2026-03-31,02388.HK,中银香港,0.09758372
2026-03-31,00005.HK,汇丰控股,0.09484268
2026-03-31,00857.HK,中国石油股份,0.09276757
2026-03-31,00016.HK,新鸿基地产,0.08955228
2026-03-31,00001.HK,长和,0.08338398
2026-03-31,01088.HK,中国神华,0.08039790
2026-03-31,02628.HK,中国人寿,0.07951242
2026-03-31,02899.HK,紫金矿业,0.07903486
2026-03-31,02318.HK,中国平安,0.07816882
