date,portfolio_return,nav,drawdown,trading_cost
2017-01-01,0.00000000,1.00000000,0.00000000,0.00000000
2017-01-27,0.04457642,1.04457642,0.00000000,0.00029991
2017-02-28,0.05105433,1.09790657,0.00000000,0.00049402
2017-03-31,0.01894780,1.11870948,0.00000000,0.00015354
2017-04-28,0.01192869,1.13205422,0.00000000,0.00015490
2017-05-31,0.07452646,1.21642221,0.00000000,0.00011392
2017-06-30,0.01868303,1.23914866,0.00000000,0.00006859
2017-07-31,0.09035163,1.35110777,0.00000000,0.00013714
2017-08-31,0.04078431,1.40621177,0.00000000,0.00009709
2017-09-29,-0.00158074,1.40398892,-0.00158074,0.00005403
2017-10-31,0.03644092,1.45515157,0.00000000,0.00007489
2017-11-30,0.04339801,1.51830224,0.00000000,0.00004569
2017-12-29,0.00803892,1.53050775,0.00000000,0.00013644
2018-01-31,0.14036048,1.74533056,0.00000000,0.00009645
2018-02-28,-0.07496848,1.61448578,-0.07496848,0.00026005
2018-03-29,-0.01254413,1.59423346,-0.08657220,0.00005136
2018-04-30,0.01885651,1.62429513,-0.06934814,0.00019441
2018-05-31,-0.01484626,1.60018042,-0.08316484,0.00020112
2018-06-29,-0.03138917,1.54995209,-0.11194354,0.00019631
2018-07-31,0.01942838,1.58006515,-0.09469004,0.00018602
2018-08-31,-0.00858714,1.56649690,-0.10246406,0.00028833
2018-09-28,0.02353761,1.60336849,-0.08133821,0.00011834
2018-10-31,-0.07265232,1.48688005,-0.14808112,0.00025155
2018-11-30,0.02639134,1.52612080,-0.12559785,0.00001695
2018-12-31,-0.01641261,1.50107317,-0.13994907,0.00024031
2019-01-31,0.03833467,1.55861631,-0.10697930,0.00000000
2019-02-28,0.01237196,1.57789945,-0.09593089,0.00008148
2019-03-29,-0.00969396,1.56260336,-0.10469490,0.00022159
2019-04-30,0.00616206,1.57223221,-0.09917797,0.00020784
2019-05-31,-0.05221653,1.49013571,-0.14621577,0.00035138
2019-06-28,0.06915819,1.59319079,-0.08716960,0.00011452
2019-07-31,-0.01533766,1.56875497,-0.10117029,0.00035655
2019-08-30,-0.06999634,1.45894785,-0.16408508,0.00011880
2019-09-30,0.00439308,1.46535713,-0.16041284,0.00018525
2019-10-31,0.05846954,1.55103589,-0.11132257,0.00023576
2019-11-29,-0.01608568,1.52608641,-0.12561755,0.00010724
2019-12-31,0.04827372,1.59975629,-0.08340785,0.00005335
2020-01-31,-0.08733821,1.46003644,-0.16346137,0.00017275
2020-02-28,0.00989287,1.47448039,-0.15518560,0.00012861
2020-03-31,-0.05139708,1.39869640,-0.19860660,0.00016636
2020-04-29,0.01581091,1.42081106,-0.18593584,0.00023949
2020-05-29,-0.00024247,1.42046656,-0.18613322,0.00007686
2020-06-30,0.05573905,1.49964201,-0.14076907,0.00013715
2020-07-31,0.04420401,1.56593219,-0.10278762,0.00009148
2020-08-31,0.03584012,1.62205539,-0.07063142,0.00016668
2020-09-30,-0.06123740,1.52272493,-0.12754354,0.00007641
2020-10-30,0.07359454,1.63478917,-0.06333551,0.00020856
2020-11-30,0.14771984,1.87627997,0.00000000,0.00019260
2020-12-31,0.05405033,1.97769352,0.00000000,0.00029805
2025-01-28,-0.12646508,1.72758436,-0.12646508,0.00036030
2025-02-28,0.14398304,1.97632721,-0.00069086,0.00019738
2025-03-31,0.02267224,2.02113497,0.00000000,0.00063832
2025-04-30,-0.02325094,1.97414168,-0.02325094,0.00023519
2025-05-30,0.08454901,2.14105340,0.00000000,0.00043011
2025-06-30,0.05465668,2.25807628,0.00000000,0.00020763
2025-07-31,0.01862109,2.30012412,0.00000000,0.00000733
2025-08-29,-0.02579215,2.24079898,-0.02579215,0.00017356
2025-09-30,0.02211018,2.29034345,-0.00425223,0.00038964
2025-10-31,0.05322429,2.41224537,0.00000000,0.00007458
2025-11-28,0.02783252,2.47938424,0.00000000,0.00008558
2025-12-31,-0.01089687,2.45236672,-0.01089687,0.00007271
