date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-02-01,0.38465123,0.76930247,0.39679346,0.37370242,0.00023115,0.00011904,0.00011211,0.00000000,rebalance
2021-03-01,0.41929652,0.83859303,0.43838954,0.44799351,0.00026591,0.00013152,0.00013440,0.00000000,rebalance
2021-04-01,0.05838021,0.11676041,0.05418030,0.07340175,0.00003827,0.00001625,0.00002202,0.00000000,rebalance
2021-05-03,0.26804139,0.53608278,0.29587117,0.28131148,0.00017315,0.00008876,0.00008439,0.00000000,rebalance
2021-06-01,0.24865651,0.49731302,0.27858343,0.27987862,0.00016754,0.00008358,0.00008396,0.00000000,rebalance
2021-07-02,0.06465604,0.12931208,0.05671994,0.08266339,0.00004181,0.00001702,0.00002480,0.00000000,rebalance
2021-08-02,0.27289101,0.54578203,0.28582592,0.27930837,0.00016954,0.00008575,0.00008379,0.00000000,rebalance
2021-09-01,0.17416937,0.34833875,0.18675464,0.17875410,0.00010965,0.00005603,0.00005363,0.00000000,rebalance
2021-10-04,0.12299782,0.24599564,0.13289695,0.11967588,0.00007577,0.00003987,0.00003590,0.00000000,rebalance
2021-11-01,0.19234611,0.38469221,0.19878395,0.20579117,0.00012137,0.00005964,0.00006174,0.00000000,rebalance
2021-12-01,0.23269110,0.46538220,0.14264864,0.32396074,0.00013998,0.00004279,0.00009719,0.00000000,rebalance
2022-01-03,0.14309684,0.28619368,0.13405760,0.15374680,0.00008634,0.00004022,0.00004612,0.00000000,rebalance
2022-02-04,0.16924005,0.33848011,0.17316699,0.19562182,0.00011064,0.00005195,0.00005869,0.00000000,rebalance
2022-03-01,0.06419050,0.12838100,0.06184716,0.07643655,0.00004149,0.00001855,0.00002293,0.00000000,rebalance
2022-04-01,0.04566536,0.09133073,0.05444577,0.04607659,0.00003016,0.00001633,0.00001382,0.00000000,rebalance
2022-05-03,0.13994532,0.27989064,0.00000000,0.29674103,0.00008902,0.00000000,0.00008902,0.00000000,rebalance
2022-06-01,0.02845612,0.05691224,0.02503265,0.03637971,0.00001842,0.00000751,0.00001091,0.00000000,rebalance
2022-07-04,0.20757895,0.41515790,0.38371256,0.06779805,0.00013545,0.00011511,0.00002034,0.00000000,rebalance
2022-08-01,0.04970861,0.09941721,0.04336358,0.06304242,0.00003192,0.00001301,0.00001891,0.00000000,rebalance
2022-09-01,0.18921598,0.37843196,0.06256229,0.33589538,0.00011954,0.00001877,0.00010077,0.00000000,rebalance
2022-10-03,0.02896670,0.05793339,0.01804867,0.04148076,0.00001786,0.00000541,0.00001244,0.00000000,rebalance
2022-11-01,0.00505863,0.01011725,0.00000000,0.01019060,0.00000306,0.00000000,0.00000306,0.00000000,rebalance
2022-12-01,0.19897930,0.39795860,0.37649129,0.04393661,0.00012613,0.00011295,0.00001318,0.00000000,rebalance
2023-01-03,0.08451610,0.16903221,0.10179150,0.08141650,0.00005496,0.00003054,0.00002442,0.00000000,rebalance
2023-02-01,0.06421464,0.12842928,0.14841528,0.00000000,0.00004452,0.00004452,0.00000000,0.00000000,rebalance
2023-03-01,0.03855457,0.07710915,0.07430257,0.01471252,0.00002670,0.00002229,0.00000441,0.00000000,rebalance
2023-04-03,0.15696744,0.31393488,0.15340640,0.22061009,0.00011220,0.00004602,0.00006618,0.00000000,rebalance
2023-05-02,0.07743762,0.15487523,0.12009435,0.07654890,0.00005899,0.00003603,0.00002296,0.00000000,rebalance
2023-06-01,0.08599010,0.17198019,0.00000000,0.20575996,0.00006173,0.00000000,0.00006173,0.00000000,rebalance
2023-07-03,0.20427912,0.40855824,0.24829193,0.26962352,0.00015537,0.00007449,0.00008089,0.00000000,rebalance
2023-08-01,0.14481912,0.28963824,0.27632608,0.10095299,0.00011318,0.00008290,0.00003029,0.00000000,rebalance
2023-09-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-10-03,0.09317157,0.18634315,0.04624886,0.19224105,0.00007155,0.00001387,0.00005767,0.00000000,rebalance
2023-11-01,0.06045938,0.12091875,0.06385552,0.08746699,0.00004540,0.00001916,0.00002624,0.00000000,rebalance
2023-12-01,0.10901982,0.21803965,0.11203770,0.16432217,0.00008291,0.00003361,0.00004930,0.00000000,rebalance
2024-01-02,0.03726414,0.07452827,0.04279281,0.05352135,0.00002889,0.00001284,0.00001606,0.00000000,rebalance
2024-02-01,0.17931615,0.35863230,0.05737398,0.40844687,0.00013975,0.00001721,0.00012253,0.00000000,rebalance
2024-03-01,0.02352871,0.04705741,0.02955734,0.03352914,0.00001893,0.00000887,0.00001006,0.00000000,rebalance
2024-04-02,0.13091275,0.26182551,0.36110741,0.00000000,0.00010833,0.00010833,0.00000000,0.00000000,rebalance
