date,ts_code,name,weight
2020-01-31,02318.HK,中国平安,0.13294523
2020-01-31,01398.HK,工商银行,0.12357860
2020-01-31,00939.HK,建设银行,0.11155366
2020-01-31,03968.HK,招商银行,0.09486280
2020-01-31,02628.HK,中国人寿,0.08031486
2020-01-31,01658.HK,邮储银行,0.07565144
2020-01-31,00960.HK,龙湖集团,0.05249797
2020-01-31,00914.HK,海螺水泥,0.04846340
2020-01-31,01177.HK,中国生物制药,0.04763233
2020-01-31,02202.HK,万科企业,0.04712310
2020-01-31,01313.HK,华润建材科技,0.04680299
2020-01-31,00881.HK,中升控股,0.04656795
2020-01-31,01988.HK,民生银行,0.04612329
2020-01-31,02382.HK,舜宇光学科技,0.04588238
2020-02-28,CASH,现金,0.18443672
2020-02-28,01398.HK,工商银行,0.10071095
2020-02-28,02318.HK,中国平安,0.09319023
2020-02-28,00939.HK,建设银行,0.07895462
2020-02-28,01658.HK,邮储银行,0.07462956
2020-02-28,03968.HK,招商银行,0.06134759
2020-02-28,00960.HK,龙湖集团,0.05565848
2020-02-28,00914.HK,海螺水泥,0.05381764
2020-02-28,01313.HK,华润建材科技,0.05083593
2020-02-28,00881.HK,中升控股,0.04666653
2020-02-28,02628.HK,中国人寿,0.04400776
2020-02-28,02382.HK,舜宇光学科技,0.04272244
2020-02-28,02269.HK,药明生物,0.04155112
2020-02-28,00586.HK,海螺创业,0.03780132
2020-02-28,01988.HK,民生银行,0.03366913
2020-03-31,00700.HK,腾讯控股,0.18661068
2020-03-31,01398.HK,工商银行,0.10476224
2020-03-31,02318.HK,中国平安,0.08565403
2020-03-31,00939.HK,建设银行,0.08313915
2020-03-31,03968.HK,招商银行,0.07830968
2020-03-31,01658.HK,邮储银行,0.06180240
2020-03-31,00960.HK,龙湖集团,0.06095037
2020-03-31,03988.HK,中国银行,0.05996627
2020-03-31,01313.HK,华润建材科技,0.05016615
2020-03-31,00881.HK,中升控股,0.04460529
2020-03-31,00914.HK,海螺水泥,0.04207685
2020-03-31,02269.HK,药明生物,0.03830899
2020-03-31,02628.HK,中国人寿,0.03825799
2020-03-31,00586.HK,海螺创业,0.03609567
2020-03-31,CASH,现金,0.02929425
2020-04-29,CASH,现金,0.46638172
2020-04-29,00700.HK,腾讯控股,0.09508344
2020-04-29,00939.HK,建设银行,0.05162144
2020-04-29,01398.HK,工商银行,0.04927893
2020-04-29,00914.HK,海螺水泥,0.04651513
2020-04-29,02318.HK,中国平安,0.03920357
2020-04-29,00586.HK,海螺创业,0.03787233
2020-04-29,01658.HK,邮储银行,0.03478642
2020-04-29,03988.HK,中国银行,0.03079402
2020-04-29,03968.HK,招商银行,0.02734597
2020-04-29,01513.HK,丽珠医药,0.02713799
2020-04-29,01313.HK,华润建材科技,0.02471198
2020-04-29,06098.HK,碧桂园服务,0.02370614
2020-04-29,01988.HK,民生银行,0.02327109
2020-04-29,00960.HK,龙湖集团,0.02228981
2020-05-29,CASH,现金,0.48311849
2020-05-29,00700.HK,腾讯控股,0.09429070
2020-05-29,00939.HK,建设银行,0.04983488
2020-05-29,01398.HK,工商银行,0.04683471
2020-05-29,01288.HK,农业银行,0.04044443
2020-05-29,02318.HK,中国平安,0.03909804
2020-05-29,03690.HK,美团-W,0.03729285
2020-05-29,01658.HK,邮储银行,0.03691186
2020-05-29,03988.HK,中国银行,0.02947383
2020-05-29,03968.HK,招商银行,0.02677320
2020-05-29,00388.HK,香港交易所,0.02621852
2020-05-29,00914.HK,海螺水泥,0.02513491
2020-05-29,01299.HK,友邦保险,0.02177576
2020-05-29,01988.HK,民生银行,0.02165194
2020-05-29,06808.HK,高鑫零售,0.02114589
2020-06-30,CASH,现金,0.20545815
2020-06-30,00700.HK,腾讯控股,0.16042006
2020-06-30,00939.HK,建设银行,0.07825176
2020-06-30,01398.HK,工商银行,0.07780368
2020-06-30,01288.HK,农业银行,0.06331787
2020-06-30,03690.HK,美团-W,0.05668202
2020-06-30,00388.HK,香港交易所,0.04653889
2020-06-30,00914.HK,海螺水泥,0.04417391
2020-06-30,06808.HK,高鑫零售,0.04335846
2020-06-30,01988.HK,民生银行,0.03973389
2020-06-30,02269.HK,药明生物,0.03808870
2020-06-30,03988.HK,中国银行,0.03805703
2020-06-30,02318.HK,中国平安,0.03748348
2020-06-30,03968.HK,招商银行,0.03596828
2020-06-30,01658.HK,邮储银行,0.03466381
2020-07-31,CASH,现金,0.19725971
2020-07-31,00700.HK,腾讯控股,0.14701237
2020-07-31,00939.HK,建设银行,0.07606253
2020-07-31,01288.HK,农业银行,0.06107725
2020-07-31,03690.HK,美团-W,0.06056172
2020-07-31,01398.HK,工商银行,0.05971767
2020-07-31,02318.HK,中国平安,0.05394729
2020-07-31,03968.HK,招商银行,0.05007599
2020-07-31,00388.HK,香港交易所,0.04996701
2020-07-31,00914.HK,海螺水泥,0.04742518
2020-07-31,06098.HK,碧桂园服务,0.04690751
2020-07-31,02269.HK,药明生物,0.04102758
2020-07-31,03988.HK,中国银行,0.03783214
2020-07-31,03692.HK,翰森制药,0.03740889
2020-07-31,06808.HK,高鑫零售,0.03371715
2020-08-31,00700.HK,腾讯控股,0.17213533
2020-08-31,03690.HK,美团-W,0.09989778
2020-08-31,01398.HK,工商银行,0.08761882
2020-08-31,00939.HK,建设银行,0.08662474
2020-08-31,02318.HK,中国平安,0.06603459
2020-08-31,02269.HK,药明生物,0.06575086
2020-08-31,00960.HK,龙湖集团,0.05660548
2020-08-31,01288.HK,农业银行,0.05541194
2020-08-31,03692.HK,翰森制药,0.05317979
2020-08-31,06098.HK,碧桂园服务,0.05233753
2020-08-31,00388.HK,香港交易所,0.05096257
2020-08-31,03988.HK,中国银行,0.04660990
2020-08-31,00914.HK,海螺水泥,0.04393391
2020-08-31,01833.HK,平安好医生,0.03923377
2020-08-31,CASH,现金,0.02366298
2020-09-30,00700.HK,腾讯控股,0.17679298
2020-09-30,03690.HK,美团-W,0.10066775
2020-09-30,01398.HK,工商银行,0.08637676
2020-09-30,00388.HK,香港交易所,0.07389946
2020-09-30,02318.HK,中国平安,0.06926121
2020-09-30,00939.HK,建设银行,0.06817104
2020-09-30,02269.HK,药明生物,0.06559449
2020-09-30,00960.HK,龙湖集团,0.06389221
2020-09-30,01288.HK,农业银行,0.05525826
2020-09-30,06098.HK,碧桂园服务,0.05141568
2020-09-30,01833.HK,平安好医生,0.04688587
2020-09-30,03988.HK,中国银行,0.04669763
2020-09-30,01810.HK,小米集团-W,0.04581018
2020-09-30,00914.HK,海螺水泥,0.04438625
2020-09-30,CASH,现金,0.00489020
2020-10-30,00700.HK,腾讯控股,0.19026662
2020-10-30,03690.HK,美团-W,0.11176012
2020-10-30,00388.HK,香港交易所,0.07043205
2020-10-30,02269.HK,药明生物,0.07016490
2020-10-30,00939.HK,建设银行,0.06762774
2020-10-30,01810.HK,小米集团-W,0.06746930
2020-10-30,02318.HK,中国平安,0.06455250
2020-10-30,00960.HK,龙湖集团,0.05793951
2020-10-30,01211.HK,比亚迪股份,0.05583955
2020-10-30,00669.HK,创科实业,0.05039440
2020-10-30,00241.HK,阿里健康,0.04895043
2020-10-30,06098.HK,碧桂园服务,0.04673732
2020-10-30,01833.HK,平安好医生,0.04400178
2020-10-30,03692.HK,翰森制药,0.04364415
2020-10-30,CASH,现金,0.01021964
2020-11-30,00700.HK,腾讯控股,0.14921881
2020-11-30,02269.HK,药明生物,0.14033986
2020-11-30,03690.HK,美团-W,0.10684293
2020-11-30,02318.HK,中国平安,0.07509321
2020-11-30,01810.HK,小米集团-W,0.07080955
2020-11-30,00388.HK,香港交易所,0.06388704
2020-11-30,00960.HK,龙湖集团,0.06056082
2020-11-30,01211.HK,比亚迪股份,0.05749303
2020-11-30,02359.HK,药明康德,0.05706922
2020-11-30,03692.HK,翰森制药,0.05633791
2020-11-30,00669.HK,创科实业,0.04218977
2020-11-30,00868.HK,信义玻璃,0.04068023
2020-11-30,02313.HK,申洲国际,0.03963582
2020-11-30,06098.HK,碧桂园服务,0.03633092
2020-11-30,CASH,现金,0.00351088
2020-12-31,00700.HK,腾讯控股,0.16860147
2020-12-31,03690.HK,美团-W,0.10297217
2020-12-31,01810.HK,小米集团-W,0.08416342
2020-12-31,02318.HK,中国平安,0.07437637
2020-12-31,02359.HK,药明康德,0.07085509
2020-12-31,00388.HK,香港交易所,0.06683788
