date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2023-02-28,-0.02958141,-0.02928150,-0.02958141,0.00029991,444,monthly_moderate,False,risk_on,0.06515927,0.00000000,0.00000000,14,50,98
2023-03-31,0.05781162,0.05782645,0.05781162,0.00001439,445,monthly_moderate,False,risk_on,0.15647283,0.00000000,-0.02247521,14,11,97
2023-04-28,0.06823316,0.06832606,0.06823316,0.00009536,448,monthly_moderate,False,risk_on,0.12267986,0.00000000,0.03007310,14,38,99
2023-05-31,-0.05452992,-0.05448626,-0.05452992,0.00004788,448,monthly_moderate,False,risk_on,0.16204860,0.00000000,0.00278348,14,43,102
2023-06-30,0.04165301,0.04170419,0.04165301,0.00005306,449,monthly_moderate,False,caution,0.14370153,0.20000000,0.17959317,14,3,107
2023-07-31,0.04340022,0.04352775,0.04340022,0.00013773,449,monthly_moderate,False,caution,-0.03581717,0.20000000,0.20898586,14,49,104
2023-08-31,-0.03116791,-0.03107803,-0.03116791,0.00010128,452,monthly_moderate,False,risk_on,0.07869138,0.00000000,0.04595123,14,48,108
2023-09-29,0.04518828,0.04518828,0.04518828,0.00000000,453,monthly_moderate,False,caution,0.17516078,0.20000000,0.04595123,14,10,108
2023-10-31,-0.05764349,-0.05758742,-0.05764349,0.00006398,456,monthly_moderate,False,caution,0.24321655,0.20000000,0.17920133,14,30,96
2023-11-30,0.02798563,0.02802112,0.02798563,0.00003816,457,monthly_moderate,False,caution,0.36976567,0.20000000,0.19603725,14,11,100
2023-12-29,0.01118997,0.01125482,0.01118997,0.00007168,459,monthly_moderate,False,caution,0.03255460,0.20000000,0.24128806,14,40,98
2024-01-31,0.00822593,0.00824827,0.00822593,0.00002497,462,monthly_moderate,False,caution,-0.00353167,0.20000000,0.25053385,14,38,95
2024-02-29,0.02690600,0.02701318,0.02690600,0.00012079,466,monthly_moderate,True,risk_off,-0.06982058,0.50000000,0.55387937,14,26,105
2024-03-28,0.01509094,0.01510507,0.01509094,0.00001635,466,monthly_moderate,True,risk_off,-0.12501840,0.50000000,0.55729523,14,59,106
2024-04-30,0.05239423,0.05247392,0.05239423,0.00009361,468,monthly_moderate,False,caution,-0.04838655,0.20000000,0.24515279,14,33,107
2024-05-31,0.05086888,0.05092845,0.05086888,0.00007364,469,monthly_moderate,False,caution,-0.04411826,0.20000000,0.17918656,14,55,105
2024-06-28,0.05639180,0.05644148,0.05639180,0.00006455,469,monthly_moderate,False,risk_on,0.11056144,0.00000000,0.06451313,14,50,105
2024-07-31,-0.01263607,-0.01260116,-0.01263607,0.00004791,469,monthly_moderate,False,risk_on,0.10694983,0.00000000,0.05290305,14,40,102
2024-08-30,0.02677431,0.02678703,0.02677431,0.00001724,471,monthly_moderate,False,risk_on,0.00900634,0.00000000,0.03807052,14,22,100
2024-09-30,0.02865756,0.02869971,0.02865756,0.00005865,471,monthly_moderate,False,risk_on,0.07122244,0.00000000,0.02453361,14,43,107
2024-10-31,-0.01737634,-0.01734568,-0.01737634,0.00004389,474,monthly_moderate,False,risk_on,0.07517898,0.00000000,0.00665839,14,56,112
2024-11-29,-0.02343056,-0.02332992,-0.02343056,0.00014154,476,monthly_moderate,False,risk_on,0.36335653,0.00000000,0.00529580,14,28,115
2024-12-31,0.07363515,0.07372227,0.07363515,0.00011965,479,monthly_moderate,False,risk_on,0.30364554,0.00000000,0.00888959,14,25,109
2025-01-28,0.02071573,0.02080664,0.02071573,0.00013404,482,monthly_moderate,False,risk_on,0.27338549,0.00000000,0.01052573,14,41,108
2025-02-28,0.10390579,0.10394190,0.10390579,0.00005435,483,monthly_moderate,False,risk_on,0.49588785,0.00000000,0.03794617,14,28,101
2025-03-31,0.01525546,0.01530291,0.01525546,0.00007883,483,monthly_moderate,False,risk_on,0.35043235,0.00000000,0.01773598,14,51,99
