date,ts_code,name,weight
2017-02-28,01398.HK,工商银行,0.11495619
2017-02-28,00700.HK,腾讯控股,0.10870195
2017-02-28,00005.HK,汇丰控股,0.10470755
2017-02-28,03988.HK,中国银行,0.09453475
2017-02-28,01288.HK,农业银行,0.09397203
2017-02-28,03968.HK,招商银行,0.06820439
2017-02-28,02388.HK,中银香港,0.06233984
2017-02-28,03328.HK,交通银行,0.05921631
2017-02-28,02007.HK,碧桂园,0.05732363
2017-02-28,00386.HK,中国石油化工股份,0.05235288
2017-02-28,01988.HK,民生银行,0.05133375
2017-02-28,00175.HK,吉利汽车,0.04581806
2017-02-28,00027.HK,银河娱乐,0.04449681
2017-02-28,01928.HK,金沙中国有限公司,0.04204185
2017-03-31,00700.HK,腾讯控股,0.13227857
2017-03-31,00005.HK,汇丰控股,0.10387861
2017-03-31,01398.HK,工商银行,0.09468059
2017-03-31,00939.HK,建设银行,0.08123030
2017-03-31,01288.HK,农业银行,0.07951433
2017-03-31,00386.HK,中国石油化工股份,0.07854207
2017-03-31,03988.HK,中国银行,0.07692943
2017-03-31,03968.HK,招商银行,0.06645772
2017-03-31,02388.HK,中银香港,0.06314739
2017-03-31,00004.HK,九龙仓集团,0.05324155
2017-03-31,01988.HK,民生银行,0.04707727
2017-03-31,01800.HK,中国交通建设,0.04601872
2017-03-31,00016.HK,新鸿基地产,0.04485707
2017-03-31,01336.HK,新华保险,0.04439458
2017-04-28,00700.HK,腾讯控股,0.11169528
2017-04-28,00939.HK,建设银行,0.10998936
2017-04-28,01398.HK,工商银行,0.10422201
2017-04-28,00005.HK,汇丰控股,0.10413565
2017-04-28,03988.HK,中国银行,0.08813167
2017-04-28,01288.HK,农业银行,0.07853940
2017-04-28,02388.HK,中银香港,0.06285863
2017-04-28,02628.HK,中国人寿,0.05514768
2017-04-28,03968.HK,招商银行,0.05299391
2017-04-28,00004.HK,九龙仓集团,0.05236732
2017-04-28,00101.HK,恒隆地产,0.04886013
2017-04-28,01929.HK,周大福,0.04843813
2017-04-28,00386.HK,中国石油化工股份,0.04606203
2017-04-28,00175.HK,吉利汽车,0.03646804
2017-04-28,CASH,现金,0.00009077
2017-05-31,00700.HK,腾讯控股,0.13673802
2017-05-31,00005.HK,汇丰控股,0.10441935
2017-05-31,00939.HK,建设银行,0.10420486
2017-05-31,01398.HK,工商银行,0.09947044
2017-05-31,01288.HK,农业银行,0.07693077
2017-05-31,03988.HK,中国银行,0.07241143
2017-05-31,02628.HK,中国人寿,0.06787265
2017-05-31,02388.HK,中银香港,0.06422847
2017-05-31,02007.HK,碧桂园,0.05149830
2017-05-31,00027.HK,银河娱乐,0.04924834
2017-05-31,00004.HK,九龙仓集团,0.04860351
2017-05-31,02318.HK,中国平安,0.04757539
2017-05-31,03968.HK,招商银行,0.04641264
2017-05-31,00386.HK,中国石油化工股份,0.04349705
2017-06-30,00700.HK,腾讯控股,0.13990718
2017-06-30,00005.HK,汇丰控股,0.10987370
2017-06-30,01398.HK,工商银行,0.09847839
2017-06-30,00939.HK,建设银行,0.09605852
2017-06-30,01288.HK,农业银行,0.08356931
2017-06-30,03988.HK,中国银行,0.06974274
2017-06-30,02388.HK,中银香港,0.06912852
2017-06-30,02628.HK,中国人寿,0.06337373
2017-06-30,00027.HK,银河娱乐,0.05080625
2017-06-30,02318.HK,中国平安,0.04805681
2017-06-30,00004.HK,九龙仓集团,0.04651893
2017-06-30,03328.HK,交通银行,0.04444732
2017-06-30,01093.HK,石药集团,0.04163127
2017-06-30,00386.HK,中国石油化工股份,0.04060000
2017-07-31,00700.HK,腾讯控股,0.14402109
2017-07-31,00005.HK,汇丰控股,0.10881046
2017-07-31,01398.HK,工商银行,0.08416644
2017-07-31,02318.HK,中国平安,0.07849740
2017-07-31,01288.HK,农业银行,0.07463323
2017-07-31,03988.HK,中国银行,0.07128225
2017-07-31,00939.HK,建设银行,0.07048518
2017-07-31,02628.HK,中国人寿,0.06031001
2017-07-31,03968.HK,招商银行,0.05795916
2017-07-31,01299.HK,友邦保险,0.05565751
2017-07-31,02388.HK,中银香港,0.05545741
2017-07-31,00027.HK,银河娱乐,0.04752800
2017-07-31,00004.HK,九龙仓集团,0.04380278
2017-07-31,01113.HK,长实集团,0.04364020
2017-07-31,CASH,现金,0.00374889
2017-08-31,00700.HK,腾讯控股,0.14537051
2017-08-31,00005.HK,汇丰控股,0.10338701
2017-08-31,00939.HK,建设银行,0.08681740
2017-08-31,01398.HK,工商银行,0.08675811
2017-08-31,01288.HK,农业银行,0.07208303
2017-08-31,02318.HK,中国平安,0.06941256
2017-08-31,03968.HK,招商银行,0.06395856
2017-08-31,03988.HK,中国银行,0.05934456
2017-08-31,02628.HK,中国人寿,0.05881412
2017-08-31,02388.HK,中银香港,0.05526741
2017-08-31,01299.HK,友邦保险,0.05266775
2017-08-31,02007.HK,碧桂园,0.04962141
2017-08-31,01088.HK,中国神华,0.04857839
2017-08-31,00027.HK,银河娱乐,0.04640662
2017-08-31,CASH,现金,0.00151256
2017-09-29,00700.HK,腾讯控股,0.14855232
2017-09-29,00005.HK,汇丰控股,0.10414376
2017-09-29,01398.HK,工商银行,0.08582696
2017-09-29,00939.HK,建设银行,0.07011735
2017-09-29,01288.HK,农业银行,0.06854462
2017-09-29,02318.HK,中国平安,0.06824612
2017-09-29,01299.HK,友邦保险,0.06294176
2017-09-29,03968.HK,招商银行,0.05951740
2017-09-29,03988.HK,中国银行,0.05553237
2017-09-29,02388.HK,中银香港,0.05441926
2017-09-29,00027.HK,银河娱乐,0.05263405
2017-09-29,00012.HK,恒基地产,0.04783880
2017-09-29,02007.HK,碧桂园,0.04661628
2017-09-29,01088.HK,中国神华,0.04425916
2017-09-29,CASH,现金,0.03080981
2017-10-31,00700.HK,腾讯控股,0.14934717
2017-10-31,00005.HK,汇丰控股,0.10217072
2017-10-31,01398.HK,工商银行,0.10175907
2017-10-31,00939.HK,建设银行,0.09084424
2017-10-31,02318.HK,中国平安,0.07533736
2017-10-31,03968.HK,招商银行,0.06231285
2017-10-31,01288.HK,农业银行,0.05698454
2017-10-31,01088.HK,中国神华,0.05630435
2017-10-31,03988.HK,中国银行,0.05410905
2017-10-31,02388.HK,中银香港,0.05146249
2017-10-31,00027.HK,银河娱乐,0.04908972
2017-10-31,02007.HK,碧桂园,0.04479149
2017-10-31,00175.HK,吉利汽车,0.04369583
2017-10-31,01299.HK,友邦保险,0.04106578
2017-10-31,CASH,现金,0.02072533
2017-11-30,00700.HK,腾讯控股,0.15133754
2017-11-30,00005.HK,汇丰控股,0.10021679
2017-11-30,01398.HK,工商银行,0.09552158
2017-11-30,02318.HK,中国平安,0.09536623
2017-11-30,00939.HK,建设银行,0.07149955
2017-11-30,03968.HK,招商银行,0.06142222
2017-11-30,01088.HK,中国神华,0.05566145
2017-11-30,01288.HK,农业银行,0.05387181
2017-11-30,02388.HK,中银香港,0.05242998
2017-11-30,03988.HK,中国银行,0.05052400
2017-11-30,00027.HK,银河娱乐,0.04974037
2017-11-30,00175.HK,吉利汽车,0.04714793
2017-11-30,00316.HK,东方海外国际,0.04566929
2017-11-30,02007.HK,碧桂园,0.04273300
2017-11-30,CASH,现金,0.02685827
2017-12-29,00700.HK,腾讯控股,0.17387667
2017-12-29,00005.HK,汇丰控股,0.10180683
2017-12-29,01398.HK,工商银行,0.09810386
2017-12-29,00939.HK,建设银行,0.08633285
2017-12-29,02318.HK,中国平安,0.08423008
2017-12-29,03968.HK,招商银行,0.06186197
2017-12-29,01088.HK,中国神华,0.05811243
2017-12-29,01288.HK,农业银行,0.05362838
2017-12-29,02388.HK,中银香港,0.05208749
2017-12-29,03988.HK,中国银行,0.05072507
2017-12-29,00175.HK,吉利汽车,0.04654715
2017-12-29,02382.HK,舜宇光学科技,0.04499759
2017-12-29,02238.HK,广汽集团,0.04150558
2017-12-29,02018.HK,瑞声科技,0.03988643
2017-12-29,CASH,现金,0.00629762
2018-01-31,00700.HK,腾讯控股,0.15990346
2018-01-31,01398.HK,工商银行,0.11603604
