date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2020-02-28,0.09024664,0.09057323,0.09024664,0.00023994,379,monthly_hybrid_weekly_overlay,False,caution,0.15911120,0.20000000,0.19995201,6,6,98,3,0.00008324,0.04264020
2020-03-31,-0.05402809,-0.05333177,-0.05402809,0.00059162,380,monthly_hybrid_weekly_overlay,False,risk_on,0.00529256,0.00000000,0.00000000,14,40,98,2,0.00015065,0.12371152
2020-04-29,0.03392084,0.03398472,0.03392084,0.00005927,383,monthly_hybrid_weekly_overlay,True,risk_off,-0.00176644,0.50000000,0.51385208,14,10,93,2,0.00000655,0.00524557
2020-05-29,-0.00214998,-0.00197539,-0.00214998,0.00010164,384,monthly_hybrid_weekly_overlay,True,risk_off,-0.11711971,0.50000000,0.50459735,14,47,90,1,0.00008458,0.13267674
2020-06-30,0.06861724,0.06873960,0.06861724,0.00002344,385,monthly_hybrid_weekly_overlay,False,caution,0.03288048,0.20000000,0.22337605,14,25,95,2,0.00010364,0.07777147
2020-07-31,0.04588235,0.04600987,0.04588235,0.00007091,390,monthly_hybrid_weekly_overlay,False,caution,-0.04432075,0.20000000,0.23275970,14,45,94,3,0.00007622,0.03463268
2020-08-31,0.03930369,0.03938888,0.03930369,0.00007979,390,monthly_hybrid_weekly_overlay,False,risk_on,0.05028755,0.00000000,-0.02895968,14,50,94,3,0.00002136,0.00959959
2020-09-30,-0.06118854,-0.06113580,-0.06118854,0.00006185,390,monthly_hybrid_weekly_overlay,False,risk_on,0.22292608,0.00000000,0.00206556,14,30,91,1,0.00000363,0.00501697
2020-10-30,0.07482893,0.07463056,0.07482893,0.00016230,390,monthly_hybrid_weekly_overlay,False,risk_on,0.24498347,0.00000000,0.00199173,14,21,92,2,0.00000974,0.00665033
2020-11-30,0.17276473,0.17293874,0.17276473,0.00014085,394,monthly_hybrid_weekly_overlay,False,risk_on,0.15888487,0.00000000,-0.00991605,14,34,91,2,0.00008208,0.04552580
2020-12-31,0.05582864,0.05598210,0.05582864,0.00018847,398,monthly_hybrid_weekly_overlay,False,risk_on,0.18257764,0.00000000,0.01269509,14,42,96,3,0.00002961,0.01122053
2021-01-29,0.10008650,0.10029176,0.10008650,0.00025395,402,monthly_hybrid_weekly_overlay,False,risk_on,0.23783324,0.00000000,-0.02318436,14,46,95,3,0.00006787,0.02158158
2021-02-26,-0.05252882,-0.05245537,-0.05252882,0.00012479,401,monthly_hybrid_weekly_overlay,False,risk_on,0.40483685,0.00000000,-0.01291957,14,40,97,0,0.00000000,0.00000000
2021-03-31,-0.03466492,-0.03459965,-0.03466492,0.00008370,402,monthly_hybrid_weekly_overlay,False,risk_on,0.44338539,0.00000000,0.03977742,14,24,96,2,0.00002054,0.01124048
2021-04-30,0.04155421,0.04163143,0.04155421,0.00010231,402,monthly_hybrid_weekly_overlay,False,risk_on,0.74245970,0.00000000,0.01122351,14,23,92,3,0.00001690,0.00578683
2021-05-31,0.06670786,0.06686089,0.06670786,0.00022566,401,monthly_hybrid_weekly_overlay,False,risk_on,0.61508294,0.00000000,0.03635009,14,45,92,3,0.00001657,0.00558261
2021-06-30,0.03171737,0.03186121,0.03171737,0.00019749,401,monthly_hybrid_weekly_overlay,False,risk_on,0.72208644,0.00000000,0.01239514,14,41,89,3,0.00005076,0.01614434
2021-07-30,-0.07125931,-0.07106330,-0.07125931,0.00032607,402,monthly_hybrid_weekly_overlay,False,risk_on,0.64687963,0.00000000,0.01376796,14,31,93,2,0.00002592,0.01271117
2021-08-31,0.03845182,0.03862291,0.03845182,0.00026368,403,monthly_hybrid_weekly_overlay,False,risk_on,0.51272869,0.00000000,0.01095021,14,19,91,2,0.00002005,0.00985389
2021-09-30,-0.03212309,-0.03195999,-0.03212309,0.00024584,405,monthly_hybrid_weekly_overlay,False,risk_on,0.36834078,0.00000000,-0.03779939,14,40,97,3,0.00003582,0.01187044
2021-10-29,0.02565490,0.02571010,0.02565490,0.00008477,410,monthly_hybrid_weekly_overlay,False,risk_on,0.47681871,0.00000000,-0.00249249,14,18,99,1,0.00000714,0.00683126
2021-11-30,-0.04195470,-0.04169697,-0.04195470,0.00014704,413,monthly_hybrid_weekly_overlay,False,risk_on,0.42840722,0.00000000,-0.04093312,14,21,95,4,0.00029411,0.07479987
2021-12-31,-0.02490015,-0.02474005,-0.02490015,0.00010590,413,monthly_hybrid_weekly_overlay,False,caution,0.26549297,0.20000000,0.32576730,14,22,95,2,0.00016118,0.08303779
2022-01-31,0.04546312,0.04569030,0.04546312,0.00024733,420,monthly_hybrid_weekly_overlay,False,caution,0.17773849,0.20000000,0.30611098,14,50,94,2,0.00011926,0.05897798
2022-02-28,0.01627754,0.01643274,0.01627754,0.00025847,422,monthly_hybrid_weekly_overlay,False,caution,0.12946915,0.20000000,0.34594889,14,38,96,0,0.00000000,0.00000000
2022-03-31,0.02167523,0.02175410,0.02167523,0.00010397,424,monthly_hybrid_weekly_overlay,False,caution,0.01400553,0.20000000,0.38919066,14,34,93,3,0.00002745,0.00915579
2022-04-29,-0.02407627,-0.02396387,-0.02407627,0.00004730,425,monthly_hybrid_weekly_overlay,False,caution,0.02228173,0.20000000,0.35835133,14,25,94,1,0.00015158,0.14627678
2022-05-31,0.02319670,0.02319670,0.02319670,0.00000000,423,monthly_hybrid_weekly_overlay,True,risk_off,-0.05217091,0.50000000,0.86346167,14,20,92,0,0.00000000,0.00000000
2022-06-30,0.00850000,0.00860977,0.00850000,0.00003168,424,monthly_hybrid_weekly_overlay,True,risk_off,-0.11919756,0.50000000,0.85391847,14,45,98,1,0.00015385,0.15041112
2022-07-29,-0.00725437,-0.00702168,-0.00725437,0.00010818,429,monthly_hybrid_weekly_overlay,False,caution,-0.11155543,0.20000000,0.39482777,14,30,100,3,0.00029624,0.09539045
2022-08-31,-0.00587337,-0.00566355,-0.00587337,0.00005977,432,monthly_hybrid_weekly_overlay,False,caution,0.02233928,0.20000000,0.36779097,14,23,101,2,0.00030361,0.14695982
2022-09-30,-0.02677475,-0.02665056,-0.02677475,0.00021344,434,monthly_hybrid_weekly_overlay,True,risk_off,-0.07366873,0.50000000,0.85248958,14,24,92,0,0.00000000,0.00000000
2022-10-31,-0.03015398,-0.03013866,-0.03015398,0.00001998,433,monthly_hybrid_weekly_overlay,True,risk_off,-0.06180289,0.50000000,0.86053980,14,13,101,1,0.00000565,0.00580342
2022-11-30,0.08065775,0.08075961,0.08065775,0.00000494,435,monthly_hybrid_weekly_overlay,True,risk_off,-0.17507025,0.50000000,0.85815278,14,4,101,1,0.00015309,0.15240445
2022-12-30,0.00952088,0.00957867,0.00952088,0.00010132,435,monthly_hybrid_weekly_overlay,False,caution,-0.23817574,0.20000000,0.32501138,14,63,96,0,0.00000000,0.00000000
2023-01-31,0.08633250,0.08654830,0.08633250,0.00009324,443,monthly_hybrid_weekly_overlay,False,caution,-0.03034424,0.20000000,0.30053225,14,36,101,4,0.00028039,0.06151593
2023-02-28,-0.02866517,-0.02864578,-0.02866517,0.00003728,444,monthly_hybrid_weekly_overlay,False,risk_on,0.06515927,0.00000000,0.01124361,14,50,98,0,0.00000000,0.00000000
