date,portfolio_return,nav,drawdown,trading_cost
2023-02-01,0.00000000,1.00000000,0.00000000,0.00000000
2023-02-28,-0.02958141,0.97041859,-0.02958141,0.00029991
2023-03-31,0.05912459,1.02779419,0.00000000,0.00001439
2023-04-28,0.06855570,1.09825534,0.00000000,0.00009248
2023-05-31,-0.05127539,1.04194187,-0.05127539,0.00004462
2023-06-30,0.04042132,1.08405853,-0.01292669,0.00002104
2023-07-31,0.05319389,1.14172382,0.00000000,0.00013449
2023-08-31,-0.04181405,1.09398373,-0.04181405,0.00007442
2023-09-29,0.03597482,1.13333959,-0.00734348,0.00000000
2023-10-31,-0.04742796,1.07958761,-0.05442316,0.00004868
2023-11-30,0.02521086,1.10680494,-0.03058435,0.00003227
2023-12-29,0.00538362,1.11276355,-0.02536539,0.00010746
2024-01-31,0.00460051,1.11788284,-0.02088157,0.00002491
2024-02-29,0.02753305,1.14866156,0.00000000,0.00003922
2024-03-28,0.01892423,1.17039910,0.00000000,0.00001624
2024-04-30,0.05242251,1.23175436,0.00000000,0.00000000
2024-05-31,0.04873313,1.29178161,0.00000000,0.00007187
2024-06-28,0.05832521,1.36712505,0.00000000,0.00003722
2024-07-31,-0.01311814,1.34919092,-0.01311814,0.00004178
2024-08-30,0.03047370,1.39030576,0.00000000,0.00001584
2024-09-30,0.02975661,1.43167655,0.00000000,0.00007093
2024-10-31,-0.01855939,1.40510551,-0.01855939,0.00005114
2024-11-29,-0.02379262,1.37167437,-0.04191043,0.00014217
2024-12-31,0.07421142,1.47346828,0.00000000,0.00011713
2025-01-28,0.02181819,1.50561669,0.00000000,0.00012962
2025-02-28,0.10317927,1.66096512,0.00000000,0.00006038
2025-03-31,0.01537041,1.68649483,0.00000000,0.00006934
2025-04-30,-0.01969977,1.65327127,-0.01969977,0.00015784
2025-05-30,0.12397667,1.85823834,0.00000000,0.00000988
2025-06-30,0.05844459,1.96684231,0.00000000,0.00018397
2025-07-31,0.01049409,1.98748253,0.00000000,0.00012607
2025-08-29,0.01111847,2.00958029,0.00000000,0.00013585
2025-09-30,0.01584046,2.04141296,0.00000000,0.00022520
2025-10-31,-0.01905877,2.00250614,-0.01905877,0.00024336
2025-11-28,0.00084635,2.00420097,-0.01822855,0.00025218
2025-12-31,0.00130282,2.00681209,-0.01694947,0.00025547
2026-01-30,0.08106986,2.16950406,0.00000000,0.00026964
2026-02-27,-0.03143809,2.10129900,-0.03143809,0.00016597
2026-03-31,-0.03666395,2.02425708,-0.06694940,0.00023794
2026-04-30,0.07201626,2.17003649,0.00000000,0.00017219
