date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type,trade_details_json,signal_date,evaluation_date,trade_date,risk_stage
2026-02-02,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance,"[{""ts_code"": ""00005.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.0799324481428974, ""post_trade_weight"": 0.07995642787734028, ""diff_weight"": 0.0799324481428974, ""gross_amount"": 0.0799324481428974, ""gross_amount_pct_nav"": 0.0799324481428974, ""fee"": 2.3979734442869218e-05, ""fee_pct_nav"": 2.3979734442869218e-05, ""name"": ""汇丰控股""}, {""ts_code"": ""00700.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.17994601619514, ""post_trade_weight"": 0.17999999999999855, ""diff_weight"": 0.17994601619514, ""gross_amount"": 0.17994601619514, ""gross_amount_pct_nav"": 0.17994601619514, ""fee"": 5.3983804858542e-05, ""fee_pct_nav"": 5.3983804858542e-05, ""name"": ""腾讯控股""}, {""ts_code"": ""00857.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08850058406896054, ""post_trade_weight"": 0.08852713424418122, ""diff_weight"": 0.08850058406896054, ""gross_amount"": 0.08850058406896054, ""gross_amount_pct_nav"": 0.08850058406896054, ""fee"": 2.655017522068816e-05, ""fee_pct_nav"": 2.655017522068816e-05, ""name"": ""中国石油股份""}, {""ts_code"": ""00981.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.055394261747371, ""post_trade_weight"": 0.05541088002589521, ""diff_weight"": 0.055394261747371, ""gross_amount"": 0.055394261747371, ""gross_amount_pct_nav"": 0.055394261747371, ""fee"": 1.66182785242113e-05, ""fee_pct_nav"": 1.66182785242113e-05, ""name"": ""中芯国际""}, {""ts_code"": ""01088.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.04559142769029128, ""post_trade_weight"": 0.04560510511859837, ""diff_weight"": 0.04559142769029128, ""gross_amount"": 0.04559142769029128, ""gross_amount_pct_nav"": 0.04559142769029128, ""fee"": 1.3677428307087382e-05, ""fee_pct_nav"": 1.3677428307087382e-05, ""name"": ""中国神华""}, {""ts_code"": ""01299.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.058843462051019896, ""post_trade_weight"": 0.0588611150896352, ""diff_weight"": 0.058843462051019896, ""gross_amount"": 0.058843462051019896, ""gross_amount_pct_nav"": 0.058843462051019896, ""fee"": 1.765303861530597e-05, ""fee_pct_nav"": 1.765303861530597e-05, ""name"": ""友邦保险""}, {""ts_code"": ""01347.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.04057904217282842, ""post_trade_weight"": 0.04059121588548027, ""diff_weight"": 0.04057904217282842, ""gross_amount"": 0.04057904217282842, ""gross_amount_pct_nav"": 0.04057904217282842, ""fee"": 1.2173712651848526e-05, ""fee_pct_nav"": 1.2173712651848526e-05, ""name"": ""华虹半导体""}, {""ts_code"": ""01378.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.046063473184116584, ""post_trade_weight"": 0.04607729222607182, ""diff_weight"": 0.046063473184116584, ""gross_amount"": 0.046063473184116584, ""gross_amount_pct_nav"": 0.046063473184116584, ""fee"": 1.3819041955234974e-05, ""fee_pct_nav"": 1.3819041955234974e-05, ""name"": ""中国宏桥""}, {""ts_code"": ""01398.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08438202499018108, ""post_trade_weight"": 0.08440733959767813, ""diff_weight"": 0.08438202499018108, ""gross_amount"": 0.08438202499018108, ""gross_amount_pct_nav"": 0.08438202499018108, ""fee"": 2.531460749705432e-05, ""fee_pct_nav"": 2.531460749705432e-05, ""name"": ""工商银行""}, {""ts_code"": ""02318.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.07108223258409996, ""post_trade_weight"": 0.0711035572538752, ""diff_weight"": 0.07108223258409996, ""gross_amount"": 0.07108223258409996, ""gross_amount_pct_nav"": 0.07108223258409996, ""fee"": 2.1324669775229986e-05, ""fee_pct_nav"": 2.1324669775229986e-05, ""name"": ""中国平安""}, {""ts_code"": ""02388.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.057652452345897394, ""post_trade_weight"": 0.05766974808160116, ""diff_weight"": 0.057652452345897394, ""gross_amount"": 0.057652452345897394, ""gross_amount_pct_nav"": 0.057652452345897394, ""fee"": 1.7295735703769217e-05, ""fee_pct_nav"": 1.7295735703769217e-05, ""name"": ""中银香港""}, {""ts_code"": ""02628.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.06983153865958393, ""post_trade_weight"": 0.0698524881211818, ""diff_weight"": 0.06983153865958393, ""gross_amount"": 0.06983153865958393, ""gross_amount_pct_nav"": 0.06983153865958393, ""fee"": 2.0949461597875177e-05, ""fee_pct_nav"": 2.0949461597875177e-05, ""name"": ""中国人寿""}, {""ts_code"": ""02899.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.06814754630085286, ""post_trade_weight"": 0.06816799056474311, ""diff_weight"": 0.06814754630085286, ""gross_amount"": 0.06814754630085286, ""gross_amount_pct_nav"": 0.06814754630085286, ""fee"": 2.0444263890255855e-05, ""fee_pct_nav"": 2.0444263890255855e-05, ""name"": ""紫金矿业""}, {""ts_code"": ""03993.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.05375357983975954, ""post_trade_weight"": 0.05376970591371147, ""diff_weight"": 0.05375357983975954, ""gross_amount"": 0.05375357983975954, ""gross_amount_pct_nav"": 0.05375357983975954, ""fee"": 1.612607395192786e-05, ""fee_pct_nav"": 1.612607395192786e-05, ""name"": ""洛阳钼业""}]",,,,
2026-02-06,0.00654418,0.01308837,0.01320282,0.00000000,0.00000396,0.00000396,0.00000000,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00700.HK"", ""side"": ""buy"", ""current_weight"": 0.16691092675933095, ""target_weight"": 0.17999929322821276, ""post_trade_weight"": 0.18000000000000208, ""diff_weight"": 0.013088366468881825, ""gross_amount"": 0.013202822559901295, ""gross_amount_pct_nav"": 0.013088366468881825, ""fee"": 3.960846767970388e-06, ""fee_pct_nav"": 3.926509940664547e-06, ""name"": ""腾讯控股""}]",2026-02-06,2026-02-06,2026-02-09,risk_on
2026-02-13,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2026-02-13,2026-02-13,2026-02-16,risk_on
2026-02-20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2026-02-20,2026-02-20,2026-02-23,risk_on
2026-03-02,0.12000733,0.24001466,0.11650893,0.12211739,0.00007159,0.00003495,0.00003664,0.00000000,rebalance,"[{""ts_code"": ""00016.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.05359000182069198, ""post_trade_weight"": 0.05359386081440523, ""diff_weight"": 0.05359000182069198, ""gross_amount"": 0.053280015554123226, ""gross_amount_pct_nav"": 0.05359000182069198, ""fee"": 1.5984004666236965e-05, ""fee_pct_nav"": 1.6077000546207592e-05, ""name"": ""新鸿基地产""}, {""ts_code"": ""00700.HK"", ""side"": ""sell"", ""current_weight"": 0.16762803756050682, ""target_weight"": 0.14489910258583383, ""post_trade_weight"": 0.144909536709867, ""diff_weight"": -0.022728934974672987, ""gross_amount"": 0.02259746161291687, ""gross_amount_pct_nav"": 0.022728934974672987, ""fee"": 6.779238483875061e-06, ""fee_pct_nav"": 6.8186804924018955e-06, ""name"": ""腾讯控股""}, {""ts_code"": ""00883.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.06359678586527907, ""post_trade_weight"": 0.063601365443344, ""diff_weight"": 0.06359678586527907, ""gross_amount"": 0.06322891630852645, ""gross_amount_pct_nav"": 0.06359678586527907, ""fee"": 1.8968674892557935e-05, ""fee_pct_nav"": 1.907903575958372e-05, ""name"": ""中国海洋石油""}, {""ts_code"": ""00981.HK"", ""side"": ""sell"", ""current_weight"": 0.04985164894665953, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.04985164894665953, ""gross_amount"": 0.0495632868265951, ""gross_amount_pct_nav"": 0.04985164894665953, ""fee"": 1.4868986047978529e-05, ""fee_pct_nav"": 1.4955494683997856e-05, ""name"": ""中芯国际""}, {""ts_code"": ""01347.HK"", ""side"": ""sell"", ""current_weight"": 0.03669019973110276, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.03669019973110276, ""gross_amount"": 0.03647796876174469, ""gross_amount_pct_nav"": 0.03669019973110276, ""fee"": 1.0943390628523406e-05, ""fee_pct_nav"": 1.1007059919330827e-05, ""name"": ""华虹半导体""}, {""ts_code"": ""02899.HK"", ""side"": ""sell"", ""current_weight"": 0.07977167005016271, ""target_weight"": 0.06621457959609225, ""post_trade_weight"": 0.06621934768039354, ""diff_weight"": -0.013557090454070456, ""gross_amount"": 0.01347867075426426, ""gross_amount_pct_nav"": 0.013557090454070456, ""fee"": 4.0436012262792775e-06, ""fee_pct_nav"": 4.067127136221136e-06, ""name"": ""紫金矿业""}]",,,,
2026-03-06,0.00720743,0.01441487,0.00000000,0.01386962,0.00000416,0.00000000,0.00000416,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00857.HK"", ""side"": ""sell"", ""current_weight"": 0.10934799498717133, ""target_weight"": 0.09493312956827954, ""post_trade_weight"": 0.09493354010454085, ""diff_weight"": -0.01441486541889179, ""gross_amount"": 0.013869617922620314, ""gross_amount_pct_nav"": 0.01441486541889179, ""fee"": 4.160885376786094e-06, ""fee_pct_nav"": 4.324459625667537e-06, ""name"": ""中国石油股份""}]",2026-03-06,2026-03-06,2026-03-09,risk_on
2026-03-13,0.01404956,0.02809911,0.01139956,0.01587534,0.00000818,0.00000342,0.00000476,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00700.HK"", ""side"": ""sell"", ""current_weight"": 0.1612633851924834, ""target_weight"": 0.14490831516112296, ""post_trade_weight"": 0.1449095367098594, ""diff_weight"": -0.016355070031360438, ""gross_amount"": 0.01587533729478377, ""gross_amount_pct_nav"": 0.016355070031360438, ""fee"": 4.762601188435131e-06, ""fee_pct_nav"": 4.906521009408131e-06, ""name"": ""腾讯控股""}, {""ts_code"": ""02899.HK"", ""side"": ""buy"", ""current_weight"": 0.05447474874603763, ""target_weight"": 0.06621878946895471, ""post_trade_weight"": 0.06621934768039008, ""diff_weight"": 0.011744040722917085, ""gross_amount"": 0.011399560339545457, ""gross_amount_pct_nav"": 0.011744040722917085, ""fee"": 3.4198681018636368e-06, ""fee_pct_nav"": 3.5232122168751246e-06, ""name"": ""紫金矿业""}]",2026-03-13,2026-03-13,2026-03-16,risk_on
2026-03-20,0.00753035,0.01506070,0.00000000,0.01380815,0.00000414,0.00000000,0.00000414,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00883.HK"", ""side"": ""sell"", ""current_weight"": 0.07866178069921262, ""target_weight"": 0.0636010780789651, ""post_trade_weight"": 0.06360136544334047, ""diff_weight"": -0.015060702620247512, ""gross_amount"": 0.013808154401673843, ""gross_amount_pct_nav"": 0.015060702620247512, ""fee"": 4.142446320502152e-06, ""fee_pct_nav"": 4.518210786074253e-06, ""name"": ""中国海洋石油""}]",2026-03-20,2026-03-20,2026-03-23,risk_on
2026-03-27,0.01918504,0.03837009,0.02506868,0.01065611,0.00001072,0.00000752,0.00000320,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00700.HK"", ""side"": ""buy"", ""current_weight"": 0.13027174179731107, ""target_weight"": 0.14490786865239272, ""post_trade_weight"": 0.14490953670986118, ""diff_weight"": 0.014636126855081652, ""gross_amount"": 0.013627089428939823, ""gross_amount_pct_nav"": 0.014636126855081652, ""fee"": 4.0881268286819464e-06, ""fee_pct_nav"": 4.390838056524495e-06, ""name"": ""腾讯控股""}, {""ts_code"": ""01398.HK"", ""side"": ""sell"", ""current_weight"": 0.0952960433479874, ""target_weight"": 0.08385088391587467, ""post_trade_weight"": 0.08385184913670395, ""diff_weight"": -0.011445159432112731, ""gross_amount"": 0.01065611227984975, ""gross_amount_pct_nav"": 0.011445159432112731, ""fee"": 3.1968336839549245e-06, ""fee_pct_nav"": 3.4335478296338187e-06, ""name"": ""工商银行""}, {""ts_code"": ""02628.HK"", ""side"": ""buy"", ""current_weight"": 0.054583774555705886, ""target_weight"": 0.06687257548055284, ""post_trade_weight"": 0.0668733452613798, ""diff_weight"": 0.012288800924846957, ""gross_amount"": 0.011441591811510277, ""gross_amount_pct_nav"": 0.012288800924846957, ""fee"": 3.4324775434530827e-06, ""fee_pct_nav"": 3.686640277454087e-06, ""name"": ""中国人寿""}]",2026-03-27,2026-03-27,2026-03-30,risk_on
2026-04-01,0.15764442,0.31528884,0.14667845,0.15295635,0.00008989,0.00004400,0.00004589,0.00000000,rebalance,"[{""ts_code"": ""00016.HK"", ""side"": ""buy"", ""current_weight"": 0.05204245071975738, ""target_weight"": 0.06521269506424408, ""post_trade_weight"": 0.06521886389814102, ""diff_weight"": 0.013170244344486694, ""gross_amount"": 0.012516344073402678, ""gross_amount_pct_nav"": 0.013170244344486694, ""fee"": 3.754903222020803e-06, ""fee_pct_nav"": 3.9510733033460074e-06, ""name"": ""新鸿基地产""}, {""ts_code"": ""00700.HK"", ""side"": ""sell"", ""current_weight"": 0.14638800285475276, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.14638800285475276, ""gross_amount"": 0.1391198647514349, ""gross_amount_pct_nav"": 0.14638800285475276, ""fee"": 4.1735959425430466e-05, ""fee_pct_nav"": 4.391640085642583e-05, ""name"": ""腾讯控股""}, {""ts_code"": ""00857.HK"", ""side"": ""buy"", ""current_weight"": 0.09530131080780423, ""target_weight"": 0.11500103938487614, ""post_trade_weight"": 0.11501191797698528, ""diff_weight"": 0.019699728577071918, ""gross_amount"": 0.01872164058417744, ""gross_amount_pct_nav"": 0.019699728577071918, ""fee"": 5.616492175253232e-06, ""fee_pct_nav"": 5.909918573121576e-06, ""name"": ""中国石油股份""}, {""ts_code"": ""00883.HK"", ""side"": ""buy"", ""current_weight"": 0.054236451345813154, ""target_weight"": 0.06508914229407728, ""post_trade_weight"": 0.06509529944042602, ""diff_weight"": 0.010852690948264125, ""gross_amount"": 0.010313856787906903, ""gross_amount_pct_nav"": 0.010852690948264125, ""fee"": 3.0941570363720706e-06, ""fee_pct_nav"": 3.2558072844792377e-06, ""name"": ""中国海洋石油""}, {""ts_code"": ""00939.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08537400542175368, ""post_trade_weight"": 0.08538208142686349, ""diff_weight"": 0.08537400542175368, ""gross_amount"": 0.0811352013549041, ""gross_amount_pct_nav"": 0.08537400542175368, ""fee"": 2.4340560406471226e-05, ""fee_pct_nav"": 2.56122016265261e-05, ""name"": ""建设银行""}, {""ts_code"": ""01299.HK"", ""side"": ""sell"", ""current_weight"": 0.06083992706590449, ""target_weight"": 0.04628057353960186, ""post_trade_weight"": 0.046284951478138825, ""diff_weight"": -0.014559353526302627, ""gross_amount"": 0.013836484233323815, ""gross_amount_pct_nav"": 0.014559353526302627, ""fee"": 4.150945269997144e-06, ""fee_pct_nav"": 4.367806057890788e-06, ""name"": ""友邦保险""}, {""ts_code"": ""01398.HK"", ""side"": ""buy"", ""current_weight"": 0.08385509723734141, ""target_weight"": 0.09633759605900716, ""post_trade_weight"": 0.09634670917153124, ""diff_weight"": 0.01248249882166575, ""gross_amount"": 0.011862744992519061, ""gross_amount_pct_nav"": 0.01248249882166575, ""fee"": 3.5588234977557183e-06, ""fee_pct_nav"": 3.7447496464997247e-06, ""name"": ""工商银行""}, {""ts_code"": ""03993.HK"", ""side"": ""buy"", ""current_weight"": 0.046381793613740716, ""target_weight"": 0.05914410470219078, ""post_trade_weight"": 0.05914969947415246, ""diff_weight"": 0.012762311088450063, ""gross_amount"": 0.01212866463041077, ""gross_amount_pct_nav"": 0.012762311088450063, ""fee"": 3.6385993891232306e-06, ""fee_pct_nav"": 3.828693326535019e-06, ""name"": ""洛阳钼业""}]",,,,
