date,portfolio_return,nav,drawdown,trading_cost
2017-02-01,0.00000000,1.00000000,0.00000000,0.00000000
2017-02-28,0.04217571,1.04217571,0.00000000,0.00029991
2017-03-31,0.01538092,1.05820533,0.00000000,0.00008516
2017-04-28,0.01277525,1.07172417,0.00000000,0.00004465
2017-05-31,0.05988697,1.13590648,0.00000000,0.00003607
2017-06-30,0.02261026,1.16158962,0.00000000,0.00003545
2017-07-31,0.09681383,1.27404756,0.00000000,0.00005218
2017-08-31,0.03884572,1.32353885,0.00000000,0.00007257
2017-09-29,-0.02248201,1.29378304,-0.02248201,0.00003837
2017-10-31,0.04482024,1.35177071,0.00000000,0.00003484
2017-11-30,0.03980200,1.40557389,0.00000000,0.00003124
2017-12-29,0.02755238,1.44430080,0.00000000,0.00005069
2018-01-31,0.15358207,1.66611951,0.00000000,0.00007641
2018-02-28,-0.07614289,1.53925635,-0.07614289,0.00006609
2018-03-29,-0.02128597,1.50649179,-0.09580808,0.00000856
2018-04-30,0.02051395,1.53739588,-0.07725954,0.00003742
2018-05-31,-0.01735118,1.51072025,-0.09327018,0.00008356
2018-06-29,-0.05550129,1.42687332,-0.14359485,0.00004695
2018-07-31,0.02781163,1.46655699,-0.11977683,0.00004172
2018-08-31,-0.00548589,1.45851161,-0.12460564,0.00019722
2018-09-28,0.02389272,1.49335942,-0.10369010,0.00010861
2018-10-31,-0.06966959,1.38931768,-0.16613564,0.00004795
2018-11-30,0.02895228,1.42954160,-0.14199336,0.00001245
2018-12-31,-0.02021580,1.40064227,-0.15933865,0.00012623
2019-01-31,0.04680496,1.46619928,-0.11999153,0.00001930
2019-02-28,0.01356427,1.48608721,-0.10805485,0.00005465
2019-03-29,-0.00981667,1.47149877,-0.11681079,0.00009375
2019-04-30,0.00927292,1.48514387,-0.10862104,0.00010204
2019-05-31,-0.06187545,1.39324992,-0.16377552,0.00017525
2019-06-28,0.06971052,1.49037409,-0.10548188,0.00004614
2019-07-31,-0.01956408,1.46121629,-0.12298231,0.00012261
2019-08-30,-0.05682122,1.37818819,-0.17281553,0.00005109
2019-09-30,0.02165809,1.40803711,-0.15490029,0.00009727
2019-10-31,0.03451610,1.45663706,-0.12573075,0.00022232
2019-11-29,-0.00486182,1.44955515,-0.12998129,0.00010582
2019-12-31,0.07622642,1.56004955,-0.06366287,0.00004047
2020-01-31,-0.07719130,1.43962731,-0.13593995,0.00004989
2020-02-28,0.00930947,1.45302948,-0.12789600,0.00006508
2020-03-31,-0.04780333,1.38356983,-0.16958548,0.00009838
2020-04-29,0.00571333,1.39147462,-0.16484105,0.00015948
2020-05-29,-0.01322761,1.37306874,-0.17588820,0.00004097
2020-06-30,0.04705741,1.43768180,-0.13710764,0.00009794
2020-07-31,0.03231230,1.48413660,-0.10922560,0.00007496
2020-08-31,0.01061101,1.49988478,-0.09977359,0.00015536
2020-09-30,-0.05401146,1.41887382,-0.14839613,0.00008300
2020-10-30,0.06592024,1.51240631,-0.09225821,0.00016622
2020-11-30,0.12242437,1.69756171,0.00000000,0.00019255
2020-12-31,0.04295116,1.77047395,0.00000000,0.00024040
2021-01-29,0.09006163,1.92992573,0.00000000,0.00019521
2021-02-26,-0.03451758,1.86330936,-0.03451758,0.00009481
2021-03-31,-0.01529821,1.83480407,-0.04928773,0.00026567
2021-04-30,-0.00105999,1.83285919,-0.05029548,0.00004216
2021-05-31,0.06617564,1.95414983,0.00000000,0.00030389
2021-06-30,-0.01563139,1.92360375,-0.01563139,0.00049077
2021-07-30,-0.06237831,1.80361260,-0.07703464,0.00022032
2021-08-31,0.02203300,1.84335160,-0.05669894,0.00018554
2021-09-30,0.00905036,1.86003459,-0.04816173,0.00049175
2021-10-29,0.00684353,1.87276379,-0.04164780,0.00006005
2021-11-30,-0.04835385,1.78220845,-0.08798781,0.00013162
2021-12-31,0.00467261,1.79053602,-0.08372634,0.00010901
2022-01-31,0.06828438,1.91280167,-0.02115915,0.00014273
2022-02-28,0.00633928,1.92492745,-0.01495401,0.00006684
2022-03-31,0.01612506,1.95596702,0.00000000,0.00003073
2022-04-29,-0.03669834,1.88418629,-0.03669834,0.00000000
2022-05-31,0.02585002,1.93289253,-0.01179697,0.00011451
2022-06-30,-0.00169809,1.92961030,-0.01347504,0.00001540
2022-07-29,-0.00801247,1.91414934,-0.02137954,0.00017020
2022-08-31,-0.00296646,1.90847109,-0.02428258,0.00004146
2022-09-30,-0.03466019,1.84232313,-0.05810113,0.00010323
2022-10-31,-0.03682293,1.77448339,-0.09278461,0.00001284
2022-11-30,0.08225996,1.92045233,-0.01815710,0.00002322
2022-12-30,0.01594984,1.95108324,-0.00249686,0.00016130
2023-01-31,0.07071128,2.08904683,0.00000000,0.00007697
2023-02-28,-0.02662526,2.03342542,-0.02662526,0.00010005
2023-03-31,0.05030318,2.13571319,0.00000000,0.00002766
2023-04-28,0.06345116,2.27122667,0.00000000,0.00005473
2023-05-31,-0.04464028,2.16983848,-0.04464028,0.00003935
2023-06-30,0.04441031,2.26620167,-0.00221246,0.00008653
2023-07-31,0.04527878,2.36881251,0.00000000,0.00024158
2023-08-31,-0.03672894,2.28180854,-0.03672894,0.00009323
2023-09-29,0.03680571,2.36579213,-0.00127506,0.00000000
2023-10-31,-0.05115225,2.24477654,-0.05236208,0.00011420
2023-11-30,0.03402308,2.32115076,-0.02012052,0.00006270
2023-12-29,0.00822820,2.34024965,-0.01205788,0.00004597
2024-01-31,0.00617220,2.35469415,-0.00596010,0.00004556
2024-02-29,0.02813780,2.42095007,0.00000000,0.00014419
2024-03-28,0.01565662,2.45885398,0.00000000,0.00002728
2024-04-30,0.05276602,2.58859792,0.00000000,0.00010961
2024-05-31,0.04488123,2.70477738,0.00000000,0.00015543
2024-06-28,0.04903093,2.83739514,0.00000000,0.00016794
2024-07-31,-0.00364420,2.82705510,-0.00364420,0.00006069
2024-08-30,0.03006499,2.91205048,0.00000000,0.00008824
2024-09-30,0.05354633,3.06798009,0.00000000,0.00011290
2024-10-31,-0.01255786,3.02945282,-0.01255786,0.00011986
2024-11-29,-0.02687710,2.94802991,-0.03909744,0.00009933
2024-12-31,0.08259419,3.19152005,0.00000000,0.00011657
2025-01-28,0.00938735,3.22147997,0.00000000,0.00012296
2025-02-28,0.10728247,3.56708831,0.00000000,0.00012923
2025-03-31,0.02165306,3.64432669,0.00000000,0.00011886
2025-04-30,-0.02958601,3.53650562,-0.02958601,0.00010432
2025-05-30,0.06588664,3.76951407,0.00000000,0.00015181
2025-06-30,0.05936587,3.99329456,0.00000000,0.00006892
2025-07-31,0.01077488,4.03632184,0.00000000,0.00001718
2025-08-29,0.00106977,4.04063977,0.00000000,0.00020672
2025-09-30,0.01840966,4.11502656,0.00000000,0.00014598
2025-10-31,0.00409221,4.13186612,0.00000000,0.00018707
2025-11-28,0.01807444,4.20654730,0.00000000,0.00029714
2025-12-31,-0.00105844,4.20209492,-0.00105844,0.00020665
2026-01-30,0.05255408,4.42293216,0.00000000,0.00013545
2026-02-27,-0.02196037,4.32580295,-0.02196037,0.00019983
2026-03-31,-0.04067504,4.14985074,-0.06174217,0.00035796
2026-04-30,0.06804558,4.43222976,0.00000000,0.00050458
