date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2021-01-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-02-01,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-03-01,0.75437558,1.50875116,0.79458148,0.79505837,0.00047689,0.00023837,0.00023852,0.00000000,rebalance
2021-04-01,0.00528918,0.01057836,0.00000000,0.01165366,0.00000350,0.00000000,0.00000350,0.00000000,rebalance
2021-05-03,0.26786337,0.53572674,0.30051595,0.27089012,0.00017142,0.00009015,0.00008127,0.00000000,rebalance
2021-06-01,0.12243768,0.24487535,0.12822254,0.14313288,0.00008141,0.00003847,0.00004294,0.00000000,rebalance
2021-07-02,0.07816488,0.15632975,0.06437804,0.10186450,0.00004987,0.00001931,0.00003056,0.00000000,rebalance
2021-08-02,0.19914016,0.39828033,0.21848372,0.18648674,0.00012149,0.00006555,0.00005595,0.00000000,rebalance
2021-09-01,0.08374181,0.16748362,0.08034053,0.09266178,0.00005190,0.00002410,0.00002780,0.00000000,rebalance
2021-10-04,0.05504796,0.11009592,0.05874949,0.05332400,0.00003362,0.00001762,0.00001600,0.00000000,rebalance
2021-11-01,0.07969207,0.15938414,0.08293199,0.08388798,0.00005005,0.00002488,0.00002517,0.00000000,rebalance
2021-12-01,0.02601407,0.05202814,0.03239064,0.01953899,0.00001558,0.00000972,0.00000586,0.00000000,rebalance
2022-01-03,0.18202323,0.36404647,0.07149725,0.30032042,0.00011155,0.00002145,0.00009010,0.00000000,rebalance
2022-02-04,0.04927902,0.09855803,0.05491375,0.05464756,0.00003287,0.00001647,0.00001639,0.00000000,rebalance
2022-03-01,0.02346264,0.04692529,0.01825358,0.03321984,0.00001544,0.00000548,0.00000997,0.00000000,rebalance
2022-04-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-05-03,0.09417036,0.18834072,0.00000000,0.20291431,0.00006087,0.00000000,0.00006087,0.00000000,rebalance
2022-06-01,0.01331722,0.02663444,0.00000000,0.02923704,0.00000877,0.00000000,0.00000877,0.00000000,rebalance
2022-07-04,0.14081500,0.28162999,0.27149395,0.04054873,0.00009361,0.00008145,0.00001216,0.00000000,rebalance
2022-08-01,0.03598650,0.07197300,0.03916523,0.03959859,0.00002363,0.00001175,0.00001188,0.00000000,rebalance
2022-09-01,0.09478983,0.18957967,0.00000000,0.20497068,0.00006149,0.00000000,0.00006149,0.00000000,rebalance
2022-10-03,0.01169713,0.02339426,0.00000000,0.02441184,0.00000732,0.00000000,0.00000732,0.00000000,rebalance
2022-11-01,0.02158691,0.04317382,0.02394693,0.02011824,0.00001322,0.00000718,0.00000604,0.00000000,rebalance
2022-12-01,0.14301703,0.28603405,0.27738349,0.03434858,0.00009352,0.00008322,0.00001030,0.00000000,rebalance
2023-01-03,0.06527842,0.13055685,0.09687790,0.04926264,0.00004384,0.00002906,0.00001478,0.00000000,rebalance
