date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2023-02-28,-0.02851928,-0.02821937,-0.02851928,0.00029991,444,monthly_lowvol,False,risk_on,0.06515927,0.00000000,0.00000000,16,47,95,0,0.00000000,0.00000000
2023-03-31,0.05061405,0.05061405,0.05061405,0.00000000,445,monthly_lowvol,False,risk_on,0.15647283,0.00000000,0.00000000,16,13,94,0,0.00000000,0.00000000
2023-04-28,0.06326931,0.06329254,0.06326931,0.00002372,448,monthly_lowvol,False,risk_on,0.12267986,0.00000000,-0.00152402,16,37,99,0,0.00000000,0.00000000
2023-05-31,-0.04564327,-0.04562425,-0.04564327,0.00002065,448,monthly_lowvol,False,risk_on,0.16204860,0.00000000,-0.01224369,16,47,98,0,0.00000000,0.00000000
2023-06-30,0.04437285,0.04441531,0.04437285,0.00004397,449,monthly_lowvol,False,caution,0.14370153,0.20000000,0.13427801,16,2,99,0,0.00000000,0.00000000
2023-07-31,0.04534225,0.04545540,0.04534225,0.00012238,449,monthly_lowvol,False,caution,-0.03581717,0.20000000,0.19911886,16,47,102,0,0.00000000,0.00000000
2023-08-31,-0.03658039,-0.03654104,-0.03658039,0.00004449,452,monthly_lowvol,False,risk_on,0.07869138,0.00000000,0.05076767,16,47,99,0,0.00000000,0.00000000
2023-09-29,0.03666292,0.03666292,0.03666292,0.00000000,453,monthly_lowvol,False,caution,0.17516078,0.20000000,0.05076767,16,9,100,0,0.00000000,0.00000000
2023-10-31,-0.05059675,-0.05055189,-0.05059675,0.00005066,456,monthly_lowvol,False,caution,0.24321655,0.20000000,0.16246854,16,31,93,0,0.00000000,0.00000000
2023-11-30,0.03396343,0.03399132,0.03396343,0.00002990,457,monthly_lowvol,False,caution,0.36976567,0.20000000,0.20203660,16,13,96,0,0.00000000,0.00000000
2023-12-29,0.00840410,0.00842392,0.00840410,0.00002197,459,monthly_lowvol,False,caution,0.03255460,0.20000000,0.24178196,16,40,93,0,0.00000000,0.00000000
2024-01-31,0.00593104,0.00594691,0.00593104,0.00001774,462,monthly_lowvol,False,caution,-0.00353167,0.20000000,0.23781639,16,40,90,0,0.00000000,0.00000000
2024-02-29,0.02816476,0.02822505,0.02816476,0.00006780,466,monthly_lowvol,True,risk_off,-0.06982058,0.45000000,0.46374912,16,26,99,0,0.00000000,0.00000000
2024-03-28,0.01565571,0.01566698,0.01565571,0.00001303,466,monthly_lowvol,True,risk_off,-0.12445615,0.45000000,0.47896937,16,58,98,0,0.00000000,0.00000000
2024-04-30,0.05276160,0.05280618,0.05276160,0.00005235,468,monthly_lowvol,False,caution,-0.04754363,0.20000000,0.30442575,16,30,98,0,0.00000000,0.00000000
2024-05-31,0.04487623,0.04493627,0.04487623,0.00007423,469,monthly_lowvol,False,caution,-0.04367122,0.20000000,0.23901978,16,55,101,0,0.00000000,0.00000000
2024-06-28,0.04902770,0.04908979,0.04902770,0.00008020,469,monthly_lowvol,False,risk_on,0.11117712,0.00000000,0.04419573,16,49,103,0,0.00000000,0.00000000
2024-07-31,-0.00364206,-0.00362067,-0.00364206,0.00002898,469,monthly_lowvol,False,risk_on,0.10725640,0.00000000,0.02736170,16,42,97,0,0.00000000,0.00000000
2024-08-30,0.03006604,0.03009726,0.03006604,0.00004216,471,monthly_lowvol,False,risk_on,0.00928023,0.00000000,0.00453502,16,26,96,0,0.00000000,0.00000000
2024-09-30,0.05354549,0.05358426,0.05354549,0.00005392,471,monthly_lowvol,False,risk_on,0.07155690,0.00000000,0.00045965,16,41,100,0,0.00000000,0.00000000
2024-10-31,-0.01255859,-0.01251952,-0.01255859,0.00005724,474,monthly_lowvol,False,risk_on,0.07535769,0.00000000,-0.00753272,16,58,101,0,0.00000000,0.00000000
2024-11-29,-0.02687736,-0.02684457,-0.02687736,0.00004744,476,monthly_lowvol,False,risk_on,0.36310303,0.00000000,-0.03715650,16,28,108,0,0.00000000,0.00000000
2024-12-31,0.08259459,0.08263413,0.08259459,0.00005567,479,monthly_lowvol,False,risk_on,0.30424560,0.00000000,-0.00844077,16,20,106,0,0.00000000,0.00000000
2025-01-28,0.00938734,0.00942587,0.00938734,0.00005872,482,monthly_lowvol,False,risk_on,0.27470827,0.00000000,0.01160782,16,48,103,0,0.00000000,0.00000000
2025-02-28,0.10728250,0.10732262,0.10728250,0.00006172,484,monthly_lowvol,False,risk_on,0.49767451,0.00000000,0.01673475,16,29,102,0,0.00000000,0.00000000
2025-03-31,0.02165306,0.02168638,0.02165306,0.00005676,484,monthly_lowvol,False,risk_on,0.35401516,0.00000000,0.02608432,16,54,98,0,0.00000000,0.00000000
2025-04-30,-0.02958601,-0.02955738,-0.02958601,0.00004982,484,monthly_lowvol,False,risk_on,0.48161478,0.00000000,-0.01037518,16,41,101,0,0.00000000,0.00000000
2025-05-30,0.06588665,0.06592958,0.06588665,0.00007250,485,monthly_lowvol,False,risk_on,0.45470692,0.00000000,-0.01547152,16,36,95,0,0.00000000,0.00000000
2025-06-30,0.05936589,0.05938418,0.05936589,0.00003291,487,monthly_lowvol,False,risk_on,0.36815634,0.00000000,-0.03135682,16,56,101,0,0.00000000,0.00000000
2025-07-31,0.01077488,0.01077919,0.01077488,0.00000821,489,monthly_lowvol,False,risk_on,0.52572583,0.00000000,-0.05871584,16,60,108,0,0.00000000,0.00000000
2025-08-29,0.00106977,0.00112098,0.00106977,0.00009872,490,monthly_lowvol,False,risk_on,0.69319599,0.00000000,-0.02928193,16,52,100,0,0.00000000,0.00000000
2025-09-30,0.01840966,0.01844578,0.01840966,0.00006971,492,monthly_lowvol,False,risk_on,0.85408993,0.00000000,0.02049870,16,40,106,0,0.00000000,0.00000000
