date,ts_code,name,weight
2025-01-28,02318.HK,中国平安,0.14606571
2025-01-28,03690.HK,美团-W,0.14571601
2025-01-28,00700.HK,腾讯控股,0.14280770
2025-01-28,01810.HK,小米集团-W,0.11271478
2025-01-28,01299.HK,友邦保险,0.07807024
2025-01-28,00388.HK,香港交易所,0.06715024
2025-01-28,01211.HK,比亚迪股份,0.04820477
2025-01-28,02269.HK,药明生物,0.04164741
2025-01-28,02020.HK,安踏体育,0.03817250
2025-01-28,02333.HK,长城汽车,0.03363390
2025-01-28,06030.HK,中信证券,0.02738469
2025-01-28,02359.HK,药明康德,0.02734857
2025-01-28,02313.HK,申洲国际,0.02460749
2025-01-28,06862.HK,海底捞,0.02313399
2025-01-28,02899.HK,紫金矿业,0.02298016
2025-01-28,00291.HK,华润啤酒,0.02036184
2025-02-28,01810.HK,小米集团-W,0.17045165
2025-02-28,00700.HK,腾讯控股,0.14808098
2025-02-28,03968.HK,招商银行,0.12631797
2025-02-28,01211.HK,比亚迪股份,0.11885941
2025-02-28,03690.HK,美团-W,0.09712848
2025-02-28,02318.HK,中国平安,0.06391382
2025-02-28,01299.HK,友邦保险,0.05237205
2025-02-28,00388.HK,香港交易所,0.04739080
2025-02-28,02899.HK,紫金矿业,0.02974590
2025-02-28,02020.HK,安踏体育,0.02439199
2025-02-28,02601.HK,中国太保,0.02386264
2025-02-28,00669.HK,创科实业,0.02314591
2025-02-28,06690.HK,海尔智家,0.02308663
2025-02-28,02333.HK,长城汽车,0.02072131
2025-02-28,02359.HK,药明康德,0.01336547
2025-02-28,03993.HK,洛阳钼业,0.01326961
2025-02-28,CASH,现金,0.00389538
2025-03-31,00700.HK,腾讯控股,0.15190031
2025-03-31,01398.HK,工商银行,0.12539465
2025-03-31,01810.HK,小米集团-W,0.11424308
2025-03-31,01211.HK,比亚迪股份,0.10590079
2025-03-31,01288.HK,农业银行,0.09486136
2025-03-31,03968.HK,招商银行,0.09384712
2025-03-31,03988.HK,中国银行,0.09276369
2025-03-31,02899.HK,紫金矿业,0.03572899
2025-03-31,00981.HK,中芯国际,0.03384409
2025-03-31,00728.HK,中国电信,0.03297444
2025-03-31,00388.HK,香港交易所,0.02904896
2025-03-31,02601.HK,中国太保,0.02505793
2025-03-31,06690.HK,海尔智家,0.02303568
2025-03-31,01024.HK,快手-W,0.02130860
2025-03-31,00669.HK,创科实业,0.01966842
2025-03-31,00998.HK,中信银行,0.01588195
2025-04-30,00700.HK,腾讯控股,0.15236589
2025-04-30,01810.HK,小米集团-W,0.10705404
2025-04-30,01398.HK,工商银行,0.09966048
2025-04-30,01211.HK,比亚迪股份,0.08549743
2025-04-30,01288.HK,农业银行,0.07402372
2025-04-30,03968.HK,招商银行,0.07341732
2025-04-30,00005.HK,汇丰控股,0.07049028
2025-04-30,00857.HK,中国石油股份,0.06643964
2025-04-30,03988.HK,中国银行,0.06463790
2025-04-30,00883.HK,中国海洋石油,0.04182596
2025-04-30,00981.HK,中芯国际,0.03596995
2025-04-30,02899.HK,紫金矿业,0.03584769
2025-04-30,01088.HK,中国神华,0.03288138
2025-04-30,00728.HK,中国电信,0.03149857
2025-04-30,00388.HK,香港交易所,0.02999494
2025-04-30,06690.HK,海尔智家,0.02170664
2025-05-30,01398.HK,工商银行,0.15014805
2025-05-30,01288.HK,农业银行,0.12706000
2025-05-30,03988.HK,中国银行,0.10628448
2025-05-30,00857.HK,中国石油股份,0.09572065
2025-05-30,00005.HK,汇丰控股,0.08803127
2025-05-30,00883.HK,中国海洋石油,0.05908215
2025-05-30,01088.HK,中国神华,0.05578974
2025-05-30,03968.HK,招商银行,0.04956811
2025-05-30,01211.HK,比亚迪股份,0.04666125
2025-05-30,01810.HK,小米集团-W,0.04433185
2025-05-30,00728.HK,中国电信,0.04381729
2025-05-30,03328.HK,交通银行,0.03202766
2025-05-30,01658.HK,邮储银行,0.02947277
2025-05-30,00998.HK,中信银行,0.02616352
2025-05-30,02899.HK,紫金矿业,0.02461505
2025-05-30,02388.HK,中银香港,0.02122616
2025-06-30,01398.HK,工商银行,0.13528138
2025-06-30,01288.HK,农业银行,0.10865430
2025-06-30,00941.HK,中国移动,0.10630644
2025-06-30,00939.HK,建设银行,0.10627078
2025-06-30,03988.HK,中国银行,0.08120808
2025-06-30,00857.HK,中国石油股份,0.07329585
2025-06-30,00005.HK,汇丰控股,0.06417929
2025-06-30,00883.HK,中国海洋石油,0.05674007
2025-06-30,01810.HK,小米集团-W,0.04932555
2025-06-30,03968.HK,招商银行,0.04063871
2025-06-30,01088.HK,中国神华,0.04023418
2025-06-30,00728.HK,中国电信,0.03932885
2025-06-30,00386.HK,中国石油化工股份,0.03255834
2025-06-30,03328.HK,交通银行,0.03218121
2025-06-30,00998.HK,中信银行,0.02743980
2025-06-30,01211.HK,比亚迪股份,0.02635034
2025-07-31,01398.HK,工商银行,0.12241773
