date,portfolio_return,nav,drawdown,trading_cost
2017-02-01,0.00000000,1.00000000,0.00000000,0.00000000
2017-02-28,0.04217571,1.04217571,0.00000000,0.00029991
2017-03-31,0.01538092,1.05820533,0.00000000,0.00008516
2017-04-28,0.01245856,1.07138905,0.00000000,0.00004465
2017-05-31,0.06049654,1.13620438,0.00000000,0.00003024
2017-06-30,0.02257581,1.16185512,0.00000000,0.00003140
2017-07-31,0.09592556,1.27330672,0.00000000,0.00004795
2017-08-31,0.03887462,1.32280604,0.00000000,0.00006719
2017-09-29,-0.02050345,1.29568395,-0.02050345,0.00003396
2017-10-31,0.04420589,1.35296081,0.00000000,0.00003978
2017-11-30,0.04015150,1.40728422,0.00000000,0.00004164
2017-12-29,0.03092867,1.45080966,0.00000000,0.00004143
2018-01-31,0.15236249,1.67185863,0.00000000,0.00007044
2018-02-28,-0.07528701,1.54598940,-0.07528701,0.00005969
2018-03-29,-0.02075234,1.51390651,-0.09447696,0.00000862
2018-04-30,0.01959563,1.54357245,-0.07673267,0.00003757
2018-05-31,-0.01597737,1.51891023,-0.09148405,0.00008420
2018-06-29,-0.05349847,1.43765086,-0.14008826,0.00003170
2018-07-31,0.02427516,1.47255007,-0.11921377,0.00003379
2018-08-31,-0.00805716,1.46068550,-0.12631040,0.00017953
2018-09-28,0.02513724,1.49740311,-0.10434825,0.00010523
2018-10-31,-0.06789106,1.39574282,-0.16515500,0.00005528
2018-11-30,0.02731591,1.43386881,-0.14235045,0.00000000
2018-12-31,-0.03163185,1.38851289,-0.16947949,0.00002393
2019-01-31,0.04807383,1.45526402,-0.12955319,0.00001857
2019-02-28,0.01683495,1.47976331,-0.11489926,0.00006003
2019-03-29,-0.00835072,1.46740622,-0.12229049,0.00004276
2019-04-30,0.01273853,1.48609882,-0.11110976,0.00004041
2019-05-31,-0.06299578,1.39248087,-0.16710609,0.00017384
2019-06-28,0.06398942,1.48158491,-0.11380969,0.00003639
2019-07-31,-0.02513832,1.44434036,-0.13608703,0.00011619
2019-08-30,-0.05819054,1.36029342,-0.18635859,0.00002242
2019-09-30,0.01915306,1.38634721,-0.17077486,0.00009625
2019-10-31,0.02892172,1.42644275,-0.14679225,0.00023681
2019-11-29,-0.00458967,1.41989585,-0.15070819,0.00009231
2019-12-31,0.07594287,1.52772682,-0.08621053,0.00003804
2020-01-31,-0.07780915,1.40885569,-0.15731171,0.00004150
2020-02-28,0.00563991,1.41680151,-0.15255903,0.00006460
2020-03-31,-0.05618508,1.33719840,-0.20017257,0.00007936
2020-04-29,0.01498455,1.35723571,-0.18818751,0.00003407
2020-05-29,-0.01364718,1.33871327,-0.19926647,0.00003795
2020-06-30,0.05564126,1.41320096,-0.15471265,0.00002482
2020-07-31,0.02476304,1.44819612,-0.13378076,0.00005762
2020-08-31,0.01121951,1.46444417,-0.12406221,0.00009317
2020-09-30,-0.05500610,1.38389081,-0.17224413,0.00008840
2020-10-30,0.06658800,1.47604133,-0.11712552,0.00016119
2020-11-30,0.12527303,1.66094950,-0.00652515,0.00018551
2020-12-31,0.04522580,1.73606726,0.00000000,0.00019206
2021-01-29,0.09348199,1.89835829,0.00000000,0.00017524
2021-02-26,-0.02843880,1.84437126,-0.02843880,0.00009560
2021-03-31,-0.01444297,1.81773307,-0.04247103,0.00023213
2021-04-30,0.00025413,1.81819500,-0.04222769,0.00005492
2021-05-31,0.06846711,1.94268156,0.00000000,0.00031202
2021-06-30,-0.01507917,1.91338754,-0.01507917,0.00047463
2021-07-30,-0.06313714,1.79258173,-0.07726425,0.00020820
2021-08-31,0.02191705,1.83186985,-0.05704060,0.00017851
2021-09-30,0.00837148,1.84720531,-0.04914663,0.00047901
2021-10-29,0.00710137,1.86032299,-0.04239427,0.00006620
2021-11-30,-0.04848762,1.77012036,-0.08882630,0.00012362
2021-12-31,0.00178519,1.77328036,-0.08719968,0.00005629
2022-01-31,0.06451163,1.88767756,-0.02831344,0.00014700
2022-02-28,0.00786117,1.90251691,-0.02067485,0.00008816
2022-03-31,0.01761546,1.93603061,-0.00342360,0.00002307
2022-04-29,-0.02528177,1.88708434,-0.02861881,0.00000622
2022-05-31,0.02460164,1.93350971,-0.00472124,0.00000596
2022-06-30,0.00537912,1.94391028,0.00000000,0.00001757
2022-07-29,-0.00354631,1.93701657,-0.00354631,0.00011971
2022-08-31,-0.00040133,1.93623918,-0.00394622,0.00003684
2022-09-30,-0.03462616,1.86919466,-0.03843573,0.00010819
2022-10-31,-0.03590541,1.80208047,-0.07296109,0.00000886
2022-11-30,0.09344109,1.97046882,0.00000000,0.00002255
2022-12-30,0.01446604,1.99897370,0.00000000,0.00006150
2023-01-31,0.07740669,2.15370763,0.00000000,0.00010020
2023-02-28,-0.02784787,2.09373146,-0.02784787,0.00008515
2023-03-31,0.04861413,2.19551639,0.00000000,0.00003670
2023-04-28,0.06592129,2.34024767,0.00000000,0.00007413
2023-05-31,-0.04070437,2.24498937,-0.04070437,0.00003998
2023-06-30,0.04463497,2.34519439,0.00000000,0.00007343
2023-07-31,0.05368274,2.47109085,0.00000000,0.00021601
2023-08-31,-0.04593397,2.35758384,-0.04593397,0.00001891
2023-09-29,0.03066608,2.42988169,-0.01667651,0.00000000
2023-10-31,-0.04369224,2.32371471,-0.05964012,0.00008005
2023-11-30,0.03351565,2.40159552,-0.02812334,0.00003660
2023-12-29,0.00275554,2.40821322,-0.02544529,0.00012202
2024-01-31,0.00266645,2.41463461,-0.02284669,0.00003872
2024-02-29,0.02536519,2.47588226,0.00000000,0.00003869
2024-03-28,0.01857737,2.52187764,0.00000000,0.00001859
2024-04-30,0.05691632,2.66541365,0.00000000,0.00000000
2024-05-31,0.04343671,2.78119044,0.00000000,0.00015846
2024-06-28,0.05218640,2.92633077,0.00000000,0.00007850
2024-07-31,-0.00417829,2.91410373,-0.00417829,0.00005802
2024-08-30,0.02955228,3.00022215,0.00000000,0.00008598
2024-09-30,0.05348526,3.16068980,0.00000000,0.00013790
2024-10-31,-0.01370965,3.11735783,-0.01370965,0.00010692
2024-11-29,-0.02622485,3.03560558,-0.03957497,0.00007836
2024-12-31,0.08024001,3.27918258,0.00000000,0.00009432
2025-01-28,0.01063376,3.31405261,0.00000000,0.00012583
2025-02-28,0.11072562,3.68100315,0.00000000,0.00010515
2025-03-31,0.02184989,3.76143268,0.00000000,0.00009262
2025-04-30,-0.02912843,3.65186806,-0.02912843,0.00009266
2025-05-30,0.11206348,4.06110912,0.00000000,0.00017505
2025-06-30,0.05618242,4.28927207,0.00000000,0.00016085
2025-07-31,0.01032669,4.33356604,0.00000000,0.00000000
2025-08-29,0.00214837,4.34287616,0.00000000,0.00020299
2025-09-30,0.01817397,4.42180345,0.00000000,0.00013444
2025-10-31,0.00091086,4.42583107,0.00000000,0.00019270
2025-11-28,0.01728562,4.50233430,0.00000000,0.00028284
2025-12-31,0.00017777,4.50313468,0.00000000,0.00017598
2026-01-30,0.05130818,4.73418232,0.00000000,0.00011435
2026-02-27,-0.02356985,4.62259838,-0.02356985,0.00020755
2026-03-31,-0.03723064,4.45049608,-0.05992297,0.00033960
2026-04-30,0.06982061,4.76123241,0.00000000,0.00058542
