date,ts_code,name,weight
2017-02-28,01398.HK,工商银行,0.15341209
2017-02-28,00700.HK,腾讯控股,0.14415985
2017-02-28,00005.HK,汇丰控股,0.13784068
2017-02-28,03988.HK,中国银行,0.11739526
2017-02-28,01288.HK,农业银行,0.10713596
2017-02-28,00386.HK,中国石油化工股份,0.05036432
2017-02-28,02318.HK,中国平安,0.05001130
2017-02-28,03968.HK,招商银行,0.04967870
2017-02-28,03328.HK,交通银行,0.03785838
2017-02-28,02388.HK,中银香港,0.03304554
2017-02-28,01988.HK,民生银行,0.03080816
2017-02-28,00998.HK,中信银行,0.02247245
2017-02-28,01800.HK,中国交通建设,0.02111369
2017-02-28,01928.HK,金沙中国有限公司,0.01698004
2017-02-28,00066.HK,港铁公司,0.01479406
2017-02-28,00003.HK,香港中华煤气,0.01292952
2017-03-31,00700.HK,腾讯控股,0.15281394
2017-03-31,01398.HK,工商银行,0.13469736
2017-03-31,00005.HK,汇丰控股,0.11470901
2017-03-31,00939.HK,建设银行,0.10269735
2017-03-31,03988.HK,中国银行,0.08667093
2017-03-31,01288.HK,农业银行,0.08592721
2017-03-31,00386.HK,中国石油化工股份,0.06308822
2017-03-31,02318.HK,中国平安,0.05175627
2017-03-31,03968.HK,招商银行,0.03891467
2017-03-31,03328.HK,交通银行,0.03635537
2017-03-31,02388.HK,中银香港,0.03365446
2017-03-31,01988.HK,民生银行,0.02840626
2017-03-31,00016.HK,新鸿基地产,0.02635404
2017-03-31,01800.HK,中国交通建设,0.02274233
2017-03-31,00998.HK,中信银行,0.02131782
2017-03-31,00003.HK,香港中华煤气,0.01324750
2017-04-28,00700.HK,腾讯控股,0.15098847
2017-04-28,01398.HK,工商银行,0.13303987
2017-04-28,00939.HK,建设银行,0.13004987
2017-04-28,00005.HK,汇丰控股,0.11498772
2017-04-28,01288.HK,农业银行,0.08486986
2017-04-28,03988.HK,中国银行,0.08367639
2017-04-28,02628.HK,中国人寿,0.04391699
2017-04-28,00386.HK,中国石油化工股份,0.04346453
2017-04-28,02318.HK,中国平安,0.03890666
2017-04-28,03968.HK,招商银行,0.03779862
2017-04-28,03328.HK,交通银行,0.03560197
2017-04-28,02388.HK,中银香港,0.03349907
2017-04-28,00016.HK,新鸿基地产,0.02660145
2017-04-28,00998.HK,中信银行,0.02017819
2017-04-28,01988.HK,民生银行,0.01407863
2017-04-28,00003.HK,香港中华煤气,0.01308449
2017-05-31,00700.HK,腾讯控股,0.14379670
2017-05-31,01398.HK,工商银行,0.13923980
