date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type,trade_details_json,signal_date,evaluation_date,trade_date,risk_stage
2020-02-03,0.23996544,0.47993089,0.47993089,0.00000000,0.00014398,0.00014398,0.00000000,0.00000000,rebalance,"[{""ts_code"": ""00586.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.11998272248796168, ""post_trade_weight"": 0.11999999999999994, ""diff_weight"": 0.11998272248796168, ""gross_amount"": 0.11998272248796168, ""gross_amount_pct_nav"": 0.11998272248796168, ""fee"": 3.59948167463885e-05, ""fee_pct_nav"": 3.59948167463885e-05, ""name"": ""海螺创业""}, {""ts_code"": ""02128.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.11998272248796168, ""post_trade_weight"": 0.11999999999999994, ""diff_weight"": 0.11998272248796168, ""gross_amount"": 0.11998272248796168, ""gross_amount_pct_nav"": 0.11998272248796168, ""fee"": 3.59948167463885e-05, ""fee_pct_nav"": 3.59948167463885e-05, ""name"": ""中国联塑""}, {""ts_code"": ""02269.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.11998272248796168, ""post_trade_weight"": 0.11999999999999994, ""diff_weight"": 0.11998272248796168, ""gross_amount"": 0.11998272248796168, ""gross_amount_pct_nav"": 0.11998272248796168, ""fee"": 3.59948167463885e-05, ""fee_pct_nav"": 3.59948167463885e-05, ""name"": ""药明生物""}, {""ts_code"": ""02688.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.11998272248796168, ""post_trade_weight"": 0.11999999999999994, ""diff_weight"": 0.11998272248796168, ""gross_amount"": 0.11998272248796168, ""gross_amount_pct_nav"": 0.11998272248796168, ""fee"": 3.59948167463885e-05, ""fee_pct_nav"": 3.59948167463885e-05, ""name"": ""新奥能源""}]",,,,
2020-02-07,0.05550834,0.11101668,0.11294759,0.00000000,0.00003388,0.00003388,0.00000000,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00586.HK"", ""side"": ""buy"", ""current_weight"": 0.1289711910370003, ""target_weight"": 0.14999500424943107, ""post_trade_weight"": 0.14999999999999997, ""diff_weight"": 0.021023813212430773, ""gross_amount"": 0.021389480716629106, ""gross_amount_pct_nav"": 0.021023813212430773, ""fee"": 6.416844214988731e-06, ""fee_pct_nav"": 6.3071439637292315e-06, ""name"": ""海螺创业""}, {""ts_code"": ""02128.HK"", ""side"": ""buy"", ""current_weight"": 0.11961027820309766, ""target_weight"": 0.14999500424943107, ""post_trade_weight"": 0.14999999999999997, ""diff_weight"": 0.030384726046333403, ""gross_amount"": 0.030913208050375535, ""gross_amount_pct_nav"": 0.030384726046333403, ""fee"": 9.273962415112659e-06, ""fee_pct_nav"": 9.11541781390002e-06, ""name"": ""中国联塑""}, {""ts_code"": ""02269.HK"", ""side"": ""buy"", ""current_weight"": 0.13074709586149164, ""target_weight"": 0.14999500424943107, ""post_trade_weight"": 0.14999999999999997, ""diff_weight"": 0.019247908387939442, ""gross_amount"": 0.019582687552410633, ""gross_amount_pct_nav"": 0.019247908387939442, ""fee"": 5.874806265723189e-06, ""fee_pct_nav"": 5.774372516381831e-06, ""name"": ""药明生物""}, {""ts_code"": ""02688.HK"", ""side"": ""buy"", ""current_weight"": 0.10963477258739746, ""target_weight"": 0.14999500424943107, ""post_trade_weight"": 0.14999999999999997, ""diff_weight"": 0.04036023166203361, ""gross_amount"": 0.04106221778755703, ""gross_amount_pct_nav"": 0.04036023166203361, ""fee"": 1.2318665336267108e-05, ""fee_pct_nav"": 1.2108069498610082e-05, ""name"": ""新奥能源""}]",2020-02-07,2020-02-07,2020-02-10,risk_on
2020-02-14,0.00677553,0.01355105,0.00000000,0.01431516,0.00000429,0.00000000,0.00000429,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""02128.HK"", ""side"": ""sell"", ""current_weight"": 0.16355044406117705, ""target_weight"": 0.14999939020257758, ""post_trade_weight"": 0.15000000000000122, ""diff_weight"": -0.013551053858599468, ""gross_amount"": 0.014315157568324466, ""gross_amount_pct_nav"": 0.013551053858599468, ""fee"": 4.2945472704973395e-06, ""fee_pct_nav"": 4.0653161575798406e-06, ""name"": ""中国联塑""}]",2020-02-14,2020-02-14,2020-02-17,risk_on
2020-02-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2020-02-21,2020-02-21,2020-02-24,risk_on
2020-03-02,0.78271849,1.56543699,1.03941943,0.61866234,0.00049742,0.00031183,0.00018560,0.00000000,rebalance,"[{""ts_code"": ""00002.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.023629766614064383, ""post_trade_weight"": 0.02364086910134003, ""diff_weight"": 0.023629766614064383, ""gross_amount"": 0.025028209621609145, ""gross_amount_pct_nav"": 0.023629766614064383, ""fee"": 7.508462886482743e-06, ""fee_pct_nav"": 7.088929984219314e-06, ""name"": ""中电控股""}, {""ts_code"": ""00003.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.03171204406556287, ""post_trade_weight"": 0.03172694402507043, ""diff_weight"": 0.03171204406556287, ""gross_amount"": 0.03358880768336527, ""gross_amount_pct_nav"": 0.03171204406556287, ""fee"": 1.007664230500958e-05, ""fee_pct_nav"": 9.513613219668861e-06, ""name"": ""香港中华煤气""}, {""ts_code"": ""00012.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.019654238428175017, ""post_trade_weight"": 0.0196634730065619, ""diff_weight"": 0.019654238428175017, ""gross_amount"": 0.02081740405513215, ""gross_amount_pct_nav"": 0.019654238428175017, ""fee"": 6.2452212165396445e-06, ""fee_pct_nav"": 5.896271528452504e-06, ""name"": ""恒基地产""}, {""ts_code"": ""00016.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.03432260488109915, ""post_trade_weight"": 0.03433873141718321, ""diff_weight"": 0.03432260488109915, ""gross_amount"": 0.036353865180053034, ""gross_amount_pct_nav"": 0.03432260488109915, ""fee"": 1.090615955401591e-05, ""fee_pct_nav"": 1.0296781464329744e-05, ""name"": ""新鸿基地产""}, {""ts_code"": ""00586.HK"", ""side"": ""sell"", ""current_weight"": 0.14823701547437007, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.14823701547437007, ""gross_amount"": 0.1570098917001578, ""gross_amount_pct_nav"": 0.14823701547437007, ""fee"": 4.7102967510047336e-05, ""fee_pct_nav"": 4.447110464231102e-05, ""name"": ""海螺创业""}, {""ts_code"": ""00700.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.14992955533553998, ""post_trade_weight"": 0.1499999999999983, ""diff_weight"": 0.14992955533553998, ""gross_amount"": 0.15880259846405262, ""gross_amount_pct_nav"": 0.14992955533553998, ""fee"": 4.764077953921578e-05, ""fee_pct_nav"": 4.497886660066199e-05, ""name"": ""腾讯控股""}, {""ts_code"": ""00914.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.02744153045170906, ""post_trade_weight"": 0.027454423902907307, ""diff_weight"": 0.02744153045170906, ""gross_amount"": 0.02906555903410218, ""gross_amount_pct_nav"": 0.02744153045170906, ""fee"": 8.719667710230654e-06, ""fee_pct_nav"": 8.232459135512718e-06, ""name"": ""海螺水泥""}, {""ts_code"": ""00939.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.14992955533553998, ""post_trade_weight"": 0.1499999999999983, ""diff_weight"": 0.14992955533553998, ""gross_amount"": 0.15880259846405262, ""gross_amount_pct_nav"": 0.14992955533553998, ""fee"": 4.764077953921578e-05, ""fee_pct_nav"": 4.497886660066199e-05, ""name"": ""建设银行""}, {""ts_code"": ""00960.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.02829870303527061, ""post_trade_weight"": 0.028311999230510195, ""diff_weight"": 0.02829870303527061, ""gross_amount"": 0.029973460303448857, ""gross_amount_pct_nav"": 0.02829870303527061, ""fee"": 8.992038091034656e-06, ""fee_pct_nav"": 8.489610910581182e-06, ""name"": ""龙湖集团""}, {""ts_code"": ""01109.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.0247944823791684, ""post_trade_weight"": 0.024806132110188474, ""diff_weight"": 0.0247944823791684, ""gross_amount"": 0.026261854912936984, ""gross_amount_pct_nav"": 0.0247944823791684, ""fee"": 7.878556473881094e-06, ""fee_pct_nav"": 7.438344713750519e-06, ""name"": ""华润置地""}, {""ts_code"": ""01288.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.11544954000282874, ""post_trade_weight"": 0.11550378417162632, ""diff_weight"": 0.11544954000282874, ""gross_amount"": 0.1222820070592372, ""gross_amount_pct_nav"": 0.11544954000282874, ""fee"": 3.668460211777115e-05, ""fee_pct_nav"": 3.463486200084862e-05, ""name"": ""农业银行""}, {""ts_code"": ""01398.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.14992955533553998, ""post_trade_weight"": 0.1499999999999983, ""diff_weight"": 0.14992955533553998, ""gross_amount"": 0.15880259846405262, ""gross_amount_pct_nav"": 0.14992955533553998, ""fee"": 4.764077953921578e-05, ""fee_pct_nav"": 4.497886660066199e-05, ""name"": ""工商银行""}, {""ts_code"": ""01658.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.06720445898469835, ""post_trade_weight"": 0.06723603511758745, ""diff_weight"": 0.06720445898469835, ""gross_amount"": 0.07118171391395535, ""gross_amount_pct_nav"": 0.06720445898469835, ""fee"": 2.13545141741866e-05, ""fee_pct_nav"": 2.01613376954095e-05, ""name"": ""邮储银行""}, {""ts_code"": ""02007.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.020135737804786027, ""post_trade_weight"": 0.020145198616499264, ""diff_weight"": 0.020135737804786027, ""gross_amount"": 0.021327399245830384, ""gross_amount_pct_nav"": 0.020135737804786027, ""fee"": 6.398219773749115e-06, ""fee_pct_nav"": 6.040721341435808e-06, ""name"": ""碧桂园""}, {""ts_code"": ""02128.HK"", ""side"": ""sell"", ""current_weight"": 0.15547652551487282, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.15547652551487282, ""gross_amount"": 0.16467784618361858, ""gross_amount_pct_nav"": 0.15547652551487282, ""fee"": 4.940335385508557e-05, ""fee_pct_nav"": 4.664295765446184e-05, ""name"": ""中国联塑""}, {""ts_code"": ""02269.HK"", ""side"": ""sell"", ""current_weight"": 0.15229227687926403, ""target_weight"": 0.018188161735754847, ""post_trade_weight"": 0.018196707475437203, ""diff_weight"": -0.13410411514350917, ""gross_amount"": 0.14204058633970781, ""gross_amount_pct_nav"": 0.13410411514350917, ""fee"": 4.261217590191234e-05, ""fee_pct_nav"": 4.0231234543052746e-05, ""name"": ""药明生物""}, {""ts_code"": ""02388.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.025028447507611407, ""post_trade_weight"": 0.02504020716755731, ""diff_weight"": 0.025028447507611407, ""gross_amount"": 0.026509666428575607, ""gross_amount_pct_nav"": 0.025028447507611407, ""fee"": 7.952899928572681e-06, ""fee_pct_nav"": 7.508534252283421e-06, ""name"": ""中银香港""}, {""ts_code"": ""02688.HK"", ""side"": ""sell"", ""current_weight"": 0.14627712466244527, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.14627712466244527, ""gross_amount"": 0.15493401177813082, ""gross_amount_pct_nav"": 0.14627712466244527, ""fee"": 4.6480203533439243e-05, ""fee_pct_nav"": 4.388313739873358e-05, ""name"": ""新奥能源""}, {""ts_code"": ""03988.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.11388198700625093, ""post_trade_weight"": 0.11393549465752456, ""diff_weight"": 0.11388198700625093, ""gross_amount"": 0.1206216840593486, ""gross_amount_pct_nav"": 0.11388198700625093, ""fee"": 3.618650521780458e-05, ""fee_pct_nav"": 3.416459610187528e-05, ""name"": ""中国银行""}]",,,,
2020-03-06,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2020-03-06,2020-03-06,2020-03-09,risk_on
2020-03-13,0.07712277,0.15424555,0.00000000,0.15099979,0.00004530,0.00000000,0.00004530,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00700.HK"", ""side"": ""sell"", ""current_weight"": 0.14231740957508318, ""target_weight"": 0.11999444716035908, ""post_trade_weight"": 0.12000000000000001, ""diff_weight"": -0.022322962414724097, ""gross_amount"": 0.02185322524549528, ""gross_amount_pct_nav"": 0.022322962414724097, ""fee"": 6.555967573648584e-06, ""fee_pct_nav"": 6.6968887244172285e-06, ""name"": ""腾讯控股""}, {""ts_code"": ""00939.HK"", ""side"": ""sell"", ""current_weight"": 0.15568388456362364, ""target_weight"": 0.11999444716035908, ""post_trade_weight"": 0.12000000000000001, ""diff_weight"": -0.03568943740326457, ""gross_amount"": 0.03493843245214211, ""gross_amount_pct_nav"": 0.03568943740326457, ""fee"": 1.0481529735642632e-05, ""fee_pct_nav"": 1.0706831220979372e-05, ""name"": ""建设银行""}, {""ts_code"": ""01288.HK"", ""side"": ""sell"", ""current_weight"": 0.11570048190116072, ""target_weight"": 0.09239875151069263, ""post_trade_weight"": 0.09240302733730213, ""diff_weight"": -0.023301730390468105, ""gross_amount"": 0.022811397222835664, ""gross_amount_pct_nav"": 0.023301730390468105, ""fee"": 6.843419166850699e-06, ""fee_pct_nav"": 6.9905191171404305e-06, ""name"": ""农业银行""}, {""ts_code"": ""01398.HK"", ""side"": ""sell"", ""current_weight"": 0.15279983895036314, ""target_weight"": 0.11999444716035908, ""post_trade_weight"": 0.12000000000000001, ""diff_weight"": -0.03280539179000407, ""gross_amount"": 0.0321150751739301, ""gross_amount_pct_nav"": 0.03280539179000407, ""fee"": 9.63452255217903e-06, ""fee_pct_nav"": 9.84161753700122e-06, ""name"": ""工商银行""}, {""ts_code"": ""01658.HK"", ""side"": ""sell"", ""current_weight"": 0.07060140362739994, ""target_weight"": 0.05378633908792993, ""post_trade_weight"": 0.053788828094070595, ""diff_weight"": -0.016815064539470008, ""gross_amount"": 0.016461228849097634, ""gross_amount_pct_nav"": 0.016815064539470008, ""fee"": 4.9383686547292895e-06, ""fee_pct_nav"": 5.044519361841002e-06, ""name"": ""邮储银行""}, {""ts_code"": ""03988.HK"", ""side"": ""sell"", ""current_weight"": 0.11445513699931971, ""target_weight"": 0.09114417795581242, ""post_trade_weight"": 0.0911483957260207, ""diff_weight"": -0.023310959043507298, ""gross_amount"": 0.02282043167936662, ""gross_amount_pct_nav"": 0.023310959043507298, ""fee"": 6.846129503809986e-06, ""fee_pct_nav"": 6.9932877130521885e-06, ""name"": ""中国银行""}]",2020-03-13,2020-03-13,2020-03-16,caution
2020-03-20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,weekly_portfolio_overlay,,2020-03-20,2020-03-20,2020-03-23,caution
2020-03-27,0.12565844,0.25131688,0.00000000,0.24754000,0.00007426,0.00000000,0.00007426,0.00000000,weekly_portfolio_overlay,"[{""ts_code"": ""00003.HK"", ""side"": ""sell"", ""current_weight"": 0.027688306005017375, ""target_weight"": 0.01744850358353196, ""post_trade_weight"": 0.01744981921378894, ""diff_weight"": -0.010239802421485412, ""gross_amount"": 0.010085914882734952, ""gross_amount_pct_nav"": 0.010239802421485412, ""fee"": 3.0257744648204857e-06, ""fee_pct_nav"": 3.071940726445624e-06, ""name"": ""香港中华煤气""}, {""ts_code"": ""00016.HK"", ""side"": ""sell"", ""current_weight"": 0.034312381755368965, ""target_weight"": 0.018884878345459644, ""post_trade_weight"": 0.018886302279450984, ""diff_weight"": -0.015427503409909322, ""gross_amount"": 0.015195653181643797, ""gross_amount_pct_nav"": 0.015427503409909322, ""fee"": 4.558695954493139e-06, ""fee_pct_nav"": 4.628251022972797e-06, ""name"": ""新鸿基地产""}, {""ts_code"": ""00700.HK"", ""side"": ""sell"", ""current_weight"": 0.13140387786330146, ""target_weight"": 0.08249377990712278, ""post_trade_weight"": 0.08250000000000002, ""diff_weight"": -0.048910097956178684, ""gross_amount"": 0.04817505891101824, ""gross_amount_pct_nav"": 0.048910097956178684, ""fee"": 1.445251767330547e-05, ""fee_pct_nav"": 1.4673029386853604e-05, ""name"": ""腾讯控股""}, {""ts_code"": ""00914.HK"", ""side"": ""sell"", ""current_weight"": 0.02596001711810711, ""target_weight"": 0.015098794686155414, ""post_trade_weight"": 0.015099933146599194, ""diff_weight"": -0.010861222431951695, ""gross_amount"": 0.01069799596340506, ""gross_amount_pct_nav"": 0.010861222431951695, ""fee"": 3.209398789021518e-06, ""fee_pct_nav"": 3.258366729585508e-06, ""name"": ""海螺水泥""}, {""ts_code"": ""00939.HK"", ""side"": ""sell"", ""current_weight"": 0.12037373762691919, ""target_weight"": 0.08249377990712278, ""post_trade_weight"": 0.08250000000000002, ""diff_weight"": -0.03787995771979641, ""gross_amount"": 0.037310683702434524, ""gross_amount_pct_nav"": 0.03787995771979641, ""fee"": 1.1193205110730356e-05, ""fee_pct_nav"": 1.1363987315938921e-05, ""name"": ""建设银行""}, {""ts_code"": ""00960.HK"", ""side"": ""sell"", ""current_weight"": 0.029966676371454844, ""target_weight"": 0.015570425555015763, ""post_trade_weight"": 0.015571599576780788, ""diff_weight"": -0.014396250816439082, ""gross_amount"": 0.01417989863363449, ""gross_amount_pct_nav"": 0.014396250816439082, ""fee"": 4.2539695900903465e-06, ""fee_pct_nav"": 4.318875244931724e-06, ""name"": ""龙湖集团""}, {""ts_code"": ""01288.HK"", ""side"": ""sell"", ""current_weight"": 0.09320521345540628, ""target_weight"": 0.0635222916659604, ""post_trade_weight"": 0.0635270812943952, ""diff_weight"": -0.02968292178944586, ""gross_amount"": 0.029236835860334973, ""gross_amount_pct_nav"": 0.02968292178944586, ""fee"": 8.771050758100491e-06, ""fee_pct_nav"": 8.904876536833757e-06, ""name"": ""农业银行""}, {""ts_code"": ""01398.HK"", ""side"": ""sell"", ""current_weight"": 0.12226833853936182, ""target_weight"": 0.08249377990712278, ""post_trade_weight"": 0.08250000000000002, ""diff_weight"": -0.03977455863223904, ""gross_amount"": 0.039176811851504456, ""gross_amount_pct_nav"": 0.03977455863223904, ""fee"": 1.1753043555451335e-05, ""fee_pct_nav"": 1.1932367589671711e-05, ""name"": ""工商银行""}, {""ts_code"": ""01658.HK"", ""side"": ""sell"", ""current_weight"": 0.05273157997881355, ""target_weight"": 0.036977031218786004, ""post_trade_weight"": 0.03697981931467353, ""diff_weight"": -0.015754548760027545, ""gross_amount"": 0.015517783573258143, ""gross_amount_pct_nav"": 0.015754548760027545, ""fee"": 4.655335071977442e-06, ""fee_pct_nav"": 4.726364628008262e-06, ""name"": ""邮储银行""}, {""ts_code"": ""03988.HK"", ""side"": ""sell"", ""current_weight"": 0.0910498174571199, ""target_weight"": 0.062659797465914, ""post_trade_weight"": 0.06266452206163922, ""diff_weight"": -0.02839001999120589, ""gross_amount"": 0.027963364268595838, ""gross_amount_pct_nav"": 0.02839001999120589, ""fee"": 8.38900928057875e-06, ""fee_pct_nav"": 8.517005997361766e-06, ""name"": ""中国银行""}]",2020-03-27,2020-03-27,2020-03-30,risk_off
2020-04-01,0.05075347,0.10150695,0.02809211,0.07242820,0.00003016,0.00000843,0.00002173,0.00000000,rebalance,"[{""ts_code"": ""00002.HK"", ""side"": ""sell"", ""current_weight"": 0.022627422330765586, ""target_weight"": 0.01009956309632639, ""post_trade_weight"": 0.010099870658440351, ""diff_weight"": -0.012527859234439194, ""gross_amount"": 0.012406090808948394, ""gross_amount_pct_nav"": 0.012527859234439194, ""fee"": 3.721827242684518e-06, ""fee_pct_nav"": 3.758357770331758e-06, ""name"": ""中电控股""}, {""ts_code"": ""00012.HK"", ""side"": ""sell"", ""current_weight"": 0.017352023514108528, ""target_weight"": 0.006134247174248138, ""post_trade_weight"": 0.006134433980549607, ""diff_weight"": -0.01121777633986039, ""gross_amount"": 0.011108741672655822, ""gross_amount_pct_nav"": 0.01121777633986039, ""fee"": 3.332622501796746e-06, ""fee_pct_nav"": 3.3653329019581167e-06, ""name"": ""恒基地产""}, {""ts_code"": ""01109.HK"", ""side"": ""sell"", ""current_weight"": 0.022571627814069295, ""target_weight"": 0.009112852687896224, ""post_trade_weight"": 0.009113130201706494, ""diff_weight"": -0.01345877512617307, ""gross_amount"": 0.013327958374046447, ""gross_amount_pct_nav"": 0.01345877512617307, ""fee"": 3.9983875122139336e-06, ""fee_pct_nav"": 4.03763253785192e-06, ""name"": ""华润置地""}, {""ts_code"": ""01288.HK"", ""side"": ""buy"", ""current_weight"": 0.06504005739338777, ""target_weight"": 0.07531127926898737, ""post_trade_weight"": 0.07531357272426224, ""diff_weight"": 0.010271221875599605, ""gross_amount"": 0.010171387539002, ""gross_amount_pct_nav"": 0.010271221875599605, ""fee"": 3.0514162617005997e-06, ""fee_pct_nav"": 3.0813665626798815e-06, ""name"": ""农业银行""}, {""ts_code"": ""01988.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.01809662306944233, ""post_trade_weight"": 0.018097174166117874, ""diff_weight"": 0.01809662306944233, ""gross_amount"": 0.017920727311306034, ""gross_amount_pct_nav"": 0.01809662306944233, ""fee"": 5.37621819339181e-06, ""fee_pct_nav"": 5.4289869208326995e-06, ""name"": ""民生银行""}, {""ts_code"": ""02007.HK"", ""side"": ""sell"", ""current_weight"": 0.018359947419808103, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.018359947419808103, ""gross_amount"": 0.018181492198723077, ""gross_amount_pct_nav"": 0.018359947419808103, ""fee"": 5.454447659616923e-06, ""fee_pct_nav"": 5.50798422594243e-06, ""name"": ""碧桂园""}, {""ts_code"": ""02269.HK"", ""side"": ""sell"", ""current_weight"": 0.01757474501447112, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.01757474501447112, ""gross_amount"": 0.017403921812456574, ""gross_amount_pct_nav"": 0.01757474501447112, ""fee"": 5.221176543736971e-06, ""fee_pct_nav"": 5.272423504341336e-06, ""name"": ""药明生物""}]",,,,
