date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2023-02-28,-0.02851928,-0.02821937,-0.02851928,0.00029991,444,monthly_lowvol_weekly_overlay,False,risk_on,0.06515927,0.00000000,0.00000000,16,47,95,0,0.00000000,0.00000000
2023-03-31,0.05150383,0.05150878,0.05150383,0.00000000,445,monthly_lowvol_weekly_overlay,False,risk_on,0.15647283,0.00000000,0.00000000,16,13,94,1,0.00000479,0.00798103
2023-04-28,0.06358710,0.06361486,0.06358710,0.00002836,448,monthly_lowvol_weekly_overlay,False,risk_on,0.12267986,0.00000000,-0.00210334,16,37,99,0,0.00000000,0.00000000
2023-05-31,-0.04119091,-0.04111744,-0.04119091,0.00002124,448,monthly_lowvol_weekly_overlay,False,risk_on,0.16204860,0.00000000,-0.01139338,16,47,98,3,0.00006014,0.03119104
2023-06-30,0.04451684,0.04466191,0.04451684,0.00003469,449,monthly_lowvol_weekly_overlay,False,caution,0.14370153,0.20000000,0.20121664,16,2,99,4,0.00011457,0.04456278
2023-07-31,0.05368641,0.05382877,0.05368641,0.00010203,449,monthly_lowvol_weekly_overlay,False,caution,-0.03581717,0.20000000,0.18820355,16,47,102,2,0.00004631,0.03543783
2023-08-31,-0.04593430,-0.04588106,-0.04593430,0.00000878,452,monthly_lowvol_weekly_overlay,False,risk_on,0.07869138,0.00000000,0.03119423,16,47,99,2,0.00005089,0.04014658
2023-09-29,0.03066528,0.03068019,0.03066528,0.00000000,453,monthly_lowvol_weekly_overlay,False,caution,0.17516078,0.20000000,0.20077936,16,9,100,3,0.00001628,0.00807747
2023-10-31,-0.04369174,-0.04365246,-0.04369174,0.00003714,456,monthly_lowvol_weekly_overlay,False,caution,0.24321655,0.20000000,0.22780935,16,31,93,2,0.00000737,0.00554462
2023-11-30,0.03351540,0.03359077,0.03351540,0.00001698,457,monthly_lowvol_weekly_overlay,False,caution,0.36976567,0.20000000,0.19817249,16,13,96,2,0.00006438,0.04809069
2023-12-29,0.00275554,0.00294803,0.00275554,0.00005661,459,monthly_lowvol_weekly_overlay,False,caution,0.03255460,0.20000000,0.18855460,16,40,93,2,0.00015270,0.11698520
2024-01-31,0.00266645,0.00274845,0.00266645,0.00001797,462,monthly_lowvol_weekly_overlay,False,caution,-0.00353167,0.20000000,0.23794874,16,40,90,2,0.00007322,0.05472367
2024-02-29,0.02536519,0.02538121,0.02536519,0.00001795,466,monthly_lowvol_weekly_overlay,True,risk_off,-0.06982058,0.45000000,0.54176952,16,26,99,0,0.00000000,0.00000000
2024-03-28,0.01857737,0.01866318,0.01857737,0.00000863,466,monthly_lowvol_weekly_overlay,True,risk_off,-0.12445615,0.45000000,0.54249465,16,58,98,1,0.00008865,0.12783655
2024-04-30,0.05691633,0.05704980,0.05691633,0.00000000,468,monthly_lowvol_weekly_overlay,False,caution,-0.04754363,0.20000000,0.24690761,16,30,98,2,0.00015523,0.10578266
2024-05-31,0.04343671,0.04355016,0.04343671,0.00007352,469,monthly_lowvol_weekly_overlay,False,caution,-0.04367122,0.20000000,0.19647621,16,55,101,3,0.00006897,0.02914857
2024-06-28,0.05218641,0.05221463,0.05218641,0.00003642,469,monthly_lowvol_weekly_overlay,False,risk_on,0.11117712,0.00000000,-0.00063826,16,49,103,0,0.00000000,0.00000000
2024-07-31,-0.00417828,-0.00415467,-0.00417828,0.00002692,469,monthly_lowvol_weekly_overlay,False,risk_on,0.10725640,0.00000000,-0.00903337,16,42,97,1,0.00000516,0.00635974
2024-08-30,0.02955228,0.02958533,0.02955228,0.00003989,471,monthly_lowvol_weekly_overlay,False,risk_on,0.00928023,0.00000000,-0.01073509,16,26,96,1,0.00000478,0.00594513
2024-09-30,0.05348526,0.05353929,0.05348526,0.00006398,471,monthly_lowvol_weekly_overlay,False,risk_on,0.07155690,0.00000000,-0.00590010,16,41,100,2,0.00001095,0.00649430
