date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2026-01-05,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2026-01-12,0.06290163,0.12580326,0.05846016,0.06998490,0.00003853,0.00001754,0.00002100,0.00000000,rebalance
2026-01-19,0.10949126,0.21898252,0.11170464,0.11102723,0.00006682,0.00003351,0.00003331,0.00000000,rebalance
2026-01-26,0.17460516,0.34921032,0.18824550,0.16980502,0.00010742,0.00005647,0.00005094,0.00000000,rebalance
2026-02-02,0.21737712,0.43475424,0.22869476,0.20755613,0.00013088,0.00006861,0.00006227,0.00000000,rebalance
2026-02-09,0.12331243,0.24662486,0.12067252,0.12921860,0.00007497,0.00003620,0.00003877,0.00000000,rebalance
2026-02-16,0.23004210,0.46008420,0.21622574,0.24574124,0.00013859,0.00006487,0.00007372,0.00000000,rebalance
2026-02-23,0.06594994,0.13189989,0.07251625,0.06341348,0.00004078,0.00002175,0.00001902,0.00000000,rebalance
2026-03-02,0.02314066,0.04628131,0.03697028,0.01061153,0.00001427,0.00001109,0.00000318,0.00000000,rebalance
2026-03-09,0.01332275,0.02664549,0.00000000,0.02625441,0.00000788,0.00000000,0.00000788,0.00000000,rebalance
2026-03-16,0.04530851,0.09061703,0.04023629,0.04845251,0.00002661,0.00001207,0.00001454,0.00000000,rebalance
2026-03-23,0.20137421,0.40274842,0.20072960,0.17587872,0.00011298,0.00006022,0.00005276,0.00000000,rebalance
2026-03-30,0.13571974,0.27143948,0.12948853,0.12932221,0.00007764,0.00003885,0.00003880,0.00000000,rebalance
2026-04-08,0.10050905,0.20101810,0.09469666,0.10056131,0.00005858,0.00002841,0.00003017,0.00000000,rebalance
2026-04-13,0.00556835,0.01113670,0.01090740,0.00000000,0.00000327,0.00000327,0.00000000,0.00000000,rebalance
2026-04-20,0.06217808,0.12435617,0.06204273,0.06095295,0.00003690,0.00001861,0.00001829,0.00000000,rebalance
