date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2020-11-20,0.00000000,0.00000000,0.00000000,0.00000000,396,weekly_equal_buffered,False,risk_on,,1.00000000,1.00000000,0,0,103
2020-11-27,0.00000000,0.00000000,0.00000000,0.00000000,396,weekly_equal_buffered,False,risk_on,,1.00000000,1.00000000,0,0,105
2020-12-04,0.00000000,0.00000000,0.00000000,0.00000000,397,weekly_equal_buffered,False,risk_on,,1.00000000,1.00000000,0,0,106
2020-12-11,0.00000000,0.00000000,0.00000000,0.00000000,398,weekly_equal_buffered,False,risk_on,,1.00000000,1.00000000,0,0,109
2020-12-18,0.00000000,0.00000000,0.00000000,0.00000000,398,weekly_equal_buffered,False,risk_on,,1.00000000,1.00000000,0,0,112
2020-12-24,0.00000000,0.00000000,0.00000000,0.00000000,400,weekly_equal_buffered,False,risk_on,,1.00000000,1.00000000,0,0,113
2020-12-31,0.00000000,0.00000000,0.00000000,0.00000000,401,weekly_equal_buffered,False,risk_on,,1.00000000,1.00000000,0,0,111
2021-01-08,0.00653115,0.00683106,0.00653115,0.00029991,402,weekly_equal_buffered,False,risk_on,,0.00000000,0.00000000,10,26,110
2021-01-15,0.02219989,0.02237673,0.02219989,0.00017800,402,weekly_equal_buffered,False,risk_on,,0.00000000,0.00094150,10,34,111
2021-01-22,0.00125602,0.00154455,0.00125602,0.00029685,402,weekly_equal_buffered,False,risk_on,,0.00000000,-0.01358496,10,43,112
2021-01-29,-0.02511598,-0.02500067,-0.02511598,0.00011880,402,weekly_equal_buffered,False,risk_on,,0.00000000,0.00233878,10,43,110
2021-02-05,-0.00267227,-0.00267227,-0.00267227,0.00000000,401,weekly_equal_buffered,False,risk_on,,0.00000000,0.00233878,10,24,112
2021-02-11,0.01814492,0.01820550,0.01814492,0.00006068,400,weekly_equal_buffered,False,risk_on,,0.00000000,-0.00189816,10,30,113
2021-02-19,0.02554346,0.02566200,0.02554346,0.00012088,402,weekly_equal_buffered,False,risk_on,,0.00000000,-0.01562419,10,39,114
2021-02-26,0.01568059,0.01579845,0.01568059,0.00012326,402,weekly_equal_buffered,False,risk_on,,0.00000000,-0.00766935,10,52,114
2021-03-05,0.02505795,0.02517145,0.02505795,0.00012056,402,weekly_equal_buffered,False,risk_on,,0.00000000,-0.00315507,10,44,114
2021-03-12,0.01164832,0.01170826,0.01164832,0.00006526,402,weekly_equal_buffered,False,risk_on,,0.00000000,-0.00222252,10,45,113
2021-03-19,-0.00223349,-0.00217186,-0.00223349,0.00006790,402,weekly_equal_buffered,False,risk_on,,0.00000000,-0.00956164,10,47,112
2021-03-26,-0.00191667,-0.00180188,-0.00191667,0.00012616,402,weekly_equal_buffered,False,risk_on,,0.00000000,-0.02019331,10,48,111
2021-04-01,0.00360325,0.00371712,0.00360325,0.00012492,403,weekly_equal_buffered,False,risk_on,,0.00000000,-0.01097547,10,45,112
2021-04-09,-0.00339775,-0.00334277,-0.00339775,0.00006052,400,weekly_equal_buffered,False,risk_on,,0.00000000,-0.00900488,10,44,112
2021-04-16,0.00277979,0.00283488,0.00277979,0.00006045,400,weekly_equal_buffered,False,risk_on,,0.00000000,-0.01085209,10,37,111
