date,portfolio_return,nav,drawdown,trading_cost
2020-11-16,0.00000000,1.00000000,0.00000000,0.00000000
2020-11-20,0.00000000,1.00000000,0.00000000,0.00000000
2020-11-27,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-04,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-11,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-18,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-24,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-31,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-08,0.00653115,1.00653115,0.00000000,0.00029991
2021-01-15,0.02219989,1.02887603,0.00000000,0.00017800
2021-01-22,0.00125602,1.03016832,0.00000000,0.00029685
2021-01-29,-0.02511598,1.00429463,-0.02511598,0.00011880
2021-02-05,-0.00267227,1.00161089,-0.02772113,0.00000000
2021-02-11,0.01814492,1.01978504,-0.01007921,0.00006068
2021-02-19,0.02554346,1.04583388,0.00000000,0.00012088
2021-02-26,0.01568059,1.06223317,0.00000000,0.00012326
2021-03-05,0.02505795,1.08885056,0.00000000,0.00012056
2021-03-12,0.01164832,1.10153384,0.00000000,0.00006526
2021-03-19,-0.00223349,1.09907357,-0.00223349,0.00006790
2021-03-26,-0.00191667,1.09696701,-0.00414588,0.00012616
2021-04-01,0.00360325,1.10091965,-0.00055758,0.00012492
2021-04-09,-0.00339775,1.09717900,-0.00395343,0.00006052
2021-04-16,0.00277979,1.10022893,-0.00118464,0.00006045
2021-04-23,0.00334608,1.10391039,0.00000000,0.00006531
2021-04-30,-0.01043073,1.09239579,-0.01043073,0.00006235
2021-05-07,0.01563153,1.10947161,0.00000000,0.00007205
2021-05-14,-0.00530139,1.10358986,-0.00530139,0.00000928
2021-05-21,0.00005627,1.10365196,-0.00524543,0.00000000
2021-05-28,0.03712759,1.14462789,0.00000000,0.00006890
2021-06-04,-0.01782365,1.12422645,-0.01782365,0.00006396
2021-06-11,0.00887068,1.13419909,-0.00911108,0.00039664
2021-06-18,-0.01890440,1.11275774,-0.02784324,0.00013263
2021-06-25,0.02267837,1.13799327,-0.00579631,0.00013121
2021-07-02,-0.02804067,1.10608318,-0.03367445,0.00019639
2021-07-09,-0.02829084,1.07479116,-0.06101260,0.00013502
2021-07-16,0.01420742,1.09006117,-0.04767201,0.00012726
2021-07-23,-0.01340395,1.07545005,-0.06043696,0.00000350
2021-07-30,-0.02217821,1.05159850,-0.08127479,0.00024235
2021-08-06,0.00616533,1.05808195,-0.07561055,0.00018840
2021-08-13,0.01619772,1.07522046,-0.06063755,0.00005864
2021-08-20,-0.01214706,1.06215970,-0.07204804,0.00006370
2021-08-27,-0.00689000,1.05484142,-0.07844162,0.00011314
2021-09-03,0.02717058,1.08350207,-0.05340235,0.00006130
2021-09-10,0.01753576,1.10250210,-0.03680304,0.00019730
2021-09-17,-0.00253867,1.09970321,-0.03924828,0.00012780
2021-09-24,-0.02870333,1.06813807,-0.06682505,0.00005904
2021-09-30,0.01666737,1.08594112,-0.05127148,0.00013006
2021-10-08,0.00115238,1.08719253,-0.05017819,0.00007415
2021-10-15,-0.00965756,1.07669290,-0.05935115,0.00025687
2021-10-22,0.00474706,1.08180403,-0.05488584,0.00018562
2021-10-29,-0.00777139,1.07339691,-0.06223069,0.00006175
2021-11-05,-0.02226001,1.04950308,-0.08310544,0.00012795
2021-11-12,0.00038269,1.04990472,-0.08275455,0.00017794
2021-11-19,-0.00259548,1.04717972,-0.08513524,0.00012393
2021-11-26,-0.02438199,1.02164738,-0.10744147,0.00006015
2021-12-03,0.01028142,1.03215137,-0.09826470,0.00011565
2021-12-10,0.02674102,1.05975215,-0.07415138,0.00053295
2021-12-17,-0.02730402,1.03081666,-0.09943076,0.00013298
2021-12-24,0.00023972,1.03106377,-0.09921488,0.00011860
2021-12-31,-0.00487325,1.02603914,-0.10360463,0.00016764
2022-01-07,0.04061806,1.06771486,-0.06719479,0.00038264
2022-01-14,0.02285802,1.09212071,-0.04587270,0.00021401
