date,ts_code,name,weight
2025-01-10,01810.HK,小米集团-W,0.10868009
2025-01-10,01288.HK,农业银行,0.10830159
2025-01-10,00939.HK,建设银行,0.10731999
2025-01-10,01398.HK,工商银行,0.10544717
2025-01-10,03988.HK,中国银行,0.10096033
2025-01-10,00005.HK,汇丰控股,0.10009843
2025-01-10,00998.HK,中信银行,0.09875909
2025-01-10,03328.HK,交通银行,0.09124026
2025-01-10,01038.HK,长江基建集团,0.09022230
2025-01-10,09992.HK,泡泡玛特,0.08897074
2025-01-17,00005.HK,汇丰控股,0.11242329
2025-01-17,01810.HK,小米集团-W,0.11093933
2025-01-17,00939.HK,建设银行,0.10712000
2025-01-17,01288.HK,农业银行,0.10536828
2025-01-17,01398.HK,工商银行,0.10438834
2025-01-17,03988.HK,中国银行,0.10231498
2025-01-17,00998.HK,中信银行,0.09751683
2025-01-17,03968.HK,招商银行,0.09744022
2025-01-17,01988.HK,民生银行,0.08928139
2025-01-17,01658.HK,邮储银行,0.08603944
2025-01-24,01810.HK,小米集团-W,0.11216256
2025-01-24,00005.HK,汇丰控股,0.11099756
2025-01-24,00939.HK,建设银行,0.10817711
2025-01-24,01398.HK,工商银行,0.10681156
2025-01-24,01288.HK,农业银行,0.10200422
2025-01-24,03988.HK,中国银行,0.10114386
2025-01-24,00998.HK,中信银行,0.09760519
2025-01-24,03968.HK,招商银行,0.09695032
2025-01-24,01988.HK,民生银行,0.09024593
2025-01-24,02328.HK,中国财险,0.08972534
2025-01-28,00005.HK,汇丰控股,0.11035395
2025-01-28,00939.HK,建设银行,0.10731306
2025-01-28,01398.HK,工商银行,0.10693439
2025-01-28,01810.HK,小米集团-W,0.10334368
2025-01-28,01288.HK,农业银行,0.10279032
2025-01-28,03988.HK,中国银行,0.10099697
2025-01-28,00998.HK,中信银行,0.09839429
2025-01-28,03968.HK,招商银行,0.09610255
2025-01-28,02328.HK,中国财险,0.08914928
2025-01-28,01658.HK,邮储银行,0.08794850
2025-02-07,09992.HK,泡泡玛特,0.11143122
2025-02-07,01810.HK,小米集团-W,0.11082354
2025-02-07,00939.HK,建设银行,0.10333766
2025-02-07,00981.HK,中芯国际,0.09918733
2025-02-07,03988.HK,中国银行,0.09893408
2025-02-07,01288.HK,农业银行,0.09782723
2025-02-07,00998.HK,中信银行,0.09502925
2025-02-07,00005.HK,汇丰控股,0.09337794
2025-02-07,01398.HK,工商银行,0.09015762
2025-02-07,01339.HK,中国人民保险集团,0.08606690
2025-02-07,CASH,现金,0.01382723
2025-02-14,01398.HK,工商银行,0.11229591
2025-02-14,01810.HK,小米集团-W,0.11132039
2025-02-14,00005.HK,汇丰控股,0.10645116
2025-02-14,01211.HK,比亚迪股份,0.10426605
2025-02-14,01288.HK,农业银行,0.09886108
2025-02-14,03988.HK,中国银行,0.09878112
2025-02-14,09992.HK,泡泡玛特,0.09656287
2025-02-14,03690.HK,美团-W,0.09406307
2025-02-14,00175.HK,吉利汽车,0.09396439
2025-02-14,00998.HK,中信银行,0.08999715
2025-02-21,01810.HK,小米集团-W,0.11242136
2025-02-21,01398.HK,工商银行,0.10733238
2025-02-21,00005.HK,汇丰控股,0.10644926
2025-02-21,00939.HK,建设银行,0.10142204
2025-02-21,01288.HK,农业银行,0.09915921
2025-02-21,01211.HK,比亚迪股份,0.09867965
2025-02-21,03988.HK,中国银行,0.09830678
2025-02-21,03968.HK,招商银行,0.09450362
2025-02-21,09992.HK,泡泡玛特,0.09181761
2025-02-21,03690.HK,美团-W,0.08789754
2025-02-21,CASH,现金,0.00201056
2025-02-28,01810.HK,小米集团-W,0.11354397
2025-02-28,00005.HK,汇丰控股,0.11035418
2025-02-28,01288.HK,农业银行,0.10072990
2025-02-28,03988.HK,中国银行,0.10036675
2025-02-28,00939.HK,建设银行,0.10001375
2025-02-28,00981.HK,中芯国际,0.09618425
2025-02-28,00998.HK,中信银行,0.09426957
2025-02-28,01211.HK,比亚迪股份,0.09410904
2025-02-28,01398.HK,工商银行,0.09357306
2025-02-28,00700.HK,腾讯控股,0.09084038
2025-02-28,CASH,现金,0.00601514
