date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2026-01-05,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2026-01-12,0.28674636,0.57349273,0.29726474,0.29761248,0.00017846,0.00008918,0.00008928,0.00000000,rebalance
2026-01-19,0.39183103,0.78366206,0.41691878,0.40721863,0.00024724,0.00012508,0.00012217,0.00000000,rebalance
2026-01-26,0.38848041,0.77696082,0.41829256,0.41150149,0.00024894,0.00012549,0.00012345,0.00000000,rebalance
2026-02-02,0.39871376,0.79742751,0.41513623,0.39498987,0.00024304,0.00012454,0.00011850,0.00000000,rebalance
2026-02-09,0.40380953,0.80761905,0.41525440,0.41667978,0.00024958,0.00012458,0.00012500,0.00000000,rebalance
2026-02-16,0.10620749,0.21241497,0.09467063,0.12661473,0.00006639,0.00002840,0.00003798,0.00000000,rebalance
2026-02-23,0.19378744,0.38757488,0.20266590,0.20846318,0.00012334,0.00006080,0.00006254,0.00000000,rebalance
2026-03-02,0.20351321,0.40702642,0.22288576,0.21132288,0.00013026,0.00006687,0.00006340,0.00000000,rebalance
2026-03-09,0.19038550,0.38077100,0.18655475,0.19736698,0.00011518,0.00005597,0.00005921,0.00000000,rebalance
2026-03-16,0.21072633,0.42145265,0.21035538,0.21220388,0.00012677,0.00006311,0.00006366,0.00000000,rebalance
2026-03-23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2026-03-30,0.09877135,0.19754270,0.09826818,0.09448699,0.00005783,0.00002948,0.00002835,0.00000000,rebalance
2026-04-08,0.29611976,0.59223951,0.29263096,0.28415692,0.00017304,0.00008779,0.00008525,0.00000000,rebalance
2026-04-13,0.10969870,0.21939741,0.11401934,0.10115835,0.00006455,0.00003421,0.00003035,0.00000000,rebalance
2026-04-20,0.20710795,0.41421589,0.19083773,0.21305888,0.00012117,0.00005725,0.00006392,0.00000000,rebalance
2026-04-27,0.19039225,0.38078451,0.19581658,0.18537072,0.00011436,0.00005874,0.00005561,0.00000000,rebalance
