date,portfolio_return,nav,drawdown,trading_cost
2023-01-09,0.00000000,1.00000000,0.00000000,0.00000000
2023-01-13,0.02880939,1.02880939,0.00000000,0.00029991
2023-01-20,0.02830694,1.05793184,0.00000000,0.00008480
2023-01-27,0.01812199,1.07710368,0.00000000,0.00006139
2023-02-03,-0.02841714,1.04649547,-0.02841714,0.00004909
2023-02-10,-0.00492117,1.04134549,-0.03319846,0.00009610
2023-02-17,0.00019506,1.04154861,-0.03300988,0.00003589
2023-02-24,0.00198031,1.04361120,-0.03109494,0.00000000
2023-03-03,0.03583521,1.08100923,0.00000000,0.00000000
2023-03-10,-0.01127828,1.06881730,-0.01127828,0.00000827
2023-03-17,0.03233405,1.10337649,0.00000000,0.00000342
2023-03-24,-0.02247761,1.07857523,-0.02247761,0.00004787
2023-03-31,0.01446810,1.09418017,-0.00833471,0.00000365
2023-04-06,0.02036892,1.11646743,0.00000000,0.00012513
2023-04-14,0.02036904,1.13920880,0.00000000,0.00015217
2023-04-21,-0.00460291,1.13396512,-0.00460291,0.00000459
2023-04-28,0.01330380,1.14905117,0.00000000,0.00007868
2023-05-05,0.01022201,1.16079678,0.00000000,0.00005108
2023-05-12,-0.02197556,1.13528762,-0.02197556,0.00010435
2023-05-19,0.00821632,1.14461550,-0.01393980,0.00013470
2023-05-25,-0.03579265,1.10364668,-0.04923351,0.00005177
2023-06-02,-0.00554046,1.09753196,-0.05450120,0.00004690
2023-06-09,0.04472468,1.14661873,-0.01221407,0.00005114
2023-06-16,-0.01802106,1.12595544,-0.03001502,0.00004440
2023-06-23,-0.02541417,1.09734021,-0.05466639,0.00009020
2023-06-30,0.00964387,1.10792282,-0.04554971,0.00006331
2023-07-07,-0.00128264,1.10650176,-0.04677392,0.00003718
2023-07-14,0.04244163,1.15346349,-0.00631746,0.00006744
2023-07-21,-0.00671694,1.14571575,-0.01299197,0.00000000
2023-07-28,0.01016790,1.15736526,-0.00295617,0.00000846
2023-08-04,-0.01990567,1.13432714,-0.02280299,0.00000000
2023-08-11,0.00609480,1.14124064,-0.01684717,0.00004280
2023-08-18,-0.04194253,1.09337412,-0.05808308,0.00003505
2023-08-25,0.00567827,1.09958260,-0.05273462,0.00007274
2023-09-01,0.01843964,1.11985851,-0.03526738,0.00000820
2023-09-22,0.01022603,1.13131022,-0.02540200,0.00004419
2023-09-29,-0.00876714,1.12139186,-0.03394644,0.00000000
2023-10-06,-0.01999176,1.09897327,-0.05325955,0.00000711
2023-10-13,0.01640338,1.11700014,-0.03772981,0.00000334
2023-10-20,-0.01998797,1.09467357,-0.05696364,0.00000000
2023-10-27,-0.00812959,1.08577432,-0.06463014,0.00000000
2023-11-03,0.00369532,1.08978660,-0.06117365,0.00003665
2023-11-10,-0.01519049,1.07323222,-0.07543488,0.00003913
2023-11-17,0.01777501,1.09230893,-0.05900073,0.00000000
2023-11-24,0.01054103,1.10382299,-0.04908162,0.00000000
2023-12-01,-0.01016501,1.09260262,-0.05874772,0.00004295
2023-12-08,-0.01291327,1.07849355,-0.07090236,0.00008220
2023-12-15,0.00782307,1.08693068,-0.06363396,0.00010859
2023-12-22,-0.01200041,1.07388707,-0.07487074,0.00010588
2023-12-29,0.02986983,1.10596390,-0.04723728,0.00004977
2024-01-05,0.00565351,1.11221648,-0.04185082,0.00003007
2024-01-12,-0.00849038,1.10277334,-0.04998587,0.00009783
2024-01-19,-0.01543431,1.08575280,-0.06464868,0.00000000
2024-01-26,0.03558408,1.12438832,-0.03136506,0.00000000
2024-02-02,-0.00263157,1.12142941,-0.03391409,0.00000000
2024-02-09,0.00291413,1.12469741,-0.03109879,0.00000000
2024-02-16,0.00544634,1.13082290,-0.02582182,0.00000000
2024-02-23,0.03265399,1.16774878,0.00000000,0.00000000
2024-03-01,-0.01284520,1.15274882,-0.01284520,0.00000000
2024-03-08,0.01448137,1.16944221,0.00000000,0.00000000
2024-03-15,-0.00597197,1.16245833,-0.00597197,0.00004437
2024-03-22,0.00427260,1.16742504,-0.00172489,0.00012945
2024-03-28,0.00428319,1.17242535,0.00000000,0.00002943
2024-04-05,0.01969213,1.19551290,0.00000000,0.00003715
2024-04-12,0.01196520,1.20981745,0.00000000,0.00003462
2024-04-19,0.01473607,1.22764540,0.00000000,0.00000000
2024-04-26,0.00553671,1.23444251,0.00000000,0.00012211
2024-05-03,0.00637666,1.24231413,0.00000000,0.00011966
2024-05-10,0.05208608,1.30702140,0.00000000,0.00010499
2024-05-17,0.01540456,1.32715549,0.00000000,0.00003248
2024-05-24,-0.00839261,1.31601719,-0.00839261,0.00007432
2024-05-31,-0.00795874,1.30554336,-0.01628455,0.00007742
2024-06-07,0.02764324,1.34163280,0.00000000,0.00005984
2024-06-14,-0.00260589,1.33813665,-0.00260589,0.00005386
2024-06-21,0.03016897,1.37850685,0.00000000,0.00004446
2024-06-28,0.00998664,1.39227350,0.00000000,0.00000564
2024-07-05,0.02540894,1.42764970,0.00000000,0.00004846
2024-07-12,0.01564994,1.44999234,0.00000000,0.00000508
2024-07-19,-0.05597797,1.36882472,-0.05597797,0.00004710
2024-07-26,-0.01535764,1.34780280,-0.07047592,0.00004526
2024-08-02,0.00631602,1.35631555,-0.06460502,0.00000000
2024-08-09,-0.00874765,1.34445097,-0.07278753,0.00010285
2024-08-16,0.03569428,1.39244018,-0.03969135,0.00005060
2024-08-23,0.01002175,1.40639486,-0.03006739,0.00000486
2024-08-30,-0.00244844,1.40295138,-0.03244221,0.00000499
2024-09-05,-0.04461724,1.34035556,-0.07561197,0.00001734
