date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2023-01-13,0.02880939,0.02910930,0.02880939,0.00029991,443,weekly_moderate,False,risk_on,0.05526806,0.00000000,0.00000000,12,48,90
2023-01-20,0.02831699,0.02839948,0.02831699,0.00008486,443,weekly_moderate,False,risk_on,0.01276661,0.00000000,-0.02242863,12,50,88
2023-01-27,0.01812167,0.01817976,0.01812167,0.00006146,444,weekly_moderate,False,caution,-0.01705734,0.18000000,0.18237067,12,49,89
2023-02-03,-0.02841708,-0.02837151,-0.02841708,0.00004909,444,weekly_moderate,False,risk_on,0.07716415,0.00000000,0.01869390,12,50,90
2023-02-10,-0.00492115,-0.00482932,-0.00492115,0.00009610,444,weekly_moderate,False,risk_on,0.09411154,0.00000000,0.00034735,12,44,87
2023-02-17,0.00019506,0.00022953,0.00019506,0.00003589,444,weekly_moderate,False,risk_on,0.10329230,0.00000000,-0.00372850,12,41,89
2023-02-24,0.00198031,0.00198031,0.00198031,0.00000000,444,weekly_moderate,False,risk_on,0.12461795,0.00000000,-0.00372850,12,42,91
2023-03-03,0.03583521,0.03583521,0.03583521,0.00000000,445,weekly_moderate,False,risk_on,0.19407151,0.00000000,-0.00372850,12,39,91
2023-03-10,-0.01128017,-0.01127252,-0.01128017,0.00000827,445,weekly_moderate,False,risk_on,0.20613944,0.00000000,-0.00726570,12,27,86
2023-03-17,0.03233570,0.03233891,0.03233570,0.00000342,447,weekly_moderate,False,risk_on,0.25734656,0.00000000,0.00414256,12,24,85
2023-03-24,-0.02247902,-0.02243562,-0.02247902,0.00004788,447,weekly_moderate,False,risk_on,0.20733959,0.00000000,-0.00998572,12,36,89
2023-03-31,0.01446846,0.01447185,0.01446846,0.00000366,447,weekly_moderate,False,risk_on,0.18548065,0.00000000,0.00219410,12,35,89
2023-04-06,0.02036916,0.02048351,0.02036916,0.00012513,448,weekly_moderate,False,risk_on,0.16657148,0.00000000,0.00563166,12,29,90
2023-04-14,0.02036905,0.02050535,0.02036905,0.00015217,448,weekly_moderate,False,risk_on,0.09531327,0.00000000,-0.01180228,12,51,95
