date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2023-01-09,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2023-01-16,0.13654802,0.27309603,0.15261033,0.13026656,0.00008486,0.00004578,0.00003908,0.00000000,rebalance
2023-01-26,0.09566863,0.19133726,0.00000000,0.20486076,0.00006146,0.00000000,0.00006146,0.00000000,rebalance
2023-01-30,0.07679171,0.15358343,0.16362768,0.00000000,0.00004909,0.00004909,0.00000000,0.00000000,rebalance
2023-02-06,0.15414860,0.30829720,0.16929236,0.15104190,0.00009610,0.00005079,0.00004531,0.00000000,rebalance
2023-02-13,0.05751464,0.11502928,0.06184294,0.05780299,0.00003589,0.00001855,0.00001734,0.00000000,rebalance
2023-02-20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-02-27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-03-06,0.01255704,0.02511409,0.01554065,0.01201171,0.00000827,0.00000466,0.00000360,0.00000000,rebalance
2023-03-13,0.00516269,0.01032537,0.00000000,0.01141169,0.00000342,0.00000000,0.00000342,0.00000000,rebalance
2023-03-20,0.07415698,0.14831396,0.08683750,0.07275709,0.00004788,0.00002605,0.00002183,0.00000000,rebalance
2023-03-27,0.00571578,0.01143155,0.00000000,0.01218348,0.00000366,0.00000000,0.00000366,0.00000000,rebalance
2023-04-03,0.19011681,0.38023361,0.20676366,0.21032634,0.00012513,0.00006203,0.00006310,0.00000000,rebalance
2023-04-11,0.22575921,0.45151841,0.26225460,0.24497283,0.00015217,0.00007868,0.00007349,0.00000000,rebalance
2023-04-17,0.00658992,0.01317983,0.00000000,0.01530915,0.00000459,0.00000000,0.00000459,0.00000000,rebalance
2023-04-24,0.11579635,0.23159269,0.13892835,0.12333518,0.00007868,0.00004168,0.00003700,0.00000000,rebalance
2023-05-02,0.07397808,0.14795616,0.08420876,0.08606186,0.00005108,0.00002526,0.00002582,0.00000000,rebalance
2023-05-08,0.14629072,0.29258145,0.17198178,0.17584979,0.00010435,0.00005159,0.00005275,0.00000000,rebalance
2023-05-15,0.19421144,0.38842287,0.20255085,0.24646378,0.00013470,0.00006077,0.00007394,0.00000000,rebalance
2023-05-22,0.07509828,0.15019655,0.09450683,0.07805889,0.00005177,0.00002835,0.00002342,0.00000000,rebalance
2023-05-29,0.07062815,0.14125630,0.00000000,0.15633402,0.00004690,0.00000000,0.00004690,0.00000000,rebalance
2023-06-05,0.07703319,0.15406637,0.17047781,0.00000000,0.00005114,0.00005114,0.00000000,0.00000000,rebalance
2023-06-12,0.06478877,0.12957753,0.08040080,0.06760694,0.00004440,0.00002412,0.00002028,0.00000000,rebalance
2023-06-19,0.13316995,0.26633989,0.16135015,0.13932917,0.00009020,0.00004841,0.00004180,0.00000000,rebalance
2023-06-26,0.09632151,0.19264303,0.00000000,0.21105064,0.00006332,0.00000000,0.00006332,0.00000000,rebalance
2023-07-03,0.05509117,0.11018234,0.07018851,0.05373306,0.00003718,0.00002106,0.00001612,0.00000000,rebalance
2023-07-10,0.10110335,0.20220669,0.17795375,0.04685914,0.00006744,0.00005339,0.00001406,0.00000000,rebalance
2023-07-17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-07-24,0.01249316,0.02498631,0.02821337,0.00000000,0.00000846,0.00000846,0.00000000,0.00000000,rebalance
2023-07-31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-08-07,0.06258410,0.12516820,0.06153722,0.08113371,0.00004280,0.00001846,0.00002434,0.00000000,rebalance
2023-08-14,0.05177181,0.10354361,0.06076069,0.05606408,0.00003505,0.00001823,0.00001682,0.00000000,rebalance
2023-08-21,0.11223101,0.22446201,0.04737251,0.19508744,0.00007274,0.00001421,0.00005853,0.00000000,rebalance
2023-08-28,0.01233759,0.02467518,0.00000000,0.02732017,0.00000820,0.00000000,0.00000820,0.00000000,rebalance
2023-09-18,0.06613672,0.13227344,0.08413176,0.06318371,0.00004419,0.00002524,0.00001896,0.00000000,rebalance
2023-09-25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-10-03,0.01086155,0.02172310,0.01101997,0.01267146,0.00000711,0.00000331,0.00000380,0.00000000,rebalance
2023-10-09,0.00501761,0.01003522,0.00000000,0.01111914,0.00000334,0.00000000,0.00000334,0.00000000,rebalance
2023-10-16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-10-24,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-10-30,0.05705167,0.11410333,0.06115857,0.06100189,0.00003665,0.00001835,0.00001830,0.00000000,rebalance
2023-11-06,0.06008058,0.12016117,0.07674292,0.05369825,0.00003913,0.00002302,0.00001611,0.00000000,rebalance
2023-11-13,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-11-20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-11-27,0.06471307,0.12942614,0.14316923,0.00000000,0.00004295,0.00004295,0.00000000,0.00000000,rebalance
2023-12-04,0.12501057,0.25002114,0.05604395,0.21795410,0.00008220,0.00001681,0.00006539,0.00000000,rebalance
2023-12-11,0.16824153,0.33648305,0.03065231,0.33130961,0.00010859,0.00000920,0.00009939,0.00000000,rebalance
2023-12-18,0.16286538,0.32573076,0.32091945,0.03201164,0.00010588,0.00009628,0.00000960,0.00000000,rebalance
2023-12-27,0.07579366,0.15158731,0.05869259,0.10721652,0.00004977,0.00001761,0.00003216,0.00000000,rebalance
2024-01-02,0.04545663,0.09091327,0.05361393,0.04662077,0.00003007,0.00001608,0.00001399,0.00000000,rebalance
2024-01-08,0.14739975,0.29479950,0.03236594,0.29373065,0.00009783,0.00000971,0.00008812,0.00000000,rebalance
2024-01-15,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2024-01-22,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2024-01-29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2024-02-05,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2024-02-14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2024-02-19,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2024-02-26,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2024-03-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2024-03-11,0.06347271,0.12694541,0.06948336,0.07842658,0.00004437,0.00002085,0.00002353,0.00000000,rebalance
2024-03-18,0.18591568,0.37183136,0.36456589,0.06692315,0.00012945,0.00010937,0.00002008,0.00000000,rebalance
2024-03-25,0.04195742,0.08391483,0.04989546,0.04819750,0.00002943,0.00001497,0.00001446,0.00000000,rebalance
2024-04-02,0.05153396,0.10306791,0.05815110,0.06569180,0.00003715,0.00001745,0.00001971,0.00000000,rebalance
2024-04-08,0.04784163,0.09568326,0.05653365,0.05887080,0.00003462,0.00001696,0.00001766,0.00000000,rebalance
2024-04-15,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2024-04-22,0.16673186,0.33346373,0.03731215,0.36971213,0.00012211,0.00001119,0.00011091,0.00000000,rebalance
2024-04-29,0.16137943,0.32275886,0.36277210,0.03611130,0.00011967,0.00010883,0.00001083,0.00000000,rebalance
2024-05-06,0.14026617,0.28053234,0.19091643,0.15906069,0.00010499,0.00005727,0.00004772,0.00000000,rebalance
2024-05-13,0.04141180,0.08282359,0.05511922,0.05314398,0.00003248,0.00001654,0.00001594,0.00000000,rebalance
2024-05-20,0.09276953,0.18553905,0.11746385,0.13028111,0.00007432,0.00003524,0.00003908,0.00000000,rebalance
2024-05-27,0.09706910,0.19413820,0.20267939,0.05537438,0.00007742,0.00006080,0.00001661,0.00000000,rebalance
2024-06-03,0.07519668,0.15039335,0.11220291,0.08727068,0.00005984,0.00003366,0.00002618,0.00000000,rebalance
2024-06-11,0.06779567,0.13559134,0.10330811,0.07623133,0.00005386,0.00003099,0.00002287,0.00000000,rebalance
2024-06-17,0.05572451,0.11144902,0.07639085,0.07180280,0.00004446,0.00002292,0.00002154,0.00000000,rebalance
2024-06-24,0.00680257,0.01360515,0.00000000,0.01879603,0.00000564,0.00000000,0.00000564,0.00000000,rebalance
2024-07-02,0.05693464,0.11386928,0.07724041,0.08430854,0.00004846,0.00002317,0.00002529,0.00000000,rebalance
2024-07-08,0.00587323,0.01174647,0.01693681,0.00000000,0.00000508,0.00000508,0.00000000,0.00000000,rebalance
2024-07-15,0.05433735,0.10867471,0.07896269,0.07804135,0.00004710,0.00002369,0.00002341,0.00000000,rebalance
2024-07-22,0.05463090,0.10926181,0.07527748,0.07557857,0.00004526,0.00002258,0.00002267,0.00000000,rebalance
2024-07-29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2024-08-05,0.13065629,0.26131257,0.17411977,0.16872924,0.00010285,0.00005224,0.00005062,0.00000000,rebalance
2024-08-12,0.06218115,0.12436230,0.09451507,0.07415201,0.00005060,0.00002835,0.00002225,0.00000000,rebalance
2024-08-19,0.00577701,0.01155403,0.00000000,0.01620774,0.00000486,0.00000000,0.00000486,0.00000000,rebalance
2024-08-26,0.00586972,0.01173944,0.00000000,0.01665003,0.00000500,0.00000000,0.00000500,0.00000000,rebalance
2024-09-02,0.02074372,0.04148743,0.04302772,0.01476835,0.00001734,0.00001291,0.00000443,0.00000000,rebalance
2024-09-09,0.11313743,0.22627487,0.13894091,0.15857754,0.00008926,0.00004168,0.00004757,0.00000000,rebalance
