date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2020-12-18,0.00000000,0.00000000,0.00000000,0.00000000,398,weekly_lowvol,False,risk_on,,1.00000000,1.00000000,0,0,89
2020-12-24,0.00000000,0.00000000,0.00000000,0.00000000,400,weekly_lowvol,False,risk_on,,1.00000000,1.00000000,0,0,88
2020-12-31,0.00000000,0.00000000,0.00000000,0.00000000,401,weekly_lowvol,False,risk_on,,1.00000000,1.00000000,0,0,88
2021-01-08,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_lowvol,False,risk_on,,1.00000000,1.00000000,0,0,89
2021-01-15,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_lowvol,False,risk_on,,1.00000000,1.00000000,0,0,84
2021-01-22,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_lowvol,False,risk_on,,1.00000000,1.00000000,0,0,83
2021-01-29,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_lowvol,False,risk_on,,1.00000000,1.00000000,0,0,85
2021-02-05,0.00458297,0.00488288,0.00458297,0.00029991,401,weekly_lowvol,False,risk_on,,0.00000000,0.00000000,12,20,84
2021-02-11,0.02093475,0.02119531,0.02093475,0.00026175,400,weekly_lowvol,False,risk_on,,0.00000000,-0.00418958,12,28,84
2021-02-19,0.01905940,0.01934716,0.01905940,0.00029513,402,weekly_lowvol,False,risk_on,,0.00000000,0.00000763,12,33,85
2021-02-26,-0.00133671,-0.00123034,-0.00133671,0.00011118,402,weekly_lowvol,False,risk_on,,0.00000000,-0.02278645,12,42,87
2021-03-05,0.03676816,0.03686581,0.03676816,0.00010192,402,weekly_lowvol,False,risk_on,,0.00000000,-0.02735618,12,42,86
2021-03-12,0.00543160,0.00543542,0.00543160,0.00000413,402,weekly_lowvol,False,risk_on,,0.00000000,-0.01359414,12,40,83
2021-03-19,-0.00670586,-0.00669631,-0.00670586,0.00001039,402,weekly_lowvol,False,risk_on,,0.00000000,-0.01277127,12,41,84
2021-03-26,-0.00364566,-0.00360658,-0.00364566,0.00004224,402,weekly_lowvol,False,risk_on,,0.00000000,0.00230946,12,41,84
2021-04-01,0.00937044,0.00937044,0.00937044,0.00000000,403,weekly_lowvol,False,risk_on,,0.00000000,0.00230946,12,39,82
2021-04-09,-0.00340881,-0.00338833,-0.00340881,0.00002226,400,weekly_lowvol,False,risk_on,,0.00000000,0.01169273,12,36,84
2021-04-16,0.00468836,0.00468836,0.00468836,0.00000000,400,weekly_lowvol,False,risk_on,,0.00000000,0.01169273,12,35,84
2021-04-23,-0.00321160,-0.00318620,-0.00321160,0.00002764,400,weekly_lowvol,False,risk_on,,0.00000000,0.01017927,12,34,85
2021-04-30,-0.02089316,-0.02089316,-0.02089316,0.00000000,400,weekly_lowvol,False,risk_on,,0.00000000,0.01017927,12,33,86
2021-05-07,0.00436490,0.00441196,0.00436490,0.00004998,401,weekly_lowvol,False,risk_on,,0.00000000,-0.01018003,12,26,85
2021-05-14,-0.00788207,-0.00786465,-0.00788207,0.00001857,401,weekly_lowvol,False,risk_on,,0.00000000,-0.00803577,12,30,83
2021-05-21,-0.00084941,-0.00084941,-0.00084941,0.00000000,401,weekly_lowvol,False,risk_on,,0.00000000,-0.00803577,12,28,84
2021-05-28,0.03652153,0.03653834,0.03652153,0.00001777,401,weekly_lowvol,False,risk_on,,0.00000000,-0.00790008,12,32,83
2021-06-04,-0.02121864,-0.02114471,-0.02121864,0.00008103,401,weekly_lowvol,False,risk_on,,0.00000000,0.00463809,12,37,87
2021-06-11,0.00086347,0.00089563,0.00086347,0.00003450,400,weekly_lowvol,False,risk_on,,0.00000000,-0.00389075,12,37,86
2021-06-18,-0.01543391,-0.01539015,-0.01543391,0.00004699,401,weekly_lowvol,False,risk_on,,0.00000000,-0.00358983,12,39,87
2021-06-25,0.01749857,0.01750184,0.01749857,0.00000345,401,weekly_lowvol,False,risk_on,,0.00000000,0.00791038,12,30,89
2021-07-02,-0.02032630,-0.02032630,-0.02032630,0.00000000,401,weekly_lowvol,False,risk_on,,0.00000000,0.00791038,12,35,89
2021-07-09,-0.01103652,-0.01099518,-0.01103652,0.00004357,402,weekly_lowvol,False,risk_on,,0.00000000,0.01923085,12,30,90
2021-07-16,0.01412930,0.01414647,0.01412930,0.00001790,403,weekly_lowvol,False,risk_on,,0.00000000,0.01691433,12,23,89
2021-07-23,-0.01431597,-0.01431597,-0.01431597,0.00000000,404,weekly_lowvol,False,risk_on,,0.00000000,0.01691433,12,29,87
2021-07-30,-0.02537733,-0.02537322,-0.02537733,0.00000428,404,weekly_lowvol,False,risk_on,,0.00000000,0.00264331,12,28,88
2021-08-06,0.00333861,0.00339299,0.00333861,0.00005521,403,weekly_lowvol,False,risk_on,,0.00000000,-0.00826504,12,12,86
2021-08-13,0.02471831,0.02474337,0.02471831,0.00002553,404,weekly_lowvol,False,risk_on,,0.00000000,-0.01420179,12,23,84
2021-08-20,-0.01718575,-0.01715289,-0.01718575,0.00003430,405,weekly_lowvol,False,risk_on,,0.00000000,-0.00591295,12,24,85
2021-08-27,0.00478612,0.00482463,0.00478612,0.00003951,405,weekly_lowvol,False,risk_on,,0.00000000,-0.01776360,12,21,82
2021-09-03,0.01618975,0.01618975,0.01618975,0.00000000,405,weekly_lowvol,False,risk_on,,0.00000000,-0.01776360,12,26,81
2021-09-10,0.02240077,0.02243513,0.02240077,0.00003599,405,weekly_lowvol,False,risk_on,,0.00000000,0.00414466,12,43,86
2021-09-17,-0.02428209,-0.02428209,-0.02428209,0.00000000,407,weekly_lowvol,False,risk_on,,0.00000000,0.00414466,12,42,86
2021-09-24,-0.03020197,-0.03018030,-0.03020197,0.00002265,407,weekly_lowvol,False,risk_on,,0.00000000,0.00442979,12,37,88
2021-09-30,0.02066983,0.02068093,0.02066983,0.00001124,407,weekly_lowvol,False,risk_on,,0.00000000,0.01891470,12,27,87
2021-10-08,0.01061062,0.01064745,0.01061062,0.00003809,410,weekly_lowvol,False,risk_on,,0.00000000,0.02107465,12,22,91
2021-10-15,0.00686104,0.00689648,0.00686104,0.00003705,409,weekly_lowvol,False,risk_on,,0.00000000,-0.00822232,12,31,89
2021-10-22,0.00646211,0.00646211,0.00646211,0.00000000,409,weekly_lowvol,False,risk_on,,0.00000000,-0.00822232,12,32,86
2021-10-29,-0.01906791,-0.01906224,-0.01906791,0.00000601,411,weekly_lowvol,False,risk_on,,0.00000000,-0.02825552,12,33,89
