date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type,trade_details_json
2020-12-14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance,
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance,
2020-12-28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance,
2021-01-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance,
2021-01-11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance,
2021-01-18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance,
2021-01-25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance,
2021-02-01,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance,"[{""ts_code"": ""00002.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.06806284534872858, ""post_trade_weight"": 0.06808326420233321, ""diff_weight"": 0.06806284534872858, ""gross_amount"": 0.06806284534872858, ""gross_amount_pct_nav"": 0.06806284534872858, ""fee"": 2.0418853604618572e-05, ""fee_pct_nav"": 2.0418853604618572e-05, ""name"": ""中电控股""}, {""ts_code"": ""00005.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.17994601619514, ""post_trade_weight"": 0.17999999999999855, ""diff_weight"": 0.17994601619514, ""gross_amount"": 0.17994601619514, ""gross_amount_pct_nav"": 0.17994601619514, ""fee"": 5.3983804858542e-05, ""fee_pct_nav"": 5.3983804858542e-05, ""name"": ""汇丰控股""}, {""ts_code"": ""00012.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.04759887941884227, ""post_trade_weight"": 0.04761315908266792, ""diff_weight"": 0.04759887941884227, ""gross_amount"": 0.04759887941884227, ""gross_amount_pct_nav"": 0.04759887941884227, ""fee"": 1.427966382565268e-05, ""fee_pct_nav"": 1.427966382565268e-05, ""name"": ""恒基地产""}, {""ts_code"": ""00016.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.12186656880133825, ""post_trade_weight"": 0.12190312877197866, ""diff_weight"": 0.12186656880133825, ""gross_amount"": 0.12186656880133825, ""gross_amount_pct_nav"": 0.12186656880133825, ""fee"": 3.6559970640401476e-05, ""fee_pct_nav"": 3.6559970640401476e-05, ""name"": ""新鸿基地产""}, {""ts_code"": ""00066.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.10285124881319958, ""post_trade_weight"": 0.10288210418784355, ""diff_weight"": 0.10285124881319958, ""gross_amount"": 0.10285124881319958, ""gross_amount_pct_nav"": 0.10285124881319958, ""fee"": 3.085537464395987e-05, ""fee_pct_nav"": 3.085537464395987e-05, ""name"": ""港铁公司""}, {""ts_code"": ""00267.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.05502992035734658, ""post_trade_weight"": 0.055046429333453786, ""diff_weight"": 0.05502992035734658, ""gross_amount"": 0.05502992035734658, ""gross_amount_pct_nav"": 0.05502992035734658, ""fee"": 1.650897610720397e-05, ""fee_pct_nav"": 1.650897610720397e-05, ""name"": ""中信股份""}, {""ts_code"": ""00386.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.1415273482864242, ""post_trade_weight"": 0.1415698064909101, ""diff_weight"": 0.1415273482864242, ""gross_amount"": 0.1415273482864242, ""gross_amount_pct_nav"": 0.1415273482864242, ""fee"": 4.2458204485927254e-05, ""fee_pct_nav"": 4.2458204485927254e-05, ""name"": ""中国石油化工股份""}, {""ts_code"": ""00998.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.06668753650022563, ""post_trade_weight"": 0.0667075427611757, ""diff_weight"": 0.06668753650022563, ""gross_amount"": 0.06668753650022563, ""gross_amount_pct_nav"": 0.06668753650022563, ""fee"": 2.0006260950067687e-05, ""fee_pct_nav"": 2.0006260950067687e-05, ""name"": ""中信银行""}, {""ts_code"": ""01988.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.055075471118025535, ""post_trade_weight"": 0.05509199375936094, ""diff_weight"": 0.055075471118025535, ""gross_amount"": 0.055075471118025535, ""gross_amount_pct_nav"": 0.055075471118025535, ""fee"": 1.6522641335407658e-05, ""fee_pct_nav"": 1.6522641335407658e-05, ""name"": ""民生银行""}, {""ts_code"": ""02688.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.029504538587452892, ""post_trade_weight"": 0.029513389949029127, ""diff_weight"": 0.029504538587452892, ""gross_amount"": 0.029504538587452892, ""gross_amount_pct_nav"": 0.029504538587452892, ""fee"": 8.851361576235867e-06, ""fee_pct_nav"": 8.851361576235867e-06, ""name"": ""新奥能源""}, {""ts_code"": ""03328.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.10368275375488845, ""post_trade_weight"": 0.10371385858101491, ""diff_weight"": 0.10368275375488845, ""gross_amount"": 0.10368275375488845, ""gross_amount_pct_nav"": 0.10368275375488845, ""fee"": 3.110482612646653e-05, ""fee_pct_nav"": 3.110482612646653e-05, ""name"": ""交通银行""}, {""ts_code"": ""06886.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.027866962791387954, ""post_trade_weight"": 0.02787532288022537, ""diff_weight"": 0.027866962791387954, ""gross_amount"": 0.027866962791387954, ""gross_amount_pct_nav"": 0.027866962791387954, ""fee"": 8.360088837416386e-06, ""fee_pct_nav"": 8.360088837416386e-06, ""name"": ""HTSC""}]"
2021-02-08,0.43651807,0.87303614,0.43822099,0.43429316,0.00026175,0.00013147,0.00013029,0.00000000,rebalance,"[{""ts_code"": ""00002.HK"", ""side"": ""sell"", ""current_weight"": 0.06787014297434397, ""target_weight"": 0.03753206639475362, ""post_trade_weight"": 0.03754189902518741, ""diff_weight"": -0.03033807657959035, ""gross_amount"": 0.030319937345139346, ""gross_amount_pct_nav"": 0.03033807657959035, ""fee"": 9.095981203541802e-06, ""fee_pct_nav"": 9.101422973877104e-06, ""name"": ""中电控股""}, {""ts_code"": ""00012.HK"", ""side"": ""sell"", ""current_weight"": 0.04612533556173168, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.04612533556173168, ""gross_amount"": 0.046097757073896746, ""gross_amount_pct_nav"": 0.04612533556173168, ""fee"": 1.3829327122169023e-05, ""fee_pct_nav"": 1.3837600668519503e-05, ""name"": ""恒基地产""}, {""ts_code"": ""00016.HK"", ""side"": ""sell"", ""current_weight"": 0.12136903149662591, ""target_weight"": 0.06780439609380937, ""post_trade_weight"": 0.06782215945278791, ""diff_weight"": -0.05356463540281654, ""gross_amount"": 0.05353260893346193, ""gross_amount_pct_nav"": 0.05356463540281654, ""fee"": 1.6059782680038578e-05, ""fee_pct_nav"": 1.6069390620844964e-05, ""name"": ""新鸿基地产""}, {""ts_code"": ""00027.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.045563805807446234, ""post_trade_weight"": 0.045575742588622875, ""diff_weight"": 0.045563805807446234, ""gross_amount"": 0.045536563060073865, ""gross_amount_pct_nav"": 0.045563805807446234, ""fee"": 1.3660968918022158e-05, ""fee_pct_nav"": 1.3669141742233868e-05, ""name"": ""银河娱乐""}, {""ts_code"": ""00066.HK"", ""side"": ""sell"", ""current_weight"": 0.10188759591021876, ""target_weight"": 0.05649341424630777, ""post_trade_weight"": 0.056508214360385806, ""diff_weight"": -0.04539418166391099, ""gross_amount"": 0.04536704033536457, ""gross_amount_pct_nav"": 0.04539418166391099, ""fee"": 1.3610112100609369e-05, ""fee_pct_nav"": 1.3618254499173296e-05, ""name"": ""港铁公司""}, {""ts_code"": ""00267.HK"", ""side"": ""sell"", ""current_weight"": 0.05506284260965268, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.05506284260965268, ""gross_amount"": 0.05502992035734658, ""gross_amount_pct_nav"": 0.05506284260965268, ""fee"": 1.650897610720397e-05, ""fee_pct_nav"": 1.6518852782895803e-05, ""name"": ""中信股份""}, {""ts_code"": ""00291.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.03301364222331843, ""post_trade_weight"": 0.03302229111943411, ""diff_weight"": 0.03301364222331843, ""gross_amount"": 0.03299390325948533, ""gross_amount_pct_nav"": 0.03301364222331843, ""fee"": 9.898170977845598e-06, ""fee_pct_nav"": 9.904092666995527e-06, ""name"": ""华润啤酒""}, {""ts_code"": ""00386.HK"", ""side"": ""sell"", ""current_weight"": 0.14214842773319608, ""target_weight"": 0.088729407213664, ""post_trade_weight"": 0.08875265249572667, ""diff_weight"": -0.053419020519532075, ""gross_amount"": 0.05338708111378877, ""gross_amount_pct_nav"": 0.053419020519532075, ""fee"": 1.6016124334136632e-05, ""fee_pct_nav"": 1.602570615585962e-05, ""name"": ""中国石油化工股份""}, {""ts_code"": ""00939.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.1799528560482143, ""post_trade_weight"": 0.18000000000001318, ""diff_weight"": 0.1799528560482143, ""gross_amount"": 0.17984526165153517, ""gross_amount_pct_nav"": 0.1799528560482143, ""fee"": 5.395357849546054e-05, ""fee_pct_nav"": 5.398585681446428e-05, ""name"": ""建设银行""}, {""ts_code"": ""00998.HK"", ""side"": ""sell"", ""current_weight"": 0.06806734134317047, ""target_weight"": 0.03886472103666402, ""post_trade_weight"": 0.03887490279523938, ""diff_weight"": -0.029202620306506444, ""gross_amount"": 0.02918515996504631, ""gross_amount_pct_nav"": 0.029202620306506444, ""fee"": 8.755547989513892e-06, ""fee_pct_nav"": 8.760786091951933e-06, ""name"": ""中信银行""}, {""ts_code"": ""01299.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.1799528560482143, ""post_trade_weight"": 0.18000000000001318, ""diff_weight"": 0.1799528560482143, ""gross_amount"": 0.17984526165153517, ""gross_amount_pct_nav"": 0.1799528560482143, ""fee"": 5.395357849546054e-05, ""fee_pct_nav"": 5.398585681446428e-05, ""name"": ""友邦保险""}, {""ts_code"": ""01988.HK"", ""side"": ""sell"", ""current_weight"": 0.055108420621572896, ""target_weight"": 0.034371529065167786, ""post_trade_weight"": 0.03438053369974312, ""diff_weight"": -0.02073689155640511, ""gross_amount"": 0.020724492901640697, ""gross_amount_pct_nav"": 0.02073689155640511, ""fee"": 6.217347870492208e-06, ""fee_pct_nav"": 6.221067466921532e-06, ""name"": ""民生银行""}, {""ts_code"": ""02688.HK"", ""side"": ""sell"", ""current_weight"": 0.0296395638472439, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.0296395638472439, ""gross_amount"": 0.029621842255822633, ""gross_amount_pct_nav"": 0.0296395638472439, ""fee"": 8.88655267674679e-06, ""fee_pct_nav"": 8.89186915417317e-06, ""name"": ""新奥能源""}, {""ts_code"": ""03328.HK"", ""side"": ""sell"", ""current_weight"": 0.10374478309741238, ""target_weight"": 0.05893937454839374, ""post_trade_weight"": 0.05895481545382745, ""diff_weight"": -0.044805408549018634, ""gross_amount"": 0.044778619249828504, ""gross_amount_pct_nav"": 0.044805408549018634, ""fee"": 1.343358577494855e-05, ""fee_pct_nav"": 1.3441622564705589e-05, ""name"": ""交通银行""}, {""ts_code"": ""06886.HK"", ""side"": ""sell"", ""current_weight"": 0.026264407699959167, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.026264407699959167, ""gross_amount"": 0.026248704125352632, ""gross_amount_pct_nav"": 0.026264407699959167, ""fee"": 7.874611237605789e-06, ""fee_pct_nav"": 7.87932230998775e-06, ""name"": ""HTSC""}]"
2021-02-16,0.46551667,0.93103335,0.48963594,0.49412828,0.00029513,0.00014689,0.00014824,0.00000000,rebalance,"[{""ts_code"": ""00002.HK"", ""side"": ""sell"", ""current_weight"": 0.035894405995770345, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.035894405995770345, ""gross_amount"": 0.03792735506070075, ""gross_amount_pct_nav"": 0.035894405995770345, ""fee"": 1.1378206518210224e-05, ""fee_pct_nav"": 1.07683217987311e-05, ""name"": ""中电控股""}, {""ts_code"": ""00005.HK"", ""side"": ""sell"", ""current_weight"": 0.19120196208433593, ""target_weight"": 0.09783432145663631, ""post_trade_weight"": 0.09786165519596714, ""diff_weight"": -0.09336764062769963, ""gross_amount"": 0.098655697427726, ""gross_amount_pct_nav"": 0.09336764062769963, ""fee"": 2.9596709228317794e-05, ""fee_pct_nav"": 2.8010292188309885e-05, ""name"": ""汇丰控股""}, {""ts_code"": ""00016.HK"", ""side"": ""sell"", ""current_weight"": 0.06763390127053617, ""target_weight"": 0.03793466172348595, ""post_trade_weight"": 0.03794526021427849, ""diff_weight"": -0.02969923954705022, ""gross_amount"": 0.031381313385336736, ""gross_amount_pct_nav"": 0.02969923954705022, ""fee"": 9.41439401560102e-06, ""fee_pct_nav"": 8.909771864115065e-06, ""name"": ""新鸿基地产""}, {""ts_code"": ""00027.HK"", ""side"": ""sell"", ""current_weight"": 0.04335155094381394, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.04335155094381394, ""gross_amount"": 0.045806849827013024, ""gross_amount_pct_nav"": 0.04335155094381394, ""fee"": 1.3742054948103906e-05, ""fee_pct_nav"": 1.300546528314418e-05, ""name"": ""银河娱乐""}, {""ts_code"": ""00066.HK"", ""side"": ""sell"", ""current_weight"": 0.054756762650416006, ""target_weight"": 0.03029905375859212, ""post_trade_weight"": 0.030307518951840022, ""diff_weight"": -0.02445770889182389, ""gross_amount"": 0.025842918509941894, ""gross_amount_pct_nav"": 0.02445770889182389, ""fee"": 7.752875552982568e-06, ""fee_pct_nav"": 7.3373126675471675e-06, ""name"": ""港铁公司""}, {""ts_code"": ""00291.HK"", ""side"": ""sell"", ""current_weight"": 0.029717008565849693, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.029717008565849693, ""gross_amount"": 0.03140008878686218, ""gross_amount_pct_nav"": 0.029717008565849693, ""fee"": 9.420026636058654e-06, ""fee_pct_nav"": 8.915102569754907e-06, ""name"": ""华润啤酒""}, {""ts_code"": ""00386.HK"", ""side"": ""sell"", ""current_weight"": 0.09215717741942485, ""target_weight"": 0.04844692650476812, ""post_trade_weight"": 0.048460461996615405, ""diff_weight"": -0.04371025091465673, ""gross_amount"": 0.046185865464046294, ""gross_amount_pct_nav"": 0.04371025091465673, ""fee"": 1.3855759639213886e-05, ""fee_pct_nav"": 1.3113075274397018e-05, ""name"": ""中国石油化工股份""}, {""ts_code"": ""00857.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.0755601843368329, ""post_trade_weight"": 0.07558129494864786, ""diff_weight"": 0.0755601843368329, ""gross_amount"": 0.07983968142926659, ""gross_amount_pct_nav"": 0.0755601843368329, ""fee"": 2.3951904428779975e-05, ""fee_pct_nav"": 2.2668055301049866e-05, ""name"": ""中国石油股份""}, {""ts_code"": ""00998.HK"", ""side"": ""sell"", ""current_weight"": 0.038206762140424046, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.038206762140424046, ""gross_amount"": 0.040370675965228565, ""gross_amount_pct_nav"": 0.038206762140424046, ""fee"": 1.211120278956857e-05, ""fee_pct_nav"": 1.1462028642127213e-05, ""name"": ""中信银行""}, {""ts_code"": ""01288.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.13500842569195945, ""post_trade_weight"": 0.13504614543141677, ""diff_weight"": 0.13500842569195945, ""gross_amount"": 0.14265488884280633, ""gross_amount_pct_nav"": 0.13500842569195945, ""fee"": 4.27964666528419e-05, ""fee_pct_nav"": 4.050252770758783e-05, ""name"": ""农业银行""}, {""ts_code"": ""01299.HK"", ""side"": ""sell"", ""current_weight"": 0.17801410917635838, ""target_weight"": 0.11116129757125799, ""post_trade_weight"": 0.11119235470832656, ""diff_weight"": -0.0668528116051004, ""gross_amount"": 0.0706391498121339, ""gross_amount_pct_nav"": 0.0668528116051004, ""fee"": 2.1191744943640168e-05, ""fee_pct_nav"": 2.0055843481530116e-05, ""name"": ""友邦保险""}, {""ts_code"": ""01988.HK"", ""side"": ""sell"", ""current_weight"": 0.03467049434209556, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.03467049434209556, ""gross_amount"": 0.036634124804785034, ""gross_amount_pct_nav"": 0.03467049434209556, ""fee"": 1.099023744143551e-05, ""fee_pct_nav"": 1.0401148302628669e-05, ""name"": ""民生银行""}, {""ts_code"": ""02388.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.027490572139625892, ""post_trade_weight"": 0.02749825267669849, ""diff_weight"": 0.027490572139625892, ""gross_amount"": 0.029047553830094316, ""gross_amount_pct_nav"": 0.027490572139625892, ""fee"": 8.714266149028294e-06, ""fee_pct_nav"": 8.247171641887766e-06, ""name"": ""中银香港""}, {""ts_code"": ""03328.HK"", ""side"": ""sell"", ""current_weight"": 0.058418378561884685, ""target_weight"": 0.030703804672678043, ""post_trade_weight"": 0.030712382948490585, ""diff_weight"": -0.02771457388920664, ""gross_amount"": 0.029284242351742186, ""gross_amount_pct_nav"": 0.02771457388920664, ""fee"": 8.785272705522655e-06, ""fee_pct_nav"": 8.314372166761993e-06, ""name"": ""交通银行""}, {""ts_code"": ""03968.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.11367033965671881, ""post_trade_weight"": 0.11370209779013829, ""diff_weight"": 0.11367033965671881, ""gross_amount"": 0.12010827905994167, ""gross_amount_pct_nav"": 0.11367033965671881, ""fee"": 3.60324837179825e-05, ""fee_pct_nav"": 3.4101101897015644e-05, ""name"": ""招商银行""}, {""ts_code"": ""03988.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.11166137828417762, ""post_trade_weight"": 0.1116925751378165, ""diff_weight"": 0.11166137828417762, ""gross_amount"": 0.1179855362768857, ""gross_amount_pct_nav"": 0.11166137828417762, ""fee"": 3.53956608830657e-05, ""fee_pct_nav"": 3.349841348525328e-05, ""name"": ""中国银行""}]"
