date,ts_code,name,weight
2020-11-20,CASH,现金,1.00000000
2020-11-27,CASH,现金,1.00000000
2020-12-04,CASH,现金,1.00000000
2020-12-11,CASH,现金,1.00000000
2020-12-18,CASH,现金,1.00000000
2020-12-24,CASH,现金,1.00000000
2020-12-31,CASH,现金,1.00000000
2021-01-08,01398.HK,工商银行,0.18168141
2021-01-08,02318.HK,中国平安,0.18019334
2021-01-08,01299.HK,友邦保险,0.16701976
2021-01-08,00388.HK,香港交易所,0.13703754
2021-01-08,06030.HK,中信证券,0.06755027
2021-01-08,00066.HK,港铁公司,0.05545077
2021-01-08,02007.HK,碧桂园,0.05073673
2021-01-08,01339.HK,中国人民保险集团,0.04527803
2021-01-08,00002.HK,中电控股,0.03986253
2021-01-08,00027.HK,银河娱乐,0.03460288
2021-01-08,00384.HK,中国燃气,0.02345203
2021-01-08,00006.HK,电能实业,0.01713471
2021-01-15,02318.HK,中国平安,0.18667838
2021-01-15,01398.HK,工商银行,0.18164699
2021-01-15,01299.HK,友邦保险,0.16920395
2021-01-15,00388.HK,香港交易所,0.09898254
2021-01-15,06030.HK,中信证券,0.06729426
2021-01-15,01658.HK,邮储银行,0.05970002
2021-01-15,00016.HK,新鸿基地产,0.05715914
2021-01-15,00066.HK,港铁公司,0.05344586
2021-01-15,01339.HK,中国人民保险集团,0.04490720
2021-01-15,02388.HK,中银香港,0.03860176
2021-01-15,00001.HK,长和,0.03582745
2021-01-15,00027.HK,银河娱乐,0.03091104
2021-01-22,00939.HK,建设银行,0.17710106
2021-01-22,02318.HK,中国平安,0.16685356
2021-01-22,01398.HK,工商银行,0.16258460
2021-01-22,01288.HK,农业银行,0.10958635
2021-01-22,02628.HK,中国人寿,0.08948217
2021-01-22,01299.HK,友邦保险,0.08896798
2021-01-22,00388.HK,香港交易所,0.06773413
2021-01-22,00016.HK,新鸿基地产,0.03443886
2021-01-22,03328.HK,交通银行,0.02753931
2021-01-22,01088.HK,中国神华,0.02690407
2021-01-22,00066.HK,港铁公司,0.02471614
2021-01-22,01339.HK,中国人民保险集团,0.02409177
2021-01-29,00939.HK,建设银行,0.17940586
2021-01-29,01398.HK,工商银行,0.16648136
2021-01-29,02318.HK,中国平安,0.16303374
2021-01-29,01288.HK,农业银行,0.10898447
2021-01-29,02628.HK,中国人寿,0.08836415
2021-01-29,01299.HK,友邦保险,0.08668788
2021-01-29,00388.HK,香港交易所,0.06886770
2021-01-29,00857.HK,中国石油股份,0.05099613
2021-01-29,00016.HK,新鸿基地产,0.03494647
2021-01-29,03328.HK,交通银行,0.02766627
2021-01-29,00066.HK,港铁公司,0.02670779
2021-01-29,01088.HK,中国神华,0.02630213
2021-02-05,00939.HK,建设银行,0.18020216
2021-02-05,01398.HK,工商银行,0.16297740
2021-02-05,02318.HK,中国平安,0.14957278
2021-02-05,01288.HK,农业银行,0.10739530
2021-02-05,02628.HK,中国人寿,0.08697070
2021-02-05,01299.HK,友邦保险,0.07945107
2021-02-05,00005.HK,汇丰控股,0.05168212
2021-02-05,00857.HK,中国石油股份,0.05161276
2021-02-05,00388.HK,香港交易所,0.04220085
2021-02-05,00016.HK,新鸿基地产,0.03468215
2021-02-05,00066.HK,港铁公司,0.02619791
2021-02-05,01088.HK,中国神华,0.02525262
2021-02-05,CASH,现金,0.00180219
2021-02-11,00939.HK,建设银行,0.16842772
2021-02-11,01398.HK,工商银行,0.16380528
2021-02-11,02318.HK,中国平安,0.14410704
2021-02-11,01288.HK,农业银行,0.10816665
2021-02-11,01299.HK,友邦保险,0.08041999
2021-02-11,00005.HK,汇丰控股,0.07561869
2021-02-11,02628.HK,中国人寿,0.07469240
2021-02-11,00857.HK,中国石油股份,0.05131797
2021-02-11,00388.HK,香港交易所,0.04270899
2021-02-11,00016.HK,新鸿基地产,0.03491322
2021-02-11,00386.HK,中国石油化工股份,0.02528863
2021-02-11,01088.HK,中国神华,0.02494319
2021-02-11,CASH,现金,0.00559020
2021-02-19,00939.HK,建设银行,0.16197041
2021-02-19,01398.HK,工商银行,0.16047670
2021-02-19,02318.HK,中国平安,0.13238020
2021-02-19,01288.HK,农业银行,0.09450644
2021-02-19,01299.HK,友邦保险,0.08703828
2021-02-19,03988.HK,中国银行,0.08530827
2021-02-19,02628.HK,中国人寿,0.07525675
2021-02-19,00005.HK,汇丰控股,0.06810502
2021-02-19,00857.HK,中国石油股份,0.05492418
2021-02-19,00388.HK,香港交易所,0.04410666
2021-02-19,00016.HK,新鸿基地产,0.03561688
2021-02-19,00386.HK,中国石油化工股份,0.02739009
2021-02-26,01398.HK,工商银行,0.15147895
2021-02-26,00939.HK,建设银行,0.14652508
2021-02-26,02318.HK,中国平安,0.13296688
2021-02-26,01288.HK,农业银行,0.09374610
2021-02-26,03988.HK,中国银行,0.08586029
2021-02-26,01299.HK,友邦保险,0.08376528
2021-02-26,03968.HK,招商银行,0.07311433
2021-02-26,02628.HK,中国人寿,0.07309081
2021-02-26,00005.HK,汇丰控股,0.07118646
2021-02-26,00016.HK,新鸿基地产,0.03921423
2021-02-26,00388.HK,香港交易所,0.03704792
2021-02-26,00857.HK,中国石油股份,0.03292406
