date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2025-01-06,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2025-01-13,0.03429786,0.06859572,0.02618958,0.04002070,0.00001986,0.00000786,0.00001201,0.00000000,rebalance
2025-01-20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2025-01-27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2025-02-03,0.08487221,0.16974441,0.09756423,0.07643990,0.00005220,0.00002927,0.00002293,0.00000000,rebalance
2025-02-10,0.09183121,0.18366242,0.10121767,0.09574527,0.00005909,0.00003037,0.00002872,0.00000000,rebalance
2025-02-17,0.04852897,0.09705793,0.04610812,0.06424455,0.00003311,0.00001383,0.00001927,0.00000000,rebalance
2025-02-24,0.07626541,0.15253081,0.09379744,0.08203676,0.00005275,0.00002814,0.00002461,0.00000000,rebalance
2025-03-03,0.06776404,0.13552807,0.07487312,0.07963567,0.00004635,0.00002246,0.00002389,0.00000000,rebalance
2025-03-10,0.07118744,0.14237487,0.08859965,0.07855765,0.00005015,0.00002658,0.00002357,0.00000000,rebalance
2025-03-17,0.09593699,0.19187398,0.11156993,0.11940804,0.00006929,0.00003347,0.00003582,0.00000000,rebalance
2025-03-24,0.04550034,0.09100067,0.04358619,0.06534672,0.00003268,0.00001308,0.00001960,0.00000000,rebalance
2025-03-31,0.03465055,0.06930109,0.03910160,0.04098207,0.00002403,0.00001173,0.00001229,0.00000000,rebalance
2025-04-07,0.00687916,0.01375833,0.01395170,0.00000000,0.00000419,0.00000419,0.00000000,0.00000000,rebalance
2025-04-14,0.06145277,0.12290553,0.07248207,0.06087935,0.00004001,0.00002174,0.00001826,0.00000000,rebalance
2025-04-22,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2025-04-28,0.04761965,0.09523931,0.07001216,0.03758105,0.00003228,0.00002100,0.00001127,0.00000000,rebalance
2025-05-06,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2025-05-12,0.01103280,0.02206561,0.01402109,0.01201121,0.00000781,0.00000421,0.00000360,0.00000000,rebalance
2025-05-19,0.03750457,0.07500913,0.03245736,0.05740562,0.00002696,0.00000974,0.00001722,0.00000000,rebalance
2025-05-26,0.05705906,0.11411811,0.07509590,0.05703068,0.00003964,0.00002253,0.00001711,0.00000000,rebalance
