date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2016-12-28,0.27995297,0.55990594,0.55990594,0.00000000,0.00016797,0.00016797,0.00000000,0.00000000,rebalance
2017-01-09,0.43441550,0.86883100,0.65023573,0.21056788,0.00025824,0.00019507,0.00006317,0.00000000,rebalance
2017-01-23,0.99970009,1.99940018,1.00727243,1.00787697,0.00060454,0.00030218,0.00030236,0.00000000,rebalance
2017-02-06,0.79989943,1.59979887,0.83992203,0.84042613,0.00050410,0.00025198,0.00025213,0.00000000,rebalance
2017-02-20,0.85613835,1.71227671,0.93445909,0.93436171,0.00056065,0.00028034,0.00028031,0.00000000,rebalance
2017-03-06,0.66865224,1.33730448,0.73582115,0.73692100,0.00044182,0.00022075,0.00022108,0.00000000,rebalance
2017-03-20,0.83410833,1.66821665,0.91761432,0.91816506,0.00055073,0.00027528,0.00027545,0.00000000,rebalance
2017-04-03,0.40838826,0.81677653,0.44456846,0.44483528,0.00026682,0.00013337,0.00013345,0.00000000,rebalance
2017-04-18,0.70631838,1.41263676,0.77979446,0.78026248,0.00046802,0.00023394,0.00023408,0.00000000,rebalance
2017-05-02,0.85726295,1.71452591,0.93833644,0.93889961,0.00056317,0.00028150,0.00028167,0.00000000,rebalance
2017-05-15,0.99970009,1.99940018,1.07266806,1.07331186,0.00064379,0.00032180,0.00032199,0.00000000,rebalance
2017-05-29,0.81517296,1.63034591,0.89192711,0.89246242,0.00053532,0.00026758,0.00026774,0.00000000,rebalance
2017-06-12,0.65486679,1.30973359,0.71347188,0.71509108,0.00042857,0.00021404,0.00021453,0.00000000,rebalance
2017-06-26,0.48453345,0.96906690,0.55479596,0.55158154,0.00033191,0.00016644,0.00016547,0.00000000,rebalance
2017-07-10,0.82943060,1.65886121,0.94929300,0.94134229,0.00056719,0.00028479,0.00028240,0.00000000,rebalance
2017-07-24,0.68579261,1.37158521,0.82570609,0.84559529,0.00050139,0.00024771,0.00025368,0.00000000,rebalance
2017-08-07,0.99620877,1.99241754,1.21824678,1.21046116,0.00072861,0.00036547,0.00036314,0.00000000,rebalance
2017-08-21,0.99970009,1.99940018,1.15708448,1.15777894,0.00069446,0.00034713,0.00034733,0.00000000,rebalance
2017-09-04,0.99970009,1.99940018,1.19525127,1.19596863,0.00071737,0.00035858,0.00035879,0.00000000,rebalance
2017-09-18,0.99970009,1.99940018,1.21073736,1.21146402,0.00072666,0.00036322,0.00036344,0.00000000,rebalance
2017-10-03,0.65398141,1.30796283,0.79032656,0.80100330,0.00047740,0.00023710,0.00024030,0.00000000,rebalance
2017-10-16,0.99559005,1.99118011,1.23967184,1.23021347,0.00074097,0.00037190,0.00036906,0.00000000,rebalance
2017-10-30,0.65521997,1.31043995,0.77699622,0.78803220,0.00046951,0.00023310,0.00023641,0.00000000,rebalance
2017-11-13,0.81848470,1.63696941,1.04792829,1.03798760,0.00062577,0.00031438,0.00031140,0.00000000,rebalance
2017-11-27,0.99970009,1.99940018,1.23651827,1.23726040,0.00074213,0.00037096,0.00037118,0.00000000,rebalance
2017-12-11,0.99970009,1.99940018,1.24031367,1.24105808,0.00074441,0.00037209,0.00037232,0.00000000,rebalance
2017-12-27,0.83681984,1.67363967,1.08938312,1.09003694,0.00065383,0.00032681,0.00032701,0.00000000,rebalance
2018-01-08,0.65019056,1.30038112,0.94189391,0.94185859,0.00056513,0.00028257,0.00028256,0.00000000,rebalance
2018-01-22,0.82477037,1.64954074,1.19853928,1.20394446,0.00072075,0.00035956,0.00036118,0.00000000,rebalance
2018-02-05,0.81011070,1.62022141,1.16214891,1.14792643,0.00069302,0.00034864,0.00034438,0.00000000,rebalance
2018-02-20,0.47453198,0.94906396,0.61249611,0.62369849,0.00037086,0.00018375,0.00018711,0.00000000,rebalance
2018-03-05,0.72317405,1.44634810,0.91012152,0.91137100,0.00054645,0.00027304,0.00027341,0.00000000,rebalance
2018-03-19,0.99942706,1.99885412,1.28629389,1.28636266,0.00077180,0.00038589,0.00038591,0.00000000,rebalance
2018-04-03,0.59748389,1.19496779,0.79374709,0.79422349,0.00047639,0.00023812,0.00023827,0.00000000,rebalance
2018-04-16,0.84827626,1.69655251,1.09565503,1.09631262,0.00065759,0.00032870,0.00032889,0.00000000,rebalance
2018-04-30,0.65797288,1.31594576,0.87908934,0.87568207,0.00052643,0.00026373,0.00026270,0.00000000,rebalance
2018-05-14,0.46793013,0.93586026,0.63805596,0.62912504,0.00038015,0.00019142,0.00018874,0.00000000,rebalance
