date,ts_code,name,weight
2020-12-31,CASH,现金,1.00000000
2021-01-15,CASH,现金,1.00000000
2021-01-29,CASH,现金,1.00000000
2021-02-11,02338.HK,潍柴动力,0.28980867
2021-02-11,01658.HK,邮储银行,0.25738057
2021-02-11,03808.HK,中国重汽,0.17873003
2021-02-11,00772.HK,阅文集团,0.15900986
2021-02-11,00083.HK,信和置业,0.11507086
2021-02-26,06185.HK,康希诺生物,0.21533837
2021-02-26,02338.HK,潍柴动力,0.17993517
2021-02-26,00916.HK,龙源电力,0.15614490
2021-02-26,02013.HK,微盟集团,0.15547545
2021-02-26,03690.HK,美团-W,0.15357312
2021-02-26,03606.HK,福耀玻璃,0.13953299
2021-03-12,01109.HK,华润置地,0.19184547
2021-03-12,00016.HK,新鸿基地产,0.18848634
2021-03-12,01030.HK,新城发展,0.16848127
2021-03-12,02282.HK,美高梅中国,0.15451701
2021-03-12,00390.HK,中国中铁,0.14853317
2021-03-12,00384.HK,中国燃气,0.14813673
2021-03-26,00857.HK,中国石油股份,0.18287771
2021-03-26,01308.HK,海丰国际,0.17906268
2021-03-26,01378.HK,中国宏桥,0.16600398
2021-03-26,01816.HK,中广核电力,0.16536252
2021-03-26,00135.HK,昆仑能源,0.15607190
2021-03-26,01193.HK,华润燃气,0.15062121
2021-04-09,02007.HK,碧桂园,0.20715594
2021-04-09,00754.HK,合生创展集团,0.18557852
2021-04-09,01109.HK,华润置地,0.17896854
2021-04-09,02331.HK,李宁,0.15637671
2021-04-09,00683.HK,嘉里建设,0.14101439
2021-04-09,06098.HK,碧桂园服务,0.13090589
2021-04-23,01308.HK,海丰国际,0.18995040
2021-04-23,00087.HK,太古股份公司B,0.17018418
2021-04-23,01171.HK,兖矿能源,0.16529241
2021-04-23,00267.HK,中信股份,0.16354693
2021-04-23,00019.HK,太古股份公司A,0.16340321
2021-04-23,01929.HK,周大福,0.14762288
2021-05-07,01378.HK,中国宏桥,0.19954820
2021-05-07,01898.HK,中煤能源,0.17782303
2021-05-07,00669.HK,创科实业,0.16303711
2021-05-07,00019.HK,太古股份公司A,0.15813010
2021-05-07,00867.HK,康哲药业,0.15342525
2021-05-07,00772.HK,阅文集团,0.14030784
2021-05-07,CASH,现金,0.00772847
2021-05-21,02388.HK,中银香港,0.17359163
2021-05-21,01898.HK,中煤能源,0.17164583
2021-05-21,00857.HK,中国石油股份,0.17031125
2021-05-21,00267.HK,中信股份,0.16810137
2021-05-21,02899.HK,紫金矿业,0.16026626
2021-05-21,02600.HK,中国铝业,0.15608366
2021-06-04,01929.HK,周大福,0.18833744
2021-06-04,01548.HK,金斯瑞生物科技,0.18421642
2021-06-04,02313.HK,申洲国际,0.16245081
2021-06-04,02020.HK,安踏体育,0.15827256
2021-06-04,00867.HK,康哲药业,0.15811921
2021-06-04,00780.HK,同程旅行,0.14860356
