date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2020-01-17,0.06462445,0.06492436,0.06462445,0.00029991,378,biweekly_rebalance_aggressive,False,risk_on,0.21444888,0.00000000,0.00000000,6,12,39,0,0.00000000,0.00000000
2020-01-31,-0.08044217,-0.08015267,-0.08044217,0.00030821,379,biweekly_rebalance_aggressive,False,risk_on,0.17798276,0.00000000,-0.00342136,6,18,42,0,0.00000000,0.00000000
2020-02-14,0.11202069,0.11208790,0.11202069,0.00006580,379,biweekly_rebalance_aggressive,False,caution,0.16308298,0.15000000,0.14898038,6,0,46,0,0.00000000,0.00000000
2020-02-28,-0.10065317,-0.10015589,-0.10065317,0.00054136,380,biweekly_rebalance_aggressive,False,risk_on,0.18161616,0.00000000,0.00000000,6,14,45,0,0.00000000,0.00000000
2020-03-13,-0.06012379,-0.06006493,-0.06012379,0.00005763,380,biweekly_rebalance_aggressive,False,caution,-0.01009971,0.15000000,0.15370659,6,0,42,0,0.00000000,0.00000000
2020-03-27,-0.07924095,-0.07918092,-0.07924095,0.00005525,380,biweekly_rebalance_aggressive,False,caution,0.06156585,0.15000000,0.12557359,6,0,47,0,0.00000000,0.00000000
2020-04-09,0.01621879,0.01655596,0.01621879,0.00028568,381,biweekly_rebalance_aggressive,True,risk_off,-0.00176644,0.40000000,0.33535526,6,4,51,0,0.00000000,0.00000000
2020-04-24,0.04804400,0.04830165,0.04804400,0.00022185,383,biweekly_rebalance_aggressive,True,risk_off,-0.10595073,0.40000000,0.35122572,6,14,55,0,0.00000000,0.00000000
2020-05-08,0.00805555,0.00829945,0.00805555,0.00022010,383,biweekly_rebalance_aggressive,True,risk_off,-0.12165329,0.40000000,0.36475922,6,7,44,0,0.00000000,0.00000000
2020-05-22,-0.00259345,-0.00235402,-0.00259345,0.00021780,383,biweekly_rebalance_aggressive,True,risk_off,-0.03317956,0.40000000,0.36329906,6,24,50,0,0.00000000,0.00000000
2020-06-05,-0.00710007,-0.00695750,-0.00710007,0.00012935,384,biweekly_rebalance_aggressive,False,caution,0.01440552,0.15000000,0.13691123,6,1,49,0,0.00000000,0.00000000
2020-06-19,0.04766646,0.04814915,0.04766646,0.00043484,385,biweekly_rebalance_aggressive,False,risk_on,0.04292077,0.00000000,0.00000000,6,20,46,0,0.00000000,0.00000000
2020-07-03,0.08430310,0.08478131,0.08430310,0.00045134,389,biweekly_rebalance_aggressive,False,caution,-0.04772701,0.15000000,0.14216693,6,26,46,0,0.00000000,0.00000000
2020-07-17,-0.05368650,-0.05322769,-0.05368650,0.00046953,390,biweekly_rebalance_aggressive,False,risk_on,0.00752124,0.00000000,0.00524022,6,25,50,0,0.00000000,0.00000000
2020-07-31,0.03898827,0.03958552,0.03898827,0.00057840,389,biweekly_rebalance_aggressive,False,risk_on,0.03603117,0.00000000,0.00000000,6,6,51,0,0.00000000,0.00000000
2020-08-14,-0.07042538,-0.06993732,-0.07042538,0.00049108,390,biweekly_rebalance_aggressive,False,risk_on,0.14602399,0.00000000,0.00007472,6,9,49,0,0.00000000,0.00000000
2020-08-28,0.12353674,0.12407862,0.12353674,0.00050684,390,biweekly_rebalance_aggressive,False,risk_on,0.22718427,0.00000000,0.00000000,6,8,45,0,0.00000000,0.00000000
2020-09-11,-0.08707156,-0.08667577,-0.08707156,0.00041593,390,biweekly_rebalance_aggressive,False,risk_on,0.22292608,0.00000000,0.00000000,6,18,44,0,0.00000000,0.00000000
2020-09-25,-0.05260378,-0.05223617,-0.05260378,0.00035268,390,biweekly_rebalance_aggressive,False,risk_on,0.18325583,0.00000000,0.00000000,6,3,38,0,0.00000000,0.00000000
2020-10-09,0.12355363,0.12363234,0.12355363,0.00007153,390,biweekly_rebalance_aggressive,False,risk_on,0.25409560,0.00000000,-0.00213045,6,0,36,0,0.00000000,0.00000000
2020-10-23,-0.01205480,-0.01143375,-0.01205480,0.00063422,391,biweekly_rebalance_aggressive,False,risk_on,0.20043481,0.00000000,0.00000000,6,11,41,0,0.00000000,0.00000000
2020-11-06,0.07694601,0.07754907,0.07694601,0.00060843,392,biweekly_rebalance_aggressive,False,risk_on,0.14419969,0.00000000,0.00000000,6,6,39,0,0.00000000,0.00000000
2020-11-20,0.10801933,0.10852942,0.10801933,0.00055423,394,biweekly_rebalance_aggressive,False,risk_on,0.15943643,0.00000000,0.00000000,6,16,45,0,0.00000000,0.00000000
