date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-02-01,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-02-16,0.83489261,1.66978521,0.94425919,0.94482591,0.00056673,0.00028328,0.00028345,0.00000000,rebalance
2021-03-01,0.99970009,1.99940018,0.95896881,0.95954436,0.00057555,0.00028769,0.00028786,0.00000000,rebalance
2021-03-15,0.99970009,1.99940018,0.97194928,0.97253262,0.00058334,0.00029158,0.00029176,0.00000000,rebalance
2021-03-29,0.99970009,1.99940018,0.96055104,0.96112755,0.00057650,0.00028817,0.00028834,0.00000000,rebalance
2021-04-12,0.99970009,1.99940018,0.92325662,0.92381074,0.00055412,0.00027698,0.00027714,0.00000000,rebalance
2021-04-26,0.83342757,1.66685514,0.80161375,0.80983974,0.00048344,0.00024048,0.00024295,0.00000000,rebalance
2021-05-10,0.83346348,1.66692697,0.84814459,0.84090876,0.00050672,0.00025444,0.00025227,0.00000000,rebalance
2021-05-24,0.99970009,1.99940018,0.93202489,0.93258428,0.00055938,0.00027961,0.00027978,0.00000000,rebalance
2021-06-07,0.99970009,1.99940018,0.99544705,0.99604450,0.00059745,0.00029863,0.00029881,0.00000000,rebalance
2021-06-21,0.84404874,1.68809748,0.86399032,0.86372904,0.00051832,0.00025920,0.00025912,0.00000000,rebalance
2021-07-05,0.69372348,1.38744696,0.73341608,0.73463608,0.00044042,0.00022002,0.00022039,0.00000000,rebalance
2021-07-19,0.99970009,1.99940018,1.06464517,1.06528415,0.00063898,0.00031939,0.00031959,0.00000000,rebalance
2021-08-02,0.80055004,1.60110008,0.80587892,0.81430396,0.00048605,0.00024176,0.00024429,0.00000000,rebalance
2021-08-16,0.83027776,1.66055552,0.81333768,0.80331276,0.00048500,0.00024400,0.00024099,0.00000000,rebalance
2021-08-30,0.84394266,1.68788531,0.88235490,0.88545619,0.00053034,0.00026471,0.00026564,0.00000000,rebalance
2021-09-13,0.83126366,1.66252733,0.93096756,0.92127407,0.00055567,0.00027929,0.00027638,0.00000000,rebalance
2021-09-27,0.84036003,1.68072006,0.80963473,0.82037289,0.00048900,0.00024289,0.00024611,0.00000000,rebalance
2021-10-11,0.69348959,1.38697918,0.60122309,0.60299175,0.00036126,0.00018037,0.00018090,0.00000000,rebalance
2021-10-25,0.86768821,1.73537641,0.77172513,0.77078049,0.00046275,0.00023152,0.00023123,0.00000000,rebalance
2021-11-08,0.85109799,1.70219598,0.71439996,0.71482872,0.00042877,0.00021432,0.00021445,0.00000000,rebalance
2021-11-22,0.99970009,1.99940018,0.86925731,0.86977902,0.00052171,0.00026078,0.00026093,0.00000000,rebalance
2021-12-06,0.99970009,1.99940018,0.84863640,0.84914573,0.00050933,0.00025459,0.00025474,0.00000000,rebalance
2021-12-20,0.99970009,1.99940018,0.93119965,0.93175854,0.00055889,0.00027936,0.00027953,0.00000000,rebalance
2022-01-03,0.72243875,1.44487750,0.56587455,0.86281306,0.00042861,0.00016976,0.00025884,0.00000000,rebalance
2022-01-17,0.56891244,1.13782489,0.56309296,0.56488660,0.00033839,0.00016893,0.00016947,0.00000000,rebalance
2022-01-31,0.33828018,0.67656036,0.33492090,0.33347650,0.00020052,0.00010048,0.00010004,0.00000000,rebalance
2022-02-14,0.70540635,1.41081269,0.71769747,0.72939601,0.00043413,0.00021531,0.00021882,0.00000000,rebalance
2022-02-28,0.48907117,0.97814234,0.49671270,0.48369453,0.00029412,0.00014901,0.00014511,0.00000000,rebalance
2022-03-14,0.39734376,0.79468751,0.38522515,0.36584288,0.00022532,0.00011557,0.00010975,0.00000000,rebalance
2022-03-28,0.70667183,1.41334367,0.67112764,0.68449572,0.00040669,0.00020134,0.00020535,0.00000000,rebalance
2022-04-11,0.35057297,0.70114594,0.00000000,0.67480393,0.00020244,0.00000000,0.00020244,0.00000000,rebalance
2022-04-25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-05-10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-05-23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-06-06,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-06-20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-07-04,0.34992652,0.69985303,0.67341792,0.00000000,0.00020203,0.00020203,0.00000000,0.00000000,rebalance
2022-07-18,0.34776984,0.69553968,0.00000000,0.65932432,0.00019780,0.00000000,0.00019780,0.00000000,rebalance
2022-08-01,0.34992652,0.69985303,0.66327466,0.00000000,0.00019898,0.00019898,0.00000000,0.00000000,rebalance
2022-08-15,0.34525955,0.69051910,0.00000000,0.63424706,0.00019027,0.00000000,0.00019027,0.00000000,rebalance
2022-08-29,0.34992652,0.69985303,0.64268718,0.00000000,0.00019281,0.00019281,0.00000000,0.00000000,rebalance
2022-09-13,0.35516137,0.71032273,0.00000000,0.67540481,0.00020262,0.00000000,0.00020262,0.00000000,rebalance
2022-09-26,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-10-10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-10-24,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-11-07,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2022-11-21,0.34992652,0.69985303,0.66530797,0.00000000,0.00019959,0.00019959,0.00000000,0.00000000,rebalance
2022-12-05,0.47077988,0.94155975,0.47189890,0.49506390,0.00029009,0.00014157,0.00014852,0.00000000,rebalance
2022-12-19,0.69441941,1.38883881,0.69326510,0.68278463,0.00041281,0.00020798,0.00020484,0.00000000,rebalance
2023-01-03,0.58151268,1.16302535,0.59272187,0.60653561,0.00035978,0.00017782,0.00018196,0.00000000,rebalance
2023-01-16,0.72959476,1.45918952,0.92698846,0.61688404,0.00046316,0.00027810,0.00018507,0.00000000,rebalance
2023-01-30,0.66636178,1.33272355,0.67771608,0.67812283,0.00040675,0.00020331,0.00020344,0.00000000,rebalance
2023-02-13,0.81206612,1.62413224,0.78849808,0.78897132,0.00047324,0.00023655,0.00023669,0.00000000,rebalance
2023-02-27,0.28616338,0.57232677,0.27167844,0.27184149,0.00016306,0.00008150,0.00008155,0.00000000,rebalance
2023-03-13,0.05835768,0.11671535,0.06395463,0.05439848,0.00003551,0.00001919,0.00001632,0.00000000,rebalance
2023-03-27,1.00466803,2.00933606,0.96448486,0.97465826,0.00058174,0.00028935,0.00029240,0.00000000,rebalance
2023-04-11,0.82914940,1.65829881,0.81260434,0.81309205,0.00048771,0.00024378,0.00024393,0.00000000,rebalance
2023-04-24,0.67315707,1.34631415,0.65301104,0.65340296,0.00039192,0.00019590,0.00019602,0.00000000,rebalance
2023-05-08,0.69136187,1.38272374,0.70561258,0.70603607,0.00042349,0.00021168,0.00021181,0.00000000,rebalance
