date,portfolio_return,nav,drawdown,trading_cost
2023-01-16,0.00000000,1.00000000,0.00000000,0.00000000
2023-01-27,0.00641515,1.00641515,0.00000000,0.00029991
2023-02-10,-0.09126260,0.91456709,-0.09126260,0.00038449
2023-02-24,-0.01234126,0.90328018,-0.10247757,0.00044734
2023-03-10,0.04535216,0.94424588,-0.06177299,0.00015413
2023-03-24,-0.02443843,0.92116999,-0.08470179,0.00003356
2023-04-06,0.01228795,0.93248928,-0.07345465,0.00054991
2023-04-21,-0.00759247,0.92540939,-0.08048941,0.00046102
2023-05-05,0.03354122,0.95644875,-0.04964791,0.00037048
2023-05-19,-0.04100221,0.91723224,-0.08861444,0.00040032
2023-06-02,-0.02882133,0.89079638,-0.11488179,0.00016085
2023-06-16,0.05560140,0.94032591,-0.06566797,0.00045624
2023-06-30,-0.00326878,0.93725219,-0.06872210,0.00048158
2023-07-14,0.02361877,0.95938894,-0.04672646,0.00041928
2023-07-28,0.00341085,0.96266128,-0.04347498,0.00000000
2023-08-11,-0.05617296,0.90858575,-0.09720582,0.00049171
2023-08-25,-0.03615357,0.87573713,-0.12984505,0.00046863
2023-09-08,0.01779119,0.89131753,-0.11436396,0.00032758
2023-10-06,-0.02683074,0.86740282,-0.13812623,0.00031043
2023-10-20,-0.00347485,0.86438873,-0.14112111,0.00025385
2023-11-03,0.03959253,0.89861207,-0.10711592,0.00021623
2023-11-17,-0.05888190,0.84570008,-0.15969063,0.00020460
2023-12-01,-0.01480805,0.83317691,-0.17213398,0.00035422
2023-12-15,-0.02090054,0.81576306,-0.18943683,0.00034343
2023-12-29,0.00432407,0.81929048,-0.18593189,0.00034042
2024-01-12,-0.03346504,0.79187289,-0.21317472,0.00016849
2024-01-26,-0.00031571,0.79162288,-0.21342313,0.00016490
2024-02-09,0.00000000,0.79162288,-0.21342313,0.00000000
2024-02-23,0.00000000,0.79162288,-0.21342313,0.00000000
2024-03-08,0.00000000,0.79162288,-0.21342313,0.00000000
2024-03-22,0.00000000,0.79162288,-0.21342313,0.00000000
2024-04-05,0.02648995,0.81259294,-0.19258674,0.00016621
2024-04-19,0.02392901,0.83203748,-0.17326615,0.00034663
2024-05-03,-0.02462024,0.81155251,-0.19362053,0.00016979
2024-05-17,0.00709053,0.81730685,-0.18790288,0.00017039
2024-05-31,-0.03327777,0.79010870,-0.21492766,0.00028105
2024-06-14,0.03052137,0.81422390,-0.19096617,0.00033463
2024-06-28,-0.02620165,0.79288990,-0.21216419,0.00023770
2024-07-12,-0.00506701,0.78887231,-0.21615617,0.00047852
2024-07-26,-0.03518820,0.76111331,-0.24373822,0.00040369
2024-08-09,0.00937425,0.76824818,-0.23664883,0.00032263
2024-08-23,-0.00291409,0.76600944,-0.23887331,0.00046545
2024-09-05,-0.05470163,0.72410748,-0.28050817,0.00046461
2024-09-20,0.02880403,0.74496469,-0.25978391,0.00035029
2024-10-04,0.31857589,0.98229248,-0.02396891,0.00021336
2024-10-18,-0.40423395,0.58521652,-0.41851381,0.00061559
2024-11-01,-0.03091780,0.56712291,-0.43649208,0.00024203
2024-11-15,0.00543549,0.57020550,-0.43342914,0.00020422
2024-11-29,0.01944318,0.58129211,-0.42241320,0.00011830
2024-12-13,0.02550761,0.59611948,-0.40768034,0.00017153
2024-12-27,0.01657191,0.60599832,-0.39786447,0.00030133
2025-01-10,-0.05781200,0.57096435,-0.43267513,0.00030683
2025-01-24,0.12386328,0.64168586,-0.36240441,0.00017112
2025-02-07,0.05289043,0.67562491,-0.32868170,0.00024951
2025-02-21,0.13548949,0.76716498,-0.23772513,0.00026293
2025-03-07,-0.06243429,0.71926758,-0.28531722,0.00022184
2025-03-21,-0.03526611,0.69390181,-0.31052130,0.00042359
2025-04-03,0.06778208,0.74093592,-0.26378700,0.00008507
2025-04-17,-0.07595660,0.68465695,-0.31970724,0.00030050
2025-05-02,0.05108781,0.71963457,-0.28495257,0.00036143
2025-05-16,-0.00129484,0.71870276,-0.28587844,0.00035390
2025-05-30,0.01314860,0.72815269,-0.27648875,0.00044906
2025-06-13,0.14992861,0.83732361,-0.16801371,0.00043513
2025-06-27,-0.05675926,0.78979774,-0.21523664,0.00040928
2025-07-11,0.01714084,0.80333554,-0.20178513,0.00048203
2025-07-25,0.05033650,0.84377264,-0.16160579,0.00041232
2025-08-08,0.04098422,0.87835400,-0.12724485,0.00052500
2025-08-22,0.08441508,0.95250033,-0.05357116,0.00045779
2025-09-05,0.07410479,1.02308517,0.00000000,0.00051002
2025-09-19,-0.02840238,0.99402711,-0.02840238,0.00048146
