date,portfolio_return,nav,drawdown,trading_cost
2017-02-01,0.00000000,1.00000000,0.00000000,0.00000000
2017-02-28,0.00896905,1.00896905,0.00000000,0.00029991
2017-03-31,-0.02865043,0.98006165,-0.02865043,0.00034927
2017-04-28,0.07896920,1.05745633,0.00000000,0.00039840
2017-05-31,-0.07547364,0.97764625,-0.07547364,0.00052682
2017-06-30,0.07350832,1.04951139,-0.00751326,0.00051436
2017-07-31,0.06753082,1.12038575,0.00000000,0.00036336
2017-08-31,0.03414313,1.15863922,0.00000000,0.00044170
2017-09-29,0.17596385,1.36251784,0.00000000,0.00045462
2017-10-31,0.06428444,1.45010654,0.00000000,0.00044240
2017-11-30,-0.04351674,1.38700264,-0.04351674,0.00086042
2017-12-29,0.02380914,1.42002598,-0.02074369,0.00044104
2018-01-31,0.03202960,1.46550885,0.00000000,0.00087892
2018-02-28,-0.00457014,1.45881126,-0.00457014,0.00085001
2018-03-29,-0.04309641,1.39594172,-0.04746960,0.00051351
2018-04-30,-0.01144819,1.37996071,-0.05837435,0.00063290
2018-05-31,0.06084904,1.46393000,-0.00107734,0.00081536
2018-06-29,-0.05547312,1.38272124,-0.05649069,0.00070529
2018-07-31,-0.03044476,1.34062462,-0.08521561,0.00032761
2018-08-31,0.02703338,1.37686623,-0.06048590,0.00053471
2018-09-28,0.03441830,1.42425563,-0.02814941,0.00070299
2018-10-31,-0.08472918,1.30357962,-0.11049352,0.00040258
2018-11-30,0.03128216,1.34435840,-0.08266783,0.00047374
2018-12-31,0.00948391,1.35710818,-0.07396794,0.00028898
2019-01-31,0.00000000,1.35710818,-0.07396794,0.00000000
2019-02-28,0.00000000,1.35710818,-0.07396794,0.00000000
2019-03-29,0.02800485,1.39511378,-0.04803455,0.00028493
2019-04-30,-0.01079199,1.38005773,-0.05830815,0.00072513
2019-05-31,-0.13256183,1.19711475,-0.18314055,0.00048950
2019-06-28,-0.06777657,1.11597842,-0.23850448,0.00071274
2019-07-31,0.02622516,1.14524514,-0.21853414,0.00058348
2019-08-30,0.01835680,1.16626817,-0.20418892,0.00050641
2019-09-30,-0.04501855,1.11376448,-0.24001518,0.00040543
2019-10-31,0.08853497,1.21237158,-0.17272994,0.00032104
2019-11-29,-0.04266852,1.16064149,-0.20802833,0.00038872
2019-12-31,0.03078160,1.19636789,-0.18365018,0.00028169
2020-01-31,-0.11177309,1.06264615,-0.27489612,0.00060552
2020-02-28,0.01736998,1.08110430,-0.26230108,0.00009337
2020-03-31,-0.13242171,0.93794261,-0.35998843,0.00016851
2020-04-29,-0.01081987,0.92779420,-0.36691327,0.00027628
2020-05-29,0.00000000,0.92779420,-0.36691327,0.00000000
2020-06-30,0.01079702,0.93781161,-0.36007782,0.00019480
2020-07-31,0.11872206,1.04915054,-0.28410494,0.00034094
2020-08-31,-0.01951116,1.02868039,-0.29807289,0.00054682
