date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2017-02-28,0.00896905,0.00926896,0.00896905,0.00029991,326,high_concentration_breakout,False,risk_on,0.32804241,0.00000000,0.00000000,6,8,32,0,0.00000000,0.00000000
2017-03-31,-0.02865043,-0.02830426,-0.02865043,0.00034927,326,high_concentration_breakout,False,risk_on,0.40458263,0.00000000,0.00000000,6,3,28,0,0.00000000,0.00000000
2017-04-28,0.07896920,0.07937570,0.07896920,0.00039840,326,high_concentration_breakout,False,risk_on,0.30825746,0.00000000,-0.00414405,6,3,30,0,0.00000000,0.00000000
2017-05-31,-0.07547364,-0.07497545,-0.07547364,0.00052682,326,high_concentration_breakout,False,risk_on,0.32400030,0.00000000,0.00007588,6,9,33,0,0.00000000,0.00000000
2017-06-30,0.07350832,0.07403443,0.07350832,0.00051436,326,high_concentration_breakout,False,risk_on,0.33081588,0.00000000,0.00000000,6,14,42,0,0.00000000,0.00000000
2017-07-31,0.06753082,0.06787703,0.06753082,0.00036336,329,high_concentration_breakout,False,risk_on,0.32308321,0.00000000,0.00504071,6,14,43,0,0.00000000,0.00000000
2017-08-31,0.03414313,0.03453737,0.03414313,0.00044170,332,high_concentration_breakout,False,risk_on,0.32257250,0.00000000,-0.00177448,6,16,47,0,0.00000000,0.00000000
2017-09-29,0.17596385,0.17635623,0.17596385,0.00045462,333,high_concentration_breakout,False,risk_on,0.31220107,0.00000000,-0.00168097,6,17,47,0,0.00000000,0.00000000
2017-10-31,0.06428444,0.06460914,0.06428444,0.00044240,333,high_concentration_breakout,False,risk_on,0.30914663,0.00000000,0.00000000,6,5,38,0,0.00000000,0.00000000
2017-11-30,-0.04351674,-0.04292339,-0.04351674,0.00086042,336,high_concentration_breakout,False,risk_on,0.33868052,0.00000000,0.00000000,6,11,35,0,0.00000000,0.00000000
2017-12-29,0.02380914,0.02412712,0.02380914,0.00044104,339,high_concentration_breakout,False,risk_on,0.35348216,0.00000000,0.00000000,5,2,36,0,0.00000000,0.00000000
2018-01-31,0.03202960,0.03264855,0.03202960,0.00087892,342,high_concentration_breakout,False,risk_on,0.40875778,0.00000000,0.00000000,6,13,35,0,0.00000000,0.00000000
2018-02-28,-0.00457014,-0.00399013,-0.00457014,0.00085001,342,high_concentration_breakout,False,risk_on,0.39191576,0.00000000,0.00000000,6,11,43,0,0.00000000,0.00000000
2018-03-29,-0.04309641,-0.04274441,-0.04309641,0.00051351,342,high_concentration_breakout,False,risk_on,0.44913060,0.00000000,0.00000000,6,4,41,0,0.00000000,0.00000000
2018-04-30,-0.01144819,-0.01099480,-0.01144819,0.00063290,342,high_concentration_breakout,False,risk_on,0.36253151,0.00000000,0.00000000,6,4,37,0,0.00000000,0.00000000
2018-05-31,0.06084904,0.06143989,0.06084904,0.00081536,342,high_concentration_breakout,False,risk_on,0.33881003,0.00000000,0.00000000,6,19,38,0,0.00000000,0.00000000
2018-06-29,-0.05547312,-0.05499134,-0.05547312,0.00070529,341,high_concentration_breakout,False,risk_on,0.34737233,0.00000000,0.00569618,6,18,35,0,0.00000000,0.00000000
